Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.7,20.87,20.5,20.8,7000,0,0
2008-01-03,20.8,21.15,20.8,21.15,3100,0,0
2008-01-04,21.25,21.5,21.12,21.22,3300,0,0
2008-01-07,21.19,21.45,21.19,21.44,7800,0,0
2008-01-08,21.45,21.7,21.45,21.61,13300,0,0
2008-01-09,21.47,21.66,21.19,21.5,8400,0,0
2008-01-10,21.5,21.86,21.5,21.81,4400,0,0
2008-01-11,21.45,21.9,21.45,21.9,5200,0,0
2008-01-14,21.9,21.99,21.86,21.96,4400,0,0
2008-01-15,22.03,22.24,22.03,22.04,4900,0,0
2008-01-16,22.1,22.34,22.01,22.18,16900,0,0
2008-01-17,22.08,22.44,21.76,21.85,10500,0,0
2008-01-18,22.05,22.3,22.05,22.2,5600,0,0
2008-01-22,22.33,22.38,21.88,21.9,4900,0,0
2008-01-23,21.92,22.27,21.9,22.27,3400,0,0
2008-01-24,22.2,22.39,22.11,22.22,60400,0,0
2008-01-25,22.27,22.4,22.21,22.38,17600,0,0
2008-01-28,22.15,22.62,22.15,22.21,16600,0,0
2008-01-29,22.29,22.9,22.29,22.73,16700,0,0
2008-01-30,22.79,22.97,22.38,22.94,14900,0,0
2008-01-31,22.94,22.94,22.31,22.79,32900,0,0
2008-02-01,22.9,23.19,22.9,22.9,8900,0,0
2008-02-04,22.75,23.11,22.75,22.89,9900,0,0
2008-02-05,22.97,23.05,21.85,23.05,285700,0,0
2008-02-06,23.2,23.34,23.0,23.0,3900,0,0
2008-02-07,22.88,23.22,22.75,22.87,9300,0,0
2008-02-08,22.99,23.27,22.67,22.67,17800,0,0
2008-02-11,22.72,23.12,22.72,23.09,8000,0,0
2008-02-12,22.34,22.54,22.14,22.5,4000,0,0
2008-02-13,22.3,22.45,21.7,22.45,8400,0,0
2008-02-14,22.2,22.45,21.95,22.4,13300,0,0
2008-02-15,22.6,22.63,22.5,22.63,3700,0,0
