Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-17,29.65,31.23,29.2,29.29,1988000,0.0,0
2008-03-18,29.56,30.84,28.32,29.42,8067600,0.0,0
2008-03-19,29.42,30.25,27.82,29.71,3007700,0.0,0
2008-03-20,29.77,29.77,28.98,29.15,3007700,0.0,0
2008-03-24,29.54,30.25,29.54,30.25,1437000,0.0,0
2008-03-25,30.48,30.69,30.01,30.69,1100800,0.0,0
2008-03-26,30.66,31.12,29.83,29.83,2023200,0.0,0
2008-03-27,30.22,30.86,29.65,30.06,8653300,0.0,0
2008-03-28,30.22,31.14,29.99,30.28,9961200,0.0,0
2008-03-31,31.08,32.44,29.65,30.0,19408900,0.0,0
2008-04-01,30.31,30.95,29.07,30.0,23322500,0.0,0
2008-04-02,30.34,30.88,29.74,30.37,12944700,0.0,0
2008-04-03,30.25,30.54,29.89,30.28,12439100,0.0,0
2008-04-04,30.53,30.53,30.13,30.47,6651000,0.0,0
2008-04-07,30.6,30.6,29.95,30.05,7099300,0.0,0
2008-04-08,29.9,30.25,29.78,30.01,8283300,0.0,0
2008-04-09,29.95,30.0,29.15,29.29,8916200,0.0,0
2008-04-10,29.35,29.6,28.76,28.86,14321900,0.0,0
2008-04-11,28.76,29.0,28.52,28.66,11400700,0.0,0
2008-04-14,28.65,28.68,28.13,28.47,11532500,0.0,0
2008-04-15,28.34,28.68,28.34,28.59,9603400,0.0,0
2008-04-16,28.71,29.42,28.68,29.33,14837600,0.0,0
2008-04-17,29.49,29.65,29.31,29.56,6660700,0.0,0
2008-04-18,29.94,30.21,29.29,29.63,9630700,0.0,0
2008-04-21,29.77,30.18,29.14,30.03,6528300,0.0,0
2008-04-22,30.01,30.19,29.61,29.7,5504900,0.0,0
2008-04-23,30.25,31.04,30.19,30.84,13532300,0.0,0
2008-04-24,30.84,31.1,30.54,30.84,5847500,0.0,0
2008-04-25,30.92,30.95,30.1,30.42,11399700,0.0,0
2008-04-28,30.21,30.42,30.1,30.29,8382500,0.0,0
2008-04-29,30.51,30.96,29.81,30.85,12325300,0.0,0
2008-04-30,30.66,30.85,30.19,30.26,8733100,0.0,0
2008-05-01,30.15,30.35,30.02,30.1,7120800,0.0,0
2008-05-02,30.19,30.31,29.89,30.26,9291100,0.0,0
2008-05-05,30.17,30.62,30.03,30.13,8398500,0.0,0
2008-05-06,30.19,30.81,30.16,30.77,7588300,0.0,0
2008-05-07,30.82,30.96,30.43,30.66,6391400,0.0,0
2008-05-08,30.63,30.96,30.54,30.96,6669700,0.0,0
2008-05-09,30.78,31.11,30.56,30.74,5491700,0.0,0
2008-05-12,30.83,31.16,30.42,31.12,5851300,0.0,0
2008-05-13,31.09,31.34,30.86,31.11,5986600,0.0,0
2008-05-14,31.14,31.34,31.08,31.24,5381500,0.0,0
2008-05-15,31.14,31.62,30.9,31.58,8376500,0.0,0
2008-05-16,31.57,31.73,31.05,31.66,7172600,0.0,0
2008-05-19,31.72,32.0,31.39,31.81,6580200,0.0,0
2008-05-20,31.61,31.99,31.33,31.38,6887400,0.0,0
2008-05-21,31.46,31.54,30.74,30.83,6784200,0.0,0
2008-05-22,30.73,31.3,30.71,31.01,5135200,0.0,0
2008-05-23,30.9,31.42,30.69,30.72,5197400,0.0,0
2008-05-27,30.79,30.8,30.32,30.62,6505400,0.0,0
2008-05-28,30.66,30.78,30.15,30.34,13524100,0.0,0
2008-05-29,30.22,30.93,30.21,30.85,7386900,0.0,0
2008-05-30,30.88,31.43,30.73,31.23,7047800,0.0,0
2008-06-02,30.93,31.26,30.79,30.91,8668100,0.0,0
2008-06-03,30.9,31.21,30.64,30.64,6552400,0.0,0
2008-06-04,30.66,31.0,30.54,30.81,6407400,0.0,0
2008-06-05,30.86,30.98,30.57,30.73,6407400,0.0,0
2008-06-06,30.54,30.55,29.89,29.95,10198500,0.0,0
2008-06-09,30.13,30.22,29.17,29.35,9937000,0.0,0
2008-06-10,29.07,29.45,28.78,29.35,8847000,0.0,0
2008-06-11,29.35,30.01,29.13,29.57,12367200,0.0,0
2008-06-12,29.58,30.47,29.58,30.42,11782900,0.0,0
2008-06-13,30.41,30.77,30.07,30.61,7365600,0.0,0
2008-06-16,30.35,30.35,29.8,30.09,8251100,0.0,0
2008-06-17,29.98,30.23,29.73,30.03,5633800,0.0,0
2008-06-18,29.78,29.99,29.55,29.59,9967500,0.0,0
2008-06-19,29.54,30.0,29.48,29.89,9591400,0.0,0
2008-06-20,29.7,30.0,29.52,29.78,11448200,0.0,0
2008-06-23,29.85,30.07,29.59,30.03,6625800,0.0,0
2008-06-24,29.8,30.57,29.68,30.35,8976600,0.0,0
2008-06-25,30.51,31.28,30.4,30.7,10334100,0.0,0
2008-06-26,30.58,30.84,30.01,30.01,12055000,0.46,0
2008-06-27,29.99,30.07,29.45,29.82,15397700,0.0,0
2008-06-30,29.8,30.02,29.23,29.55,9972600,0.0,0
2008-07-01,29.34,30.27,29.16,30.15,11092000,0.0,0
2008-07-02,30.2,30.56,29.84,30.28,7956400,0.0,0
2008-07-03,30.26,30.82,30.09,30.8,5151300,0.0,0
2008-07-07,30.8,31.31,30.58,31.03,8395000,0.0,0
2008-07-08,30.95,32.31,30.85,32.18,13977700,0.0,0
2008-07-09,32.15,32.57,31.86,32.31,10411300,0.0,0
2008-07-10,32.25,32.31,31.54,31.98,11581100,0.0,0
2008-07-11,31.67,32.22,31.27,31.94,6588500,0.0,0
2008-07-14,31.87,32.25,31.57,32.05,8298900,0.0,0
2008-07-15,31.65,32.24,31.31,31.89,8306600,0.0,0
2008-07-16,31.58,31.94,30.96,31.67,6910000,0.0,0
2008-07-17,31.83,31.83,30.46,30.49,10317300,0.0,0
2008-07-18,30.58,30.8,29.99,30.35,9559600,0.0,0
