Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.14,18.3,17.75,17.88,598400,0.0,0.0
2008-01-03,17.88,17.99,17.73,17.86,792200,0.0,0.0
2008-01-04,17.65,17.72,17.13,17.25,1142300,0.0,0.0
2008-01-07,17.39,17.5,17.19,17.28,1624200,0.0,0.0
2008-01-08,17.31,17.34,16.51,16.51,881100,0.0,0.0
2008-01-09,16.44,16.48,15.53,16.0,2346800,0.0,0.0
2008-01-10,15.92,16.2,15.65,16.11,1928400,0.0,0.0
2008-01-11,15.94,16.3,15.86,16.1,1865100,0.0,0.0
2008-01-14,16.29,16.29,15.84,15.86,1260800,0.0,0.0
2008-01-15,15.75,15.81,15.3,15.44,2744200,0.0,0.0
2008-01-16,15.4,15.55,15.22,15.23,1948800,0.0,0.0
2008-01-17,15.26,15.65,14.58,14.67,3058700,0.0,0.0
2008-01-18,14.7,15.1,14.37,14.54,3117900,0.0,0.0
2008-01-22,13.78,14.72,13.61,14.55,2523100,0.0,0.0
2008-01-23,14.39,14.99,14.12,14.99,2218600,0.11417,0.0
2008-01-24,15.09,15.46,14.88,15.26,2108700,0.0,0.0
2008-01-25,15.33,16.01,15.31,15.7,1827000,0.0,0.0
2008-01-28,15.65,16.3,15.54,16.28,1816700,0.0,0.0
2008-01-29,16.28,16.47,16.07,16.41,1364800,0.0,0.0
2008-01-30,16.35,16.73,16.15,16.31,683500,0.0,0.0
2008-01-31,16.07,16.83,16.02,16.72,1220000,0.0,0.0
2008-02-01,16.72,16.98,16.48,16.97,1015400,0.0,0.0
2008-02-04,16.84,17.29,16.84,17.16,1204400,0.0,0.0
2008-02-05,16.73,18.3,15.71,17.33,2938500,0.0,0.0
2008-02-06,17.38,17.63,17.17,17.25,1696800,0.0,0.0
2008-02-07,17.21,17.72,17.09,17.5,1460400,0.0,0.0
2008-02-08,17.43,17.82,17.33,17.7,1888900,0.0,0.0
2008-02-11,17.66,17.83,17.4,17.8,979100,0.0,0.0
2008-02-12,17.86,17.93,17.63,17.76,897200,0.0,0.0
2008-02-13,17.9,18.07,17.89,18.03,1224200,0.0,0.0
2008-02-14,17.98,18.1,17.74,17.82,846100,0.0,0.0
2008-02-15,17.75,17.77,17.44,17.71,830800,0.0,0.0
2008-02-19,17.86,17.95,17.57,17.68,818500,0.0,0.0
2008-02-20,17.6,18.07,17.45,18.03,688600,0.0,0.0
2008-02-21,18.05,18.16,17.41,17.46,920400,0.0,0.0
2008-02-22,17.54,17.68,17.19,17.63,1085100,0.0,0.0
2008-02-25,17.62,17.96,17.32,17.96,1099000,0.0,0.0
2008-02-26,17.86,18.25,17.73,18.17,1252100,0.0,0.0
2008-02-27,17.85,18.29,17.85,18.05,636800,0.0,0.0
2008-02-28,17.87,18.12,17.66,18.01,932800,0.0,0.0
2008-02-29,17.78,17.83,17.14,17.17,1170800,0.0,0.0
2008-03-03,17.18,17.26,16.84,17.06,1105500,0.0,0.0
2008-03-04,16.91,17.06,16.51,16.77,1259000,0.0,0.0
2008-03-05,16.86,17.17,16.83,16.9,1382900,0.0,0.0
2008-03-06,16.79,16.85,16.41,16.42,1071400,0.0,0.0
2008-03-07,16.32,16.52,16.25,16.32,938300,0.0,0.0
2008-03-10,16.31,16.41,15.94,15.96,1296300,0.0,0.0
2008-03-11,16.41,16.6,16.16,16.6,849300,0.0,0.0
2008-03-12,16.6,16.94,16.55,16.64,695600,0.0,0.0
2008-03-13,16.41,16.89,16.25,16.78,600200,0.0,0.0
2008-03-14,16.87,16.93,16.23,16.5,1216200,0.0,0.0
2008-03-17,16.15,16.48,16.01,16.24,984200,0.0,0.0
2008-03-18,16.48,16.74,16.31,16.73,829900,0.0,0.0
2008-03-19,16.77,17.0,16.52,16.52,810300,0.0,0.0
2008-03-20,16.56,16.68,16.31,16.61,1011300,0.0,0.0
2008-03-24,16.59,17.11,16.53,16.96,766900,0.0,0.0
2008-03-25,17.03,17.37,16.87,17.31,746200,0.0,0.0
2008-03-26,17.27,17.34,17.02,17.12,506700,0.0,0.0
2008-03-27,17.19,17.22,16.7,16.83,1154400,0.0,0.0
2008-03-28,16.8,16.88,16.48,16.57,1713000,0.0,0.0
2008-03-31,16.5,16.84,16.39,16.79,1159700,0.0,0.0
2008-04-01,17.0,17.57,16.87,17.56,867400,0.0,0.0
2008-04-02,17.57,17.81,17.56,17.68,895700,0.0,0.0
2008-04-03,17.54,17.76,17.43,17.69,717100,0.0,0.0
2008-04-04,17.66,18.04,17.47,18.04,1157900,0.0,0.0
2008-04-07,18.11,18.16,17.5,17.5,1197400,0.0,0.0
2008-04-08,17.43,17.66,17.38,17.53,983900,0.0,0.0
2008-04-09,17.64,17.71,17.3,17.35,453900,0.0,0.0
2008-04-10,17.32,17.63,17.2,17.61,647700,0.0,0.0
2008-04-11,17.4,17.43,17.09,17.17,541600,0.0,0.0
2008-04-14,17.19,17.62,17.04,17.41,1107500,0.0,0.0
2008-04-15,17.57,17.85,17.53,17.78,773900,0.0,0.0
2008-04-16,17.88,18.64,17.87,18.59,1038800,0.0,0.0
2008-04-17,18.55,18.72,18.06,18.66,926000,0.0,0.0
2008-04-18,19.15,19.22,18.64,19.14,1272600,0.0,0.0
2008-04-21,18.95,19.3,18.95,19.25,1219400,0.0,0.0
2008-04-22,19.47,20.08,19.12,19.48,3438800,0.0,0.0
2008-04-23,19.57,19.58,18.84,19.06,1599700,0.11417,0.0
2008-04-24,18.92,19.4,18.77,19.3,1507300,0.0,0.0
2008-04-25,19.39,19.4,19.01,19.35,897500,0.0,0.0
2008-04-28,19.44,19.57,19.19,19.52,738300,0.0,0.0
2008-04-29,19.52,19.74,19.41,19.7,1286000,0.0,0.0
2008-04-30,19.7,19.83,19.36,19.48,1575000,0.0,0.0
2008-05-01,19.48,19.98,19.37,19.88,1438600,0.0,0.0
2008-05-02,19.92,20.5,19.83,19.94,1794800,0.0,0.0
2008-05-05,19.89,20.0,19.75,19.8,537800,0.0,0.0
2008-05-06,19.74,19.91,19.59,19.83,773000,0.0,0.0
2008-05-07,19.83,19.85,19.22,19.31,926600,0.0,0.0
2008-05-08,19.3,19.56,19.16,19.45,956200,0.0,0.0
2008-05-09,19.15,19.5,19.13,19.43,768700,0.0,0.0
2008-05-12,19.41,19.62,19.35,19.57,918700,0.0,0.0
2008-05-13,19.62,19.73,19.47,19.59,649300,0.0,0.0
2008-05-14,19.72,20.02,19.6,19.73,742200,0.0,0.0
2008-05-15,19.7,19.87,19.51,19.64,926300,0.0,0.0
2008-05-16,19.73,19.81,19.44,19.7,638700,0.0,0.0
2008-05-19,19.67,20.0,19.61,19.73,796000,0.0,0.0
2008-05-20,19.7,19.83,19.57,19.68,585900,0.0,0.0
2008-05-21,19.76,19.79,19.07,19.2,664200,0.0,0.0
2008-05-22,19.27,19.45,19.11,19.22,569900,0.0,0.0
2008-05-23,19.17,19.26,18.78,18.9,649600,0.0,0.0
2008-05-27,18.9,18.96,18.67,18.92,807000,0.0,0.0
2008-05-28,19.17,19.63,19.15,19.54,1090900,0.0,0.0
2008-05-29,19.55,19.96,19.3,19.77,1221200,0.0,0.0
2008-05-30,19.81,19.95,19.72,19.8,635900,0.0,0.0
2008-06-02,19.79,19.79,19.52,19.62,713200,0.0,0.0
2008-06-03,19.72,19.84,19.38,19.67,688000,0.0,0.0
2008-06-04,19.57,19.72,19.13,19.31,1306800,0.0,0.0
2008-06-05,19.38,19.68,19.29,19.68,1201700,0.0,0.0
2008-06-06,19.47,19.54,19.17,19.21,975200,0.0,0.0
2008-06-09,19.34,19.37,18.84,18.96,897200,0.0,0.0
2008-06-10,18.78,18.96,18.67,18.82,1066800,0.0,0.0
2008-06-11,18.84,18.87,18.33,18.34,906900,0.0,0.0
2008-06-12,18.34,18.61,18.2,18.24,1220600,0.0,0.0
2008-06-13,18.39,18.53,18.09,18.09,1690100,0.0,0.0
2008-06-16,18.0,18.42,17.91,18.28,1073400,0.0,0.0
2008-06-17,18.44,18.44,18.08,18.15,681900,0.0,0.0
2008-06-18,18.03,18.07,17.8,17.91,546000,0.0,0.0
2008-06-19,17.91,18.58,17.91,18.52,1235700,0.0,0.0
2008-06-20,18.37,18.44,18.18,18.21,1503400,0.0,0.0
2008-06-23,18.27,18.61,18.22,18.46,2804600,0.0,0.0
2008-06-24,18.47,18.62,18.22,18.37,899800,0.0,0.0
2008-06-25,18.49,18.58,18.34,18.42,1005500,0.0,0.0
2008-06-26,18.24,18.56,17.9,17.97,1212300,0.0,0.0
2008-06-27,17.97,18.06,17.8,17.91,2179300,0.0,0.0
2008-06-30,17.92,18.65,17.91,18.52,1742700,0.0,0.0
2008-07-01,18.37,18.57,18.07,18.42,2255800,0.0,0.0
2008-07-02,18.37,18.42,17.43,17.44,1469700,0.0,0.0
2008-07-03,17.5,17.66,17.34,17.51,699600,0.0,0.0
2008-07-07,17.54,17.78,17.4,17.57,1422800,0.0,0.0
2008-07-08,17.61,17.88,17.4,17.82,1426100,0.0,0.0
2008-07-09,17.95,18.07,17.47,17.54,1286400,0.0,0.0
2008-07-10,17.5,17.51,16.78,17.1,1817100,0.0,0.0
2008-07-11,17.0,17.24,16.86,16.94,1359400,0.0,0.0
2008-07-14,17.1,17.24,16.87,17.15,1113600,0.0,0.0
2008-07-15,17.05,17.56,16.79,17.26,1610500,0.0,0.0
2008-07-16,17.34,17.78,17.05,17.78,1119800,0.0,0.0
2008-07-17,17.91,18.3,17.85,18.29,1036400,0.0,0.0
2008-07-18,18.37,18.43,18.15,18.38,1106100,0.0,0.0
2008-07-21,18.43,19.5,18.28,19.49,2015000,0.0,0.0
2008-07-22,18.99,19.01,17.63,18.21,3880600,0.0,0.0
2008-07-23,18.28,18.74,18.13,18.6,1846900,0.11417,0.0
2008-07-24,18.58,18.66,18.49,18.54,1587700,0.0,0.0
2008-07-25,18.61,18.71,18.44,18.61,869400,0.0,0.0
2008-07-28,18.59,18.78,18.48,18.48,1478500,0.0,0.0
2008-07-29,18.58,18.87,18.46,18.61,1574600,0.0,0.0
2008-07-30,18.6,19.15,18.6,19.08,968700,0.0,0.0
2008-07-31,18.94,19.0,18.4,18.4,2250300,0.0,0.0
2008-08-01,18.51,18.51,17.85,17.92,2211300,0.0,0.0
2008-08-04,17.88,17.9,17.54,17.61,947500,0.0,0.0
2008-08-05,17.72,18.15,17.72,18.15,970000,0.0,0.0
2008-08-06,18.22,18.78,18.12,18.77,875600,0.0,0.0
2008-08-07,18.57,18.74,18.33,18.49,410600,0.0,0.0
2008-08-08,18.4,19.29,18.34,19.27,803600,0.0,0.0
2008-08-11,19.24,19.74,19.21,19.74,872400,0.0,0.0
2008-08-12,19.61,19.73,19.53,19.62,1349700,0.0,0.0
2008-08-13,19.54,19.77,19.46,19.67,921800,0.0,0.0
2008-08-14,19.67,19.93,19.57,19.87,623200,0.0,0.0
2008-08-15,19.9,20.14,19.7,19.84,519800,0.0,0.0
2008-08-18,19.89,20.04,19.63,19.77,510100,0.0,0.0
2008-08-19,19.68,19.82,19.54,19.64,905400,0.0,0.0
2008-08-20,19.68,19.86,19.5,19.78,2319100,0.0,0.0
2008-08-21,19.71,19.81,19.52,19.67,895300,0.0,0.0
2008-08-22,19.79,19.99,19.65,19.78,580800,0.0,0.0
2008-08-25,19.78,19.79,19.3,19.43,582100,0.0,0.0
2008-08-26,19.37,19.47,19.12,19.27,592300,0.0,0.0
2008-08-27,19.51,19.64,19.31,19.58,631100,0.0,0.0
2008-08-28,19.67,19.83,19.6,19.83,577100,0.0,0.0
2008-08-29,19.8,19.89,19.51,19.53,566100,0.0,0.0
2008-09-02,19.77,19.96,19.34,19.46,876100,0.0,0.0
2008-09-03,19.47,19.73,19.19,19.45,1324100,0.0,0.0
2008-09-04,19.22,19.25,18.69,18.69,938600,0.0,0.0
2008-09-05,18.55,18.81,18.23,18.68,1569100,0.0,0.0
2008-09-08,19.05,19.72,19.05,19.61,1667800,0.0,0.0
2008-09-09,19.67,19.69,18.94,18.96,1630700,0.0,0.0
2008-09-10,19.05,19.43,18.94,19.25,963800,0.0,0.0
2008-09-11,18.93,19.43,18.62,19.38,1146300,0.0,0.0
2008-09-12,19.22,19.67,19.17,19.53,1006800,0.0,0.0
2008-09-15,18.89,19.34,18.78,18.78,1298800,0.0,0.0
2008-09-16,18.36,19.53,18.36,19.4,1635300,0.0,0.0
2008-09-17,19.07,20.31,18.69,19.69,2355400,0.0,0.0
2008-09-18,19.81,20.98,19.56,20.19,3473600,0.0,0.0
2008-09-19,21.05,21.79,20.28,20.98,3387400,0.0,0.0
2008-09-22,20.77,20.87,19.93,19.94,1195900,0.0,0.0
2008-09-23,20.09,20.82,20.07,20.46,1616300,0.0,0.0
2008-09-24,20.54,20.68,20.01,20.3,1453500,0.0,0.0
2008-09-25,20.33,20.77,20.12,20.59,982100,0.0,0.0
2008-09-26,20.36,20.65,19.54,20.47,1931200,0.0,0.0
2008-09-29,20.46,20.46,18.03,18.42,2929000,0.0,0.0
2008-09-30,18.7,18.78,17.93,18.37,1882000,0.0,0.0
2008-10-01,18.29,18.6,18.0,18.3,1315500,0.0,0.0
2008-10-02,18.24,18.3,17.26,17.35,1434800,0.0,0.0
2008-10-03,17.57,18.22,17.07,17.1,1342300,0.0,0.0
2008-10-06,16.76,16.93,15.49,16.8,1897200,0.0,0.0
2008-10-07,17.09,17.57,15.96,15.96,1761000,0.0,0.0
2008-10-08,15.51,16.91,14.86,16.16,2611800,0.0,0.0
2008-10-09,15.99,16.51,14.99,15.09,1744200,0.0,0.0
2008-10-10,14.46,16.39,13.78,15.24,3385500,0.0,0.0
2008-10-13,15.81,16.77,15.76,16.75,1386700,0.0,0.0
2008-10-14,16.93,17.54,15.39,15.97,2543800,0.0,0.0
2008-10-15,15.6,15.72,14.26,14.26,1681200,0.0,0.0
2008-10-16,14.33,14.72,13.42,14.61,2246100,0.0,0.0
2008-10-17,14.18,15.4,13.82,14.61,1644600,0.0,0.0
2008-10-20,14.62,15.42,14.52,15.42,1400700,0.0,0.0
