Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,24.95,25.14,24.55,24.67,838900,0.0,0.0
2008-01-03,24.85,24.99,24.57,24.57,614400,0.0,0.0
2008-01-04,24.57,24.59,24.24,24.24,1107800,0.0,0.0
2008-01-07,24.34,24.86,24.32,24.86,1309300,0.0,0.0
2008-01-08,25.08,25.12,24.53,24.57,1011000,0.0,0.0
2008-01-09,24.54,25.11,24.54,25.03,923400,0.0,0.0
2008-01-10,24.9,25.38,24.75,25.13,1099000,0.0,0.0
2008-01-11,24.98,25.19,24.83,24.99,527700,0.0,0.0
2008-01-14,25.11,25.19,24.93,25.1,372300,0.0,0.0
2008-01-15,24.97,25.19,24.8,24.8,622100,0.0,0.0
2008-01-16,24.69,25.08,24.66,24.68,852700,0.0,0.0
2008-01-17,24.7,24.7,24.02,24.02,841400,0.0,0.0
2008-01-18,24.03,24.16,23.47,23.61,814200,0.0,0.0
2008-01-22,23.02,23.63,22.8,23.06,1528500,0.0,0.0
2008-01-23,22.67,24.02,22.63,23.99,1054200,0.0,0.0
2008-01-24,24.15,24.15,23.31,23.47,1022700,0.0,0.0
2008-01-25,23.6,23.68,22.8,22.89,768000,0.0,0.0
2008-01-28,22.87,23.39,22.83,23.22,984900,0.0,0.0
2008-01-29,23.2,23.63,23.2,23.37,816600,0.0,0.0
2008-01-30,23.03,23.25,22.56,22.63,2087500,0.525,0.0
2008-01-31,22.42,23.17,22.42,22.95,1594300,0.0,0.0
2008-02-01,22.94,23.02,22.66,22.95,1309500,0.0,0.0
2008-02-04,22.78,23.48,22.78,23.34,944100,0.0,0.0
2008-02-05,23.16,23.31,22.64,22.65,809700,0.0,0.0
2008-02-06,22.79,23.09,22.57,22.66,940600,0.0,0.0
2008-02-07,22.52,22.63,22.24,22.42,860400,0.0,0.0
2008-02-08,22.36,22.49,22.18,22.27,605100,0.0,0.0
2008-02-11,22.27,22.34,22.08,22.22,1137100,0.0,0.0
2008-02-12,22.39,22.74,22.3,22.58,1727700,0.0,0.0
2008-02-13,22.64,22.66,21.93,22.03,2017300,0.0,0.0
2008-02-14,22.08,22.28,21.9,21.94,927700,0.0,0.0
2008-02-15,21.9,22.02,21.72,21.96,907000,0.0,0.0
2008-02-19,21.96,22.19,21.96,22.17,1073900,0.0,0.0
2008-02-20,22.23,22.23,21.88,22.1,865600,0.0,0.0
2008-02-21,22.13,22.19,21.73,21.81,1091700,0.0,0.0
2008-02-22,21.83,22.09,21.72,22.06,659400,0.0,0.0
2008-02-25,22.06,22.18,21.88,22.15,822200,0.0,0.0
2008-02-26,22.04,22.3,21.96,22.3,904400,0.0,0.0
2008-02-27,22.21,22.33,22.08,22.2,1099100,0.0,0.0
2008-02-28,22.06,22.22,21.91,22.05,983000,0.0,0.0
2008-02-29,21.9,21.93,21.23,21.3,1154300,0.0,0.0
2008-03-03,21.31,21.51,21.15,21.45,952600,0.0,0.0
2008-03-04,21.21,21.64,21.21,21.51,911400,0.0,0.0
2008-03-05,21.48,21.52,21.12,21.38,909300,0.0,0.0
2008-03-06,21.26,21.34,20.76,20.76,848500,0.0,0.0
2008-03-07,20.68,20.92,20.51,20.82,1099400,0.0,0.0
2008-03-10,20.79,20.91,20.53,20.79,1023600,0.0,0.0
2008-03-11,21.26,21.33,20.91,21.33,780200,0.0,0.0
2008-03-12,21.48,21.48,20.93,20.93,509400,0.0,0.0
2008-03-13,20.72,21.01,20.59,20.94,689000,0.0,0.0
2008-03-14,21.15,21.16,20.51,20.74,947500,0.0,0.0
2008-03-17,20.68,21.12,20.42,20.95,916900,0.0,0.0
2008-03-18,21.22,21.47,21.03,21.45,840900,0.0,0.0
2008-03-19,21.68,21.85,21.17,21.19,938900,0.0,0.0
2008-03-20,21.07,21.55,21.05,21.46,685300,0.0,0.0
2008-03-24,21.43,21.62,21.19,21.44,548100,0.0,0.0
2008-03-25,21.44,21.44,21.24,21.31,660000,0.0,0.0
2008-03-26,21.27,21.36,21.15,21.22,829100,0.0,0.0
2008-03-27,21.33,21.42,21.14,21.18,681900,0.0,0.0
2008-03-28,21.32,21.38,20.79,20.81,640800,0.0,0.0
2008-03-31,20.94,21.05,20.63,21.02,1003500,0.0,0.0
2008-04-01,21.04,21.6,21.04,21.58,741400,0.0,0.0
2008-04-02,21.69,22.06,21.61,21.82,863900,0.0,0.0
2008-04-03,21.85,21.97,21.73,21.85,672600,0.0,0.0
2008-04-04,21.84,22.22,21.81,21.85,781400,0.0,0.0
2008-04-07,21.93,22.03,21.7,21.92,346500,0.0,0.0
2008-04-08,21.87,22.23,21.87,22.1,567900,0.0,0.0
2008-04-09,22.24,22.24,21.93,22.06,408700,0.0,0.0
2008-04-10,22.15,22.15,21.75,21.84,772300,0.0,0.0
2008-04-11,21.69,21.79,21.52,21.62,770300,0.0,0.0
2008-04-14,21.55,21.76,21.54,21.67,385100,0.0,0.0
2008-04-15,21.67,21.84,21.64,21.84,298200,0.0,0.0
2008-04-16,21.85,22.03,21.72,22.03,791300,0.0,0.0
2008-04-17,22.01,22.09,21.84,21.96,613600,0.0,0.0
2008-04-18,22.4,22.4,21.59,21.7,986500,0.0,0.0
2008-04-21,21.63,21.77,21.34,21.45,934700,0.0,0.0
2008-04-22,21.38,21.44,21.1,21.18,843400,0.0,0.0
2008-04-23,21.13,21.69,21.01,21.15,758100,0.0,0.0
2008-04-24,21.27,21.37,21.01,21.13,640900,0.0,0.0
2008-04-25,21.27,21.35,21.03,21.2,459700,0.0,0.0
2008-04-28,21.17,21.35,21.15,21.2,933000,0.0,0.0
2008-04-29,21.26,21.38,20.56,20.69,2174500,0.525,0.0
2008-04-30,20.74,20.89,20.59,20.64,1069600,0.0,0.0
2008-05-01,20.64,21.18,20.64,21.15,1288600,0.0,0.0
2008-05-02,21.23,21.59,20.86,21.03,876000,0.0,0.0
2008-05-05,20.94,21.01,20.4,20.52,1129500,0.0,0.0
2008-05-06,20.44,20.82,20.25,20.81,1325400,0.0,0.0
2008-05-07,20.81,21.02,20.19,20.25,1447500,0.0,0.0
2008-05-08,20.25,20.5,20.21,20.42,1171000,0.0,0.0
2008-05-09,20.25,20.56,20.15,20.52,761000,0.0,0.0
2008-05-12,20.53,20.84,20.36,20.83,885000,0.0,0.0
2008-05-13,20.92,20.92,20.38,20.6,837500,0.0,0.0
2008-05-14,20.68,20.83,20.54,20.72,552000,0.0,0.0
2008-05-15,20.64,20.73,20.44,20.58,498800,0.0,0.0
2008-05-16,20.55,20.8,20.46,20.8,658600,0.0,0.0
2008-05-19,20.8,20.98,20.8,20.96,449000,0.0,0.0
2008-05-20,20.89,20.99,20.69,20.78,668000,0.0,0.0
2008-05-21,20.84,21.0,20.65,20.69,695400,0.0,0.0
2008-05-22,20.77,21.07,20.7,20.98,735500,0.0,0.0
2008-05-23,20.86,20.99,20.62,20.63,511800,0.0,0.0
2008-05-27,20.63,20.86,20.63,20.83,414800,0.0,0.0
2008-05-28,20.93,21.05,20.61,20.76,473400,0.0,0.0
2008-05-29,20.89,20.89,20.58,20.66,1202700,0.0,0.0
2008-05-30,20.68,20.73,20.47,20.55,878700,0.0,0.0
2008-06-02,20.51,20.51,20.18,20.23,836000,0.0,0.0
2008-06-03,20.12,20.33,19.95,20.04,871200,0.0,0.0
2008-06-04,19.96,20.22,19.96,20.09,927600,0.0,0.0
2008-06-05,20.08,20.18,19.94,20.11,790500,0.0,0.0
2008-06-06,19.99,20.05,19.64,19.69,801600,0.0,0.0
2008-06-09,19.83,20.06,19.71,19.96,902900,0.0,0.0
2008-06-10,19.73,20.02,19.66,19.95,1076200,0.0,0.0
2008-06-11,19.85,19.99,19.73,19.85,1319400,0.0,0.0
2008-06-12,19.73,20.08,19.73,19.88,998600,0.0,0.0
2008-06-13,20.05,20.05,19.77,19.91,987900,0.0,0.0
2008-06-16,19.77,19.87,19.66,19.79,830200,0.0,0.0
2008-06-17,19.85,19.93,19.73,19.75,1041900,0.0,0.0
2008-06-18,19.65,19.94,19.64,19.77,767000,0.0,0.0
2008-06-19,19.66,19.87,19.66,19.84,738200,0.0,0.0
2008-06-20,19.71,19.83,19.52,19.54,928800,0.0,0.0
2008-06-23,19.73,19.82,19.57,19.61,567900,0.0,0.0
2008-06-24,19.55,19.6,19.46,19.47,974800,0.0,0.0
2008-06-25,19.54,19.76,19.46,19.65,902600,0.0,0.0
2008-06-26,19.37,19.63,19.22,19.22,1041500,0.0,0.0
2008-06-27,19.18,19.34,18.89,18.89,1034700,0.0,0.0
2008-06-30,18.41,18.89,18.41,18.72,1284000,0.0,0.0
