Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-22,23.28,23.35,23.23,23.33,611600,0.0,0
2018-08-23,23.33,23.37,23.27,23.29,504300,0.0,0
2018-08-24,23.32,23.32,23.28,23.32,399900,0.0,0
2018-08-27,23.35,23.35,23.31,23.33,432300,0.0,0
2018-08-28,23.34,23.36,23.3,23.34,426600,0.0,0
2018-08-29,23.36,23.41,23.35,23.37,401900,0.0,0
2018-08-30,23.4,23.4,23.37,23.37,309400,0.0,0
2018-08-31,23.4,23.53,23.39,23.44,590400,0.0,0
2018-09-04,23.44,23.45,23.36,23.36,199400,0.0,0
2018-09-05,23.38,23.38,23.26,23.33,259900,0.0,0
2018-09-06,23.36,23.36,23.3,23.32,168000,0.0,0
2018-09-07,23.3,23.3,23.21,23.24,193200,0.0,0
2018-09-10,23.25,23.34,23.23,23.32,124300,0.0,0
2018-09-11,23.32,23.33,23.23,23.29,201700,0.0,0
2018-09-12,23.3,23.3,23.23,23.23,193400,0.0,0
2018-09-13,23.17,23.25,23.17,23.24,188500,0.0,0
2018-09-14,23.25,23.25,23.18,23.19,212000,0.0,0
2018-09-17,23.23,23.23,23.09,23.13,158000,0.0,0
2018-09-18,23.16,23.16,23.09,23.09,366100,0.0,0
2018-09-19,23.13,23.14,23.03,23.06,167300,0.0,0
2018-09-20,23.07,23.15,23.04,23.04,271700,0.0,0
2018-09-21,23.14,23.15,23.05,23.08,239300,0.0,0
2018-09-24,23.11,23.14,23.08,23.09,63800,0.0,0
2018-09-25,23.1,23.1,23.02,23.02,80900,0.0,0
2018-09-26,23.09,23.12,23.07,23.1,141100,0.0,0
2018-09-27,23.11,23.14,23.09,23.09,139200,0.0,0
2018-09-28,23.11,23.2,23.1,23.13,63400,0.0,0
2018-10-01,23.15,23.19,23.05,23.05,140300,0.0,0
2018-10-02,23.13,23.15,23.03,23.03,158600,0.0,0
2018-10-03,23.03,23.06,22.75,22.89,174800,0.0,0
2018-10-04,22.89,22.89,22.43,22.69,183100,0.0,0
2018-10-05,22.64,22.64,22.51,22.51,132500,0.0,0
2018-10-08,22.59,22.61,22.48,22.48,85300,0.0,0
2018-10-09,22.61,22.63,22.53,22.57,81300,0.0,0
