Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,128.6,128.6,124.19,125.19,46900,0.0,0.0
2008-01-03,124.9,127.18,124.34,126.47,37700,0.0,0.0
2008-01-04,123.63,123.91,119.08,119.08,46500,0.0,0.0
2008-01-07,119.36,119.93,116.95,119.93,34200,0.0,0.0
2008-01-08,119.08,121.21,117.09,117.8,74400,0.0,0.0
2008-01-09,116.8,118.65,114.82,118.65,85600,0.0,0.0
2008-01-10,113.25,117.51,112.4,115.24,67200,0.0,0.0
2008-01-11,116.38,117.23,114.67,116.09,44700,0.0,0.0
2008-01-14,118.23,119.5,117.09,119.36,45900,0.0,0.0
2008-01-15,115.1,115.1,110.98,112.83,104600,0.0,0.0
2008-01-16,111.26,113.96,110.69,111.97,58100,0.0,0.0
2008-01-17,114.1,114.39,107.71,108.56,59900,0.0,0.0
2008-01-18,107.14,108.42,104.58,106.57,52700,0.0,0.0
2008-01-22,105.58,108.7,100.04,108.14,62100,0.0,0.0
2008-01-23,103.02,109.98,101.6,108.7,124700,0.0,0.0
2008-01-24,114.25,116.09,112.26,115.1,85500,0.0,0.0
2008-01-25,115.24,115.53,109.56,110.27,44400,0.0,0.0
2008-01-28,108.56,111.97,107.43,110.55,67100,0.0,0.0
2008-01-29,112.12,114.96,110.55,114.82,35600,0.0,0.0
2008-01-30,111.26,114.53,109.98,111.83,51100,0.0,0.0
2008-01-31,104.73,112.26,103.87,111.83,69100,0.0,0.0
2008-02-01,111.26,112.83,108.42,112.83,38900,0.0,0.0
2008-02-04,117.37,117.37,113.96,114.39,50700,0.0,0.0
2008-02-05,110.69,110.69,106.72,107.57,27300,0.0,0.0
2008-02-06,106.0,107.43,103.73,105.15,61600,0.0,0.0
2008-02-07,103.87,105.15,101.6,103.59,37000,0.0,0.0
2008-02-08,102.17,103.59,101.03,102.59,29300,0.0,0.0
2008-02-11,102.88,102.88,100.32,102.17,46200,0.0,0.0
2008-02-12,105.29,106.72,103.73,104.73,35200,0.0,0.0
2008-02-13,107.0,107.0,103.73,105.58,21200,0.0,0.0
2008-02-14,103.59,103.59,101.46,101.6,36600,0.0,0.0
2008-02-15,99.89,100.32,98.47,100.32,40500,0.0,0.0
2008-02-19,104.16,104.3,102.03,103.02,32700,0.0,0.0
2008-02-20,101.32,103.45,100.32,103.16,61100,0.0,0.0
2008-02-21,106.29,107.0,104.73,105.29,34700,0.0,0.0
2008-02-22,109.27,109.27,106.29,108.56,63900,0.0,0.0
2008-02-25,112.83,114.53,111.4,114.39,69500,0.0,0.0
2008-02-26,116.52,118.79,116.09,118.51,51500,0.0,0.0
2008-02-27,114.53,118.37,113.96,116.95,77000,0.0,0.0
2008-02-28,115.81,116.66,113.82,115.67,115700,0.0,0.0
2008-02-29,110.84,111.83,107.43,108.28,67100,0.0,0.0
2008-03-03,106.29,106.72,104.58,106.15,102900,0.0,0.0
2008-03-04,104.44,107.14,103.59,106.57,157900,0.0,0.0
2008-03-05,108.22,109.43,106.56,108.37,102700,8.9561,0.0
