Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-01-30,6.7,6.7,6.7,6.8,1245290,0,0
2009-02-02,6.8,6.8,6.7,6.7,386202,0,0
2009-02-03,6.65,6.65,6.57,6.65,1100295,0,0
2009-02-04,6.7,6.71,6.7,6.7,2687045,0,0
2009-02-05,6.7,6.75,6.66,6.73,956766,0,0
2009-02-06,6.75,6.8,6.67,6.8,1226958,0,0
2009-02-09,6.8,6.84,6.8,6.8,2755594,0,0
2009-02-10,6.8,6.81,6.8,6.8,1814013,0,0
2009-02-11,6.8,6.8,6.79,6.8,3161596,0,0
2009-02-12,6.8,6.8,6.73,6.73,5191917,0,0
2009-02-13,6.74,6.85,6.73,6.85,1113231,0,0
2009-02-17,6.7,6.7,6.4,6.5,6428522,0,0
2009-02-18,6.5,6.55,6.4,6.47,1597897,0,0
2009-02-19,6.47,6.5,6.45,6.45,3723769,0,0
2009-02-20,6.4,6.9,6.25,6.6,8188862,0,0
2009-02-23,6.5,6.56,6.47,6.55,2812019,0,0
2009-02-24,6.51,6.55,6.48,6.55,2422547,0,0
2009-02-25,6.5,6.59,6.38,6.5,2940292,0,0
2009-02-26,6.49,6.7,6.49,6.7,1178634,0,0
2009-02-27,6.4,6.4,6.4,6.77,1584349,0,0
2009-03-02,6.77,6.77,6.43,6.44,1426925,0,0
2009-03-03,6.5,6.5,6.2,6.3,2435925,0,0
2009-03-04,6.35,6.69,6.25,6.69,1973000,0,0
2009-03-05,6.5,6.5,6.33,6.33,2444663,0,0
2009-03-06,6.25,6.32,6.21,6.32,1601624,0,0
2009-03-09,6.61,6.61,6.15,6.15,7864990,0,0
2009-03-10,6.16,6.18,5.9,6.15,3855781,0,0
2009-03-11,6.15,6.18,6.15,6.18,1363820,0,0
2009-03-12,6.36,6.36,6.13,6.15,9200395,0,0
2009-03-13,6.3,6.3,6.12,6.18,1838288,0,0
2009-03-16,6.4,6.4,6.22,6.27,2333397,0,0
2009-03-17,6.2,6.4,6.19,6.28,2065019,0,0
2009-03-18,6.3,6.64,6.28,6.3,3392430,0,0
2009-03-19,6.31,6.49,6.3,6.45,1651816,0,0
2009-03-20,6.44,7.0,6.33,7.0,3008423,0,0
2009-03-23,6.67,6.99,6.5,6.75,3390047,0,0
2009-03-24,6.63,7.0,6.62,6.8,5133614,0,0
2009-03-25,6.95,7.0,6.9,6.91,2211263,0,0
2009-03-26,6.9,6.9,6.7,6.82,870252,0,0
2009-03-27,6.6,6.85,6.6,6.75,4245210,0,0
2009-03-30,6.65,6.75,6.51,6.51,1520329,0,0
2009-03-31,6.6,6.6,6.5,6.54,1535402,0,0
2009-04-01,6.53,6.53,6.45,6.5,2535699,0,0
2009-04-02,6.5,6.61,6.5,6.6,2982781,0,0
2009-04-03,6.6,6.6,6.5,6.52,1792703,0,0
2009-04-06,6.55,6.75,6.52,6.6,1968882,0,0
2009-04-07,6.6,6.6,6.55,6.58,1298152,0,0
2009-04-08,6.6,6.6,6.59,6.6,200316,0,0
2009-04-09,6.7,6.75,6.42,6.75,1109875,0,0
2009-04-14,6.7,6.85,6.68,6.84,802404,0,0
2009-04-15,6.75,7.0,6.75,6.83,1178692,0,0
2009-04-16,6.7,6.9,6.55,6.85,2039355,0,0
2009-04-17,6.9,6.97,6.81,6.9,378833,0,0
2009-04-20,6.75,6.98,6.75,6.82,2030671,0,0
2009-04-21,6.82,6.88,6.79,6.85,2112653,0,0
2009-04-23,6.89,6.91,6.85,6.9,704003,0,0
2009-04-24,6.89,6.99,6.89,6.98,355993,0,0
2009-04-28,7.0,7.24,6.97,7.24,1494052,0,0
2009-04-29,7.22,7.25,7.19,7.2,3446394,0,0
2009-04-30,7.0,7.22,7.0,7.15,2034953,0,0
2009-05-04,7.0,7.2,7.0,7.12,2223954,0,0
2009-05-05,7.13,7.13,6.96,6.96,1687706,0,0
2009-05-06,6.85,7.0,6.75,6.96,2912058,0,0
2009-05-07,7.0,7.0,6.94,7.0,2023736,0,0
2009-05-08,7.0,7.0,6.96,6.96,1280369,0,0
2009-05-11,6.89,7.01,6.85,7.0,2132011,0,0
2009-05-12,6.83,6.9,6.7,6.9,4798480,0,0
2009-05-13,7.2,7.2,6.75,6.75,672878,0,0
2009-05-14,6.72,6.9,6.61,6.66,2994599,0,0
2009-05-15,6.7,6.75,6.61,6.75,674640,0,0
2009-05-18,6.74,6.75,6.63,6.71,1970584,0,0
2009-05-19,6.75,7.05,6.7,7.0,2952524,0,0
2009-05-20,7.0,7.0,6.85,6.88,1732428,0,0
2009-05-21,6.99,6.99,6.7,6.76,1358963,0,0
2009-05-22,6.75,6.79,6.69,6.75,977648,0,0
2009-05-26,6.7,6.89,6.7,6.89,713727,0,0
2009-05-27,6.85,6.87,6.81,6.85,589032,0,0
2009-05-28,6.85,6.87,6.74,6.75,3297708,0,0
2009-05-29,6.8,6.85,6.7,6.75,1304831,0,0
2009-06-01,6.75,6.75,6.55,6.55,982886,0,0
2009-06-02,6.53,6.65,6.51,6.53,1089698,0,0
2009-06-03,6.51,6.51,6.22,6.33,1956246,0,0
2009-06-04,6.33,6.5,6.28,6.28,864227,0,0
2009-06-05,6.29,6.4,6.25,6.3,1197629,0,0
2009-06-08,6.4,6.4,6.3,6.35,5625348,0,0
2009-06-09,6.35,6.35,6.22,6.25,1859876,0,0
2009-06-10,6.27,6.32,6.14,6.2,2242023,0,0
2009-06-11,6.2,6.39,6.2,6.23,1161442,0,0
2009-06-12,6.24,6.35,6.24,6.28,2565650,0,0
2009-06-15,6.28,6.32,6.27,6.3,368604,0,0
2009-06-17,6.3,6.36,6.3,6.35,992759,0,0
2009-06-18,6.42,6.42,6.29,6.3,397066,0,0
2009-06-19,6.4,6.4,6.3,6.3,772323,0,0
2009-06-22,6.3,6.35,6.25,6.3,1773156,0,0
2009-06-23,6.3,6.36,6.29,6.36,2008535,0,0
2009-06-24,6.35,6.55,6.35,6.52,2798832,0,0
2009-06-25,6.52,6.52,6.45,6.5,115337,0,0
2009-06-26,6.5,6.6,6.5,6.6,3238649,0,0
2009-06-29,6.58,6.59,6.52,6.56,779164,0,0
2009-06-30,6.56,6.56,6.45,6.5,1505624,0,0
2009-07-01,6.5,6.5,6.47,6.5,740322,0,0
2009-07-02,6.5,6.5,6.48,6.5,1421352,0,0
2009-07-06,6.51,6.54,6.49,6.49,797504,0,0
2009-07-07,6.46,6.5,6.46,6.5,199007,0,0
2009-07-08,6.48,6.5,6.46,6.46,1067529,0,0
2009-07-09,6.45,6.6,6.45,6.56,2525021,0,0
2009-07-10,6.6,6.74,6.56,6.6,206418,0,0
2009-07-13,6.69,6.69,6.58,6.59,3645957,0,0
2009-07-14,6.61,6.63,6.57,6.62,3253876,0,0
2009-07-15,6.62,6.75,6.62,6.65,846802,0,0
2009-07-16,6.65,6.8,6.61,6.8,2005810,0,0
2009-07-17,6.8,6.8,6.75,6.77,656307,0,0
2009-07-20,6.8,7.15,6.75,6.89,2174248,0,0
2009-07-21,6.89,6.89,6.82,6.82,897209,0,0
2009-07-22,6.81,7.1,6.8,7.09,4758456,0,0
2009-07-23,7.0,7.07,7.0,7.02,919701,0,0
2009-07-24,7.02,7.25,6.95,7.12,3083537,0,0
2009-07-27,7.12,7.12,6.9,6.93,1074366,0,0
2009-07-28,6.95,7.1,6.95,7.05,2795849,0,0
2009-07-29,7.05,7.1,7.02,7.1,1872091,0,0
2009-07-30,7.1,7.24,7.08,7.23,2921276,0,0
2009-07-31,7.2,7.49,7.15,7.41,4376476,0,0
2009-08-03,7.41,7.45,7.25,7.3,840869,0,0
2009-08-04,7.26,7.34,7.26,7.34,1732587,0,0
2009-08-05,7.34,7.34,7.25,7.28,3489451,0,0
2009-08-06,7.29,7.29,7.03,7.03,11245648,0,0
2009-08-07,7.19,7.19,7.01,7.08,2676911,0,0
2009-08-17,7.34,7.4,7.15,7.3,38175219,0,0
2009-08-20,7.33,7.33,7.23,7.28,17928820,0,0
2009-08-21,7.27,7.3,7.22,7.3,15195144,0,0
2009-08-24,7.29,7.6,7.23,7.4,8847507,0,0
2009-08-25,7.44,7.45,7.2,7.22,9826513,0,0
2009-08-26,7.3,7.3,7.1,7.13,4153295,0,0
2009-08-27,7.11,7.16,7.11,7.15,4976482,0,0
2009-08-28,7.15,7.28,6.9,7.28,6556555,0,0
2009-08-31,7.27,7.3,7.17,7.29,8470873,0,0
2009-09-01,7.29,7.38,7.21,7.28,4520274,0,0
2009-09-02,7.28,7.28,7.15,7.2,2465040,0,0
2009-09-03,7.18,7.2,7.1,7.2,4470624,0,0
2009-09-04,7.25,7.25,7.2,7.25,2400374,0,0
2009-09-08,7.24,7.24,7.17,7.21,2817818,0,0
2009-09-09,7.28,7.49,7.2,7.28,4523451,0,0
2009-09-10,7.3,7.3,7.24,7.3,6421887,0,0
2009-09-11,7.23,7.3,7.23,7.26,5249647,0,0
2009-09-14,7.26,7.26,7.12,7.2,2551377,0,0
2009-09-15,7.22,7.22,7.11,7.2,3394231,0,0
2009-09-16,7.2,7.25,7.15,7.2,3458553,0,0
2009-09-17,7.25,7.27,7.16,7.25,4214505,0,0
2009-09-18,7.3,7.39,7.22,7.39,12758937,0,0
2009-09-21,7.25,7.37,7.25,7.29,3883994,0,0
2009-09-22,7.3,7.34,7.26,7.33,3284108,0,0
2009-09-23,7.33,7.34,7.16,7.27,7507143,0,0
2009-09-25,7.3,7.3,7.18,7.25,3592096,0,0
2009-09-28,7.25,7.28,7.23,7.28,2031310,0,0
2009-09-29,7.29,7.29,7.22,7.24,4157447,0,0
2009-09-30,7.2,7.28,7.19,7.2,6479827,0,0
2009-10-01,7.28,7.31,7.27,7.31,3412237,0,0
2009-10-02,7.35,7.35,7.16,7.25,1972496,0,0
2009-10-05,7.3,7.39,7.25,7.3,3383585,0,0
2009-10-06,7.3,7.34,7.29,7.33,2906650,0,0
2009-10-07,7.33,7.33,7.27,7.33,3708895,0,0
2009-10-08,7.33,7.4,7.25,7.38,3403952,0,0
2009-10-09,7.34,7.38,7.32,7.37,2861580,0,0
2009-10-12,7.35,7.38,7.35,7.38,7758508,0,0
2009-10-13,7.38,7.41,7.37,7.39,7432507,0,0
2009-10-14,7.39,7.4,7.36,7.4,4856558,0,0
2009-10-15,7.4,7.4,7.35,7.37,2522578,0,0
2009-10-16,7.36,7.39,7.31,7.33,4010008,0,0
2009-10-19,7.38,7.39,7.31,7.34,1709195,0,0
2009-10-20,7.39,7.39,7.28,7.28,2758786,0,0
2009-10-21,7.37,7.37,7.26,7.28,9605753,0,0
2009-10-22,7.25,7.38,7.25,7.32,5894796,0,0
2009-10-23,7.37,7.39,7.29,7.35,8050259,0,0
2009-10-26,7.35,7.39,7.3,7.32,10949752,0,0
2009-10-27,7.32,7.38,7.24,7.31,7235430,0,0
2009-10-28,7.28,7.36,7.15,7.17,13246022,0,0
2009-10-29,7.16,7.23,7.15,7.19,3757990,0,0
2009-10-30,7.2,7.25,7.15,7.2,2902877,0,0
2009-11-02,7.15,7.25,7.15,7.18,5837331,0,0
2009-11-03,7.18,7.22,7.08,7.11,2547607,0,0
2009-11-04,7.1,7.15,6.99,7.03,10480122,0,0
2009-11-05,7.01,7.17,7.0,7.09,2416764,0,0
2009-11-06,7.09,7.18,7.09,7.15,1410803,0,0
2009-11-09,7.15,7.26,7.15,7.22,2048018,0,0
2009-11-10,7.23,7.28,7.18,7.22,4931909,0,0
2009-11-11,7.22,7.22,7.18,7.22,6878873,0,0
2009-11-12,7.22,7.24,7.18,7.24,2732718,0,0
2009-11-13,7.2,7.28,7.2,7.23,2556027,0,0
2009-11-16,7.19,7.19,7.11,7.15,1497648,0,0
2009-11-17,7.16,7.2,7.12,7.16,12273429,0,0
2009-11-18,7.18,7.2,7.15,7.15,14426846,0,0
2009-11-19,7.17,7.19,7.13,7.14,9183660,0,0
2009-11-20,7.14,7.17,7.12,7.14,3030908,0,0
2009-11-23,7.14,7.18,7.12,7.18,2969764,0,0
2009-11-24,7.12,7.17,7.1,7.17,1397629,0,0
2009-11-25,7.16,7.17,7.11,7.11,1341727,0,0
2009-11-27,7.1,7.13,7.05,7.07,1581222,0,0
2009-11-30,7.12,7.12,7.06,7.08,4485675,0,0
2009-12-01,7.1,7.15,7.07,7.15,2223115,0,0
2009-12-02,7.15,7.15,7.09,7.11,5186691,0,0
2009-12-03,7.11,7.13,7.1,7.12,2530499,0,0
2009-12-04,7.1,7.11,6.99,7.04,5946337,0,0
2009-12-07,7.01,7.1,6.85,6.92,11306469,0,0
2009-12-08,6.92,7.15,6.92,7.15,7156291,0,0
2009-12-09,7.0,7.14,7.0,7.05,4420798,0,0
2009-12-10,7.07,7.11,6.9,7.08,3360931,0,0
2009-12-11,7.1,7.13,7.06,7.11,3711974,0,0
2009-12-14,7.11,7.15,7.1,7.15,2178920,0,0
2009-12-15,7.15,7.15,7.09,7.15,4240833,0,0
2009-12-17,7.1,7.15,7.1,7.12,1667421,0,0
2009-12-18,7.11,7.13,7.08,7.09,2029668,0,0
2009-12-21,7.05,7.13,7.04,7.09,1802421,0,0
2009-12-22,7.12,7.12,7.09,7.12,361283,0,0
2009-12-23,7.09,7.12,7.09,7.12,831631,0,0
2009-12-24,7.12,7.14,7.09,7.1,659010,0,0
2009-12-28,7.1,7.13,7.09,7.13,599531,0,0
2009-12-29,7.13,7.15,7.05,7.15,1108225,0,0
2009-12-30,7.04,7.15,7.03,7.04,5179574,0,0
2009-12-31,7.07,7.15,7.04,7.15,4590439,0,0
2010-01-04,7.14,7.14,7.06,7.08,2134029,0,0
2010-01-05,7.06,7.15,7.06,7.15,687466,0,0
2010-01-06,7.1,7.15,7.1,7.15,910340,0,0
2010-01-07,7.1,7.15,7.1,7.15,3726406,0,0
2010-01-08,7.15,7.18,7.11,7.16,3281657,0,0
2010-01-11,7.18,7.18,7.15,7.16,1717516,0,0
2010-01-12,7.16,7.22,7.14,7.22,1348274,0,0
2010-01-13,7.24,7.24,7.17,7.2,1055391,0,0
2010-01-14,7.2,7.22,7.18,7.22,1245105,0,0
2010-01-15,7.2,7.3,7.19,7.3,1883055,0,0
2010-01-19,7.31,7.32,7.27,7.3,4939378,0,0
2010-01-20,7.3,7.43,7.3,7.4,4502977,0,0
2010-01-21,7.4,7.4,7.34,7.35,8528659,0,0
2010-01-22,7.3,7.37,7.28,7.29,4010210,0,0
2010-01-25,7.33,7.39,7.29,7.36,4550197,0,0
