Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,4.2216,4.3862,4.1537,4.3397,1431400,0.0,0.0
2008-01-03,4.329,4.3361,4.2216,4.2824,740700,0.0,0.0
2008-01-04,4.2502,4.2789,4.0964,4.0964,874300,0.0,0.0
2008-01-07,4.0785,4.1465,3.9783,4.0427,1266900,0.0,0.0
2008-01-08,4.0535,4.1215,3.8639,3.914,1213300,0.0,0.0
2008-01-09,3.9068,3.9748,3.753,3.9748,1143600,0.0,0.0
2008-01-10,3.9211,4.0714,3.8674,4.0499,1533300,0.0,0.0
2008-01-11,4.007,4.0642,3.9283,3.9605,1200100,0.0,0.0
2008-01-14,3.939,4.0928,3.939,4.0749,1011700,0.0,0.0
2008-01-15,3.9962,4.032,3.8853,3.8925,1374000,0.0,0.0
2008-01-16,3.8531,3.9497,3.5776,3.8853,2368800,0.0,0.0
2008-01-17,3.9247,4.0141,3.5455,3.5848,1547100,0.0,0.0
2008-01-18,3.6134,3.6564,3.109,3.3093,4023600,0.0,0.0
2008-01-22,3.1626,3.5097,3.0482,3.5097,2801200,0.0,0.0
2008-01-23,3.8639,3.8817,3.4059,3.7243,4240900,0.0,0.0
2008-01-24,3.7816,3.7852,3.5669,3.5741,1999900,0.0,0.0
2008-01-25,3.6671,3.8102,3.549,3.6456,1843800,0.0,0.0
2008-01-28,3.6456,3.8388,3.5884,3.8317,1008000,0.0,0.0
2008-01-29,3.846,3.9712,3.8388,3.871,1262200,0.0,0.0
2008-01-30,3.871,3.9676,3.7744,3.7959,1203700,0.0,0.0
2008-01-31,3.7673,3.8889,3.7208,3.8496,1494900,0.0,0.0
2008-02-01,3.8174,3.9354,3.7995,3.9318,886200,0.0,0.0
2008-02-04,3.9676,3.9891,3.8996,3.9318,866400,0.0,0.0
2008-02-05,3.8674,3.9533,3.8174,3.8245,836100,0.0,0.0
2008-02-06,3.8821,3.9432,3.8137,3.8389,699400,0.02667,0.0
2008-02-07,3.8065,3.972,3.8065,3.8929,781800,0.0,0.0
2008-02-08,3.8929,3.9576,3.8137,3.9073,598500,0.0,0.0
2008-02-11,3.9432,4.1375,3.8389,4.1015,1074700,0.0,0.0
2008-02-12,4.1051,4.2778,4.0692,4.1123,652500,0.0,0.0
2008-02-13,4.1735,4.3354,4.1375,4.3318,929200,0.0,0.0
2008-02-14,4.3354,4.3534,4.2203,4.2994,621900,0.0,0.0
2008-02-15,4.3462,4.3606,4.2706,4.3426,1169100,0.0,0.0
2008-02-19,4.3282,4.4937,4.3282,4.4469,633700,0.0,0.0
