Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.59,11.89,11.49,11.59,80400,0.0,0.0
2008-01-03,11.49,11.79,11.39,11.49,78100,0.0,0.0
2008-01-04,11.49,11.69,11.39,11.49,99600,0.0,0.0
2008-01-07,11.49,11.79,11.49,11.69,89400,0.0,0.0
2008-01-08,11.59,11.89,11.49,11.59,89500,0.0,0.0
2008-01-09,11.69,11.69,11.39,11.49,103100,0.0,0.0
2008-01-10,11.59,11.79,11.49,11.69,62800,0.0,0.0
2008-01-11,11.59,11.99,11.39,11.39,114600,0.0,0.0
2008-01-14,11.59,11.69,11.49,11.59,42400,0.0,0.0
2008-01-15,11.69,11.69,10.9,11.19,109400,0.0,0.0
2008-01-16,11.1,11.49,11.0,11.39,44200,0.0,0.0
2008-01-17,11.39,11.49,11.1,11.29,61000,0.0,0.0
2008-01-18,11.39,11.39,11.0,11.19,81100,0.0,0.0
2008-01-22,10.8,11.1,10.2,10.6,349600,0.0,0.0
2008-01-23,10.2,11.29,10.2,10.5,266800,0.0,0.0
2008-01-24,10.8,10.8,10.3,10.4,107700,0.0,0.0
2008-01-25,10.7,10.7,10.1,10.1,74300,0.0,0.0
2008-01-28,10.3,10.8,10.2,10.3,49200,0.0,0.0
2008-01-29,10.5,10.9,10.4,10.6,88700,0.0,0.0
2008-01-30,10.6,11.19,10.5,10.6,170600,0.0,0.0
2008-01-31,10.6,11.39,10.6,10.6,67700,0.0,0.0
2008-02-01,10.8,11.0,10.3,10.3,91900,0.0,0.0
2008-02-04,10.6,10.9,10.3,10.3,88600,0.0,0.0
2008-02-05,10.4,11.1,10.2,11.1,105300,0.0,0.0
2008-02-06,10.6,10.7,10.3,10.3,66500,0.0,0.0
2008-02-07,10.3,10.5,10.3,10.4,37500,0.0,0.0
2008-02-08,10.5,10.5,10.2,10.5,65300,0.0,0.0
2008-02-11,10.4,10.6,10.3,10.4,107400,0.0,0.0
2008-02-12,10.4,10.6,10.4,10.5,40500,0.0,0.0
2008-02-13,10.6,11.0,10.5,11.0,56300,0.0,0.0
2008-02-14,10.7,10.9,10.4,10.9,56400,0.0,0.0
2008-02-15,10.4,10.6,10.3,10.4,104600,0.0,0.0
2008-02-19,10.5,10.6,10.2,10.2,140500,0.0,0.0
2008-02-20,10.2,10.4,10.2,10.3,42600,0.0,0.0
2008-02-21,10.3,10.5,10.2,10.3,53500,0.0,0.0
2008-02-22,10.3,10.3,10.01,10.2,98000,0.0,0.0
2008-02-25,10.2,10.3,10.1,10.1,57900,0.0,0.0
2008-02-26,10.2,10.6,10.2,10.3,96600,0.0,0.0
2008-02-27,10.5,10.9,10.4,10.9,142400,0.0,0.0
2008-02-28,10.9,11.0,10.3,10.7,212500,0.0,0.0
2008-02-29,10.7,10.8,10.1,10.1,102700,0.0,0.0
2008-03-03,10.3,10.4,9.71,9.91,233900,0.0,0.0
2008-03-04,9.91,10.01,9.11,9.21,155900,0.0,0.0
2008-03-05,9.41,10.4,9.21,10.01,155800,0.0,0.0
2008-03-06,9.91,10.4,9.51,9.51,81500,0.0,0.0
2008-03-07,9.41,9.71,9.31,9.51,86100,0.0,0.0
2008-03-10,9.61,9.71,9.11,9.11,63600,0.0,0.0
2008-03-11,9.11,9.41,9.01,9.31,95200,0.0,0.0
2008-03-12,9.71,9.81,9.01,9.71,64300,0.0,0.0
