Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.12,18.16,17.63,17.75,5969700,0.0,0
2008-01-03,17.88,17.99,17.63,17.75,3954300,0.0,0
2008-01-04,16.81,17.03,15.79,15.86,10403700,0.0,0
2008-01-07,15.99,16.28,15.53,15.89,9490200,0.0,0
2008-01-08,16.01,16.06,14.83,14.87,11255300,0.0,0
2008-01-09,14.93,14.98,14.19,14.93,10257700,0.0,0
2008-01-10,14.78,15.6,14.43,15.29,10915000,0.0,0
2008-01-11,15.19,15.93,14.8,15.6,7530200,0.0,0
2008-01-14,15.76,15.76,15.14,15.56,6360800,0.0,0
2008-01-15,15.36,15.75,15.06,15.51,9606900,0.0,0
2008-01-16,15.46,16.47,15.45,16.13,9617300,0.0,0
2008-01-17,16.21,16.23,14.88,14.92,9467400,0.0,0
2008-01-18,15.03,15.22,14.5,14.63,8426300,0.0,0
2008-01-22,13.68,15.58,13.65,15.35,11302800,0.0,0
2008-01-23,14.1,17.23,14.1,16.65,11130700,0.0,0
2008-01-24,16.79,17.38,16.53,17.13,9926600,0.0,0
2008-01-25,17.33,18.1,16.93,17.37,10424700,0.0,0
2008-01-28,17.3,18.14,17.13,18.14,7168400,0.0,0
2008-01-29,18.29,19.1,17.94,19.0,7482800,0.0,0
2008-01-30,18.88,19.26,18.43,18.55,8153800,0.0,0
2008-01-31,18.26,19.51,17.56,19.19,10774600,0.0,0
2008-02-01,19.45,19.7,19.12,19.61,5922900,0.0,0
2008-02-04,19.61,19.61,19.01,19.13,6979300,0.0,0
2008-02-05,18.52,18.95,18.41,18.48,5551500,0.0,0
2008-02-06,18.22,18.52,17.59,18.06,8174200,0.0,0
2008-02-07,17.6,18.61,17.6,18.45,6105300,0.0,0
2008-02-08,18.38,18.46,17.4,17.69,8180800,0.0,0
2008-02-11,17.72,17.78,17.18,17.54,4879200,0.0,0
2008-02-12,17.62,18.39,17.62,18.07,5168900,0.0,0
2008-02-13,18.25,18.41,17.59,17.98,5097800,0.0,0
2008-02-14,17.96,17.96,17.34,17.4,5208400,0.0,0
2008-02-15,17.37,17.59,17.01,17.48,5488000,0.0,0
2008-02-19,17.66,17.82,17.02,17.16,4595600,0.0,0
2008-02-20,16.98,17.84,16.84,17.71,5551000,0.0,0
2008-02-21,17.74,17.91,17.11,17.14,4036900,0.0,0
2008-02-22,17.23,17.64,16.87,17.62,4300300,0.0,0
2008-02-25,17.56,17.71,17.03,17.62,7002000,0.0,0
2008-02-26,17.52,17.91,17.37,17.68,5801800,0.0,0
2008-02-27,17.53,18.04,17.38,17.7,4138900,0.0,0
2008-02-28,17.54,17.69,16.69,16.73,6011400,0.0,0
2008-02-29,16.6,16.6,16.08,16.16,10053800,0.0,0
2008-03-03,16.11,16.13,15.57,15.7,6726500,0.0,0
2008-03-04,15.57,15.95,15.12,15.86,9506000,0.0,0
2008-03-05,16.08,16.4,15.8,15.96,7444200,0.0,0
2008-03-06,15.74,15.87,15.19,15.22,5834900,0.0,0
2008-03-07,15.13,15.92,14.98,15.52,6611400,0.0,0
2008-03-10,15.57,15.7,14.96,15.22,8819600,0.0,0
2008-03-11,16.38,16.71,15.66,16.71,8975500,0.0,0
2008-03-12,16.77,17.42,16.29,16.29,8096000,0.0,0
2008-03-13,15.56,16.55,15.44,16.4,9345300,0.0,0
2008-03-14,16.41,16.82,15.47,15.71,12038800,0.38,0
2008-03-17,15.31,15.93,14.7,15.13,14821400,0.0,0
2008-03-18,15.58,15.91,15.01,15.53,15082600,0.0,0
2008-03-19,15.67,16.26,15.58,15.83,14170100,0.0,0
2008-03-20,15.85,16.89,15.78,16.86,10573300,0.0,0
2008-03-24,16.89,17.94,16.89,17.18,7998100,0.0,0
2008-03-25,17.28,17.31,16.74,17.15,6019700,0.0,0
2008-03-26,15.91,17.03,15.91,16.44,6444000,0.0,0
2008-03-27,16.44,16.68,15.92,15.96,7423000,0.0,0
2008-03-28,16.01,16.22,15.2,15.25,6204800,0.0,0
2008-03-31,15.38,15.74,15.16,15.33,6079400,0.0,0
2008-04-01,15.62,16.75,15.62,16.65,10598500,0.0,0
2008-04-02,16.86,17.61,16.73,16.85,8086600,0.0,0
2008-04-03,16.71,17.01,16.16,16.92,6445000,0.0,0
2008-04-04,16.98,16.98,16.17,16.23,4861600,0.0,0
2008-04-07,16.5,16.72,16.23,16.41,5477200,0.0,0
2008-04-08,16.27,16.3,15.79,15.92,4712800,0.0,0
2008-04-09,15.95,16.13,15.61,15.66,3402600,0.0,0
2008-04-10,15.52,15.99,15.26,15.49,7811900,0.0,0
2008-04-11,15.33,15.74,15.22,15.34,7380900,0.0,0
2008-04-14,15.06,15.34,14.38,14.4,11666500,0.0,0
2008-04-15,15.3,15.98,15.09,15.61,15211100,0.0,0
2008-04-16,15.89,15.96,15.4,15.75,8958600,0.0,0
2008-04-17,15.68,16.96,15.68,16.83,8427100,0.0,0
2008-04-18,17.17,17.57,16.71,16.76,10126800,0.0,0
2008-04-21,16.7,16.71,16.05,16.29,6526600,0.0,0
2008-04-22,16.06,16.33,15.91,16.16,6153400,0.0,0
2008-04-23,16.07,16.24,15.7,15.85,6374500,0.0,0
2008-04-24,15.96,17.07,15.82,16.96,10758900,0.0,0
2008-04-25,17.2,17.31,16.63,17.24,8702800,0.0,0
2008-04-28,17.32,17.46,16.98,17.29,5011000,0.0,0
2008-04-29,17.34,17.45,17.1,17.34,5264300,0.0,0
2008-04-30,17.36,17.53,16.98,17.01,5689100,0.0,0
2008-05-01,17.12,17.97,17.03,17.88,7509600,0.0,0
2008-05-02,17.95,18.87,17.91,18.21,7979300,0.0,0
2008-05-05,18.17,18.21,17.72,17.76,6575900,0.0,0
2008-05-06,17.24,17.89,17.17,17.74,7799100,0.0,0
2008-05-07,17.72,17.85,16.92,17.0,6069100,0.0,0
2008-05-08,17.1,17.16,16.34,16.65,7220000,0.0,0
2008-05-09,16.43,16.96,16.21,16.43,7008200,0.0,0
2008-05-12,16.51,16.9,16.46,16.87,4537000,0.0,0
2008-05-13,16.78,16.92,16.51,16.63,6509000,0.0,0
2008-05-14,16.53,16.63,16.22,16.43,9112800,0.0,0
2008-05-15,16.41,16.54,16.24,16.54,6531000,0.0,0
2008-05-16,16.24,16.26,15.57,15.65,9985700,0.0,0
2008-05-19,15.67,15.73,15.26,15.3,9047100,0.0,0
2008-05-20,15.24,15.49,15.08,15.31,10641900,0.0,0
2008-05-21,15.4,15.44,14.62,14.67,12176100,0.0,0
2008-05-22,14.71,15.13,14.7,14.85,7700200,0.0,0
2008-05-23,14.77,14.89,14.44,14.48,6817600,0.0,0
2008-05-27,14.5,14.84,14.46,14.78,7281900,0.0,0
2008-05-28,14.88,14.89,13.7,14.03,18136500,0.0,0
2008-05-29,13.88,14.57,13.84,14.41,8585300,0.0,0
2008-05-30,14.5,14.54,13.81,13.83,7919700,0.0,0
2008-06-02,13.75,13.95,13.36,13.42,17573100,0.0,0
2008-06-03,13.47,13.57,12.7,12.94,19627200,0.0,0
2008-06-04,13.0,13.12,12.55,12.75,16492000,0.0,0
2008-06-05,12.66,12.99,12.61,12.84,8743700,0.0,0
2008-06-06,12.67,12.67,11.87,11.99,16256800,0.0,0
2008-06-09,12.11,12.18,10.93,11.13,22064100,0.0,0
2008-06-10,10.91,12.14,10.83,11.17,20288800,0.0,0
2008-06-11,11.21,11.3,10.48,10.62,16850900,0.0,0
2008-06-12,10.82,11.14,10.27,10.47,17694100,0.0,0
2008-06-13,10.81,11.08,9.88,10.6,18855900,0.38,0
2008-06-16,10.56,11.37,10.44,10.98,16466700,0.0,0
2008-06-17,11.0,11.18,10.13,10.17,17422500,0.0,0
2008-06-18,9.6,9.61,8.58,9.1,41276300,0.0,0
2008-06-19,9.17,9.18,8.24,8.93,32581100,0.0,0
2008-06-20,8.5,9.66,8.25,8.96,28882300,0.0,0
2008-06-23,9.04,9.09,8.46,8.68,13852100,0.0,0
2008-06-24,8.65,9.34,8.47,9.07,21535300,0.0,0
2008-06-25,9.13,9.67,9.11,9.25,24645900,0.0,0
2008-06-26,9.1,9.25,8.79,8.9,15826300,0.0,0
2008-06-27,8.86,8.96,8.38,8.61,16330700,0.0,0
2008-06-30,8.71,8.82,8.23,8.71,20115500,0.0,0
2008-07-01,8.59,9.25,8.46,9.25,25908700,0.0,0
2008-07-02,9.43,9.73,8.4,8.46,22226000,0.0,0
2008-07-03,8.64,8.82,7.87,8.23,16172500,0.0,0
2008-07-07,8.34,8.78,7.5,7.7,25609600,0.0,0
2008-07-08,7.75,8.87,7.6,8.74,25200000,0.0,0
2008-07-09,8.74,9.21,7.63,7.67,20843100,0.0,0
2008-07-10,7.67,7.98,7.39,7.57,17945800,0.0,0
2008-07-11,7.19,7.24,6.7,6.82,24724500,0.0,0
2008-07-14,6.93,7.05,5.63,5.69,32923600,0.0,0
2008-07-15,5.41,6.24,5.12,5.49,46462700,0.0,0
2008-07-16,5.7,6.42,5.45,6.4,43952300,0.0,0
2008-07-17,7.09,7.98,6.46,7.82,50837800,0.0,0
2008-07-18,8.18,8.38,7.6,8.07,32474800,0.0,0
2008-07-21,8.43,8.74,8.15,8.3,32679000,0.0,0
2008-07-22,6.73,9.22,6.25,9.1,68811300,0.0,0
2008-07-23,9.0,10.36,8.82,9.42,41887200,0.0,0
2008-07-24,9.28,9.47,7.87,8.11,28496900,0.0,0
2008-07-25,7.92,7.96,7.07,7.25,32394600,0.0,0
2008-07-28,7.23,7.59,6.91,6.93,21676000,0.0,0
2008-07-29,7.01,7.65,6.92,7.6,20292300,0.0,0
2008-07-30,8.0,8.44,7.38,7.78,23014300,0.0,0
2008-07-31,7.67,7.94,7.43,7.57,12241200,0.0,0
2008-08-01,7.53,7.89,7.32,7.61,15844100,0.0,0
2008-08-04,7.61,7.7,7.19,7.5,12723600,0.0,0
2008-08-05,7.77,8.04,7.6,7.93,14794100,0.0,0
2008-08-06,7.9,8.16,7.45,8.1,19784100,0.0,0
2008-08-07,7.79,8.23,7.43,7.56,23184400,0.0,0
2008-08-08,7.59,7.85,7.44,7.7,18921000,0.0,0
2008-08-11,7.69,8.23,7.67,7.97,14639200,0.0,0
2008-08-12,7.81,7.91,6.99,7.23,18092400,0.0,0
2008-08-13,7.17,7.17,6.4,6.68,25295800,0.0,0
2008-08-14,6.65,7.21,6.63,7.09,11824200,0.0,0
2008-08-15,7.27,7.55,7.05,7.27,10003900,0.0,0
2008-08-18,7.33,7.33,6.72,6.75,14985600,0.0,0
2008-08-19,6.74,6.76,6.48,6.62,17645400,0.0,0
2008-08-20,6.65,6.91,6.44,6.83,15302700,0.0,0
2008-08-21,6.65,6.88,6.48,6.51,13563900,0.0,0
2008-08-22,6.73,6.79,6.4,6.77,10364900,0.0,0
2008-08-25,6.49,6.71,6.47,6.53,9959000,0.0,0
2008-08-26,6.56,6.68,6.52,6.68,10985500,0.0,0
2008-08-27,6.6,6.85,6.59,6.76,7784000,0.0,0
2008-08-28,6.9,7.13,6.76,7.12,10617800,0.0,0
2008-08-29,6.98,7.63,6.95,7.4,12843400,0.0,0
2008-09-02,8.29,8.84,8.09,8.82,36412900,0.0,0
2008-09-03,8.7,8.96,8.5,8.78,18897000,0.0,0
2008-09-04,8.6,8.89,8.38,8.38,14924300,0.0,0
2008-09-05,8.12,8.86,8.06,8.86,15419200,0.0,0
2008-09-08,10.1,11.22,9.15,9.77,40573700,0.0,0
2008-09-09,9.54,9.98,9.2,9.22,23706200,0.0,0
2008-09-10,9.45,9.57,8.64,8.98,17378900,0.0,0
2008-09-11,8.19,8.94,8.11,8.88,18245000,0.0,0
2008-09-12,8.64,9.37,8.58,9.33,15471700,0.0,0
2008-09-15,8.6,9.75,8.46,8.96,28313400,0.1,0
2008-09-16,8.26,9.54,8.26,9.46,27133600,0.0,0
2008-09-17,9.24,9.41,8.33,8.75,23857800,0.0,0
2008-09-18,9.02,11.76,7.88,11.76,41575500,0.0,0
2008-09-19,15.38,15.95,12.46,15.95,31386600,0.0,0
2008-09-22,14.66,14.66,12.48,12.56,10714300,0.0,0
2008-09-23,12.33,12.33,11.05,11.05,10432100,0.0,0
2008-09-24,11.43,11.43,10.19,10.49,8033300,0.0,0
2008-09-25,11.11,11.54,10.62,11.15,7630700,0.0,0
2008-09-26,10.39,11.91,10.07,11.28,7889100,0.0,0
2008-09-29,10.32,10.78,6.64,6.64,24921400,0.0,0
2008-09-30,8.05,8.68,7.49,7.73,17028100,0.0,0
2008-10-01,7.93,9.0,7.85,8.42,20431100,0.0,0
2008-10-02,8.86,10.95,8.69,9.54,13198800,0.0,0
2008-10-03,11.07,11.68,9.71,10.89,15198200,0.0,0
2008-10-06,9.67,10.26,8.9,9.77,13982300,0.0,0
2008-10-07,9.87,10.04,8.51,8.57,10041900,0.0,0
2008-10-08,8.2,9.14,7.85,7.85,10697900,0.0,0
2008-10-09,8.35,8.35,6.02,6.12,26110600,0.0,0
2008-10-10,5.63,7.85,5.61,7.36,23495300,0.0,0
2008-10-13,8.76,8.92,6.64,7.12,16200200,0.0,0
2008-10-14,7.99,9.33,7.99,9.16,24236800,0.0,0
2008-10-15,8.81,9.62,8.56,9.4,17225100,0.0,0
2008-10-16,9.37,9.46,8.05,9.23,15458300,0.0,0
2008-10-17,8.8,9.26,8.38,8.67,14593000,0.0,0
2008-10-20,9.02,9.03,8.3,8.57,9708100,0.0,0
2008-10-21,8.3,9.26,8.13,9.09,13161000,0.0,0
2008-10-22,8.46,9.0,8.37,8.64,14518600,0.0,0
2008-10-23,8.63,8.64,7.32,7.88,15830900,0.0,0
2008-10-24,6.44,7.86,6.44,7.2,14203000,0.0,0
2008-10-27,7.17,8.45,7.17,8.01,13509900,0.0,0
2008-10-28,8.42,9.42,8.25,9.34,14647600,0.0,0
2008-10-29,9.25,9.95,9.01,9.15,14584600,0.0,0
2008-10-30,9.62,9.66,8.5,8.74,9908600,0.0,0
2008-10-31,8.62,9.18,8.62,8.93,9788700,0.0,0
2008-11-03,8.78,9.54,8.74,9.48,6798000,0.0,0
2008-11-04,9.66,10.18,9.55,10.08,11238600,0.0,0
2008-11-05,10.38,10.44,9.14,9.25,10277600,0.0,0
2008-11-06,9.08,9.54,8.46,8.56,10741300,0.0,0
2008-11-07,8.75,8.92,8.36,8.83,7644700,0.0,0
2008-11-10,9.0,9.15,8.41,8.6,5878800,0.0,0
2008-11-11,8.38,8.77,8.18,8.31,7705600,0.0,0
2008-11-12,8.18,8.55,7.67,7.76,10404700,0.0,0
2008-11-13,7.79,8.46,7.25,8.44,11345300,0.0,0
2008-11-14,8.18,8.58,7.77,7.79,7578200,0.0,0
2008-11-17,7.81,7.92,7.25,7.3,11114600,0.0,0
2008-11-18,7.38,7.87,7.14,7.72,11712600,0.0,0
2008-11-19,7.61,7.8,6.99,7.02,12025000,0.0,0
2008-11-20,6.93,7.11,6.06,6.17,16931300,0.0,0
2008-11-21,6.44,6.56,5.52,6.4,18836500,0.0,0
2008-11-24,7.05,7.59,6.47,7.55,13384600,0.0,0
2008-11-25,7.68,7.84,7.05,7.58,10100300,0.0,0
2008-11-26,7.31,8.09,7.21,8.05,7882700,0.0,0
2008-11-28,8.02,8.34,7.97,8.21,3418600,0.0,0
2008-12-01,7.97,8.05,6.73,6.82,9665700,0.0,0
2008-12-02,7.13,7.53,6.74,7.45,9995500,0.0,0
2008-12-03,7.0,8.05,6.99,8.01,10568500,0.0,0
2008-12-04,7.69,8.45,7.6,7.82,12350100,0.0,0
2008-12-05,7.6,7.89,7.22,7.7,15271200,0.0,0
2008-12-08,7.89,8.13,7.59,8.04,10243100,0.0,0
2008-12-09,7.84,8.04,7.25,7.34,10816100,0.0,0
2008-12-10,7.45,7.57,7.02,7.22,7694300,0.0,0
2008-12-11,7.2,7.32,6.64,6.68,8742400,0.0,0
2008-12-12,6.45,7.18,6.44,7.14,8101000,0.0,0
2008-12-15,7.23,7.23,6.56,6.73,6245800,0.1,0
2008-12-16,6.88,7.11,6.76,7.09,11796700,0.0,0
2008-12-17,7.0,7.27,6.8,7.14,9490200,0.0,0
2008-12-18,7.23,7.34,6.76,6.81,8145900,0.0,0
2008-12-19,7.02,7.33,6.53,6.57,11216500,0.0,0
2008-12-22,6.61,6.83,6.57,6.68,10655100,0.0,0
2008-12-23,6.73,6.92,6.48,6.61,8112500,0.0,0
2008-12-24,6.63,6.79,6.57,6.72,2298500,0.0,0
2008-12-26,6.79,6.83,6.58,6.71,2919600,0.0,0
2008-12-29,6.71,6.76,6.39,6.47,5662300,0.0,0
2008-12-30,6.52,6.61,6.3,6.43,6726900,0.0,0
2008-12-31,6.39,6.52,6.11,6.48,9690800,0.0,0
2009-01-02,6.61,7.06,6.51,7.01,8917000,0.0,0
2009-01-05,6.91,7.39,6.84,7.1,12011800,0.0,0
2009-01-06,7.22,7.25,6.92,7.19,7774200,0.0,0
2009-01-07,6.96,6.96,6.35,6.44,11288800,0.0,0
2009-01-08,6.39,6.51,6.3,6.35,9061500,0.0,0
2009-01-09,6.42,6.44,5.78,5.84,11123200,0.0,0
2009-01-12,5.87,5.98,5.62,5.72,12211500,0.0,0
2009-01-13,5.65,5.91,5.46,5.87,13708900,0.0,0
2009-01-14,5.64,5.78,5.49,5.58,12115100,0.0,0
2009-01-15,5.59,5.59,4.86,4.97,17505500,0.0,0
2009-01-16,5.17,5.29,4.73,4.94,16682700,0.0,0
2009-01-20,4.56,4.72,3.75,3.75,28075400,0.0,0
2009-01-21,3.9,4.09,3.62,4.03,22708300,0.0,0
2009-01-22,3.97,4.03,3.37,3.46,18333500,0.0,0
2009-01-23,3.3,3.87,3.26,3.8,15574900,0.0,0
2009-01-26,4.0,4.0,3.26,3.34,12730100,0.0,0
2009-01-27,3.67,3.79,3.27,3.32,13169500,0.0,0
2009-01-28,3.67,3.85,3.51,3.71,20610000,0.0,0
2009-01-29,3.66,3.66,3.31,3.37,15145500,0.0,0
2009-01-30,3.32,3.43,2.77,2.82,19374300,0.0,0
2009-02-02,2.77,2.81,2.17,2.38,27033800,0.0,0
2009-02-03,2.55,2.57,2.05,2.13,21499800,0.0,0
2009-02-04,2.16,2.27,1.94,2.04,15650500,0.0,0
2009-02-05,2.04,2.61,1.91,2.31,28918200,0.0,0
2009-02-06,2.47,3.71,2.45,3.42,47574100,0.0,0
2009-02-09,3.83,4.11,3.54,3.78,32890000,0.0,0
2009-02-10,3.79,3.8,2.58,2.64,47192400,0.0,0
2009-02-11,2.88,3.09,2.76,3.0,26647700,0.0,0
2009-02-12,2.75,2.94,2.62,2.91,21358200,0.0,0
2009-02-13,2.85,3.0,2.73,2.75,13067600,0.0,0
2009-02-17,2.43,2.63,2.43,2.52,21006300,0.0,0
2009-02-18,2.66,2.77,2.39,2.44,17067300,0.0,0
2009-02-19,2.44,2.56,2.14,2.15,11355900,0.0,0
2009-02-20,1.99,2.46,1.91,2.31,23819600,0.0,0
2009-02-23,2.53,2.57,2.15,2.19,16631400,0.0,0
2009-02-24,2.17,2.76,2.07,2.68,28278100,0.0,0
2009-02-25,2.61,3.34,2.31,3.06,38851300,0.0,0
2009-02-26,3.37,3.64,2.94,3.21,38114400,0.0,0
2009-02-27,2.69,3.22,2.53,2.79,34587500,0.0,0
2009-03-02,2.59,3.1,2.58,2.91,20402200,0.0,0
2009-03-03,3.1,3.18,2.78,2.79,13501600,0.0,0
2009-03-04,2.93,3.09,2.75,2.87,11990900,0.0,0
2009-03-05,2.76,2.84,2.36,2.53,15967600,0.0,0
2009-03-06,2.57,2.73,2.25,2.39,16812000,0.0,0
2009-03-09,2.39,2.72,2.32,2.66,16474700,0.0,0
2009-03-10,2.82,3.14,2.81,3.05,18503000,0.0,0
2009-03-11,3.19,3.26,2.78,2.88,17108500,0.0,0
2009-03-12,2.83,3.1,2.59,3.06,27849500,0.0,0
2009-03-13,3.1,3.26,2.93,3.17,13825900,0.0,0
2009-03-16,3.34,3.59,3.19,3.22,16162700,0.1,0
2009-03-17,3.22,3.47,3.16,3.42,12704300,0.0,0
2009-03-18,3.37,4.14,3.27,4.14,26273600,0.0,0
2009-03-19,4.29,4.34,3.55,3.63,20488400,0.0,0
2009-03-20,3.73,3.75,3.19,3.36,17175300,0.0,0
2009-03-23,3.74,3.87,3.53,3.76,22101900,0.0,0
2009-03-24,3.58,4.11,3.54,3.75,20627800,0.0,0
2009-03-25,3.77,4.18,3.6,3.92,17119900,0.0,0
2009-03-26,3.95,4.1,3.73,3.8,13933500,0.0,0
2009-03-27,3.65,3.97,3.61,3.61,11550400,0.0,0
2009-03-30,3.39,3.51,3.26,3.26,11894400,0.0,0
2009-03-31,3.45,3.6,3.25,3.56,11869100,0.0,0
2009-04-01,3.53,3.86,3.43,3.69,13533200,0.0,0
2009-04-02,3.97,4.0,3.61,3.72,14059300,0.0,0
2009-04-03,3.62,3.81,3.42,3.81,11442700,0.0,0
2009-04-06,3.48,3.61,3.43,3.54,11120900,0.0,0
2009-04-07,3.39,3.46,3.34,3.34,8528400,0.0,0
2009-04-08,3.39,3.44,3.08,3.2,9464700,0.0,0
2009-04-09,3.68,3.74,3.25,3.6,24425900,0.0,0
2009-04-13,3.53,4.29,3.42,4.21,24725600,0.0,0
2009-04-14,4.26,4.49,3.89,3.95,24231400,0.0,0
2009-04-15,3.89,4.19,3.76,4.18,13220200,0.0,0
2009-04-16,4.32,5.89,4.19,5.6,74214400,0.0,0
