Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,25.44,25.91,24.95,25.2,358500,0.0,0
2008-01-03,25.28,25.75,24.98,24.99,418600,0.0,0
2008-01-04,24.71,24.71,24.3,24.56,407300,0.0,0
2008-01-07,24.56,24.6,23.95,24.32,486600,0.0,0
2008-01-08,24.36,24.72,23.32,23.34,359300,0.0,0
2008-01-09,23.23,23.79,23.15,23.7,466500,0.0,0
2008-01-10,23.57,24.1,23.44,23.86,375000,0.0,0
2008-01-11,22.91,23.1,21.76,21.98,659900,0.0,0
2008-01-14,22.09,22.09,21.5,21.57,608900,0.0,0
2008-01-15,21.42,21.51,20.46,20.94,694400,0.0,0
2008-01-16,20.81,21.7,20.75,21.36,507000,0.0,0
2008-01-17,21.41,21.59,20.95,21.13,497600,0.0,0
2008-01-18,21.03,21.38,20.44,20.74,632000,0.0,0
2008-01-22,20.49,22.08,20.49,20.91,753400,0.0,0
2008-01-23,20.31,21.94,20.31,21.83,938800,0.0,0
2008-01-24,21.81,22.51,21.51,22.34,728800,0.0,0
2008-01-25,22.61,22.78,22.01,22.22,350400,0.0,0
2008-01-28,22.19,22.95,21.76,22.85,344600,0.0,0
2008-01-29,23.09,23.45,22.54,23.19,440500,0.0,0
2008-01-30,23.07,23.64,22.74,22.83,304500,0.0,0
2008-01-31,22.49,23.6,22.29,23.17,584100,0.0,0
2008-02-01,23.22,24.01,23.13,23.84,374200,0.04,0
2008-02-04,23.85,23.89,23.36,23.78,418900,0.0,0
2008-02-05,23.37,23.72,23.15,23.22,300100,0.0,0
2008-02-06,23.44,23.7,22.9,23.18,252700,0.0,0
2008-02-07,23.09,23.59,22.9,23.38,366500,0.0,0
2008-02-08,23.3,23.57,22.89,22.91,321600,0.0,0
2008-02-11,22.81,23.2,22.49,22.93,273000,0.0,0
2008-02-12,23.01,23.46,22.79,23.12,211100,0.0,0
2008-02-13,23.37,23.82,23.37,23.78,192000,0.0,0
2008-02-14,23.78,23.92,22.9,23.16,258900,0.0,0
2008-02-15,23.01,23.28,22.79,23.15,232500,0.0,0
2008-02-19,23.48,23.6,22.88,23.09,284100,0.0,0
2008-02-20,23.0,23.55,22.97,23.47,226100,0.0,0
2008-02-21,23.66,23.85,22.94,23.01,286600,0.0,0
2008-02-22,23.03,23.37,22.9,23.34,358700,0.0,0
2008-02-25,23.36,23.63,23.01,23.53,265900,0.0,0
2008-02-26,23.49,24.04,23.48,23.76,348900,0.0,0
2008-02-27,23.52,24.03,23.45,23.71,281200,0.0,0
2008-02-28,23.58,23.71,23.22,23.44,197800,0.0,0
2008-02-29,23.22,23.39,22.81,22.95,389400,0.0,0
2008-03-03,22.95,23.12,22.73,23.01,272200,0.0,0
2008-03-04,22.69,23.18,22.52,23.05,288700,0.0,0
2008-03-05,23.19,23.34,22.71,22.9,220600,0.0,0
2008-03-06,22.75,22.93,22.2,22.2,238500,0.0,0
2008-03-07,21.93,23.15,21.9,22.9,301500,0.0,0
2008-03-10,22.85,22.85,22.2,22.28,306800,0.0,0
2008-03-11,22.88,23.36,22.61,23.36,262300,0.0,0
2008-03-12,23.5,23.52,22.9,22.97,260700,0.0,0
2008-03-13,22.71,23.47,22.43,23.25,275200,0.0,0
2008-03-14,23.41,23.54,22.41,23.18,503000,0.0,0
2008-03-17,22.9,23.47,22.9,23.09,304200,0.0,0
2008-03-18,23.64,24.43,23.32,24.29,400900,0.0,0
2008-03-19,24.49,24.74,24.14,24.14,312900,0.0,0
2008-03-20,24.57,24.99,24.17,24.78,831100,0.0,0
2008-03-24,24.88,26.02,24.77,25.82,291300,0.0,0
2008-03-25,25.94,25.98,25.31,25.85,330600,0.0,0
2008-03-26,25.74,25.9,25.18,25.49,185300,0.0,0
2008-03-27,25.6,25.86,25.1,25.2,188800,0.0,0
2008-03-28,25.34,25.34,24.78,24.97,193600,0.0,0
2008-03-31,25.09,25.58,24.63,25.19,278500,0.0,0
2008-04-01,25.55,26.48,25.55,26.48,283900,0.0,0
2008-04-02,26.48,26.95,26.23,26.44,152300,0.0,0
2008-04-03,26.37,26.53,25.67,25.91,276200,0.0,0
2008-04-04,25.97,25.97,25.64,25.96,262400,0.0,0
2008-04-07,26.05,26.18,25.88,25.99,497900,0.0,0
2008-04-08,25.87,26.18,25.62,25.83,198900,0.0,0
2008-04-09,25.94,26.0,25.31,25.47,291400,0.0,0
2008-04-10,25.43,25.92,25.24,25.6,182200,0.0,0
2008-04-11,25.39,25.66,24.73,24.77,240300,0.0,0
2008-04-14,24.73,25.01,24.38,24.42,204900,0.0,0
2008-04-15,24.6,25.42,24.54,24.98,351400,0.0,0
2008-04-16,25.2,25.56,24.83,24.93,347800,0.0,0
2008-04-17,24.87,25.17,24.49,25.06,272200,0.0,0
2008-04-18,25.44,25.89,25.42,25.85,257800,0.0,0
2008-04-21,25.74,25.74,25.43,25.7,259900,0.0,0
2008-04-22,25.53,25.53,24.5,24.88,521100,0.0,0
2008-04-23,25.47,26.06,25.04,25.45,463900,0.0,0
2008-04-24,25.51,26.32,25.09,26.18,258700,0.0,0
2008-04-25,26.42,26.69,26.05,26.35,215200,0.0,0
2008-04-28,26.41,26.74,26.31,26.59,273000,0.0,0
2008-04-29,26.59,26.73,26.37,26.51,180200,0.0,0
2008-04-30,26.62,27.39,26.59,26.75,306400,0.0,0
2008-05-01,26.75,27.53,26.68,27.32,225800,0.0,0
2008-05-02,27.53,27.62,27.02,27.17,227400,0.0,0
2008-05-05,27.03,27.03,26.4,26.55,237500,0.0,0
2008-05-06,26.51,27.15,26.15,26.84,435900,0.04,0
2008-05-07,26.96,27.04,25.85,25.95,196900,0.0,0
2008-05-08,26.06,26.11,25.66,26.03,181900,0.0,0
2008-05-09,25.97,26.29,25.55,26.03,172400,0.0,0
2008-05-12,26.23,27.09,26.21,27.08,222200,0.0,0
2008-05-13,27.06,28.2,26.94,28.03,450400,0.0,0
2008-05-14,28.22,28.3,27.89,27.97,227900,0.0,0
2008-05-15,27.87,28.4,27.72,28.34,226100,0.0,0
2008-05-16,28.35,28.35,27.86,28.24,578500,0.0,0
2008-05-19,28.08,28.33,27.88,28.01,267400,0.0,0
2008-05-20,27.75,28.21,27.75,28.06,396700,0.0,0
2008-05-21,28.12,28.24,27.18,27.4,314400,0.0,0
2008-05-22,27.39,27.78,27.39,27.69,229700,0.0,0
2008-05-23,27.56,27.56,27.05,27.25,203800,0.0,0
2008-05-27,27.28,27.78,27.2,27.71,278900,0.0,0
2008-05-28,27.84,27.91,27.35,27.84,181700,0.0,0
2008-05-29,27.84,28.8,27.68,28.36,307900,0.0,0
2008-05-30,28.47,28.47,27.79,27.84,311700,0.0,0
2008-06-02,27.73,27.83,27.33,27.65,386300,0.0,0
2008-06-03,27.76,27.84,27.32,27.52,372800,0.0,0
2008-06-04,27.52,27.93,27.33,27.85,301200,0.0,0
2008-06-05,27.81,28.51,27.81,28.44,180900,0.0,0
2008-06-06,28.29,28.29,27.17,27.29,229800,0.0,0
2008-06-09,27.44,27.5,26.71,27.06,194600,0.0,0
2008-06-10,26.92,27.78,26.83,27.7,245000,0.0,0
2008-06-11,27.56,27.64,26.67,26.77,203300,0.0,0
2008-06-12,27.02,27.56,26.77,26.97,132700,0.0,0
2008-06-13,27.29,27.8,27.15,27.53,185200,0.0,0
2008-06-16,27.29,27.82,27.03,27.8,164600,0.0,0
2008-06-17,27.81,27.86,27.51,27.66,193800,0.0,0
2008-06-18,27.58,27.78,27.05,27.4,251800,0.0,0
2008-06-19,27.44,27.7,27.08,27.67,184200,0.0,0
2008-06-20,27.55,27.62,26.4,26.59,565200,0.0,0
2008-06-23,26.74,26.89,25.57,25.69,368000,0.0,0
2008-06-24,25.53,25.77,24.84,25.14,402000,0.0,0
2008-06-25,25.19,26.15,25.13,25.46,435200,0.0,0
2008-06-26,25.45,25.46,24.64,24.86,292900,0.0,0
2008-06-27,24.77,24.95,24.46,24.68,468400,0.0,0
2008-06-30,24.73,24.83,24.15,24.18,270500,0.0,0
2008-07-01,23.95,24.8,23.95,24.58,361600,0.0,0
2008-07-02,24.65,24.96,24.36,24.41,463500,0.0,0
2008-07-03,24.4,24.84,24.21,24.32,162200,0.0,0
2008-07-07,24.51,24.58,23.94,24.31,338600,0.0,0
2008-07-08,24.39,25.06,24.09,25.06,390800,0.0,0
2008-07-09,25.15,25.15,24.45,24.6,278900,0.0,0
2008-07-10,24.46,25.19,24.21,24.42,311800,0.0,0
2008-07-11,24.15,24.15,23.09,23.65,532300,0.0,0
2008-07-14,23.85,23.85,22.68,23.06,460600,0.0,0
2008-07-15,22.81,23.06,22.33,22.94,678400,0.0,0
2008-07-16,22.97,23.84,22.75,23.45,433600,0.0,0
2008-07-17,23.53,24.85,23.45,24.73,341500,0.0,0
2008-07-18,24.77,24.85,23.96,24.4,276800,0.0,0
2008-07-21,24.52,24.73,24.13,24.43,200800,0.0,0
2008-07-22,24.25,25.63,24.22,25.59,494100,0.0,0
2008-07-23,25.5,26.44,25.29,25.82,347900,0.0,0
2008-07-24,25.91,25.91,25.28,25.51,241900,0.0,0
2008-07-25,25.71,26.03,25.43,25.6,180500,0.0,0
2008-07-28,25.43,25.81,25.18,25.47,221100,0.0,0
2008-07-29,25.62,26.5,25.56,26.48,187300,0.0,0
2008-07-30,26.66,27.05,26.03,26.55,243500,0.0,0
2008-07-31,26.2,26.66,25.65,25.68,305700,0.0,0
2008-08-01,25.86,26.4,25.18,26.01,232200,0.0,0
2008-08-04,26.15,26.39,25.28,26.06,205700,0.0,0
2008-08-05,26.32,26.99,26.17,26.94,293000,0.0,0
2008-08-06,26.98,27.29,26.5,27.29,246700,0.0,0
2008-08-07,27.21,27.28,26.28,26.36,218900,0.0,0
2008-08-08,26.47,27.51,26.39,27.45,237300,0.0,0
2008-08-11,27.47,28.42,27.37,28.36,275100,0.0,0
2008-08-12,28.44,28.71,28.03,28.34,244600,0.0,0
2008-08-13,27.98,28.26,27.4,27.95,250800,0.0,0
2008-08-14,27.84,28.95,27.69,28.83,257900,0.0,0
2008-08-15,28.9,29.32,28.62,28.86,332500,0.0,0
2008-08-18,29.05,29.28,28.21,28.4,307500,0.0,0
2008-08-19,28.37,28.55,27.11,27.29,381700,0.0,0
2008-08-20,27.48,27.78,26.13,26.26,457000,0.0,0
2008-08-21,25.14,26.19,24.51,24.59,813400,0.0,0
2008-08-22,24.62,25.09,24.35,24.82,484600,0.0,0
2008-08-25,24.56,24.62,23.68,24.12,447500,0.0,0
2008-08-26,24.08,24.32,23.62,24.04,552900,0.0,0
2008-08-27,24.15,24.85,23.85,24.69,458200,0.0,0
2008-08-28,24.81,25.51,24.62,25.46,305400,0.0,0
