Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,53.51,53.73,52.68,53.32,447200,0.0,0.0
2008-01-03,53.08,54.66,53.03,54.42,1155200,0.0,0.0
2008-01-04,53.81,53.81,51.36,51.69,1674800,0.0,0.0
2008-01-07,51.09,51.26,49.97,51.12,1174800,0.0,0.0
2008-01-08,51.77,52.28,50.06,50.07,896800,0.0,0.0
2008-01-09,49.73,50.59,48.92,50.31,840800,0.0,0.0
2008-01-10,50.22,51.77,49.93,51.52,1052000,0.0,0.0
2008-01-11,49.96,51.29,49.64,50.62,1247600,0.0,0.0
2008-01-14,51.44,51.9,50.98,51.8,681200,0.0,0.0
2008-01-15,50.98,51.09,48.72,48.78,1743600,0.0,0.0
2008-01-16,47.78,48.2,45.48,45.48,2104800,0.0,0.0
2008-01-17,45.7,46.24,43.34,43.65,2098400,0.0,0.0
2008-01-18,46.41,47.82,45.19,46.69,2329600,0.0,0.0
2008-01-22,39.44,42.82,39.44,42.09,4839600,0.0,0.0
2008-01-23,40.51,43.83,40.11,43.8,2138400,0.0,0.0
2008-01-24,44.15,45.55,43.95,44.98,2029600,0.0,0.0
2008-01-25,47.61,47.88,46.47,46.97,1740000,0.0,0.0
2008-01-28,45.6,47.6,44.98,47.0,1628400,0.0,0.0
2008-01-29,47.19,48.09,46.37,47.93,2292000,0.0,0.0
2008-01-30,48.79,49.53,47.88,48.77,1814000,0.0,0.0
2008-01-31,48.93,51.7,48.72,51.7,1833200,0.0,0.0
2008-02-01,57.17,57.89,55.27,56.03,3701600,0.0,0.0
2008-02-04,55.9,55.9,54.76,54.91,1495600,0.0,0.0
2008-02-05,53.95,54.85,53.32,53.55,2101600,0.0,0.0
2008-02-06,54.0,54.16,51.43,52.01,3096000,0.0,0.0
2008-02-07,52.0,53.49,51.48,53.01,2094400,0.0,0.0
2008-02-08,51.93,53.06,51.83,52.51,1621600,0.0,0.0
2008-02-11,52.04,52.76,51.35,52.35,1520800,0.0,0.0
2008-02-12,54.12,55.14,53.78,54.4,1790400,0.0,0.0
2008-02-13,55.27,55.77,54.03,55.77,1003200,0.0,0.0
2008-02-14,56.45,56.64,54.77,55.12,1135200,0.0,0.0
2008-02-15,54.86,55.42,54.51,55.34,663200,0.0,0.0
2008-02-19,57.67,58.94,57.43,58.09,2131200,0.0,0.0
2008-02-20,56.03,57.98,56.03,57.79,1000000,0.84,0.0
2008-02-21,58.62,59.22,57.82,57.88,1250800,0.0,0.0
2008-02-22,58.25,58.65,56.6,58.5,1159600,0.0,0.0
