Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.14,27.36,26.45,26.71,811600,0.11,0
2008-01-03,26.81,27.03,26.11,26.2,706700,0.0,0
2008-01-04,25.8,26.24,24.81,24.88,1469200,0.0,0
2008-01-07,24.95,25.4,24.68,24.99,1497300,0.0,0
2008-01-08,25.12,25.51,24.11,24.17,1545500,0.0,0
2008-01-09,24.2,24.37,23.35,24.29,1711300,0.0,0
2008-01-10,24.06,25.22,23.86,24.83,1651900,0.0,0
2008-01-11,24.67,25.08,23.81,24.57,1272700,0.0,0
2008-01-14,24.72,25.13,24.25,24.84,1054300,0.0,0
2008-01-15,24.42,24.67,23.57,23.59,1887700,0.0,0
2008-01-16,23.59,25.01,23.32,24.6,1942200,0.0,0
2008-01-17,24.65,24.88,23.49,23.6,2369700,0.0,0
2008-01-18,23.72,24.42,23.09,23.37,1724600,0.0,0
2008-01-22,22.16,24.26,22.07,23.66,1257100,0.0,0
2008-01-23,23.21,24.49,23.04,24.41,1824300,0.0,0
2008-01-24,24.66,24.66,21.31,21.84,4586300,0.0,0
2008-01-25,22.4,22.56,21.87,22.14,3156200,0.0,0
2008-01-28,22.15,22.79,21.39,22.79,3008800,0.0,0
2008-01-29,23.31,24.36,22.43,23.25,2866900,0.0,0
2008-01-30,23.16,23.5,22.89,22.99,2460300,0.0,0
2008-01-31,22.61,23.63,22.21,23.48,2823100,0.0,0
2008-02-01,23.57,24.24,23.28,24.18,2096700,0.0,0
2008-02-04,24.77,24.92,23.45,23.54,2442600,0.0,0
2008-02-05,23.14,23.55,22.34,22.38,2080900,0.0,0
2008-02-06,22.45,22.79,21.73,21.82,1956300,0.0,0
2008-02-07,21.78,22.58,21.77,22.07,2943200,0.0,0
2008-02-08,22.04,22.18,21.55,21.69,1862000,0.0,0
2008-02-11,21.75,22.08,21.46,21.95,1455300,0.0,0
2008-02-12,22.1,22.11,21.19,21.58,1589000,0.0,0
2008-02-13,21.75,22.01,21.4,21.75,1387800,0.0,0
2008-02-14,21.73,21.8,21.27,21.41,1415300,0.0,0
2008-02-15,21.26,21.87,21.16,21.62,1919300,0.0,0
2008-02-19,21.73,21.93,20.73,20.81,1640000,0.0,0
2008-02-20,20.78,21.88,20.56,21.43,2593900,0.0,0
