Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-03-08,195.25,195.25,195.25,195.25,17,0,0
2016-08-03,215.5,215.5,215.5,215.5,0,0,0
2016-08-22,216.01,216.01,216.01,216.01,15,0,0
2016-08-23,216.01,216.01,216.01,216.01,0,0,0
2016-08-24,210.01,210.01,210.01,210.01,20,0,0
2016-08-25,210.01,210.01,210.01,210.01,0,0,0
2016-08-26,210.01,210.01,210.01,210.01,0,0,0
2016-08-29,210.01,210.01,210.01,210.01,0,0,0
2016-08-30,210.01,210.01,210.01,210.01,0,0,0
2016-08-31,210.01,210.01,210.01,210.01,0,0,0
2016-09-01,210.01,210.01,210.01,210.01,0,0,0
2016-09-02,210.01,210.01,210.01,210.01,0,0,0
2016-09-06,210.01,210.01,210.01,210.01,0,0,0
2016-09-07,210.01,210.01,210.01,210.01,0,0,0
2016-09-08,241.0,241.0,241.0,241.0,70,0,0
2016-09-09,228.0,244.0,228.0,244.0,33,0,0
2016-09-12,244.0,244.0,244.0,244.0,20,0,0
2016-09-13,244.0,244.0,244.0,244.0,40,0,0
2016-09-14,244.0,244.0,244.0,244.0,0,0,0
2016-09-15,227.2,240.0,227.2,240.0,17,0,0
2016-09-16,240.0,240.0,240.0,240.0,0,0,0
2016-09-19,240.0,240.0,240.0,240.0,0,0,0
2016-09-20,240.0,240.0,240.0,240.0,0,0,0
2016-09-21,240.0,240.0,240.0,240.0,0,0,0
2016-09-22,240.0,240.0,240.0,240.0,0,0,0
2016-09-23,240.0,240.0,240.0,240.0,13,0,0
2016-09-26,240.0,240.0,240.0,240.0,0,0,0
2016-09-27,228.11,228.11,228.11,228.11,15,0,0
2016-09-28,228.11,228.11,228.11,228.11,0,0,0
2016-09-29,240.0,240.0,240.0,240.0,16,0,0
2016-09-30,240.0,240.0,240.0,240.0,1,0,0
2016-10-03,233.52,233.52,233.52,233.52,7,0,0
2016-10-04,229.0,229.0,229.0,229.0,5,0,0
2016-10-05,232.2,232.2,232.2,232.2,19,0,0
2016-10-06,240.0,240.0,240.0,240.0,11,0,0
2016-10-07,240.0,240.0,240.0,240.0,0,0,0
2016-10-10,240.0,240.0,240.0,240.0,0,0,0
2016-10-11,240.0,240.0,240.0,240.0,0,0,0
2016-10-12,240.0,240.0,240.0,240.0,0,0,0
2016-10-13,240.0,240.0,240.0,240.0,0,0,0
2016-10-14,240.0,240.0,240.0,240.0,0,0,0
2016-10-17,240.0,240.0,240.0,240.0,0,0,0
2016-10-18,240.0,240.0,240.0,240.0,0,0,0
2016-10-19,240.0,240.0,240.0,240.0,0,0,0
2016-10-20,240.0,240.0,240.0,240.0,0,0,0
2016-10-21,240.0,240.0,240.0,240.0,0,0,0
2016-10-24,240.0,240.0,240.0,240.0,0,0,0
2016-10-25,240.0,240.0,240.0,240.0,0,0,0
2016-10-26,240.0,240.0,240.0,240.0,0,0,0
2016-10-27,240.0,240.0,240.0,240.0,0,0,0
2016-10-28,240.0,240.0,240.0,240.0,0,0,0
2016-10-31,240.0,240.0,240.0,240.0,0,0,0
2016-11-01,240.0,240.0,240.0,240.0,0,0,0
2016-11-02,240.0,240.0,240.0,240.0,0,0,0
2016-11-03,240.0,240.0,240.0,240.0,0,0,0
2016-11-04,240.0,240.0,240.0,240.0,0,0,0
2016-11-07,240.0,240.0,240.0,240.0,0,0,0
2016-11-08,240.0,240.0,240.0,240.0,0,0,0
2016-11-09,240.0,240.0,240.0,240.0,0,0,0
2016-11-10,240.0,240.0,240.0,240.0,0,0,0
2016-11-11,240.0,240.0,240.0,240.0,0,0,0
2016-11-14,240.0,240.0,240.0,240.0,0,0,0
2016-11-15,240.0,240.0,240.0,240.0,0,0,0
2016-11-16,240.0,240.0,240.0,240.0,0,0,0
2016-11-17,240.0,240.0,240.0,240.0,0,0,0
2016-11-18,240.0,240.0,240.0,240.0,0,0,0
2016-11-21,240.0,240.0,240.0,240.0,0,0,0
2016-11-22,240.0,240.0,240.0,240.0,0,0,0
2016-11-23,240.0,240.0,240.0,240.0,0,0,0
2016-11-25,240.0,240.0,240.0,240.0,0,0,0
2016-11-28,240.0,240.0,240.0,240.0,0,0,0
2016-11-29,240.0,240.0,240.0,240.0,0,0,0
2016-11-30,240.0,240.0,240.0,240.0,0,0,0
2016-12-01,240.0,240.0,240.0,240.0,0,0,0
2016-12-02,240.0,240.0,240.0,240.0,0,0,0
2016-12-05,240.0,240.0,240.0,240.0,0,0,0
2016-12-06,240.0,240.0,240.0,240.0,0,0,0
2016-12-07,240.0,240.0,240.0,240.0,0,0,0
2016-12-08,240.0,240.0,240.0,240.0,0,0,0
2016-12-09,240.0,240.0,240.0,240.0,0,0,0
2016-12-12,240.0,240.0,240.0,240.0,0,0,0
2016-12-13,240.0,240.0,240.0,240.0,0,0,0
2016-12-14,240.0,240.0,240.0,240.0,0,0,0
2016-12-15,240.0,240.0,240.0,240.0,0,0,0
2016-12-16,240.0,240.0,240.0,240.0,0,0,0
2016-12-19,240.0,240.0,240.0,240.0,0,0,0
2016-12-20,240.0,240.0,240.0,240.0,0,0,0
2016-12-21,240.0,240.0,240.0,240.0,0,0,0
2016-12-22,240.0,240.0,240.0,240.0,0,0,0
2016-12-23,240.0,240.0,240.0,240.0,0,0,0
2017-02-21,255.0,255.0,255.0,255.0,0,0,0
2017-02-22,255.0,255.0,255.0,255.0,3,0,0
2017-03-10,255.0,255.0,255.0,255.0,0,0,0
2017-03-13,230.0,230.0,230.0,230.0,20,0,0
