Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,71.0,72.0,69.0,70.8,153592,0,0
2008-01-03,70.7,71.62,69.32,70.7,322292,0,0
2008-01-04,70.6,71.5,70.0,70.0,100595,0,0
2008-01-07,68.06,70.0,68.0,68.2,363148,0,0
2008-01-08,68.1,70.98,68.1,70.0,127647,0,0
2008-01-09,70.1,70.3,66.0,69.0,209034,0,0
2008-01-10,68.86,68.98,68.29,68.65,209063,0,0
2008-01-11,68.25,69.0,66.35,68.0,303802,0,0
2008-01-14,67.8,67.8,65.3,66.8,160024,0,0
2008-01-15,66.0,66.0,64.1,65.0,215526,0,0
2008-01-16,64.0,64.0,61.55,62.05,547523,0,0
2008-01-17,62.2,63.9,62.1,63.9,256674,0,0
2008-01-18,62.9,63.5,62.5,63.0,317204,0,0
2008-01-22,61.4,66.19,60.0,62.0,842854,0,0
2008-01-23,62.5,64.53,61.49,64.53,207897,0,0
2008-01-24,64.4,64.5,62.11,63.6,361183,0,0
2008-01-25,63.6,64.9,63.22,64.9,667683,0,0
2008-01-28,64.01,64.01,62.0,62.95,316060,0,0
2008-01-29,63.58,63.58,61.0,61.65,476336,0,0
2008-01-30,61.49,61.91,61.0,61.0,155577,0,0
2008-01-31,61.0,63.0,61.0,61.5,328043,0,0
2008-02-01,61.99,63.89,61.0,62.0,325061,0,0
2008-02-04,62.6,64.58,62.59,63.6,248744,0,0
2008-02-05,63.54,63.61,61.0,61.4,335402,0,0
2008-02-06,60.95,61.2,57.87,59.1,538884,0,0
2008-02-07,59.1,59.5,55.25,56.55,411246,0,0
2008-02-08,56.6,58.26,56.5,58.26,1399486,0,0
2008-02-11,58.55,59.0,57.05,57.05,232324,0,0
2008-02-12,57.0,57.11,55.05,56.11,297268,0,0
2008-02-13,56.8,57.0,55.1,55.27,667010,0,0
2008-02-14,55.75,56.99,55.26,56.99,518162,0,0
2008-02-15,56.49,58.0,52.0,53.5,384317,0,0
2008-02-19,56.0,56.5,54.55,55.5,733002,0,0
2008-02-20,55.1,55.49,54.0,54.6,311680,0,0
2008-02-21,55.0,55.75,52.25,54.81,599496,0,0
2008-02-22,54.25,54.64,53.99,54.2,210719,0,0
2008-02-25,54.5,54.9,54.2,54.7,189682,0,0
2008-02-26,54.7,57.26,54.59,56.8,787021,0,0
2008-02-27,58.0,59.95,56.2,59.95,312568,0,0
2008-02-28,59.9,62.01,57.0,57.66,272133,0,0
2008-02-29,56.0,57.5,54.85,57.5,480290,0,0
2008-03-03,55.55,57.4,53.51,55.0,244314,0,0
2008-03-04,54.72,55.59,53.99,54.0,878362,0,0
2008-03-05,54.0,54.68,52.01,53.0,1622509,0,0
2008-03-06,53.0,53.8,52.1,53.0,463342,0,0
2008-03-07,52.8,53.99,52.75,53.0,1289408,0,0
2008-03-10,53.0,54.25,53.0,54.0,282874,0,0
2008-03-11,54.0,55.63,48.04,54.8,800744,0,0
2008-03-12,55.02,56.68,55.02,56.68,617320,0,0
2008-03-13,56.5,56.95,55.5,56.95,1513371,0,0
2008-03-14,56.69,57.49,56.0,57.25,793707,0,0
