Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,51.24,51.24,49.82,50.37,491000,0.0,0
2008-01-03,50.83,50.98,50.04,50.55,341800,0.0,0
2008-01-04,50.04,50.61,49.37,49.38,589600,0.0,0
2008-01-07,49.59,50.17,49.27,49.89,1090700,0.0,0
2008-01-08,50.4,51.22,49.85,50.03,830100,0.0,0
2008-01-09,49.91,50.56,49.49,50.1,878200,0.0,0
2008-01-10,50.04,51.35,49.63,50.66,583000,0.0,0
2008-01-11,50.48,50.83,50.06,50.14,675800,0.0,0
2008-01-14,50.22,50.88,50.16,50.72,589100,0.0,0
2008-01-15,50.43,50.57,49.01,49.8,775900,0.0,0
2008-01-16,49.59,50.87,49.5,50.28,515900,0.0,0
2008-01-17,49.55,49.55,46.52,47.07,1235400,0.0,0
2008-01-18,47.28,47.42,45.75,46.22,1090000,0.0,0
2008-01-22,45.36,48.65,45.29,47.35,1159300,0.0,0
2008-01-23,46.85,47.74,46.32,47.43,982500,0.0,0
2008-01-24,47.65,48.22,47.04,47.6,780500,0.0,0
2008-01-25,48.17,48.49,47.07,47.37,619000,0.0,0
2008-01-28,47.48,48.98,47.07,48.85,777200,0.0,0
2008-01-29,48.83,50.15,48.16,49.5,594500,0.0,0
2008-01-30,49.13,50.37,48.47,48.67,711400,0.0,0
2008-01-31,47.92,49.3,47.55,48.78,1464500,0.0,0
2008-02-01,49.39,50.89,49.25,50.25,787100,0.0,0
2008-02-04,50.75,50.75,50.09,50.09,490200,0.0,0
2008-02-05,49.8,51.64,49.66,49.76,693700,0.0,0
2008-02-06,50.23,50.45,48.36,48.61,1132600,0.0,0
2008-02-07,47.97,48.96,47.79,48.34,581600,0.0,0
2008-02-08,48.31,49.45,46.95,47.22,1030600,0.0,0
2008-02-11,47.22,47.32,45.61,45.86,890300,0.0,0
2008-02-12,45.93,46.92,45.36,45.82,1186600,0.0,0
2008-02-13,46.55,46.78,45.47,45.92,844600,0.0,0
2008-02-14,45.75,45.82,45.15,45.28,1536000,0.0,0
2008-02-15,46.25,48.69,46.25,47.91,1050900,0.0,0
2008-02-19,47.55,48.21,46.92,47.12,586900,0.0,0
2008-02-20,46.38,47.14,46.05,46.94,1157800,0.0,0
2008-02-21,46.87,47.09,46.08,46.22,737200,0.0,0
2008-02-22,46.51,47.6,46.03,47.6,876800,0.0,0
2008-02-25,47.49,47.51,46.37,46.95,430500,0.0,0
2008-02-26,46.42,48.42,46.42,48.34,612100,0.0,0
2008-02-27,48.09,49.01,47.84,48.22,403600,0.0,0
2008-02-28,47.96,48.08,46.37,46.96,325100,0.0,0
2008-02-29,46.24,47.57,46.24,46.98,796800,0.0,0
2008-03-03,47.07,47.34,45.58,46.09,380300,0.0,0
2008-03-04,45.87,46.48,45.49,46.16,615100,0.0,0
2008-03-05,46.48,46.58,45.38,45.8,393900,0.0,0
2008-03-06,45.87,46.09,45.38,45.45,448300,0.0,0
2008-03-07,44.84,46.03,44.76,45.53,453500,0.0,0
