Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,41.0,41.0,37.0,37.0,0,0,0
2008-01-03,40.5,40.5,33.5,33.5,1,0,0
2008-01-04,41.0,41.0,41.0,41.0,200,0,0
2008-01-07,5.0,5.0,5.0,5.0,165,0,0
2008-01-08,40.75,40.75,37.25,37.25,0,0,0
2008-01-09,40.75,40.75,37.0,37.0,0,0,0
2008-01-10,37.0,37.0,37.0,37.0,200,0,0
2008-01-11,41.0,41.0,37.0,37.0,0,0,0
2008-01-14,41.0,41.0,37.5,37.5,0,0,0
2008-01-15,40.75,40.75,35.0,35.0,0,0,0
2008-01-16,40.75,40.75,33.75,33.75,1,0,0
2008-01-17,44.0,44.0,36.0,36.0,0,0,0
2008-01-18,37.0,37.0,37.0,37.0,200,0,0
2008-01-22,5.0,5.0,5.0,5.0,500,0,0
2008-01-23,44.0,44.0,35.0,35.0,0,0,0
2008-01-24,44.0,44.0,34.0,34.0,0,0,0
2008-01-25,41.0,41.0,32.0,32.0,0,0,0
2008-01-28,44.0,44.0,33.25,33.25,0,0,0
2008-01-29,42.0,42.0,34.0,34.0,0,0,0
2008-01-30,41.5,41.5,34.25,34.25,0,0,0
2008-01-31,41.75,41.75,33.25,33.25,0,0,0
2008-02-01,5.03,5.03,5.03,5.03,250,0,0
2008-02-04,40.0,40.0,31.5,31.5,0,0,0
2008-02-05,41.75,41.75,26.75,26.75,0,0,0
2008-02-06,40.5,40.5,34.0,34.0,0,0,0
2008-02-07,41.75,41.75,34.0,34.0,0,0,0
2008-02-08,41.75,41.75,32.0,32.0,0,0,0
2008-02-11,41.25,41.25,34.0,34.0,0,0,0
2008-02-12,39.5,39.5,33.0,33.0,0,0,0
2008-02-13,39.75,39.75,34.0,34.0,0,0,0
2008-02-14,39.5,39.5,35.0,35.0,0,0,0
2008-02-15,39.75,39.75,35.0,35.0,0,0,0
2008-02-19,39.25,39.25,34.5,34.5,1,0,0
2008-02-20,39.5,39.5,31.0,31.0,0,0,0
2008-02-21,5.9,5.9,5.9,5.9,666,0,0
2008-02-22,39.75,39.75,32.75,32.75,0,0,0
2008-02-25,40.0,40.0,36.0,36.0,0,0,0
2008-02-26,40.0,40.0,35.0,35.0,0,0,0
2008-02-27,6.0,6.0,6.0,6.0,1200,0,0
2008-02-28,39.75,39.75,35.5,35.5,0,0,0
2008-02-29,39.5,39.5,35.5,35.5,0,0,0
2008-03-03,6.07,6.07,6.07,6.07,250,0,0
2008-03-04,41.0,41.0,35.0,35.0,0,0,0
2008-03-05,39.75,39.75,36.0,36.0,0,0,0
2008-03-06,5.84,5.84,5.84,5.84,850,0,0
2008-03-07,41.0,41.0,34.0,34.0,0,0,0
2008-03-10,5.54,5.54,5.54,5.54,500,0,0
2008-03-11,39.75,39.75,35.5,35.5,0,0,0
2008-03-12,40.0,40.0,35.5,35.5,0,0,0
2008-03-13,35.5,35.5,35.0,35.0,300,0,0
2008-03-14,36.5,36.5,36.5,36.5,100,0,0
2008-03-18,38.0,38.0,35.5,35.5,0,0,0
2008-03-19,38.0,38.0,35.25,35.25,0,0,0
2008-03-20,37.0,37.0,35.0,35.0,0,0,0
2008-03-24,38.0,38.0,26.25,26.25,0,0,0
2008-03-25,39.0,39.0,28.75,28.75,0,0,0
2008-03-26,39.0,39.0,32.25,32.25,2,0,0
2008-03-27,47.0,47.0,27.25,27.25,0,0,0
2008-03-28,37.5,37.5,27.75,27.75,1,0,0
2008-03-31,36.0,36.0,36.0,36.0,1000,0,0
2008-04-01,36.0,36.0,27.0,27.0,0,0,0
2008-04-02,36.0,36.0,35.0,35.0,0,0,0
2008-04-03,38.0,38.0,28.0,28.0,0,0,0
2008-04-04,36.0,36.0,27.0,27.0,0,0,0
2008-04-07,27.0,27.0,27.0,27.0,0,0,0
2008-04-08,39.0,39.0,28.0,28.0,0,0,0
2008-04-09,38.0,38.0,38.0,38.0,500,0,0
2008-04-10,5.84,5.84,5.84,5.84,1925,0,0
2008-04-11,5.9,5.9,5.9,5.9,685,0,0
2008-04-14,5.88,5.88,5.88,5.88,780,0,0
2008-04-15,37.0,37.0,37.0,37.0,0,0,0
2008-04-16,37.0,37.0,37.0,37.0,100,0,0
2008-04-17,36.25,36.25,36.25,36.25,900,0,0
2008-04-18,47.0,47.0,30.75,30.75,0,0,0
2008-04-21,33.0,39.0,33.0,33.0,0,0,0
2008-04-22,32.0,39.0,32.0,32.0,5,0,0
2008-04-23,34.0,37.0,34.0,34.0,1,0,0
2008-04-24,37.0,37.0,37.0,37.0,1000,0,0
2008-04-25,33.0,39.0,33.0,33.0,0,0,0
2008-04-28,34.0,39.0,34.0,34.0,0,0,0
2008-04-29,33.0,33.0,33.0,33.0,0,0,0
2008-04-30,35.0,44.0,35.0,35.0,0,0,0
2008-05-01,35.0,35.0,35.0,35.0,0,0,0
2008-05-02,35.0,37.5,35.0,35.0,0,0,0
2008-05-05,6.71,6.71,6.71,6.71,2000,0,0
2008-05-06,6.8,6.8,6.8,6.8,5399,0,0
2008-05-07,7.0,7.0,7.0,7.0,200,0,0
2008-05-08,35.0,42.0,35.0,35.0,0,0,0
2008-05-09,7.0,7.0,7.0,7.0,1210,0,0
2008-05-12,32.25,42.0,32.25,32.25,0,0,0
2008-05-13,34.0,39.0,34.0,34.0,14,0,0
2008-05-14,6.8,6.8,6.8,6.8,1600,0,0
2008-05-15,34.5,39.0,34.5,34.5,0,0,0
2008-05-16,35.0,39.0,35.0,35.0,0,0,0
2008-05-19,6.75,6.75,6.75,6.75,200,0,0
2008-05-20,34.25,39.0,34.25,34.25,0,0,0
2008-05-21,34.5,38.0,34.5,34.5,0,0,0
2008-05-22,36.0,36.0,36.0,36.0,3000,0,0
2008-05-23,34.25,38.0,34.25,34.25,0,0,0
