Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,3.93,3.98,3.82,3.86,870900,0.0,0.0
2008-01-03,3.89,4.06,3.89,4.02,1092700,0.0,0.0
2008-01-04,3.97,4.0,3.89,3.89,677200,0.0,0.0
2008-01-07,3.92,3.98,3.88,3.96,801400,0.0,0.0
2008-01-08,3.97,3.98,3.82,3.83,1036800,0.0,0.0
2008-01-09,3.81,3.95,3.76,3.93,710200,0.0,0.0
2008-01-10,3.86,3.92,3.83,3.87,923400,0.0,0.0
2008-01-11,3.84,3.94,3.8,3.81,561100,0.0,0.0
2008-01-14,3.8,3.81,3.72,3.76,716100,0.0,0.0
2008-01-15,3.71,3.76,3.69,3.71,823600,0.0,0.0
2008-01-16,3.68,3.75,3.63,3.7,912600,0.0,0.0
2008-01-17,3.71,3.75,3.65,3.66,868000,0.0,0.0
2008-01-18,3.61,3.68,3.53,3.59,994200,0.0,0.0
2008-01-22,3.47,3.58,3.37,3.46,1249600,0.0,0.0
2008-01-23,3.27,3.54,3.27,3.51,2130300,0.0,0.0
2008-01-24,3.51,3.53,3.26,3.39,1688400,0.0,0.0
2008-01-25,3.42,3.53,3.36,3.4,2184400,0.0,0.0
2008-01-28,3.4,3.69,3.4,3.68,1756500,0.0,0.0
2008-01-29,3.7,3.74,3.59,3.61,1341400,0.0,0.0
2008-01-30,3.61,3.74,3.55,3.59,1145700,0.0,0.0
2008-01-31,3.51,3.68,3.47,3.61,1198300,0.0,0.0
2008-02-01,3.63,3.81,3.63,3.8,1374400,0.0,0.0
2008-02-04,3.79,3.79,3.7,3.72,1228600,0.0,0.0
2008-02-05,3.71,3.76,3.66,3.71,1007200,0.0,0.0
2008-02-06,3.78,3.82,3.74,3.76,1544400,0.0625,0.0
2008-02-07,3.75,3.84,3.75,3.79,1211500,0.0,0.0
2008-02-08,3.79,3.86,3.77,3.81,939700,0.0,0.0
2008-02-11,3.81,3.85,3.73,3.81,766900,0.0,0.0
2008-02-12,3.82,3.92,3.78,3.86,931600,0.0,0.0
2008-02-13,3.93,4.0,3.9,3.95,1108300,0.0,0.0
2008-02-14,3.99,4.0,3.91,3.93,801100,0.0,0.0
2008-02-15,3.9,3.9,3.81,3.86,619800,0.0,0.0
2008-02-19,3.91,3.94,3.8,3.83,568500,0.0,0.0
2008-02-20,3.87,3.89,3.8,3.89,556800,0.0,0.0
2008-02-21,3.92,3.97,3.77,3.78,586800,0.0,0.0
2008-02-22,3.75,3.81,3.67,3.79,622300,0.0,0.0
2008-02-25,3.69,3.84,3.69,3.83,726300,0.0,0.0
2008-02-26,3.81,3.9,3.77,3.83,710100,0.0,0.0
2008-02-27,3.8,3.94,3.76,3.93,936900,0.0,0.0
2008-02-28,3.89,3.91,3.76,3.79,668200,0.0,0.0
2008-02-29,3.74,3.79,3.63,3.65,628600,0.0,0.0
2008-03-03,3.64,3.68,3.56,3.66,763300,0.0,0.0
2008-03-04,3.59,3.67,3.57,3.64,1049800,0.0,0.0
2008-03-05,3.66,3.66,3.56,3.6,677800,0.0,0.0
2008-03-06,3.57,3.61,3.49,3.51,917200,0.0,0.0
2008-03-07,3.45,3.57,3.41,3.53,561700,0.0,0.0
2008-03-10,3.54,3.56,3.41,3.42,625600,0.0,0.0
2008-03-11,3.54,3.61,3.47,3.61,669700,0.0,0.0
2008-03-12,3.64,3.69,3.6,3.61,741300,0.0,0.0
2008-03-13,3.57,3.72,3.54,3.69,1140000,0.0,0.0
2008-03-14,3.71,3.75,3.55,3.57,600700,0.0,0.0
2008-03-17,3.5,3.62,3.34,3.55,660300,0.0,0.0
2008-03-18,3.61,3.72,3.53,3.71,695200,0.0,0.0
2008-03-19,3.73,3.77,3.59,3.59,567900,0.0,0.0
2008-03-20,3.65,3.83,3.59,3.79,2218600,0.0,0.0
2008-03-24,3.8,3.86,3.76,3.81,473100,0.0,0.0
2008-03-25,3.82,3.84,3.77,3.81,436000,0.0,0.0
2008-03-26,3.78,3.82,3.69,3.81,619200,0.0,0.0
2008-03-27,3.83,3.83,3.75,3.76,275400,0.0,0.0
2008-03-28,3.76,3.79,3.68,3.7,402900,0.0,0.0
2008-03-31,3.74,3.74,3.58,3.66,708300,0.0,0.0
2008-04-01,3.65,3.7,3.41,3.62,1784200,0.0,0.0
2008-04-02,3.59,3.87,3.59,3.8,1556700,0.0,0.0
2008-04-03,3.75,3.79,3.67,3.71,829000,0.0,0.0
2008-04-04,3.7,3.79,3.69,3.76,791200,0.0,0.0
2008-04-07,3.78,3.78,3.68,3.71,539200,0.0,0.0
2008-04-08,3.67,3.71,3.63,3.71,1004500,0.0,0.0
2008-04-09,3.72,3.72,3.63,3.69,954400,0.0,0.0
2008-04-10,3.68,3.71,3.66,3.71,770800,0.0,0.0
2008-04-11,3.67,3.67,3.55,3.57,650200,0.0,0.0
2008-04-14,3.56,3.63,3.54,3.6,475800,0.0,0.0
2008-04-15,3.63,3.68,3.48,3.51,1785300,0.0,0.0
2008-04-16,3.51,3.63,3.51,3.63,1378900,0.0,0.0
2008-04-17,3.61,3.61,3.52,3.58,626500,0.0,0.0
2008-04-18,3.64,3.72,3.61,3.72,847900,0.0,0.0
2008-04-21,3.69,3.69,3.57,3.61,772300,0.0,0.0
2008-04-22,3.58,3.67,3.5,3.52,1463500,0.0,0.0
2008-04-23,3.72,3.72,3.54,3.63,692700,0.0,0.0
2008-04-24,3.64,3.64,3.47,3.59,828400,0.0,0.0
2008-04-25,3.63,3.63,3.47,3.49,1740100,0.0,0.0
2008-04-28,3.5,3.52,3.37,3.42,2041200,0.0,0.0
2008-04-29,3.42,3.44,3.27,3.33,2089900,0.0,0.0
2008-04-30,3.35,3.39,3.27,3.29,1062600,0.0,0.0
2008-05-01,3.3,3.4,3.28,3.4,700800,0.0,0.0
2008-05-02,3.41,3.45,3.33,3.33,849700,0.0,0.0
