Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,0.55,0.65,0.55,0.65,8000,0,0
2008-01-03,0.65,0.65,0.65,0.65,0,0,0
2008-01-04,0.65,0.65,0.65,0.65,5000,0,0
2008-01-07,0.65,0.65,0.65,0.65,0,0,0
2008-01-08,0.65,0.65,0.65,0.65,5000,0,0
2008-01-09,0.6,0.6,0.6,0.6,5000,0,0
2008-01-10,0.6,0.6,0.6,0.6,750,0,0
2008-01-11,0.6,0.6,0.6,0.6,0,0,0
2008-01-14,0.6,0.6,0.6,0.6,0,0,0
2008-01-15,0.6,0.6,0.6,0.6,0,0,0
2008-01-16,0.6,0.6,0.6,0.6,0,0,0
2008-01-17,0.6,0.6,0.6,0.6,0,0,0
2008-01-18,0.5,0.53,0.5,0.52,30750,0,0
2008-01-22,0.5,0.5,0.5,0.5,5000,0,0
2008-01-23,0.5,0.5,0.5,0.5,21000,0,0
2008-01-24,0.5,0.5,0.5,0.5,0,0,0
2008-01-25,0.5,0.5,0.5,0.5,4000,0,0
2008-01-28,0.5,0.5,0.5,0.5,15250,0,0
2008-01-29,0.5,0.5,0.5,0.5,0,0,0
2008-01-30,0.5,0.5,0.5,0.5,0,0,0
2008-01-31,0.5,0.5,0.5,0.5,0,0,0
2008-02-01,0.6,0.6,0.6,0.6,5167,0,0
2008-02-04,0.6,0.6,0.6,0.6,0,0,0
2008-02-05,0.6,0.6,0.54,0.54,90200,0,0
2008-02-06,0.55,0.55,0.54,0.54,77000,0,0
2008-02-07,0.55,0.55,0.55,0.55,2300,0,0
2008-02-08,0.55,0.55,0.55,0.55,11500,0,0
2008-02-11,0.55,0.58,0.55,0.58,53191,0,0
2008-02-12,0.55,0.55,0.55,0.55,25000,0,0
2008-02-13,0.55,0.55,0.54,0.55,84500,0,0
2008-02-14,0.5,0.5,0.5,0.5,3900,0,0
2008-02-15,0.52,0.52,0.52,0.52,500,0,0
2008-02-19,0.52,0.52,0.46,0.46,37167,0,0
2008-02-20,0.46,0.46,0.46,0.46,0,0,0
2008-02-21,38.5,38.5,38.5,38.5,0,0,0
2008-02-22,0.46,0.46,0.46,0.46,0,0,0
2008-02-25,0.46,0.46,0.46,0.46,100,0,0
2008-02-26,0.5,0.5,0.5,0.5,5000,0,0
2008-02-27,0.51,0.51,0.51,0.51,10000,0,0
2008-02-28,0.5,0.5,0.5,0.5,10000,0,0
2008-02-29,0.5,0.5,0.5,0.5,0,0,0
2008-03-03,0.54,0.54,0.54,0.54,5000,0,0
2008-03-04,38.54,38.54,38.54,38.54,0,0,0
2008-03-05,0.55,0.55,0.55,0.55,10000,0,0
2008-03-06,0.55,0.55,0.55,0.55,0,0,0
2008-03-07,0.55,0.55,0.55,0.55,0,0,0
2008-03-10,0.55,0.55,0.55,0.55,350,0,0
2008-03-11,0.55,0.55,0.55,0.55,0,0,0
2008-03-12,0.55,0.55,0.55,0.55,0,0,0
2008-03-13,0.55,0.55,0.55,0.55,0,0,0
