Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-12-31,,,,,,0.255,0
2008-01-02,44.7,45.12,44.0,44.24,2185600.0,0.0,0
2008-01-03,44.32,45.89,44.32,45.67,2649400.0,0.0,0
2008-01-04,45.37,46.02,45.37,45.65,3520300.0,0.0,0
2008-01-07,45.84,46.04,44.4,44.85,4530300.0,0.0,0
2008-01-08,44.98,45.19,44.16,44.3,3867600.0,0.0,0
2008-01-09,44.24,45.35,44.21,45.34,3753100.0,0.0,0
2008-01-10,45.02,45.71,44.94,45.28,3226000.0,0.0,0
2008-01-11,44.93,45.68,44.61,44.84,3148100.0,0.0,0
2008-01-14,45.11,45.52,45.08,45.41,3020000.0,0.0,0
2008-01-15,44.91,46.55,44.91,46.19,4813100.0,0.0,0
2008-01-16,45.55,47.02,45.55,46.68,6227000.0,0.0,0
2008-01-17,46.9,47.05,45.56,45.57,4975200.0,0.0,0
2008-01-18,45.92,45.92,44.43,44.65,4460600.0,0.0,0
2008-01-22,41.87,44.53,41.49,44.11,5355500.0,0.0,0
2008-01-23,42.9,44.84,42.66,44.81,4939400.0,0.0,0
2008-01-24,44.92,47.13,44.92,46.54,5314100.0,0.0,0
2008-01-25,46.89,47.0,46.06,46.32,3729100.0,0.0,0
2008-01-28,46.34,46.76,46.11,46.62,2859200.0,0.0,0
2008-01-29,46.67,47.32,46.67,47.13,2776700.0,0.0,0
2008-01-30,47.13,47.65,46.57,46.77,3081400.0,0.0,0
2008-01-31,47.19,48.29,46.27,48.03,5080600.0,0.0,0
2008-02-01,48.14,48.73,47.78,48.73,4730800.0,0.0,0
2008-02-04,48.75,49.15,48.42,48.97,3558100.0,0.0,0
2008-02-05,48.2,48.65,47.75,47.92,3178100.0,0.0,0
2008-02-06,47.96,48.09,47.38,47.45,3172100.0,0.0,0
2008-02-07,47.28,48.77,47.25,48.67,4242900.0,0.0,0
2008-02-08,48.5,48.5,47.87,48.33,2853000.0,0.0,0
2008-02-11,48.85,49.76,48.56,49.44,3558300.0,0.0,0
2008-02-12,49.59,49.62,48.56,48.87,2708200.0,0.0,0
2008-02-13,49.31,49.51,48.56,49.48,2587700.0,0.0,0
2008-02-14,49.6,49.76,48.78,48.89,1788000.0,0.0,0
2008-02-15,48.68,48.84,48.08,48.41,2292000.0,0.0,0
2008-02-19,49.06,49.21,48.44,48.57,1818100.0,0.0,0
2008-02-20,48.25,48.58,47.94,48.48,2193300.0,0.0,0
2008-02-21,48.75,49.03,47.84,48.01,1839300.0,0.0,0
2008-02-22,48.11,48.7,47.85,48.7,2271100.0,0.0,0
2008-02-25,48.81,48.95,48.13,48.83,2045000.0,0.0,0
2008-02-26,48.5,49.09,48.2,49.05,2214700.0,0.0,0
2008-02-27,48.85,49.76,48.67,48.98,2607200.0,0.0,0
2008-02-28,48.98,49.18,48.25,48.88,1755100.0,0.0,0
2008-02-29,48.44,48.5,47.67,47.81,2787100.0,0.0,0
2008-03-03,47.86,48.38,47.6,48.3,1449600.0,0.0,0
2008-03-04,47.94,48.11,47.27,47.69,2415700.0,0.0,0
2008-03-05,48.0,48.48,47.72,48.21,2532700.0,0.0,0
2008-03-06,48.07,48.15,47.58,47.59,1974800.0,0.0,0
2008-03-07,47.31,47.78,46.73,46.87,2430500.0,0.0,0
2008-03-10,46.82,46.82,46.05,46.2,2396300.0,0.0,0
2008-03-11,46.17,46.56,45.59,46.45,2576900.0,0.0,0
2008-03-12,46.64,46.92,46.2,46.75,3865400.0,0.0,0
2008-03-13,46.05,47.6,45.93,47.48,2882900.0,0.0,0
2008-03-14,47.73,47.89,46.28,46.83,2774600.0,0.0,0
2008-03-17,45.81,47.28,45.81,46.93,3250300.0,0.0,0
2008-03-18,47.52,47.78,46.82,47.59,2238000.0,0.0,0
2008-03-19,47.73,48.17,46.6,46.6,2016800.0,0.0,0
2008-03-20,46.66,47.03,46.09,46.98,3102500.0,0.0,0
2008-03-24,47.13,47.49,46.51,46.97,2359100.0,0.0,0
2008-03-25,46.9,48.07,46.89,47.92,2964900.0,0.0,0
2008-03-26,47.77,47.86,47.35,47.82,3286200.0,0.0,0
2008-03-27,48.02,48.16,47.28,47.3,1717900.0,0.0,0
2008-03-28,47.64,48.38,47.58,47.77,1871900.0,0.28,0
2008-03-31,48.12,48.12,47.63,47.85,2395700.0,0.0,0
2008-04-01,48.12,48.82,47.91,48.63,2747500.0,0.0,0
2008-04-02,48.58,49.22,48.58,48.77,2628100.0,0.0,0
2008-04-03,48.58,48.85,47.81,48.18,2229300.0,0.0,0
2008-04-04,48.35,48.91,47.94,48.54,1833100.0,0.0,0
2008-04-07,48.97,49.1,48.5,48.7,1825000.0,0.0,0
2008-04-08,48.46,49.43,48.27,49.26,2259300.0,0.0,0
2008-04-09,49.25,49.89,49.14,49.35,2911600.0,0.0,0
2008-04-10,49.45,49.51,49.03,49.21,2265200.0,0.0,0
2008-04-11,48.58,49.01,48.32,48.44,2932100.0,0.0,0
2008-04-14,48.33,48.65,47.94,48.2,1428300.0,0.0,0
2008-04-15,48.41,48.41,47.25,47.57,1724700.0,0.0,0
2008-04-16,47.88,48.65,47.77,48.62,2630100.0,0.0,0
2008-04-17,48.78,48.78,48.21,48.34,1779800.0,0.0,0
2008-04-18,48.92,49.13,48.36,48.98,2051300.0,0.0,0
2008-04-21,49.01,49.25,48.64,48.92,1633000.0,0.0,0
2008-04-22,48.92,48.92,47.99,48.36,2377000.0,0.0,0
2008-04-23,48.69,49.24,48.31,49.05,2199500.0,0.0,0
2008-04-24,48.55,49.25,48.55,48.95,2424000.0,0.0,0
2008-04-25,48.32,48.35,47.1,47.89,4037400.0,0.0,0
2008-04-28,47.92,48.61,47.92,48.35,2143100.0,0.0,0
2008-04-29,48.32,48.56,47.39,47.71,2748900.0,0.0,0
