Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,42.16,42.28,41.0,41.3,3204100,0.0,0
2008-01-03,41.09,41.46,40.96,41.19,1761400,0.0,0
2008-01-04,40.8,41.17,40.18,40.31,3765500,0.0,0
2008-01-07,39.36,39.55,38.93,39.28,3728700,0.0,0
2008-01-08,39.23,39.85,38.87,38.9,4145900,0.0,0
2008-01-09,39.0,39.21,38.47,39.16,3729600,0.0,0
2008-01-10,39.17,40.15,39.01,39.9,3508200,0.0,0
2008-01-11,39.27,39.55,38.92,39.09,1994100,0.0,0
2008-01-14,40.42,42.13,39.8,40.73,8266600,0.0,0
2008-01-15,40.29,40.29,39.44,39.77,3520000,0.0,0
2008-01-16,40.36,40.71,39.72,40.3,3971400,0.0,0
2008-01-17,40.44,40.77,39.73,39.79,3859400,0.0,0
2008-01-18,40.76,40.9,39.69,39.97,3086000,0.0,0
2008-01-22,36.15,40.16,36.08,37.74,6104200,0.0,0
2008-01-23,35.25,37.6,35.01,37.38,9467800,0.0,0
2008-01-24,36.99,37.86,36.88,37.66,3503800,0.0,0
2008-01-25,38.12,38.12,37.03,37.26,1799500,0.0,0
2008-01-28,37.42,37.72,36.74,37.61,1416700,0.0,0
2008-01-29,37.82,39.07,37.46,38.74,3840800,0.0,0
2008-01-30,38.17,38.91,37.87,38.14,3774400,0.0,0
2008-01-31,37.65,39.24,37.65,38.84,2535300,0.0,0
2008-02-01,39.35,39.53,38.65,39.2,2230900,0.0,0
2008-02-04,39.15,39.27,38.84,39.0,1703200,0.0,0
2008-02-05,37.97,38.39,37.64,37.73,3232400,0.0,0
2008-02-06,38.74,38.84,38.04,38.1,3204300,0.0,0
2008-02-07,37.69,38.53,37.61,38.17,3061400,0.0,0
2008-02-08,38.33,38.81,38.17,38.59,2046100,0.0,0
2008-02-11,38.84,39.31,38.53,39.05,1625400,0.0,0
2008-02-12,39.65,39.89,39.07,39.28,2959000,0.0,0
2008-02-13,39.39,40.01,39.26,39.83,2333400,0.0,0
2008-02-14,39.82,39.93,39.25,39.38,1856200,0.0,0
2008-02-15,39.04,39.13,38.57,38.92,1828400,0.0,0
2008-02-19,39.9,40.01,39.23,39.31,2139100,0.0,0
2008-02-20,39.06,39.66,38.9,39.5,1494300,0.0,0
2008-02-21,40.15,40.15,39.37,39.45,1732900,0.0,0
2008-02-22,39.45,39.46,38.51,39.12,3055100,0.0,0
2008-02-25,38.69,39.2,38.49,39.05,1700200,0.0,0
2008-02-26,39.12,40.04,38.99,39.89,2026300,0.0,0
2008-02-27,39.67,40.22,39.57,40.08,1745200,0.0,0
2008-02-28,40.08,40.36,39.73,40.25,1645400,0.0,0
2008-02-29,39.42,39.44,38.47,38.6,1808700,0.0,0
2008-03-03,39.03,39.34,38.71,39.13,2518100,0.0,0
2008-03-04,38.74,39.14,38.43,38.97,2901600,0.0,0
2008-03-05,38.96,39.52,38.81,39.18,2105800,0.0,0
2008-03-06,39.39,39.52,38.88,39.03,1818900,0.0,0
