Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,27.45,27.53,27.04,27.42,1400,0.0,0.0
2008-01-03,27.45,28.16,27.45,27.89,1700,0.0,0.0
2008-01-04,27.78,28.32,27.64,28.08,3200,0.0,0.0
2008-01-07,28.41,29.28,28.13,29.28,2600,0.0,0.0
2008-01-08,29.5,29.63,28.51,29.2,1800,0.0,0.0
2008-01-09,28.73,28.76,27.86,27.89,6100,0.0,0.0
2008-01-10,28.27,29.09,28.0,28.71,4100,0.0,0.0
2008-01-11,28.54,29.72,28.54,29.61,1900,0.0,0.0
2008-01-14,29.72,29.72,28.62,29.69,1600,0.0,0.0
2008-01-15,29.69,29.85,29.17,29.53,3000,0.0,0.0
2008-01-16,29.69,30.0,29.3,29.66,2200,1.8,0.0
2008-01-17,29.72,29.94,29.5,29.72,3500,0.0,0.0
2008-01-18,29.58,29.69,29.16,29.16,800,0.0,0.0
2008-01-22,29.16,29.58,27.5,28.89,3700,0.0,0.0
2008-01-23,29.03,29.44,28.61,29.16,3700,0.0,0.0
2008-01-24,29.8,30.8,29.16,30.8,5600,0.0,0.0
2008-01-25,30.78,30.97,29.5,29.72,4300,0.0,0.0
2008-01-28,30.05,30.05,28.66,29.5,5300,0.0,0.0
2008-01-29,29.91,31.0,29.83,30.66,3000,0.0,0.0
2008-01-30,30.55,31.11,30.22,31.08,1300,0.0,0.0
2008-01-31,30.69,31.05,29.97,30.44,4600,0.0,0.0
2008-02-01,30.53,30.78,29.78,30.28,2500,0.0,0.0
2008-02-04,30.5,31.11,30.5,31.11,900,0.0,0.0
2008-02-05,31.11,31.11,29.72,29.72,1300,0.0,0.0
2008-02-06,29.72,30.14,29.61,29.89,700,0.0,0.0
2008-02-07,29.33,29.94,29.33,29.8,2800,0.0,0.0
2008-02-08,29.8,29.86,29.47,29.86,1000,0.0,0.0
2008-02-11,29.64,29.86,29.44,29.86,2200,0.0,0.0
2008-02-12,30.11,30.78,29.41,29.75,1400,0.0,0.0
2008-02-13,29.75,29.75,29.3,29.47,800,0.0,0.0
2008-02-14,29.44,29.72,28.94,29.16,800,0.0,0.0
2008-02-15,29.47,29.5,29.16,29.16,600,0.0,0.0
2008-02-19,29.3,29.44,29.16,29.19,1900,0.0,0.0
2008-02-20,29.33,29.94,28.75,29.55,2000,0.0,0.0
2008-02-21,30.0,30.55,30.0,30.28,1900,0.0,0.0
2008-02-22,30.66,30.66,30.19,30.28,2500,0.0,0.0
2008-02-25,30.41,30.5,30.28,30.28,3500,0.0,0.0
2008-02-26,30.33,30.78,30.08,30.58,5100,0.0,0.0
