Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,5.33,5.33,5.06,5.23,1463400,0.0,0.0
2008-01-03,5.34,5.35,5.24,5.34,1844400,0.0,0.0
2008-01-04,5.31,5.33,5.19,5.22,1559400,0.0,0.0
2008-01-07,5.31,5.31,5.09,5.18,1703400,0.0,0.0
2008-01-08,5.25,5.29,5.09,5.09,1956000,0.0,0.0
2008-01-09,5.14,5.39,5.13,5.38,1788600,0.0,0.0
2008-01-10,5.26,5.35,5.2,5.29,1223400,0.0,0.0
2008-01-11,5.26,5.46,5.22,5.44,3776400,0.0,0.0
2008-01-14,5.37,5.47,5.32,5.41,2278200,0.0,0.0
2008-01-15,5.31,5.31,5.13,5.27,1875600,0.0,0.0
2008-01-16,5.27,5.31,5.0,5.05,1705200,0.0,0.0
2008-01-17,5.13,5.13,4.68,4.71,3165000,0.0,0.0
2008-01-18,4.7,4.71,4.54,4.65,2565000,0.0,0.0
2008-01-22,4.27,4.62,4.21,4.6,4071600,0.0,0.0
2008-01-23,4.36,4.53,4.32,4.52,3090000,0.0,0.0
2008-01-24,4.54,4.69,4.5,4.6,1756200,0.0,0.0
2008-01-25,4.7,4.75,4.52,4.54,1330200,0.0,0.0
2008-01-28,4.55,4.71,4.5,4.62,1383000,0.0,0.0
2008-01-29,4.62,4.67,4.6,4.63,1614600,0.0,0.0
2008-01-30,4.65,4.79,4.6,4.7,1207200,0.0,0.0
2008-01-31,4.54,4.79,4.5,4.73,1658400,0.0,0.0
2008-02-01,4.79,4.93,4.75,4.9,1121400,0.0,0.0
2008-02-04,4.94,4.94,4.84,4.89,671400,0.0,0.0
2008-02-05,4.75,4.94,4.69,4.74,1377600,0.0,0.0
2008-02-06,4.75,4.95,4.71,4.87,1325400,0.0,0.0
2008-02-07,4.86,4.86,4.67,4.71,1996200,0.0,0.0
2008-02-08,4.7,4.74,4.6,4.7,1036200,0.0,0.0
2008-02-11,4.69,4.77,4.63,4.73,1027200,0.0,0.0
2008-02-12,4.86,4.97,4.78,4.81,1225200,0.0,0.0
2008-02-13,4.79,4.83,4.73,4.81,868800,0.0,0.0
2008-02-14,4.79,4.82,4.69,4.7,1928400,0.0,0.0
2008-02-15,4.64,4.76,4.6,4.74,810600,0.0,0.0
2008-02-19,4.77,4.81,4.64,4.69,1401600,0.0,0.0
2008-02-20,4.64,4.88,4.62,4.86,1241400,0.0,0.0
2008-02-21,4.9,5.02,4.88,4.94,1333800,0.0,0.0
2008-02-22,4.93,5.08,4.92,5.08,1312800,0.0,0.0
2008-02-25,5.01,5.13,4.93,5.09,1727400,0.0,0.0
2008-02-26,5.13,5.24,5.02,5.11,1507200,0.0,0.0
2008-02-27,5.19,5.29,5.08,5.27,1554000,0.0,0.0
2008-02-28,5.32,5.48,5.2,5.43,2131200,0.02733,0.0
2008-02-29,5.32,5.32,5.17,5.2,1575000,0.0,0.0
2008-03-03,5.29,5.42,5.25,5.39,2199000,0.0,0.0
2008-03-04,5.42,5.51,5.19,5.31,2154600,0.0,0.0
2008-03-05,5.34,5.38,5.11,5.3,2227200,0.0,0.0
2008-03-06,5.32,5.35,5.18,5.21,1792200,0.0,0.0
2008-03-07,5.05,5.19,5.02,5.08,1449000,0.0,0.0
2008-03-10,5.03,5.05,4.9,4.94,1900200,0.0,0.0
2008-03-11,5.11,5.31,4.98,5.29,1924800,0.0,0.0
2008-03-12,5.26,5.42,5.22,5.32,1483200,0.0,0.0
2008-03-13,5.21,5.27,5.05,5.26,1444800,0.0,0.0
2008-03-14,5.32,5.35,5.07,5.18,1802400,0.0,0.0
2008-03-17,5.03,5.13,4.98,5.07,1827000,0.0,0.0
2008-03-18,5.25,5.41,5.17,5.35,1426200,0.0,0.0
2008-03-19,5.36,5.41,5.02,5.04,1714800,0.0,0.0
2008-03-20,5.0,5.0,4.8,4.89,1781400,0.0,0.0
2008-03-24,4.91,5.08,4.88,4.99,1342200,0.0,0.0
2008-03-25,4.9,5.11,4.9,5.04,1794600,0.0,0.0
2008-03-26,4.97,5.12,4.92,4.98,2123400,0.0,0.0
2008-03-27,5.04,5.09,4.9,4.93,1743600,0.0,0.0
2008-03-28,4.97,5.02,4.83,4.9,3190200,0.0,0.0
2008-03-31,4.86,5.01,4.77,4.92,2100600,0.0,0.0
2008-04-01,5.01,5.01,4.85,4.94,2908800,0.0,0.0
2008-04-02,5.01,5.1,4.94,5.08,2049000,0.0,0.0
2008-04-03,5.05,5.14,5.02,5.11,1588800,0.0,0.0
2008-04-04,5.11,5.29,5.08,5.27,1779600,0.0,0.0
2008-04-07,5.34,5.41,5.27,5.29,2124600,0.0,0.0
2008-04-08,5.23,5.3,5.21,5.28,845400,0.0,0.0
2008-04-09,5.31,5.34,5.24,5.27,1416600,0.0,0.0
2008-04-10,5.24,5.31,5.18,5.23,1082400,0.0,0.0
2008-04-11,5.15,5.17,5.05,5.08,1695000,0.0,0.0
2008-04-14,5.08,5.26,5.07,5.21,1726800,0.0,0.0
2008-04-15,5.25,5.26,5.14,5.26,1098000,0.0,0.0
2008-04-16,5.28,5.32,5.22,5.32,1207200,0.0,0.0
2008-04-17,5.3,5.45,5.23,5.43,1615200,0.0,0.0
2008-04-18,5.47,5.51,5.34,5.4,1392000,0.0,0.0
2008-04-21,5.41,5.5,5.36,5.49,973800,0.0,0.0
2008-04-22,5.47,5.5,5.3,5.38,1759800,0.0,0.0
2008-04-23,5.35,5.49,5.35,5.44,1454400,0.0,0.0
2008-04-24,5.49,5.65,5.38,5.56,1960800,0.0,0.0
2008-04-25,5.55,5.64,5.45,5.6,1192200,0.0,0.0
2008-04-28,5.74,5.75,5.62,5.65,1555200,0.0,0.0
2008-04-29,5.65,5.65,5.47,5.51,1268400,0.0,0.0
2008-04-30,5.46,5.71,5.38,5.62,2852400,0.0,0.0
2008-05-01,5.66,5.89,5.66,5.87,2575200,0.0,0.0
2008-05-02,5.95,6.05,5.89,6.0,3518400,0.0,0.0
2008-05-05,6.02,6.16,5.97,6.16,1914600,0.0,0.0
2008-05-06,6.15,6.15,5.97,6.11,1661400,0.0,0.0
2008-05-07,6.07,6.1,5.91,5.97,1523400,0.0,0.0
2008-05-08,5.96,6.0,5.84,5.92,1339200,0.0,0.0
2008-05-09,5.83,5.91,5.77,5.85,1385400,0.0,0.0
2008-05-12,5.9,6.07,5.84,6.03,1819800,0.0,0.0
2008-05-13,6.07,6.2,6.0,6.17,2406600,0.0,0.0
2008-05-14,6.16,6.21,6.04,6.09,1240800,0.0,0.0
2008-05-15,6.12,6.27,6.12,6.25,1398600,0.0,0.0
2008-05-16,6.3,6.33,6.17,6.23,1249800,0.0,0.0
2008-05-19,6.23,6.28,6.14,6.2,1809000,0.0,0.0
2008-05-20,6.14,6.15,6.02,6.09,1897200,0.0,0.0
2008-05-21,6.05,6.15,5.91,5.93,1981800,0.0,0.0
2008-05-22,6.04,6.05,5.97,6.0,1497600,0.0,0.0
2008-05-23,6.02,6.08,5.85,5.97,1318800,0.0,0.0
2008-05-27,5.82,5.91,5.7,5.91,1848000,0.0,0.0
2008-05-28,5.9,6.3,5.9,6.23,3267000,0.0,0.0
2008-05-29,6.22,6.26,6.15,6.18,1210200,0.0,0.0
2008-05-30,6.26,6.37,6.17,6.25,2685000,0.0,0.0
2008-06-02,6.14,6.14,5.8,5.83,5054400,0.0,0.0
2008-06-03,5.87,5.87,5.48,5.62,4362000,0.0,0.0
2008-06-04,5.56,5.75,5.52,5.7,1755000,0.0,0.0
2008-06-05,5.74,5.97,5.71,5.95,1768800,0.0,0.0
2008-06-06,5.88,6.0,5.75,5.76,1648800,0.0,0.0
2008-06-09,5.75,6.0,5.71,5.94,2905200,0.0,0.0
2008-06-10,5.89,6.01,5.7,5.85,2532000,0.0,0.0
2008-06-11,5.91,5.91,5.8,5.82,1985400,0.0,0.0
2008-06-12,5.87,5.91,5.79,5.84,2013000,0.0,0.0
2008-06-13,5.81,5.88,5.64,5.83,2994600,0.0,0.0
2008-06-16,5.79,5.81,5.72,5.73,1424400,0.0,0.0
2008-06-17,5.76,5.9,5.72,5.86,1248600,0.0,0.0
2008-06-18,5.81,5.94,5.75,5.92,1017600,0.0,0.0
2008-06-19,5.96,6.02,5.9,5.92,1152600,0.0,0.0
2008-06-20,5.91,6.02,5.77,5.78,1679400,0.0,0.0
2008-06-23,5.78,5.83,5.62,5.66,1309800,0.0,0.0
2008-06-24,5.67,5.69,5.52,5.61,1750800,0.0,0.0
2008-06-25,5.57,5.64,5.51,5.61,1794600,0.0,0.0
2008-06-26,5.49,5.54,5.44,5.45,1888200,0.0,0.0
2008-06-27,5.44,5.56,5.32,5.54,2569200,0.0,0.0
2008-06-30,5.56,5.73,5.48,5.68,1422600,0.0,0.0
2008-07-01,5.51,5.72,5.28,5.7,2525400,0.0,0.0
2008-07-02,5.69,5.69,5.51,5.55,3054600,0.0,0.0
2008-07-03,5.55,5.64,5.5,5.5,1549200,0.0,0.0
