Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,0.4,0.4,0.4,0.4,0,0,0.0
2008-01-03,0.4,0.4,0.4,0.4,0,0,0.0
2008-01-04,0.4,0.4,0.4,0.4,0,0,0.0
2008-01-07,0.37,0.37,0.35,0.35,27222,0,0.0
2008-01-08,14.82,14.9,14.12,14.15,126121,0,0.0
2008-01-09,0.41,0.41,0.41,0.41,11000,0,0.0
2008-01-10,13.81,14.0,13.7,13.97,115325,0,0.0
2008-01-11,0.41,0.41,0.41,0.41,0,0,0.0
2008-01-14,13.85,13.97,13.58,13.89,64618,0,0.0
2008-01-15,0.41,0.41,0.41,0.41,0,0,0.0
2008-01-16,0.36,0.36,0.36,0.36,500,0,0.0
2008-01-17,0.36,0.38,0.36,0.38,24500,0,0.0
2008-01-18,0.35,0.35,0.35,0.35,30720,0,0.0
2008-01-22,0.35,0.35,0.35,0.35,0,0,0.0
2008-01-23,0.31,0.35,0.31,0.35,27000,0,0.0
2008-01-24,0.35,0.35,0.35,0.35,0,0,0.0
2008-01-25,0.35,0.35,0.35,0.35,0,0,0.0
2008-01-28,14.53,14.82,14.4,14.77,109937,0,0.0
2008-01-29,0.35,0.35,0.35,0.35,0,0,0.0
2008-01-30,0.35,0.35,0.35,0.35,0,0,0.0
2008-01-31,0.35,0.35,0.35,0.35,0,0,0.0
2008-02-01,0.39,0.39,0.39,0.39,3000,0,0.0
2008-02-04,0.39,0.39,0.39,0.39,500,0,0.0
2008-02-05,0.39,0.39,0.39,0.39,0,0,0.0
2008-02-06,0.35,0.35,0.32,0.32,0,0,0.0
2008-02-07,0.32,0.33,0.31,0.31,13000,0,0.0
2008-02-08,0.31,0.31,0.31,0.31,9500,0,0.0
2008-02-11,0.32,0.32,0.3,0.3,1000,0,0.0
2008-02-12,0.25,0.32,0.25,0.32,5000,0,0.0
2008-02-13,0.32,0.32,0.32,0.32,0,0,0.0
2008-02-14,0.39,0.39,0.39,0.39,10000,0,0.0
2008-02-15,0.39,0.39,0.39,0.39,0,0,0.0
2008-02-19,0.39,0.39,0.39,0.39,10000,0,0.0
2008-02-20,0.39,0.39,0.39,0.39,0,0,0.0
2008-02-21,0.27,0.33,0.27,0.33,6500,0,0.0
2008-02-22,0.26,0.31,0.26,0.31,5500,0,0.0
2008-02-25,0.31,0.31,0.31,0.31,0,0,0.0
2008-02-26,0.31,0.31,0.31,0.31,0,0,0.0
2008-02-27,0.32,0.32,0.32,0.32,0,0,0.0
2008-02-28,0.32,0.32,0.32,0.32,0,0,0.0
2008-02-29,0.32,0.32,0.32,0.32,0,0,0.0
2008-03-03,0.28,0.28,0.28,0.28,0,0,0.0
2008-03-04,0.28,0.28,0.28,0.28,0,0,0.0
2008-03-05,0.28,0.28,0.28,0.28,0,0,0.0
2008-03-06,14.03,14.14,14.0,14.0,86733,0,0.0
2008-03-07,0.29,0.29,0.29,0.29,10000,0,0.0
2008-03-10,14.13,14.16,14.0,14.16,87200,0,0.0
2008-03-11,0.33,0.33,0.33,0.33,13000,0,0.0
