Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.8,11.34,10.56,10.74,78500,0,0.0
2008-01-03,10.8,10.98,10.38,10.5,85600,0,0.0
2008-01-04,10.32,10.5,9.9,10.2,69000,0,0.0
2008-01-07,10.2,10.74,10.2,10.56,39000,0,0.0
2008-01-08,10.56,10.98,10.38,10.5,79200,0,0.0
2008-01-09,10.44,11.1,10.08,11.04,94600,0,0.0
2008-01-10,11.1,11.28,10.8,11.22,76000,0,0.0
2008-01-11,11.1,11.1,10.5,10.56,74600,0,0.0
2008-01-14,10.62,11.1,10.56,11.04,35500,0,0.0
2008-01-15,10.8,11.04,10.56,10.56,52600,0,0.0
2008-01-16,10.56,11.22,10.32,11.04,81000,0,0.0
2008-01-17,11.04,11.1,10.2,10.26,76000,0,0.0
2008-01-18,10.32,10.62,9.84,9.84,80300,0,0.0
2008-01-22,9.42,10.26,8.76,9.84,64100,0,0.0
2008-01-23,9.66,10.86,9.12,10.86,95700,0,0.0
2008-01-24,10.8,10.92,10.5,10.68,42600,0,0.0
2008-01-25,10.98,11.1,10.38,10.56,42400,0,0.0
2008-01-28,10.5,11.04,10.26,10.86,40200,0,0.0
2008-01-29,10.86,11.16,10.68,11.04,59700,0,0.0
2008-01-30,10.92,11.1,10.62,10.62,37300,0,0.0
2008-01-31,10.44,11.52,10.44,11.52,57600,0,0.0
2008-02-01,11.58,11.64,10.98,11.46,41100,0,0.0
2008-02-04,11.4,11.46,10.68,10.74,32200,0,0.0
2008-02-05,10.5,11.34,10.5,10.62,77600,0,0.0
2008-02-06,10.74,11.28,10.74,10.92,60600,0,0.0
2008-02-07,10.92,11.22,10.68,10.86,30900,0,0.0
2008-02-08,10.86,11.1,10.26,10.56,44100,0,0.0
2008-02-11,10.5,10.8,10.44,10.62,24000,0,0.0
2008-02-12,10.68,10.74,10.08,10.2,69700,0,0.0
2008-02-13,10.5,10.56,10.2,10.38,39800,0,0.0
2008-02-14,10.38,10.8,10.08,10.08,31000,0,0.0
2008-02-15,9.96,10.32,9.9,9.96,45600,0,0.0
2008-02-19,10.08,10.26,9.84,9.9,39600,0,0.0
2008-02-20,9.84,10.2,9.78,10.14,18500,0,0.0
2008-02-21,10.26,10.38,9.96,10.02,35800,0,0.0
2008-02-22,10.02,10.14,9.72,9.78,64800,0,0.0
2008-02-25,9.84,9.96,9.6,9.96,35100,0,0.0
2008-02-26,9.84,10.62,9.84,10.5,47100,0,0.0
2008-02-27,10.44,10.56,10.08,10.2,20600,0,0.0
2008-02-28,10.08,10.38,9.66,9.66,44900,0,0.0
2008-02-29,9.6,9.72,9.24,9.24,63400,0,0.0
2008-03-03,9.72,10.2,9.24,9.3,107300,0,0.0
2008-03-04,9.18,9.72,9.18,9.66,76900,0,0.0
2008-03-05,9.6,9.78,9.36,9.72,70800,0,0.0
2008-03-06,9.42,9.6,8.82,8.88,51800,0,0.0
2008-03-07,8.46,9.42,8.46,9.12,41100,0,0.0
2008-03-10,9.18,9.48,8.76,8.76,51500,0,0.0
2008-03-11,9.0,9.54,8.94,9.54,101200,0,0.0
