Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-28,24.7,24.7,24.7,24.7,3,0,0
2018-08-29,25.2,25.2,25.2,25.2,65,0,0
2018-08-30,25.0,25.0,24.7,24.8,1350,0,0
2018-08-31,24.8,25.2,24.8,25.2,94,0,0
2018-09-04,25.0,25.2,25.0,25.2,221,0,0
2018-09-05,25.2,25.2,25.0,25.0,392,0,0
2018-09-06,25.0,25.2,24.9,24.9,119,0,0
2018-09-07,25.2,25.2,24.9,25.0,139,0,0
2018-09-10,25.2,25.2,25.0,25.0,174,0,0
2018-09-11,25.0,25.0,25.0,25.0,0,0,0
2018-09-12,25.2,25.2,25.0,25.0,250,0,0
2018-09-13,25.0,25.0,24.7,25.0,289,0,0
2018-09-14,25.0,25.1,24.5,25.1,1029,0,0
2018-09-17,24.9,24.9,24.9,24.9,37,0,0
2018-09-18,25.1,25.1,25.1,25.1,2,0,0
2018-09-19,25.1,25.1,25.1,25.1,0,0,0
2018-09-20,25.0,25.0,24.9,24.9,172,0,0
2018-09-21,25.0,25.0,25.0,25.0,50,0,0
2018-09-24,11500.0,11600.0,11500.0,11600.0,11000,0,0
2018-09-25,11600.0,11600.0,11500.0,11600.0,15730,0,0
2018-09-26,11700.0,11800.0,11600.0,11700.0,9140,0,0
2018-09-27,11700.0,12500.0,11700.0,12500.0,110140,0,0
2018-09-28,13350.0,13350.0,13000.0,13350.0,151870,0,0
2018-10-01,24.5,24.9,24.5,24.5,1640,0,0
2018-10-02,24.3,24.3,24.3,24.3,100,0,0
2018-10-03,24.9,25.0,24.9,24.9,126,0,0
2018-10-04,24.5,25.0,24.5,25.0,1001,0,0
2018-10-05,24.5,24.5,24.2,24.2,133,0,0
2018-10-08,24.2,24.2,24.2,24.2,0,0,0
2018-10-09,24.5,24.5,24.4,24.4,600,0,0
2018-10-10,24.3,24.3,24.3,24.3,30,0,0
2018-10-11,24.3,24.3,23.8,24.2,1077,0,0
2018-10-12,24.4,24.4,24.0,24.0,649,0,0
2018-10-15,24.1,24.1,24.0,24.0,305,0,0
2018-10-16,24.4,24.5,24.4,24.5,1000,0,0
2018-10-17,24.4,24.5,23.9,24.0,5498,0,0
2018-10-18,23.9,23.9,23.2,23.2,2884,0,0
2018-10-19,24.0,24.0,22.8,22.8,1533,0,0
2018-10-22,23.5,23.5,22.8,22.8,1221,0,0
2018-10-23,22.7,22.8,22.5,22.5,2273,0,0
2018-10-24,23.5,23.5,22.0,22.0,7593,0,0
2018-10-25,22.0,22.0,21.5,21.5,5002,0,0
2018-10-26,21.6,21.6,20.0,21.0,119929,0,0
2018-10-29,21.0,22.0,20.8,22.0,256213,0,0
2018-10-30,22.0,22.7,21.9,22.2,74187,0,0
2018-10-31,22.7,22.9,22.5,22.5,3313,0,0
2018-11-01,22.5,22.6,22.3,22.3,75212,0,0
2018-11-02,22.5,23.0,22.5,22.5,83461,0,0
2018-11-05,23.0,23.0,22.5,22.6,409,0,0
2018-11-06,22.9,23.5,22.5,23.5,29799,0,0
2018-11-07,23.5,23.5,22.7,23.0,214516,0,0
2018-11-08,22.7,23.3,22.7,23.0,1025,0,0
2018-11-09,23.0,23.2,22.3,22.3,2816,0,0
2018-11-12,23.3,23.3,22.3,22.3,181,0,0
2018-11-13,23.0,23.0,22.4,22.4,59,0,0
2018-11-14,22.6,22.6,22.6,22.6,20,0,0
2018-11-15,22.4,22.7,22.2,22.5,1013,0,0
2018-11-16,22.2,22.2,22.0,22.0,351,0,0
2018-11-19,22.0,22.0,21.5,22.0,1007,0,0
2018-11-20,21.8,21.8,21.1,21.2,1485,0,0
2018-11-21,21.1,21.5,20.7,20.7,725,0,0
2018-11-23,20.3,20.9,19.5,20.4,8606,0,0
2018-11-26,21.0,22.2,20.1,22.2,64900,0,0
2018-11-27,21.0,21.8,21.0,21.8,70441,0,0
2018-11-28,21.7,21.7,21.6,21.6,113,0,0
2018-11-29,21.5,21.5,21.1,21.5,1275,0,0
2018-11-30,21.5,21.5,21.5,21.5,0,0,0
2018-12-03,21.5,21.5,21.1,21.4,244,0,0
2018-12-04,21.2,21.4,21.1,21.4,391,0,0
2018-12-06,21.1,21.1,20.7,20.8,1744,0,0
2018-12-07,21.0,21.5,21.0,21.4,32,0,0
2018-12-10,21.4,21.4,21.4,21.4,0,0,0
2018-12-11,21.4,21.4,21.4,21.4,0,0,0
2018-12-12,20.8,21.0,20.7,21.0,274,0,0
2018-12-13,21.2,21.2,21.2,21.2,34,0,0
2018-12-14,21.0,21.1,21.0,21.1,185,0,0
2018-12-17,21.2,21.2,21.0,21.2,707,0,0
2018-12-18,21.0,21.0,20.3,20.9,813,0,0
2018-12-19,19.8,19.8,18.2,18.85,78188,0,0
2018-12-20,19.1,19.1,17.95,19.1,3638,0,0
2018-12-21,18.25,19.1,18.0,19.0,40354,0,0
2018-12-24,19.0,19.9,19.0,19.9,210,0,0
2018-12-26,19.9,19.9,19.9,19.9,0,0,0
2018-12-27,20.8,20.8,19.2,20.0,234,0,0
2018-12-28,19.2,19.5,18.0,19.2,5551,0,0
2018-12-31,19.5,19.85,18.8,19.75,448,0,0
