Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,17.2,17.2,16.41,16.58,2353400,0.0,0
2008-01-03,16.76,16.96,16.55,16.88,1939500,0.0,0
2008-01-04,16.65,16.95,16.43,16.46,2805400,0.0,0
2008-01-07,16.47,16.71,15.77,15.97,2207400,0.0,0
2008-01-08,15.94,15.94,15.48,15.52,2863700,0.0,0
2008-01-09,15.53,15.71,15.4,15.59,1755500,0.0,0
2008-01-10,15.8,15.92,15.69,15.85,2187500,0.0,0
2008-01-11,15.54,15.66,15.46,15.53,808600,0.0,0
2008-01-14,15.55,15.84,15.55,15.78,1769100,0.0,0
2008-01-15,15.7,15.76,15.28,15.31,1511400,0.0,0
2008-01-16,15.1,15.37,15.07,15.13,1457600,0.0,0
2008-01-17,15.29,15.59,14.78,14.79,1304000,0.0,0
2008-01-18,15.03,15.22,14.52,14.86,2969300,0.0,0
2008-01-22,14.27,14.77,14.02,14.49,3237800,0.0,0
2008-01-23,14.2,14.84,13.96,14.41,4057000,0.0,0
2008-01-24,14.43,14.53,14.31,14.48,2549200,0.0,0
2008-01-25,14.55,14.57,14.2,14.27,1542100,0.0,0
2008-01-28,14.35,14.57,14.31,14.45,1737500,0.0,0
2008-01-29,14.61,15.19,14.61,15.08,2476700,0.0,0
2008-01-30,15.14,15.31,15.05,15.13,2173100,0.0,0
2008-01-31,15.17,15.17,14.79,15.0,1924600,0.0,0
2008-02-01,14.96,14.96,14.7,14.79,2420500,0.0,0
2008-02-04,14.69,14.76,14.57,14.6,1322900,0.0,0
2008-02-05,14.49,14.52,14.0,14.0,1383700,0.0,0
2008-02-06,14.0,14.07,13.61,13.62,2336000,0.0,0
2008-02-07,13.59,13.7,13.5,13.67,2852500,0.0,0
2008-02-08,13.83,13.86,13.64,13.83,1407900,0.0,0
2008-02-11,13.86,13.86,13.54,13.74,1992600,0.0,0
2008-02-12,13.76,13.87,13.61,13.73,2156300,0.0,0
2008-02-13,13.58,13.73,13.54,13.67,4738100,0.0,0
2008-02-14,13.62,13.74,13.57,13.61,3704100,0.0,0
2008-02-15,13.75,13.8,13.55,13.77,1706600,0.0,0
2008-02-19,13.86,13.93,13.56,13.65,2506800,0.0,0
2008-02-20,13.71,13.83,13.61,13.82,2102600,0.0,0
2008-02-21,14.01,14.29,14.01,14.11,1767000,0.0,0
2008-02-22,14.28,14.36,14.03,14.17,1722500,0.0,0
2008-02-25,14.23,14.41,14.15,14.41,1657100,0.0,0
2008-02-26,13.95,14.05,13.79,13.99,2369400,0.0,0
2008-02-27,13.93,13.98,13.82,13.85,1587200,0.0,0
2008-02-28,13.83,13.91,13.69,13.72,1257000,0.0,0
2008-02-29,13.67,13.67,13.48,13.53,958500,0.0,0
2008-03-03,13.55,13.55,13.29,13.39,1543500,0.0,0
2008-03-04,13.19,13.4,13.18,13.3,1777500,0.0,0
2008-03-05,13.32,13.39,13.13,13.18,2158200,0.0,0
2008-03-06,13.18,13.18,12.78,12.78,1692700,0.0,0
2008-03-07,12.68,12.72,12.38,12.51,1956900,0.0,0
2008-03-10,12.31,12.61,12.31,12.52,1460200,0.0,0
2008-03-11,12.86,13.01,12.6,13.01,1414200,0.0,0
2008-03-12,12.96,12.99,12.81,12.81,957200,0.0,0
2008-03-13,12.54,12.71,12.39,12.64,1062100,0.0,0
2008-03-14,12.42,12.48,12.25,12.38,2947200,0.0,0
2008-03-17,11.99,12.34,11.99,12.18,1841300,0.0,0
2008-03-18,12.51,12.75,12.36,12.72,1856500,0.0,0
2008-03-19,12.61,12.61,12.02,12.02,1776000,0.0,0
2008-03-20,12.02,12.31,11.99,12.28,816800,0.0,0
2008-03-24,12.42,12.43,12.21,12.36,1677500,0.0,0
2008-03-25,12.58,12.88,12.52,12.84,3810700,0.0,0
2008-03-26,12.84,12.96,12.77,12.92,1329400,0.0,0
2008-03-27,12.8,12.97,12.71,12.89,1301500,0.0,0
2008-03-28,13.04,13.21,12.92,13.16,1239700,0.0,0
2008-03-31,13.13,13.13,12.93,13.05,1321100,0.0,0
2008-04-01,13.05,13.27,12.83,13.15,1179300,0.0,0
2008-04-02,12.89,13.1,12.67,12.97,921400,0.0,0
2008-04-03,12.99,13.2,12.83,13.15,645600,0.0,0
2008-04-04,13.21,13.36,13.04,13.26,1245600,0.0,0
2008-04-07,13.47,13.71,13.47,13.65,1674300,0.0,0
2008-04-08,13.51,13.67,13.47,13.55,1062200,0.0,0
2008-04-09,13.55,13.61,13.38,13.39,1276200,0.0,0
2008-04-10,13.49,13.51,13.39,13.47,1119200,0.0,0
2008-04-11,13.32,13.33,13.0,13.03,1393600,0.0,0
2008-04-14,13.1,13.18,13.03,13.13,1098600,0.0,0
2008-04-15,13.39,13.45,13.36,13.41,1761600,0.0,0
2008-04-16,13.61,13.62,13.46,13.56,1669300,0.0,0
2008-04-17,13.47,13.54,13.26,13.28,2268100,0.0,0
2008-04-18,13.3,13.36,13.25,13.32,785600,0.0,0
2008-04-21,13.32,13.38,13.27,13.36,717600,0.0,0
2008-04-22,13.38,13.38,13.03,13.12,1284600,0.0,0
2008-04-23,13.15,13.36,13.06,13.33,1609600,0.0,0
2008-04-24,13.17,13.48,13.17,13.43,1832100,0.0,0
2008-04-25,13.76,13.86,13.56,13.65,1276000,0.0,0
2008-04-28,13.74,13.74,13.54,13.56,2016700,0.0,0
2008-04-29,13.42,13.47,13.3,13.36,832000,0.0,0
2008-04-30,13.56,13.75,13.54,13.63,1543000,0.0,0
2008-05-01,13.71,13.79,13.58,13.79,1217100,0.0,0
2008-05-02,13.83,13.99,13.82,13.99,1686200,0.0,0
2008-05-05,14.03,14.06,13.84,13.93,2372800,0.0,0
2008-05-06,13.94,13.94,13.8,13.92,566600,0.0,0
2008-05-07,13.85,13.87,13.65,13.65,2009600,0.0,0
2008-05-08,13.62,13.73,13.53,13.64,890700,0.0,0
2008-05-09,13.64,13.76,13.36,13.68,1512800,0.0,0
2008-05-12,13.65,13.76,13.59,13.76,579600,0.0,0
2008-05-13,13.88,14.89,13.83,14.05,1137600,0.0,0
2008-05-14,14.02,14.04,13.89,14.02,1130600,0.0,0
2008-05-15,13.94,14.25,13.92,14.17,1460000,0.0,0
2008-05-16,14.08,14.15,14.06,14.11,975800,0.0,0
2008-05-19,14.03,14.12,13.92,13.96,1155000,0.0,0
2008-05-20,13.66,13.73,13.45,13.47,1161500,0.0,0
2008-05-21,13.47,13.58,13.35,13.38,646600,0.0,0
2008-05-22,13.42,13.54,13.42,13.51,470900,0.0,0
2008-05-23,13.37,13.54,13.33,13.47,1032600,0.0,0
2008-05-27,13.42,13.47,13.29,13.36,631000,0.0,0
2008-05-28,13.41,13.58,13.39,13.56,572200,0.0,0
2008-05-29,13.46,13.71,13.41,13.63,670200,0.0,0
2008-05-30,13.64,13.81,13.61,13.72,677200,0.0,0
2008-06-02,13.65,13.65,13.33,13.42,967400,0.0,0
2008-06-03,13.38,13.51,13.29,13.38,710300,0.0,0
2008-06-04,13.31,13.41,13.27,13.38,796000,0.0,0
2008-06-05,13.19,13.45,13.13,13.43,1200600,0.0,0
2008-06-06,13.33,13.36,13.16,13.16,876600,0.0,0
2008-06-09,13.16,13.16,12.66,12.78,1192100,0.0,0
2008-06-10,12.68,12.85,12.6,12.78,1280100,0.0,0
2008-06-11,12.47,12.61,12.36,12.51,2108800,0.0,0
2008-06-12,12.66,12.85,12.55,12.79,1395700,0.0,0
2008-06-13,12.71,12.89,12.67,12.85,746700,0.0,0
2008-06-16,12.86,12.89,12.75,12.8,535100,0.0,0
2008-06-17,12.77,13.09,12.77,12.95,518600,0.0,0
2008-06-18,12.95,12.95,12.64,12.78,572400,0.0,0
2008-06-19,12.71,12.89,12.67,12.84,886000,0.0,0
2008-06-20,12.65,12.83,12.52,12.6,801300,0.0,0
2008-06-23,12.58,12.63,12.48,12.57,587700,0.0,0
2008-06-24,12.4,12.81,12.4,12.65,986400,0.0,0
2008-06-25,12.81,13.08,12.75,12.97,791400,0.0,0
2008-06-26,13.0,13.0,12.64,12.64,593600,0.079217,0
2008-06-27,12.64,12.8,12.49,12.53,1060400,0.0,0
2008-06-30,12.46,12.72,12.33,12.59,430200,0.0,0
