Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,1.3,1.35,1.3,1.3,4000,0,0
2008-01-03,1.35,1.4,1.25,1.3,44600,0,0
2008-01-04,0.94,0.94,0.94,0.94,0,0,0
2008-01-07,18.89,18.89,18.89,18.89,430,0,0
2008-01-08,29.55,29.55,29.55,29.55,10000,0,0
2008-01-09,1.7,1.8,1.6,1.8,82950,0,0
2008-01-10,10.48,10.48,10.48,10.48,611,0,0
2008-01-11,2.05,2.25,1.85,2.0,145600,0,0
2008-01-14,34.72,34.72,34.72,34.72,40000,0,0
2008-01-15,1.9,2.0,1.85,1.95,77750,0,0
2008-01-16,300.18,300.18,300.18,300.18,4,0,0
2008-01-17,0.94,0.94,0.94,0.94,0,0,0
2008-01-18,1.55,1.9,1.55,1.7,19950,0,0
2008-01-22,1.4,1.65,1.4,1.65,59790,0,0
2008-01-23,1.65,1.75,1.5,1.7,42380,0,0
2008-01-24,18.56,18.56,18.56,18.56,100,0,0
2008-01-25,0.94,0.94,0.94,0.94,0,0,0
2008-01-28,8.26,8.27,8.26,8.27,11700,0,0
2008-01-29,1.75,1.95,1.7,1.85,32350,0,0
2008-01-30,0.94,0.94,0.94,0.94,0,0,0
2008-01-31,1.9,1.9,1.75,1.8,6900,0,0
2008-02-01,1.9,2.0,1.8,1.95,30750,0,0
2008-02-04,0.94,0.94,0.94,0.94,0,0,0
2008-02-05,1.8,1.9,1.7,1.9,36876,0,0
2008-02-06,1.9,2.0,1.85,2.0,48400,0,0
2008-02-07,5.86,5.86,5.86,5.86,2600,0,0
2008-02-08,1.8,1.85,1.75,1.8,41118,0,0
2008-02-11,9.89,9.89,9.89,9.89,1639,0,0
2008-02-12,0.94,0.94,0.94,0.94,0,0,0
2008-02-13,14.15,14.15,14.15,14.15,6000,0,0
2008-02-14,17.5,17.5,17.5,17.5,6,0,0
2008-02-15,1.9,1.95,1.9,1.95,34450,0,0
2008-02-19,1.85,1.9,1.8,1.85,14300,0,0
2008-02-20,0.94,0.94,0.94,0.94,0,0,0
2008-02-21,33.12,33.12,33.12,33.12,5000,0,0
2008-02-22,1.85,1.9,1.8,1.9,10750,0,0
2008-02-25,1.85,1.85,1.8,1.85,2000,0,0
2008-02-26,1.85,1.85,1.8,1.8,9200,0,0
2008-02-27,50.0,50.0,50.0,50.0,200,0,0
2008-02-28,9.0,9.0,9.0,9.0,7225,0,0
2008-02-29,0.94,0.94,0.94,0.94,0,0,0
2008-03-03,1.9,1.95,1.9,1.95,23500,0,0
2008-03-04,22.26,22.26,22.26,22.26,1400,0,0
2008-03-05,1.95,2.05,1.9,2.0,22818,0,0
2008-03-06,0.94,0.94,0.94,0.94,0,0,0
2008-03-07,1.9,2.0,1.85,1.85,15730,0,0
2008-03-10,0.94,0.94,0.94,0.94,0,0,0
2008-03-11,1.8,1.8,1.75,1.75,14000,0,0
2008-03-12,1.7,1.7,1.7,1.7,1200,0,0
2008-03-13,324.0,324.0,324.0,324.0,50,0,0
2008-03-14,0.94,0.94,0.94,0.94,0,0,0
2008-03-17,1.7,1.7,1.65,1.65,28300,0,0
2008-03-18,0.94,0.94,0.94,0.94,0,0,0
2008-03-19,38.53,38.53,38.53,38.53,170800,0,0
2008-03-20,1.6,1.65,1.55,1.65,14270,0,0
2008-03-24,10.0,10.0,10.0,10.0,30000,0,0
2008-03-25,1.65,1.75,1.65,1.75,7600,0,0
2008-03-26,4.96,4.96,4.96,4.41,100,0,0
2008-03-27,1.7,1.7,1.6,1.7,14000,0,0
2008-03-28,0.94,0.94,0.94,0.94,0,0,0
2008-03-31,1.6,1.75,1.6,1.75,3350,0,0
2008-04-01,0.23,0.23,0.23,0.23,20000,0,0
2008-04-02,9.1,10.28,9.1,9.28,18000,0,0
2008-04-03,1.09,1.09,1.09,1.09,4482,0,0
2008-04-04,57.95,57.95,57.95,57.95,6000,0,0
2008-04-07,0.94,0.94,0.94,0.94,0,0,0
2008-04-08,1.65,1.75,1.65,1.75,11300,0,0
2008-04-09,1.6,1.6,1.6,1.6,2300,0,0
2008-04-10,0.94,0.94,0.94,0.94,0,0,0
2008-04-11,0.94,0.94,0.94,0.94,0,0,0
2008-04-14,1.55,1.55,1.5,1.5,3700,0,0
2008-04-15,47.35,47.35,47.35,47.35,3500,0,0
2008-04-16,0.94,0.94,0.94,0.94,0,0,0
2008-04-17,3.32,3.32,3.32,3.32,5375,0,0
2008-04-18,0.5,0.5,0.5,0.5,200000,0,0
2008-04-21,7.95,7.95,7.95,7.95,2000,0,0
2008-04-22,1.7,1.7,1.6,1.6,4300,0,0
2008-04-23,44.58,44.58,44.58,44.58,200,0,0
2008-04-24,1.65,1.65,1.65,1.65,0,0,0
2008-04-25,38.16,38.29,38.15,38.16,150000,0,0
2008-04-28,0.94,0.94,0.94,0.94,0,0,0
2008-04-29,0.94,0.94,0.94,0.94,0,0,0
2008-04-30,17.6,17.6,17.6,17.6,7,0,0
2008-05-01,1.4,1.4,1.3,1.35,15900,0,0
2008-05-02,1.3,1.4,1.3,1.4,6450,0,0
2008-05-05,24.3,24.39,24.3,24.39,4000,0,0
2008-05-06,1.35,1.45,1.3,1.45,10130,0,0
2008-05-07,1.35,1.35,1.35,1.35,500,0,0
2008-05-08,1.4,1.4,1.4,1.4,900,0,0
2008-05-09,0.94,0.94,0.94,0.94,0,0,0
2008-05-12,0.94,0.94,0.94,0.94,0,0,0
2008-05-13,0.94,0.94,0.94,0.94,0,0,0
2008-05-14,59.05,59.7,59.05,59.7,1338,0,0
2008-05-15,1.4,1.55,1.4,1.4,15150,0,0
2008-05-16,1.45,1.45,1.4,1.4,4000,0,0
2008-05-19,4.45,4.45,4.45,4.45,100000,0,0
2008-05-20,1.5,1.55,1.45,1.55,7382,0,0
2008-05-21,22.55,22.55,22.55,22.55,1,0,0
2008-05-22,25.12,25.12,25.12,25.12,1300,0,0
2008-05-23,0.94,0.94,0.94,0.94,0,0,0
2008-05-27,0.94,0.94,0.94,0.94,0,0,0
2008-05-28,9.83,9.83,9.83,9.83,115,0,0
2008-05-29,15.84,15.84,15.84,15.84,300,0,0
2008-05-30,0.94,0.94,0.94,0.94,0,0,0
2008-06-02,0.94,0.94,0.94,0.94,0,0,0
2008-06-03,1.65,1.7,1.6,1.7,12200,0,0
2008-06-04,0.94,0.94,0.94,0.94,0,0,0
2008-06-05,11.46,11.46,11.46,11.46,260,0,0
2008-06-06,1.9,2.0,1.8,2.0,45300,0,0
2008-06-09,21.76,21.76,21.76,21.76,66600,0,0
2008-06-10,30.01,30.01,30.01,30.01,200,0,0
2008-06-11,0.94,0.94,0.94,0.94,0,0,0
2008-06-12,0.94,0.94,0.94,0.94,0,0,0
2008-06-13,1.7,1.8,1.7,1.8,8150,0,0
2008-06-16,0.94,0.94,0.94,0.94,0,0,0
2008-06-17,0.94,0.94,0.94,0.94,0,0,0
2008-06-18,0.94,0.94,0.94,0.94,0,0,0
2008-06-19,1.85,2.0,1.8,2.0,23800,0,0
2008-06-20,1.95,2.05,1.9,2.0,39550,0,0
2008-06-23,2.0,2.0,1.9,1.9,17100,0,0
2008-06-24,1.9,1.95,1.8,1.95,18400,0,0
2008-06-25,0.94,0.94,0.94,0.94,0,0,0
