Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,20.65,20.98,19.76,20.27,1302182,0,0
2008-01-03,20.27,20.45,19.05,19.1,1557800,0,0
2008-01-04,18.89,18.89,16.97,17.73,3722570,0,0
2008-01-07,17.77,18.35,17.18,18.17,2186495,0,0
2008-01-08,18.15,18.57,17.33,17.35,1200153,0,0
2008-01-09,17.4,17.4,15.77,17.23,5520463,0,0
2008-01-10,17.08,18.0,16.82,17.3,2998102,0,0
2008-01-11,16.9,17.1,15.85,15.85,3147450,0,0
2008-01-14,15.92,16.23,14.7,15.94,3996150,0,0
2008-01-15,15.75,15.8,14.88,15.09,4037908,0,0
2008-01-16,15.0,16.21,15.0,16.08,3369220,0,0
2008-01-17,16.2,16.3,15.4,15.51,1813500,0,0
2008-01-18,15.54,16.33,15.48,15.85,2457213,0,0
2008-01-22,15.19,16.97,15.1,16.59,4083862,0,0
2008-01-23,16.05,17.7,15.56,17.4,3495010,0,0
2008-01-24,17.25,17.59,16.64,17.1,1804819,0,0
2008-01-25,17.19,17.6,16.94,16.96,2247855,0,0
2008-01-28,16.93,18.04,16.63,18.02,3494059,0,0
2008-01-29,18.09,18.8,17.91,18.58,2302408,0,0
2008-01-30,18.42,18.8,17.65,18.46,2466298,0,0
2008-01-31,17.61,18.8,17.21,18.05,4775272,0,0
2008-02-01,18.11,19.0,17.7,18.34,1985700,0,0
2008-02-04,18.27,18.36,17.5,17.91,1640050,0,0
2008-02-05,17.55,17.79,16.42,16.46,2920850,0,0
2008-02-06,16.51,17.21,16.23,16.25,3124214,0,0
2008-02-07,17.03,17.92,16.04,17.67,4439385,0,0
2008-02-08,17.66,18.34,17.29,17.34,1876244,0,0
2008-02-11,17.39,17.56,17.1,17.35,1857331,0,0
2008-02-12,17.36,17.78,16.8,16.96,1417775,0,0
2008-02-13,17.18,17.52,16.87,17.11,1395875,0,0
2008-02-14,17.1,17.45,16.5,17.2,3319675,0,0
2008-02-15,17.5,17.5,16.87,17.19,1824200,0,0
2008-02-19,17.34,17.35,16.44,16.46,1114943,0,0
2008-02-20,16.22,16.91,16.22,16.79,1488980,0,0
2008-02-21,16.9,17.24,16.32,16.43,1281040,0,0
2008-02-22,16.57,16.72,16.07,16.14,1510673,0,0
2008-02-25,16.1,16.28,15.95,16.14,1806850,0,0
2008-02-26,16.1,16.9,16.1,16.7,1935821,0,0
2008-02-27,16.5,17.28,16.42,16.5,1597884,0,0
2008-02-28,16.48,16.5,16.05,16.11,1040218,0,0
2008-02-29,16.0,16.38,15.43,15.56,1284455,0,0
2008-03-03,15.6,15.6,14.93,15.07,2514123,0,0
2008-03-04,15.43,15.65,14.95,15.49,3827503,0,0
2008-03-05,16.01,16.3,15.17,15.24,3359178,0,0
2008-03-06,14.46,14.64,13.0,13.04,5818128,0,0
2008-03-07,12.94,13.38,12.33,12.38,2713800,0,0
2008-03-10,12.42,12.76,12.11,12.2,2382800,0,0
2008-03-11,12.47,12.8,11.76,12.52,3118200,0,0
2008-03-12,12.6,12.97,11.61,11.71,2893583,0,0
2008-03-13,11.58,13.0,11.04,12.82,7122108,0,0
2008-03-14,12.95,12.95,11.97,12.39,2583448,0,0
2008-03-17,12.1,12.69,11.81,12.08,3181252,0,0
2008-03-18,12.35,12.63,12.1,12.41,3472422,0,0
2008-03-19,12.45,12.66,12.1,12.17,2474263,0,0
2008-03-20,12.13,13.32,12.12,12.83,6497135,0,0
2008-03-24,12.85,14.01,12.84,13.18,2683061,0,0
2008-03-25,13.21,13.61,13.15,13.32,1973200,0,0
2008-03-26,13.24,13.24,12.73,12.75,1291100,0,0
2008-03-27,12.77,12.95,12.3,12.41,1231447,0,0
2008-03-28,12.1,12.19,11.85,11.91,1867100,0,0
2008-03-31,11.85,12.54,11.85,12.47,1682100,0,0
2008-04-01,12.4,13.12,12.25,13.0,1990558,0,0
2008-04-02,13.06,13.3,12.97,12.98,1731950,0,0
2008-04-03,12.87,13.01,12.53,12.72,1223605,0,0
2008-04-04,12.75,13.19,12.5,12.83,2412185,0,0
2008-04-07,12.88,13.34,12.76,12.97,1913391,0,0
2008-04-08,12.89,13.19,12.66,12.75,1648753,0,0
2008-04-09,12.95,13.02,12.24,12.52,1510400,0,0
2008-04-10,12.3,13.01,11.71,12.71,4045153,0,0
2008-04-11,12.4,12.45,11.77,11.96,3064895,0,0
2008-04-14,11.9,12.21,11.75,11.79,3182306,0,0
2008-04-15,11.83,12.53,11.75,12.49,4622821,0,0
2008-04-16,12.5,12.65,12.21,12.61,3780424,0,0
2008-04-17,12.59,12.72,12.03,12.08,2966795,0,0
2008-04-18,12.28,12.92,12.28,12.73,2500466,0,0
2008-04-21,12.6,12.74,12.43,12.72,1104060,0,0
2008-04-22,12.65,12.99,12.3,12.53,2706991,0,0
2008-04-23,12.6,12.9,12.4,12.53,1586828,0,0
2008-04-24,12.63,12.95,12.4,12.74,2512571,0,0
2008-04-25,12.81,13.35,12.75,13.18,1778246,0,0
2008-04-28,13.15,13.22,12.8,13.05,1222183,0,0
2008-04-29,12.96,13.45,12.74,13.36,1738960,0,0
2008-04-30,13.36,13.41,12.86,13.01,2091237,0,0
2008-05-01,13.02,13.79,12.96,13.64,2781217,0,0
2008-05-02,13.71,13.87,13.18,13.49,1737792,0,0
2008-05-05,13.37,13.4,12.95,13.28,1700246,0,0
2008-05-06,13.14,13.4,12.96,13.34,1160580,0,0
2008-05-07,13.31,13.74,12.98,13.06,1720976,0,0
2008-05-08,13.6,13.69,12.62,12.7,3236941,0,0
2008-05-09,12.67,13.21,12.45,13.19,1907102,0,0
2008-05-12,13.18,13.41,13.08,13.39,1178810,0,0
2008-05-13,13.35,13.4,13.01,13.06,1482987,0,0
