Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.26,10.33,10.09,10.18,751200,0.0,0.0
2008-01-03,10.23,10.41,10.02,10.04,1263600,0.0,0.0
2008-01-04,9.93,9.95,9.44,9.5,1559400,0.0,0.0
2008-01-07,9.58,9.82,9.44,9.75,1090800,0.0,0.0
2008-01-08,9.77,9.97,9.29,9.31,1126000,0.0,0.0
2008-01-09,9.3,9.38,8.85,9.32,1366600,0.0,0.0
2008-01-10,9.19,9.74,9.11,9.52,1462000,0.0,0.0
2008-01-11,9.46,9.79,9.35,9.39,2471000,0.0,0.0
2008-01-14,9.51,9.51,8.99,9.25,1029400,0.0,0.0
2008-01-15,9.12,9.29,9.03,9.22,1083800,0.0,0.0
2008-01-16,9.21,9.65,9.16,9.48,1284600,0.0,0.0
2008-01-17,9.61,9.69,9.45,9.52,1748600,0.0,0.0
2008-01-18,9.52,9.65,9.26,9.5,1460200,0.0,0.0
2008-01-22,9.11,9.69,9.11,9.55,1968600,0.0,0.0
2008-01-23,9.31,10.4,9.29,10.31,1703200,0.0,0.0
2008-01-24,10.34,10.49,10.15,10.37,2268800,0.0,0.0
2008-01-25,10.42,10.47,10.04,10.07,985400,0.0,0.0
2008-01-28,10.01,10.27,9.87,10.27,957600,0.0,0.0
2008-01-29,10.48,10.52,10.15,10.29,565800,0.36,0.0
2008-01-30,10.17,10.54,10.17,10.24,666600,0.0,0.0
2008-01-31,10.11,10.53,9.98,10.4,548000,0.0,0.0
2008-02-01,10.39,10.82,10.39,10.78,678000,0.0,0.0
2008-02-04,10.77,10.86,10.54,10.76,534200,0.0,0.0
2008-02-05,10.76,10.76,10.45,10.5,666800,0.0,0.0
2008-02-06,10.5,10.55,9.98,10.3,829600,0.0,0.0
2008-02-07,10.29,10.54,10.23,10.51,872000,0.0,0.0
2008-02-08,10.47,10.56,10.23,10.4,973000,0.0,0.0
2008-02-11,10.33,10.49,10.22,10.25,862200,0.0,0.0
2008-02-12,10.29,10.5,10.22,10.32,931800,0.0,0.0
2008-02-13,10.52,10.58,10.35,10.54,632200,0.0,0.0
2008-02-14,10.58,10.6,10.22,10.22,1032800,0.0,0.0
2008-02-15,10.13,10.26,10.02,10.11,1125000,0.0,0.0
2008-02-19,10.2,10.2,9.74,9.86,1208200,0.0,0.0
2008-02-20,9.77,10.07,9.74,10.05,558400,0.0,0.0
2008-02-21,10.14,10.19,9.8,9.86,553200,0.0,0.0
2008-02-22,9.84,10.06,9.68,10.04,494600,0.0,0.0
2008-02-25,10.02,10.2,9.87,10.2,1026800,0.0,0.0
2008-02-26,10.14,10.39,10.08,10.27,594200,0.0,0.0
2008-02-27,10.16,10.29,9.97,10.04,766600,0.0,0.0
2008-02-28,9.96,10.0,9.9,9.92,759000,0.0,0.0
2008-02-29,9.76,9.92,9.68,9.82,614200,0.0,0.0
2008-03-03,9.81,9.88,9.67,9.8,958600,0.0,0.0
2008-03-04,9.68,9.84,9.64,9.75,720400,0.0,0.0
2008-03-05,9.83,9.83,9.62,9.71,905600,0.0,0.0
2008-03-06,9.68,9.72,9.44,9.5,775200,0.0,0.0
2008-03-07,9.41,9.74,9.36,9.65,561200,0.0,0.0
2008-03-10,9.67,9.69,9.54,9.62,605200,0.0,0.0
2008-03-11,9.91,10.04,9.73,10.04,857600,0.0,0.0
2008-03-12,9.98,10.19,9.96,9.99,725400,0.0,0.0
2008-03-13,9.89,10.34,9.78,10.29,1757800,0.0,0.0
2008-03-14,10.3,10.35,9.83,10.11,924400,0.0,0.0
2008-03-17,9.93,10.48,9.89,10.37,1063200,0.0,0.0
2008-03-18,10.44,10.53,10.12,10.53,998000,0.0,0.0
2008-03-19,10.7,10.79,10.57,10.63,886000,0.0,0.0
2008-03-20,10.44,11.08,10.44,11.07,1786800,0.0,0.0
2008-03-24,11.07,11.33,10.98,11.24,748800,0.0,0.0
2008-03-25,11.26,11.26,10.91,11.18,756000,0.0,0.0
2008-03-26,11.07,11.2,10.97,11.05,814400,0.0,0.0
2008-03-27,11.06,11.23,10.94,10.94,851600,0.0,0.0
2008-03-28,10.94,11.0,10.67,10.73,1377200,0.0,0.0
2008-03-31,10.65,10.93,10.63,10.64,1265600,0.0,0.0
2008-04-01,10.72,11.11,10.63,11.11,1203000,0.0,0.0
2008-04-02,11.09,11.44,11.07,11.35,1143200,0.0,0.0
2008-04-03,11.27,11.61,11.24,11.61,607800,0.0,0.0
2008-04-04,11.66,11.7,11.36,11.44,670200,0.0,0.0
2008-04-07,11.48,11.6,11.37,11.54,851400,0.0,0.0
2008-04-08,11.44,11.72,11.44,11.58,2108200,0.0,0.0
2008-04-09,11.62,11.69,11.25,11.3,1077600,0.0,0.0
2008-04-10,11.37,11.55,11.26,11.41,840800,0.0,0.0
2008-04-11,11.33,11.38,11.11,11.18,950400,0.0,0.0
2008-04-14,11.1,11.21,11.1,11.17,1685800,0.0,0.0
2008-04-15,11.19,11.2,10.81,10.91,982200,0.0,0.0
2008-04-16,10.97,11.09,10.88,11.09,1232400,0.0,0.0
2008-04-17,11.0,11.18,10.93,11.14,1287200,0.0,0.0
2008-04-18,11.32,11.52,11.23,11.29,1344200,0.0,0.0
2008-04-21,11.19,11.19,10.97,11.07,520200,0.0,0.0
2008-04-22,11.0,11.06,10.87,11.0,551800,0.0,0.0
2008-04-23,11.05,11.19,10.95,11.18,627200,0.0,0.0
2008-04-24,11.21,11.42,11.12,11.41,662800,0.0,0.0
2008-04-25,11.48,11.54,11.32,11.5,543000,0.0,0.0
2008-04-28,11.5,11.5,11.25,11.35,914400,0.38,0.0
2008-04-29,11.3,11.39,11.27,11.33,591600,0.0,0.0
2008-04-30,11.37,11.49,11.23,11.37,880600,0.0,0.0
2008-05-01,11.34,11.37,11.13,11.27,2160000,0.0,0.0
2008-05-02,11.32,11.49,11.27,11.31,821800,0.0,0.0
2008-05-05,11.3,11.31,11.11,11.15,563200,0.0,0.0
2008-05-06,11.11,11.26,11.11,11.25,845600,0.0,0.0
2008-05-07,11.27,11.27,11.07,11.12,994800,0.0,0.0
2008-05-08,11.12,11.15,10.9,10.98,719000,0.0,0.0
2008-05-09,10.89,11.02,10.82,10.95,457400,0.0,0.0
2008-05-12,11.02,11.13,10.97,11.13,488200,0.0,0.0
2008-05-13,11.08,11.19,11.03,11.15,402200,0.0,0.0
2008-05-14,11.14,11.33,11.14,11.27,415800,0.0,0.0
2008-05-15,11.23,11.41,11.15,11.38,374800,0.0,0.0
2008-05-16,11.4,11.41,11.29,11.34,535000,0.0,0.0
2008-05-19,11.3,11.41,11.21,11.27,1007800,0.0,0.0
2008-05-20,11.24,11.31,11.1,11.14,267000,0.0,0.0
2008-05-21,11.15,11.22,10.92,10.96,837400,0.0,0.0
2008-05-22,11.0,11.0,10.75,10.79,626000,0.0,0.0
2008-05-23,10.78,10.81,10.34,10.57,2878200,0.0,0.0
2008-05-27,10.55,10.86,10.55,10.83,575600,0.0,0.0
2008-05-28,10.87,10.87,10.64,10.73,908200,0.0,0.0
2008-05-29,10.77,10.85,10.63,10.77,1452400,0.0,0.0
2008-05-30,10.74,10.8,10.68,10.78,877600,0.0,0.0
2008-06-02,10.77,10.8,10.59,10.65,727800,0.0,0.0
2008-06-03,10.75,10.92,10.7,10.86,1562600,0.0,0.0
2008-06-04,10.86,11.07,10.82,10.98,1046800,0.0,0.0
2008-06-05,11.09,11.31,11.02,11.3,1155000,0.0,0.0
2008-06-06,11.16,11.3,11.1,11.11,1691200,0.0,0.0
2008-06-09,11.12,11.29,10.96,10.96,1334200,0.0,0.0
2008-06-10,10.9,11.05,10.83,10.92,1429400,0.0,0.0
2008-06-11,10.86,11.0,10.74,10.74,851400,0.0,0.0
2008-06-12,10.75,10.87,10.61,10.73,687600,0.0,0.0
2008-06-13,10.8,10.81,10.64,10.74,595400,0.0,0.0
2008-06-16,10.67,10.88,10.67,10.88,894000,0.0,0.0
2008-06-17,10.92,10.92,10.74,10.81,863000,0.0,0.0
2008-06-18,10.74,10.81,10.51,10.71,861400,0.0,0.0
2008-06-19,10.71,10.99,10.68,10.99,570200,0.0,0.0
2008-06-20,11.02,11.21,10.55,10.61,1578200,0.0,0.0
2008-06-23,10.65,10.65,10.11,10.14,1361800,0.0,0.0
2008-06-24,10.11,10.26,9.92,10.03,1306000,0.0,0.0
2008-06-25,10.05,10.47,10.05,10.27,725200,0.0,0.0
2008-06-26,10.09,10.31,10.05,10.09,921600,0.0,0.0
2008-06-27,10.11,10.21,9.95,10.11,1209400,0.0,0.0
2008-06-30,9.92,10.26,9.92,10.13,936800,0.0,0.0
2008-07-01,10.04,10.16,9.87,10.14,1191200,0.0,0.0
2008-07-02,10.15,10.42,10.15,10.24,1810800,0.0,0.0
2008-07-03,10.33,10.38,10.21,10.32,710800,0.0,0.0
2008-07-07,10.37,10.41,9.96,10.12,1020400,0.0,0.0
2008-07-08,10.18,10.85,10.02,10.78,1090400,0.0,0.0
2008-07-09,10.77,10.77,10.07,10.09,1124200,0.0,0.0
2008-07-10,10.09,10.49,10.01,10.38,982000,0.0,0.0
2008-07-11,10.26,10.49,10.11,10.26,1737200,0.0,0.0
2008-07-14,10.38,10.44,9.81,9.84,1339800,0.0,0.0
