Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.47,6.7,6.44,6.51,121000,0.0,0
2008-01-03,6.45,6.64,6.07,6.07,179200,0.0,0
2008-01-04,6.03,6.11,5.9,5.97,139700,0.0,0
2008-01-07,6.08,6.08,5.89,5.95,157100,0.0,0
2008-01-08,5.91,6.07,5.69,5.7,163300,0.0,0
2008-01-09,5.67,5.73,5.4,5.55,148600,0.0,0
2008-01-10,5.48,5.69,5.44,5.62,127900,0.0,0
2008-01-11,5.58,5.63,5.38,5.47,143500,0.0,0
2008-01-14,5.49,5.62,5.39,5.54,96500,0.0,0
2008-01-15,5.5,6.25,5.44,5.95,209600,0.0,0
2008-01-16,5.9,6.54,5.9,6.4,132300,0.0,0
2008-01-17,6.43,6.53,6.06,6.1,101800,0.0,0
2008-01-18,6.05,6.25,5.72,5.8,124800,0.0,0
2008-01-22,5.76,5.84,5.38,5.54,171200,0.0,0
2008-01-23,5.36,6.22,5.36,5.97,144200,0.0,0
2008-01-24,5.98,6.41,5.87,6.23,149200,0.0,0
2008-01-25,6.31,6.7,6.01,6.14,131800,0.0,0
2008-01-28,6.1,6.62,6.07,6.45,192600,0.0,0
2008-01-29,6.48,6.62,6.39,6.42,104700,0.0,0
2008-01-30,6.38,7.0,6.32,6.55,116300,0.0,0
2008-01-31,6.6,6.6,6.38,6.51,128000,0.0,0
2008-02-01,6.51,6.95,6.51,6.91,141800,0.0,0
2008-02-04,6.86,6.98,6.66,6.73,81500,0.0,0
2008-02-05,6.61,6.7,6.29,6.31,119100,0.0,0
2008-02-06,6.39,6.78,6.34,6.44,93100,0.0,0
2008-02-07,6.42,6.59,6.1,6.33,147100,0.0,0
2008-02-08,6.33,6.35,6.07,6.14,128900,0.0,0
2008-02-11,6.16,6.16,5.81,5.88,148700,0.0,0
2008-02-12,5.95,5.99,5.83,5.86,218400,0.0,0
2008-02-13,5.95,6.19,5.87,6.18,103400,0.09,0
2008-02-14,6.23,6.31,5.8,6.0,167900,0.0,0
2008-02-15,5.95,6.05,5.77,5.77,251700,0.0,0
2008-02-19,5.96,6.02,5.79,5.84,151800,0.0,0
2008-02-20,5.82,6.15,5.79,6.13,157000,0.0,0
2008-02-21,6.19,6.3,5.95,5.99,265300,0.0,0
2008-02-22,5.99,6.07,5.75,5.76,149600,0.0,0
2008-02-25,5.84,6.1,5.72,6.07,137400,0.0,0
2008-02-26,6.03,6.38,6.03,6.23,99700,0.0,0
2008-02-27,6.2,6.5,6.19,6.39,119400,0.0,0
2008-02-28,6.35,6.41,6.1,6.2,302400,0.0,0
2008-02-29,6.19,6.35,5.89,5.92,291000,0.0,0
2008-03-03,5.89,6.24,5.8,5.92,339800,0.0,0
2008-03-04,5.87,6.14,5.79,5.96,99400,0.0,0
2008-03-05,6.0,6.0,5.73,5.92,126100,0.0,0
2008-03-06,5.95,5.99,5.68,5.69,117000,0.0,0
2008-03-07,5.67,6.1,5.63,5.92,85400,0.0,0
2008-03-10,5.88,6.29,5.88,6.0,98100,0.0,0
2008-03-11,5.06,5.71,4.86,4.99,470400,0.0,0
2008-03-12,5.01,5.24,4.82,4.84,151300,0.0,0
2008-03-13,4.79,5.21,4.66,5.17,185100,0.0,0
2008-03-14,5.15,5.15,4.79,4.84,164700,0.0,0
2008-03-17,4.82,4.9,4.6,4.74,159700,0.0,0
2008-03-18,4.89,4.96,4.65,4.87,122100,0.0,0
2008-03-19,4.95,5.09,4.87,4.9,134700,0.0,0
2008-03-20,4.85,5.22,4.76,4.78,324500,0.0,0
2008-03-24,4.81,5.44,4.81,5.34,176800,0.0,0
2008-03-25,5.24,5.82,5.24,5.82,160400,0.0,0
2008-03-26,5.72,6.05,5.49,5.72,465100,0.0,0
2008-03-27,5.77,5.85,5.32,5.44,239500,0.0,0
2008-03-28,5.44,5.52,5.0,5.32,238000,0.0,0
2008-03-31,5.3,5.3,4.81,4.89,230200,0.0,0
2008-04-01,4.89,5.36,4.89,5.36,136700,0.0,0
2008-04-02,5.3,5.36,5.09,5.16,119800,0.0,0
2008-04-03,5.08,5.18,4.97,5.0,100600,0.0,0
2008-04-04,5.03,5.35,5.01,5.33,96100,0.0,0
2008-04-07,5.34,5.34,5.1,5.13,86100,0.0,0
2008-04-08,5.11,5.33,4.96,5.3,73800,0.0,0
2008-04-09,5.27,5.27,4.95,4.95,170100,0.0,0
2008-04-10,4.97,5.16,4.96,5.05,90000,0.0,0
2008-04-11,5.01,5.05,4.89,4.91,121900,0.0,0
2008-04-14,4.9,4.96,4.85,4.91,74800,0.0,0
2008-04-15,4.93,5.03,4.87,4.95,55700,0.0,0
2008-04-16,5.01,5.02,4.83,4.85,126600,0.0,0
2008-04-17,4.85,5.02,4.81,4.85,126600,0.0,0
2008-04-18,4.93,5.35,4.87,5.29,175400,0.0,0
2008-04-21,5.28,5.31,4.96,5.24,142100,0.0,0
2008-04-22,5.17,5.17,4.85,4.85,219500,0.0,0
2008-04-23,4.87,4.95,4.75,4.82,188700,0.0,0
2008-04-24,4.83,5.11,4.77,5.09,199200,0.0,0
2008-04-25,5.1,5.12,4.99,5.05,138900,0.0,0
2008-04-28,5.05,5.11,4.95,5.0,83000,0.0,0
2008-04-29,5.05,5.1,4.93,5.06,72200,0.0,0
2008-04-30,5.09,5.11,4.85,4.85,140600,0.0,0
2008-05-01,4.86,5.07,4.86,5.02,68800,0.0,0
2008-05-02,5.07,5.1,4.91,5.03,102100,0.0,0
2008-05-05,5.03,5.03,4.85,4.85,86200,0.0,0
2008-05-06,4.87,5.05,4.87,5.01,105300,0.0,0
2008-05-07,5.12,5.55,5.12,5.33,189600,0.0,0
2008-05-08,5.36,5.67,5.26,5.67,158000,0.0,0
2008-05-09,5.64,5.87,5.56,5.66,119800,0.0,0
2008-05-12,5.75,6.16,5.75,6.09,215900,0.0,0
2008-05-13,6.17,6.45,6.06,6.39,225900,0.09,0
2008-05-14,6.43,6.87,6.41,6.79,299600,0.0,0
2008-05-15,6.79,6.81,6.54,6.7,140600,0.0,0
2008-05-16,6.71,6.82,6.47,6.66,119300,0.0,0
2008-05-19,6.66,7.23,6.66,7.03,263000,0.0,0
2008-05-20,7.07,7.12,6.87,7.03,70700,0.0,0
2008-05-21,7.05,7.07,6.65,6.65,111100,0.0,0
2008-05-22,6.69,7.16,6.69,6.92,152800,0.0,0
2008-05-23,6.87,6.98,6.66,6.85,121000,0.0,0
2008-05-27,6.79,6.99,6.79,6.89,115600,0.0,0
2008-05-28,6.89,6.95,6.58,6.69,67800,0.0,0
2008-05-29,6.67,6.99,6.6,6.91,173400,0.0,0
2008-05-30,6.92,6.96,6.63,6.87,209400,0.0,0
2008-06-02,6.88,6.92,6.69,6.83,131300,0.0,0
2008-06-03,6.83,6.95,6.69,6.88,117200,0.0,0
2008-06-04,6.87,6.92,6.68,6.85,111700,0.0,0
2008-06-05,6.84,7.22,6.83,7.19,150700,0.0,0
2008-06-06,7.21,7.22,6.87,6.87,104400,0.0,0
2008-06-09,6.87,7.31,6.79,7.29,158900,0.0,0
2008-06-10,7.15,7.26,7.0,7.17,120700,0.0,0
2008-06-11,7.12,7.23,7.04,7.08,81800,0.0,0
2008-06-12,7.13,7.27,7.08,7.08,65400,0.0,0
2008-06-13,7.15,7.33,6.96,7.28,105300,0.0,0
2008-06-16,7.27,7.44,7.17,7.4,116000,0.0,0
2008-06-17,7.38,7.53,7.31,7.51,99300,0.0,0
2008-06-18,7.36,7.46,7.25,7.45,105800,0.0,0
2008-06-19,7.42,7.61,7.36,7.58,58400,0.0,0
2008-06-20,7.55,7.6,7.44,7.48,230400,0.0,0
2008-06-23,7.59,7.59,7.39,7.56,93300,0.0,0
2008-06-24,7.47,7.51,7.27,7.35,190100,0.0,0
2008-06-25,7.36,7.76,7.34,7.76,96900,0.0,0
2008-06-26,7.67,7.67,6.66,6.98,286600,0.0,0
2008-06-27,6.98,7.53,6.91,7.13,1227200,0.0,0
2008-06-30,7.12,7.17,6.59,6.59,114800,0.0,0
2008-07-01,6.57,6.64,6.32,6.49,150100,0.0,0
2008-07-02,6.41,6.61,6.12,6.2,133600,0.0,0
2008-07-03,6.19,6.32,6.08,6.25,104200,0.0,0
2008-07-07,6.25,6.38,5.82,5.92,116100,0.0,0
2008-07-08,5.86,6.28,5.78,6.18,83900,0.0,0
2008-07-09,6.17,6.66,5.86,6.3,319000,0.0,0
2008-07-10,6.24,6.33,6.01,6.26,86900,0.0,0
2008-07-11,6.18,6.52,6.0,6.39,90400,0.0,0
2008-07-14,6.37,6.7,6.33,6.54,125200,0.0,0
2008-07-15,6.46,7.05,6.2,6.88,85100,0.0,0
2008-07-16,6.85,7.27,6.77,7.23,114700,0.0,0
2008-07-17,7.21,7.47,6.83,7.46,356700,0.0,0
2008-07-18,7.52,7.74,7.3,7.62,132900,0.0,0
2008-07-21,7.58,8.0,7.58,7.88,190600,0.0,0
2008-07-22,7.76,8.09,7.74,7.92,117200,0.0,0
2008-07-23,7.88,8.09,7.8,7.93,80000,0.0,0
2008-07-24,7.92,8.08,7.76,7.96,103300,0.0,0
2008-07-25,7.88,8.0,7.67,7.79,57900,0.0,0
2008-07-28,7.82,7.87,7.42,7.58,60200,0.0,0
2008-07-29,7.59,7.77,7.54,7.77,69400,0.0,0
2008-07-30,7.71,7.84,7.56,7.61,60400,0.0,0
2008-07-31,7.55,7.67,7.35,7.59,40300,0.0,0
2008-08-01,7.46,7.51,7.31,7.42,63700,0.0,0
2008-08-04,6.06,7.04,5.74,6.96,330500,0.0,0
2008-08-05,6.92,7.08,6.48,6.85,216200,0.0,0
2008-08-06,6.91,7.11,6.72,6.96,105500,0.0,0
2008-08-07,6.8,6.87,6.16,6.34,139200,0.0,0
2008-08-08,6.41,6.63,6.27,6.56,147100,0.0,0
2008-08-11,6.45,6.7,6.28,6.6,120700,0.0,0
2008-08-12,6.55,6.66,6.39,6.41,77000,0.0,0
2008-08-13,6.41,6.64,6.32,6.54,74900,0.09,0
2008-08-14,6.47,6.81,6.41,6.68,81600,0.0,0
2008-08-15,6.65,7.07,6.51,6.75,149600,0.0,0
2008-08-18,6.77,7.34,6.68,7.13,133200,0.0,0
2008-08-19,7.17,7.29,6.81,6.81,144300,0.0,0
2008-08-20,6.8,6.88,6.51,6.54,57400,0.0,0
2008-08-21,6.5,6.63,6.26,6.26,87600,0.0,0
2008-08-22,6.28,6.39,6.14,6.24,66900,0.0,0
2008-08-25,6.29,6.35,5.92,5.94,119800,0.0,0
2008-08-26,5.96,6.03,5.82,5.85,74900,0.0,0
2008-08-27,5.81,5.88,5.77,5.78,69700,0.0,0
2008-08-28,5.77,5.85,5.67,5.71,82300,0.0,0
2008-08-29,5.75,5.84,5.64,5.65,119100,0.0,0
2008-09-02,5.77,6.03,5.67,5.79,92700,0.0,0
2008-09-03,5.77,6.06,5.7,5.88,111800,0.0,0
2008-09-04,5.83,5.9,5.76,5.81,60400,0.0,0
2008-09-05,5.71,6.15,5.71,6.15,54600,0.0,0
2008-09-08,6.2,6.23,5.87,6.12,88600,0.0,0
2008-09-09,6.11,6.32,6.03,6.08,61800,0.0,0
2008-09-10,6.1,6.13,5.82,5.83,58900,0.0,0
2008-09-11,5.83,5.88,5.68,5.84,73100,0.0,0
2008-09-12,5.79,6.28,5.64,6.16,83400,0.0,0
2008-09-15,6.05,6.13,5.67,5.69,72800,0.0,0
2008-09-16,5.71,5.72,5.39,5.69,67400,0.0,0
2008-09-17,5.6,5.66,5.32,5.38,67000,0.0,0
2008-09-18,5.43,5.79,5.24,5.77,106800,0.0,0
2008-09-19,5.77,6.01,5.61,6.01,49600,0.0,0
2008-09-22,5.97,6.33,5.3,5.86,74200,0.0,0
2008-09-23,5.8,5.87,5.39,5.4,37200,0.0,0
2008-09-24,5.44,5.74,5.12,5.12,62200,0.0,0
2008-09-25,5.23,5.35,5.07,5.25,69500,0.0,0
2008-09-26,5.16,5.23,5.08,5.17,29700,0.0,0
2008-09-29,5.09,5.72,5.08,5.55,117600,0.0,0
2008-09-30,5.47,5.55,5.08,5.08,87500,0.0,0
2008-10-01,5.09,5.27,5.08,5.22,91000,0.0,0
2008-10-02,5.14,5.19,4.92,4.93,82200,0.0,0
2008-10-03,4.94,5.07,4.75,4.86,117500,0.0,0
2008-10-06,4.82,4.91,4.27,4.38,134300,0.0,0
2008-10-07,4.4,4.49,3.92,4.04,100200,0.0,0
2008-10-08,4.12,4.12,3.82,3.91,63200,0.0,0
2008-10-09,3.86,4.11,2.96,2.98,84300,0.0,0
2008-10-10,3.02,4.04,2.88,3.26,195600,0.0,0
2008-10-13,3.51,4.12,3.49,3.7,31400,0.0,0
2008-10-14,3.95,4.1,3.52,3.6,86400,0.0,0
2008-10-15,3.67,3.67,3.19,3.19,47700,0.0,0
2008-10-16,3.4,4.04,3.27,3.77,146600,0.0,0
2008-10-17,3.85,3.86,3.4,3.4,107100,0.0,0
2008-10-20,3.4,3.42,3.15,3.23,103200,0.0,0
2008-10-21,3.25,3.42,3.06,3.06,82600,0.0,0
2008-10-22,3.02,3.19,2.9,2.91,58300,0.0,0
2008-10-23,2.97,3.06,2.61,2.61,131100,0.0,0
2008-10-24,2.66,2.67,2.41,2.41,92000,0.0,0
2008-10-27,2.43,2.47,2.25,2.25,58200,0.0,0
2008-10-28,2.49,2.57,2.23,2.23,116700,0.0,0
2008-10-29,2.26,2.5,2.12,2.35,86700,0.0,0
