Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,1.42,1.42,1.42,1.42,0,0,0
2008-01-03,1.5,1.65,1.5,1.65,30100,0,0
2008-01-04,1.65,1.65,1.65,1.65,86,0,0
2008-01-07,1.65,1.65,1.65,1.65,0,0,0
2008-01-08,1.6,1.65,1.5,1.5,24600,0,0
2008-01-09,1.6,1.6,1.5,1.5,7455,0,0
2008-01-10,1.5,1.5,1.5,1.5,8000,0,0
2008-01-11,1.5,1.58,1.5,1.57,19555,0,0
2008-01-14,1.65,1.65,1.57,1.57,51034,0,0
2008-01-15,1.57,1.6,1.57,1.6,15000,0,0
2008-01-16,1.6,1.64,1.6,1.6,9400,0,0
2008-01-17,1.6,1.6,1.6,1.6,3000,0,0
2008-01-18,1.57,1.57,1.57,1.57,100,0,0
2008-01-22,1.57,1.57,1.57,1.57,0,0,0
2008-01-23,1.57,1.57,1.4,1.5,10631,0,0
2008-01-24,1.5,1.5,1.5,1.5,39900,0,0
2008-01-25,1.5,1.5,1.5,1.5,0,0,0
2008-01-28,1.5,1.5,1.5,1.5,0,0,0
2008-01-29,1.6,1.6,1.53,1.53,8421,0,0
2008-01-30,1.53,1.53,1.53,1.53,1600,0,0
2008-01-31,1.5,1.5,1.5,1.5,0,0,0
2008-02-01,1.5,1.5,1.5,1.5,0,0,0
2008-02-04,1.5,1.5,1.5,1.5,0,0,0
2008-02-05,1.5,1.5,1.5,1.5,0,0,0
2008-02-06,1.5,1.5,1.25,1.3,53161,0,0
2008-02-07,1.3,1.3,1.3,1.3,0,0,0
2008-02-08,1.3,1.3,1.3,1.3,0,0,0
2008-02-11,1.5,1.5,1.41,1.41,15100,0,0
2008-02-12,1.5,1.5,1.5,1.5,10556,0,0
2008-02-13,1.45,1.45,1.45,1.45,100,0,0
2008-02-14,1.4,1.4,1.35,1.4,20800,0,0
2008-02-15,1.4,1.4,1.4,1.4,0,0,0
2008-02-19,1.4,1.4,1.4,1.4,0,0,0
2008-02-20,1.4,1.4,1.4,1.4,0,0,0
2008-02-21,1.45,1.45,1.3,1.3,3656,0,0
2008-02-22,1.3,1.3,1.3,1.3,0,0,0
2008-02-25,1.3,1.3,1.3,1.3,0,0,0
2008-02-26,1.3,1.3,1.3,1.3,0,0,0
2008-02-27,1.6,1.6,1.6,1.6,306571,0,0
2008-02-28,1.6,1.6,1.6,1.6,0,0,0
2008-02-29,1.6,1.6,1.6,1.6,0,0,0
2008-03-03,1.6,1.6,1.6,1.6,0,0,0
2008-03-04,1.6,1.6,1.6,1.6,0,0,0
2008-03-05,1.6,1.6,1.6,1.6,0,0,0
2008-03-06,1.6,1.6,1.6,1.6,0,0,0
2008-03-07,1.4,1.4,1.4,1.4,9300,0,0
2008-03-10,1.4,1.4,1.4,1.4,0,0,0
2008-03-11,1.4,1.4,1.4,1.4,0,0,0
2008-03-12,1.5,1.5,1.5,1.5,2000,0,0
2008-03-13,1.5,1.5,1.5,1.5,0,0,0
2008-03-14,1.35,1.35,1.35,1.35,1000,0,0
2008-03-17,1.35,1.35,1.35,1.35,0,0,0
2008-03-18,1.35,1.35,1.35,1.35,0,0,0
2008-03-19,1.35,1.35,1.35,1.35,0,0,0
2008-03-20,1.35,1.35,1.35,1.35,0,0,0
2008-03-24,1.35,1.35,1.35,1.35,0,0,0
2008-03-25,1.35,1.35,1.35,1.35,0,0,0
2008-03-26,1.35,1.35,1.35,1.35,0,0,0
2008-03-27,1.5,1.5,1.5,1.5,60100,0,0
2008-03-28,1.5,1.5,1.5,1.5,0,0,0
2008-03-31,1.4,1.5,1.4,1.5,178855,0,0
2008-04-01,1.45,1.5,1.45,1.5,1833,0,0
2008-04-02,1.5,1.5,1.5,1.5,18200,0,0
2008-04-03,1.5,1.55,1.45,1.45,306532,0,0
2008-04-04,1.45,1.45,1.45,1.45,0,0,0
2008-04-07,1.45,1.45,1.45,1.45,0,0,0
2008-04-08,1.45,1.45,1.45,1.45,0,0,0
2008-04-09,1.45,1.45,1.45,1.45,0,0,0
2008-04-10,1.5,1.5,1.5,1.5,600,0,0
2008-04-11,1.5,1.5,1.5,1.5,5000,0,0
2008-04-14,1.5,1.5,1.5,1.5,6300,0,0
2008-04-15,1.5,1.5,1.5,1.5,0,0,0
2008-04-16,1.5,1.5,1.5,1.5,0,0,0
2008-04-17,1.45,1.45,1.45,1.45,7000,0,0
2008-04-18,1.45,1.45,1.45,1.45,0,0,0
2008-04-21,1.45,1.45,1.45,1.45,400,0,0
2008-04-22,1.45,1.45,1.45,1.45,0,0,0
2008-04-23,1.45,1.45,1.45,1.45,13000,0,0
2008-04-24,1.5,1.5,1.5,1.5,35000,0,0
2008-04-25,1.5,1.5,1.49,1.5,19200,0,0
2008-04-28,1.5,1.5,1.5,1.5,0,0,0
2008-04-29,1.5,1.5,1.5,1.5,16600,0,0
2008-04-30,1.5,1.5,1.5,1.5,600,0,0
2008-05-01,1.5,1.5,1.5,1.5,44100,0,0
2008-05-02,1.55,1.55,1.55,1.55,16300,0,0
2008-05-05,1.55,1.55,1.55,1.55,0,0,0
2008-05-06,1.5,1.5,1.5,1.5,3943,0,0
2008-05-07,1.5,1.5,1.5,1.5,2000,0,0
2008-05-08,1.5,1.5,1.5,1.5,0,0,0
2008-05-09,1.5,1.55,1.5,1.55,94300,0,0
2008-05-12,1.5,1.5,1.5,1.5,10000,0,0
2008-05-13,1.5,1.5,1.5,1.5,15000,0,0
2008-05-14,1.5,1.5,1.49,1.5,41500,0,0
2008-05-15,1.5,1.5,1.5,1.5,87000,0,0
2008-05-16,1.5,1.5,1.5,1.5,6750,0,0
2008-05-19,1.5,1.5,1.5,1.5,0,0,0
2008-05-20,1.5,1.55,1.5,1.5,23000,0,0
2008-05-21,1.55,1.55,1.47,1.55,17335,0,0
2008-05-22,1.55,1.55,1.55,1.55,22500,0,0
2008-05-23,1.55,1.55,1.55,1.55,3000,0,0
2008-05-27,1.65,1.65,1.55,1.55,666047,0,0
2008-05-28,1.75,1.75,1.75,1.75,7870,0,0
2008-05-29,1.75,1.75,1.75,1.75,2200,0,0
2008-05-30,1.75,1.85,1.75,1.75,10800,0,0
2008-06-02,1.85,1.85,1.85,1.85,6300,0,0
2008-06-03,1.85,1.85,1.85,1.85,5700,0,0
