Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,9.31,9.37,9.03,9.11,19200,0,0
2008-01-03,9.15,9.29,9.03,9.13,49100,0,0
2008-01-04,8.9,9.19,8.9,9.19,31700,0,0
2008-01-07,9.09,9.09,8.75,8.99,26400,0,0
2008-01-08,9.0,9.09,8.69,8.69,23600,0,0
2008-01-09,8.52,8.6,8.4,8.5,34100,0,0
2008-01-10,8.55,9.04,8.55,8.96,18000,0,0
2008-01-11,8.96,8.99,8.65,8.79,33900,0,0
2008-01-14,8.8,8.85,8.66,8.7,15900,0,0
2008-01-15,8.5,8.73,8.5,8.6,17800,0,0
2008-01-16,8.45,8.78,8.45,8.69,31700,0,0
2008-01-17,8.65,8.71,8.4,8.4,32200,0,0
2008-01-18,8.41,8.57,8.2,8.41,45300,0,0
2008-01-22,8.25,8.32,8.15,8.23,30900,0,0
2008-01-23,8.1,8.47,8.02,8.43,30900,0,0
2008-01-24,8.3,8.55,8.28,8.37,25300,0,0
2008-01-25,8.38,8.54,8.21,8.23,30200,0,0
2008-01-28,8.2,8.3,8.1,8.29,35500,0,0
2008-01-29,8.41,8.5,8.2,8.42,37300,0,0
2008-01-30,8.35,8.62,8.35,8.47,25600,0,0
2008-01-31,8.4,8.78,8.4,8.65,26800,0,0
2008-02-01,8.62,8.8,8.3,8.8,23000,0,0
2008-02-04,8.76,8.76,8.51,8.64,20900,0,0
2008-02-05,8.59,8.72,8.5,8.53,13300,0,0
2008-02-06,8.59,8.82,8.44,8.48,21400,0,0
2008-02-07,8.47,8.84,8.44,8.77,31700,0,0
2008-02-08,8.75,8.81,8.63,8.74,18200,0,0
2008-02-11,8.74,9.03,8.64,8.99,19400,0,0
2008-02-12,9.04,9.15,8.77,8.8,23600,0,0
2008-02-13,8.8,8.98,8.79,8.91,13100,0,0
2008-02-14,8.87,9.58,8.87,9.43,33500,0,0
2008-02-15,9.35,9.35,9.09,9.09,17700,0,0
2008-02-19,9.11,9.25,9.04,9.07,15500,0,0
2008-02-20,9.03,9.16,8.77,9.16,26900,0,0
2008-02-21,9.15,9.23,9.0,9.23,26900,0,0
2008-02-22,9.21,9.28,9.1,9.25,27400,0,0
2008-02-25,9.1,9.44,9.01,9.34,37800,0,0
2008-02-26,9.13,9.59,8.82,8.95,41800,0,0
2008-02-27,8.92,9.06,8.71,8.86,21000,0,0
2008-02-28,8.82,8.86,8.48,8.68,39600,0,0
2008-02-29,8.65,8.78,8.48,8.61,21400,0,0
2008-03-03,8.61,8.71,8.3,8.47,25700,0,0
2008-03-04,8.38,8.54,8.33,8.42,26000,0,0
2008-03-05,8.42,8.54,8.39,8.41,16100,0,0
2008-03-06,8.38,8.7,8.31,8.7,22600,0,0
2008-03-07,8.53,8.65,8.26,8.3,38100,0,0
2008-03-10,8.26,8.3,8.02,8.03,109000,0,0
2008-03-11,7.98,8.77,7.81,8.3,61600,0,0
2008-03-12,8.33,9.0,8.32,8.6,40800,0,0
2008-03-13,8.57,8.92,8.52,8.86,19900,0,0
2008-03-14,8.82,8.82,8.5,8.62,19800,0,0
2008-03-17,7.82,8.73,7.81,8.37,20600,0,0
2008-03-18,8.43,9.04,8.21,8.99,26300,0,0
2008-03-19,8.9,8.99,8.58,8.79,34600,0,0
2008-03-20,8.77,8.95,8.11,8.89,15600,0,0
2008-03-24,8.88,8.88,8.43,8.75,39100,0,0
2008-03-25,8.79,9.26,8.65,9.26,33100,0,0
2008-03-26,9.22,9.28,8.89,9.28,15200,0,0
2008-03-27,9.24,9.26,8.81,9.02,17600,0,0
2008-03-28,9.06,9.29,9.05,9.28,13500,0,0
2008-03-31,9.24,9.29,9.1,9.21,22400,0,0
2008-04-01,9.2,9.45,9.17,9.27,36900,0,0
2008-04-02,9.45,9.45,9.25,9.44,37200,0,0
2008-04-03,9.4,9.4,8.97,9.34,13400,0,0
