Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-10-23,25.25,25.25,25.25,25.25,0,0,0
2013-10-24,25.18,25.18,25.18,25.18,0,0,0
2013-10-25,25.02,25.02,25.02,25.02,0,0,0
2013-10-28,25.14,25.14,25.14,25.14,0,0,0
2013-10-29,25.25,25.25,25.25,25.25,0,0,0
2013-10-30,25.51,25.51,25.51,25.51,0,0,0
2013-10-31,25.14,25.14,25.14,25.14,0,0,0
2013-11-01,26.64,26.64,26.64,26.64,0,0,0
2013-11-04,25.48,25.48,25.48,25.48,0,0,0
2013-11-05,25.05,25.05,25.05,25.05,0,0,0
2013-11-06,24.82,24.82,24.82,24.82,0,0,0
2013-11-07,24.55,24.55,24.55,24.55,0,0,0
2013-11-08,24.63,24.63,24.63,24.63,0,0,0
2013-11-11,25.06,25.06,25.06,25.06,0,0,0
2013-11-12,25.2,25.2,25.2,25.2,0,0,0
2013-11-13,24.85,24.85,24.85,24.85,0,0,0
2013-11-14,25.08,25.08,25.08,25.08,0,0,0
2013-11-15,24.63,24.63,24.63,24.63,0,0,0
2013-11-18,24.44,24.44,24.44,24.44,0,0,0
2013-11-19,24.6,24.6,24.6,24.6,0,0,0
2013-11-20,24.41,24.41,24.41,24.41,0,0,0
2013-11-21,24.59,24.59,24.59,24.59,0,0,0
2013-11-22,24.84,24.84,24.84,24.84,0,0,0
2013-11-25,25.22,25.22,25.22,25.22,0,0,0
2013-11-26,25.12,25.12,25.12,25.12,0,0,0
2013-11-27,25.04,25.04,25.04,25.04,0,0,0
2013-11-29,25.33,25.33,25.33,25.33,0,0,0
2013-12-02,25.44,25.44,25.44,25.44,0,0,0
2013-12-03,25.28,25.28,25.28,25.28,0,0,0
2013-12-04,25.06,25.06,25.06,25.06,0,0,0
2013-12-05,24.81,24.81,24.81,24.81,0,0,0
2013-12-06,24.85,24.85,24.85,24.85,0,0,0
2013-12-09,25.05,25.05,25.05,25.05,0,0,0
2013-12-10,24.88,24.88,24.88,24.88,0,0,0
2013-12-11,24.76,24.76,24.76,24.76,0,0,0
2013-12-12,24.52,24.52,24.52,24.52,0,0,0
2013-12-13,25.21,25.21,25.21,25.21,0,0,0
2013-12-16,25.09,25.09,25.09,25.09,0,0,0
2013-12-17,25.78,25.78,25.78,25.78,0,0,0
