Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,30.58,30.65,29.13,29.25,503625,0,0
2008-01-03,29.13,29.13,28.14,28.32,415200,0,0
2008-01-04,28.18,28.18,26.5,26.76,831060,0,0
2008-01-07,26.61,27.12,26.29,26.97,598700,0,0
2008-01-08,27.15,27.41,26.3,26.3,432473,0,0
2008-01-09,26.26,27.67,26.12,27.67,721900,0,0
2008-01-10,27.46,28.2,27.32,28.0,425695,0,0
2008-01-11,27.89,27.89,27.01,27.01,239900,0,0
2008-01-14,27.24,27.29,26.61,27.07,449475,0,0
2008-01-15,26.53,26.79,26.41,26.66,160200,0,0
2008-01-16,26.68,27.52,26.46,27.17,234600,0,0
2008-01-17,27.08,27.25,25.94,26.18,517600,0,0
2008-01-18,26.32,26.75,25.62,25.94,275767,0,0
2008-01-22,25.5,25.89,24.87,25.55,367550,0,0
2008-01-23,24.91,26.31,24.64,26.31,611100,0,0
2008-01-24,26.43,27.2,25.85,26.3,435700,0,0
2008-01-25,26.58,27.12,26.49,26.8,317650,0,0
2008-01-28,26.81,27.56,26.52,27.52,345000,0,0
2008-01-29,27.73,28.08,27.11,28.05,181183,0,0
2008-01-30,27.85,28.6,27.57,27.92,331600,0,0
2008-01-31,27.76,28.97,27.34,28.71,445196,0,0
2008-02-01,28.77,29.04,27.98,28.72,529799,0,0
2008-02-04,28.7,29.04,28.09,28.41,393745,0,0
2008-02-05,27.89,28.59,27.64,27.65,383729,0,0
2008-02-06,27.82,28.38,27.61,27.73,34200,0,0
2008-02-07,27.52,28.06,27.28,27.93,51400,0,0
2008-02-08,27.92,28.08,27.17,27.28,195305,0,0
2008-02-11,27.24,27.28,26.5,26.88,209300,0,0
2008-02-12,26.96,27.81,26.52,27.75,306602,0,0
2008-02-13,28.08,28.94,28.0,28.89,316250,0,0
2008-02-14,28.9,29.07,28.0,28.32,146500,0,0
2008-02-15,28.14,28.36,27.91,28.28,102600,0,0
2008-02-19,28.55,28.71,28.14,28.71,201659,0,0
2008-02-20,27.98,28.82,27.25,28.76,386925,0,0
2008-02-21,29.04,29.54,28.55,28.75,315540,0,0
2008-02-22,28.75,28.84,27.97,28.31,178700,0,0
2008-02-25,28.2,28.98,27.97,28.8,196500,0,0
2008-02-26,28.55,29.08,28.46,29.01,263900,0,0
2008-02-27,28.78,29.05,27.94,27.98,425120,0,0
2008-02-28,27.81,28.17,27.8,28.0,312100,0,0
2008-02-29,27.75,27.97,26.74,27.38,199122,0,0
2008-03-03,27.98,28.1,26.98,27.55,139400,0,0
2008-03-04,27.23,27.32,26.24,26.59,520200,0,0
2008-03-05,26.81,26.93,25.9,25.96,426100,0,0
2008-03-06,25.77,25.87,25.0,25.07,369949,0,0
2008-03-07,24.85,25.48,24.67,24.87,222400,0,0
2008-03-10,24.91,25.04,24.13,24.2,565100,0,0
2008-03-11,24.22,25.01,24.04,24.42,618700,0,0
2008-03-12,24.42,24.95,24.18,24.21,363520,0,0
2008-03-13,23.85,24.51,23.63,24.48,352102,0,0
2008-03-14,24.78,24.83,23.86,24.37,315254,0,0
2008-03-17,23.78,23.92,22.58,22.94,686310,0,0
2008-03-18,23.52,23.52,16.27,19.59,4281978,0,0
2008-03-19,20.15,21.5,18.09,18.25,1492646,0,0
2008-03-20,18.5,20.81,18.33,20.45,2424153,0,0
2008-03-24,20.63,23.38,20.63,22.88,3149538,0,0
2008-03-25,23.0,23.08,22.05,22.42,693700,0,0
2008-03-26,22.22,22.51,21.93,22.25,376200,0,0
2008-03-27,22.33,22.92,22.13,22.42,451770,0,0
2008-03-28,22.29,22.41,21.86,22.41,392300,0,0
2008-03-31,22.35,22.54,21.86,22.28,466900,0,0
2008-04-01,22.53,23.98,22.53,23.0,543600,0,0
2008-04-02,23.04,23.43,22.83,23.08,514803,0,0
2008-04-03,22.85,23.59,22.63,22.98,332642,0,0
2008-04-04,22.92,23.19,22.62,23.11,335150,0,0
2008-04-07,23.23,23.65,22.58,22.7,452337,0,0
2008-04-08,22.47,23.12,22.09,22.92,293400,0,0
2008-04-09,22.86,22.99,21.86,22.22,227247,0,0
2008-04-10,22.2,22.84,22.12,22.35,393000,0,0
2008-04-11,22.0,22.4,21.31,21.54,840200,0,0
2008-04-14,21.59,21.9,21.15,21.27,522738,0,0
2008-04-15,21.18,21.5,20.71,21.0,635552,0,0
2008-04-16,21.21,21.83,20.94,21.22,499366,0,0
2008-04-17,20.21,21.5,20.21,20.88,396854,0,0
2008-04-18,20.87,21.7,20.58,21.49,498898,0,0
2008-04-21,21.63,21.63,20.75,20.86,312046,0,0
2008-04-22,20.8,21.09,20.19,20.54,347200,0,0
2008-04-23,20.59,21.11,20.52,20.75,230810,0,0
2008-04-24,20.75,21.27,20.42,21.11,265094,0,0
2008-04-25,21.23,21.76,21.04,21.26,216889,0,0
2008-04-28,21.09,21.81,21.06,21.72,243659,0,0
2008-04-29,21.79,21.81,21.14,21.18,311975,0,0
2008-04-30,21.29,21.55,20.99,21.45,307654,0,0
2008-05-01,21.33,22.46,21.14,22.21,344610,0,0
2008-05-02,22.18,22.69,22.1,22.6,393309,0,0
2008-05-05,22.6,22.6,22.09,22.34,298050,0,0
2008-05-06,22.19,22.64,22.12,22.42,335991,0,0
2008-05-07,22.28,22.67,22.04,22.19,306292,0,0
2008-05-08,22.33,23.79,22.01,23.16,922584,0,0
2008-05-09,22.96,23.36,22.44,23.31,288873,0,0
2008-05-12,23.44,24.08,23.25,23.99,327450,0,0
2008-05-13,23.98,24.49,23.6,24.49,335988,0,0
2008-05-14,24.44,26.02,24.44,24.92,485585,0,0
2008-05-15,24.97,25.65,24.35,25.47,436469,0,0
2008-05-16,25.52,25.7,24.6,25.47,412859,0,0
2008-05-19,25.41,25.91,25.18,25.72,391159,0,0
2008-05-20,25.75,25.75,25.09,25.56,402656,0,0
2008-05-21,25.59,25.88,25.11,25.31,209807,0,0
2008-05-22,25.31,26.15,25.31,26.11,314955,0,0
2008-05-23,25.93,25.95,25.51,25.93,215845,0,0
2008-05-27,25.98,26.5,25.75,26.12,183561,0,0
2008-05-28,26.31,26.34,25.8,26.04,372520,0,0
2008-05-29,25.93,26.67,25.87,26.27,451591,0,0
2008-05-30,26.46,26.64,26.31,26.48,412069,0,0
