Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,8.6816,8.8804,8.4887,8.5413,552100,0.0,0
2008-01-03,8.6056,8.6524,7.9801,7.9918,502500,0.0,0
2008-01-04,7.8924,7.8924,7.1558,7.2376,865400,0.0,0
2008-01-07,7.2084,7.4247,7.1032,7.2376,811300,0.0,0
2008-01-08,7.3019,7.5182,7.0096,7.0213,713300,0.0,0
2008-01-09,7.0155,7.033,6.3198,6.6939,922900,0.0,0
2008-01-10,6.6121,7.0388,6.4542,6.9395,1036600,0.0,0
2008-01-11,6.8693,6.8693,6.3548,6.4308,679000,0.0,0
2008-01-14,6.4542,6.5419,6.2438,6.2847,685700,0.0,0
2008-01-15,6.2087,6.273,5.7878,5.9631,897800,0.0,0
2008-01-16,5.9573,6.349,5.9573,6.2204,711400,0.0,0
2008-01-17,6.2204,6.5185,6.1502,6.3665,691500,0.0,0
2008-01-18,6.349,6.6121,6.0508,6.1444,523400,0.0,0
2008-01-22,5.9339,6.805,5.9339,6.4016,838000,0.0,0
2008-01-23,6.2788,7.1148,6.197,7.0038,881800,0.0,0
2008-01-24,7.0564,7.4072,6.5302,6.6471,616600,0.0,0
2008-01-25,6.7582,6.8635,6.1035,6.2438,632000,0.0,0
2008-01-28,6.2438,6.7816,6.1327,6.7056,454600,0.0,0
2008-01-29,6.7641,6.9161,6.4776,6.8108,410000,0.0,0
2008-01-30,6.7524,6.9745,6.3665,6.5536,844000,0.0,0
2008-01-31,6.4308,7.0798,6.4308,7.033,518500,0.0,0
2008-02-01,6.9862,7.489,6.9862,7.4539,571400,0.0,0
2008-02-04,7.4481,7.5475,7.0915,7.1675,643100,0.0,0
2008-02-05,6.9745,7.2493,6.8635,7.0272,481100,0.0,0
2008-02-06,7.0973,7.3604,6.8225,6.8576,384600,0.0,0
2008-02-07,7.1324,8.2081,7.1324,7.9859,1036800,0.0,0
2008-02-08,7.8339,8.3133,7.7638,7.7638,601600,0.0,0
2008-02-11,7.7287,7.7696,7.3955,7.5358,650500,0.0,0
2008-02-12,7.5825,7.9333,7.5709,7.7404,342300,0.0,0
2008-02-13,7.7989,8.0912,7.641,8.0035,336800,0.0,0
2008-02-14,8.0502,8.0502,7.5475,7.6001,371700,0.0,0
2008-02-15,7.5299,7.5299,7.185,7.4715,331100,0.0,0
2008-02-19,7.6176,7.6995,7.109,7.2376,311800,0.0,0
2008-02-20,7.185,7.7229,7.1441,7.7112,320900,0.0,0
2008-02-21,7.7755,8.0795,7.2142,7.2902,499000,0.0,0
2008-02-22,7.3136,7.4832,7.1616,7.4598,256500,0.0,0
2008-02-25,7.4656,8.0736,7.2376,7.9742,481000,0.0,0
2008-02-26,7.8924,8.3542,7.8339,8.2432,627400,0.0,0
2008-02-27,8.173,8.4069,7.9918,8.2899,594300,0.0,0
2008-02-28,8.1789,8.2549,7.6936,7.7053,380700,0.0,0
2008-02-29,7.6235,7.7872,7.3428,7.4013,401500,0.0,0
2008-03-03,7.5124,7.6352,7.2259,7.5182,367900,0.0,0
2008-03-04,7.4539,7.8047,7.3136,7.7053,516700,0.0,0
2008-03-05,7.8281,8.1906,7.7521,7.9509,606000,0.0,0
2008-03-06,7.717,7.9099,7.2668,7.3545,580400,0.0,0
2008-03-07,7.2606,8.1469,7.155,7.4719,337900,0.05,0
2008-03-10,7.5482,7.5952,7.0669,7.2195,421200,0.0,0
2008-03-11,8.91,9.9078,7.7537,8.4521,1797800,0.0,0
2008-03-12,8.3524,8.5108,7.8124,7.8887,849400,0.0,0
2008-03-13,7.783,8.37,7.5248,8.3113,438200,0.0,0
2008-03-14,8.3054,8.5989,7.9356,8.4287,518200,0.0,0
2008-03-17,7.9708,8.3876,7.9063,8.1,408700,0.0,0
2008-03-18,8.323,8.5989,8.1235,8.4874,497700,0.0,0
2008-03-19,8.5813,8.8748,8.2526,8.3524,540200,0.0,0
2008-03-20,8.728,10.0839,8.458,9.9313,2968400,0.0,0
2008-03-24,9.808,10.3832,9.673,9.9078,844300,0.0,0
2008-03-25,9.9782,10.5593,9.8961,10.3774,721600,0.0,0
2008-03-26,10.213,10.3011,9.9489,10.1308,1126700,0.0,0
