Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.46,10.55,10.31,10.4,209200,0.0,0
2008-01-03,10.53,10.77,10.43,10.65,258400,0.0,0
2008-01-04,10.93,10.93,10.23,10.68,621100,0.0,0
2008-01-07,10.6,11.12,10.51,11.05,434400,0.0,0
2008-01-08,10.99,11.29,10.69,10.78,367700,0.0,0
2008-01-09,10.76,11.29,10.76,11.26,586200,0.0,0
2008-01-10,11.26,11.59,11.21,11.34,504300,0.0,0
2008-01-11,11.61,11.9,11.61,11.74,482700,0.0,0
2008-01-14,11.72,11.92,11.63,11.68,577400,0.0,0
2008-01-15,11.53,11.71,11.21,11.33,286300,0.0,0
2008-01-16,11.13,11.39,11.06,11.32,509500,0.0,0
2008-01-17,11.49,11.61,10.9,10.97,333900,0.0,0
2008-01-18,10.97,11.3,10.97,11.18,231400,0.0,0
2008-01-22,10.71,11.15,10.64,11.15,406900,0.0,0
2008-01-23,11.08,11.8,10.92,11.78,744700,0.0,0
2008-01-24,11.68,11.84,11.6,11.7,539000,0.0,0
2008-01-25,11.78,12.03,11.78,11.83,307400,0.0,0
2008-01-28,12.04,12.18,11.71,12.13,269500,0.0,0
2008-01-29,12.14,12.5,12.14,12.35,364200,0.0,0
2008-01-30,12.6,12.98,12.48,12.83,393800,0.475,0
2008-01-31,12.91,13.14,12.66,13.05,399400,0.0,0
2008-02-01,13.22,13.6,12.92,13.6,417700,0.0,0
2008-02-04,13.6,13.6,12.72,12.84,367600,0.0,0
2008-02-05,12.79,12.8,12.56,12.59,278400,0.0,0
2008-02-06,12.62,12.83,12.54,12.66,225200,0.0,0
2008-02-07,12.56,12.68,12.45,12.64,170900,0.0,0
2008-02-08,12.38,12.81,12.38,12.57,162700,0.0,0
2008-02-11,12.58,12.66,12.44,12.44,192000,0.0,0
2008-02-12,12.64,12.92,12.46,12.69,241800,0.0,0
2008-02-13,12.68,12.78,12.56,12.77,142700,0.0,0
2008-02-14,12.85,13.08,12.66,12.69,331900,0.0,0
2008-02-15,12.74,12.93,12.64,12.72,202100,0.0,0
2008-02-19,13.59,13.59,12.45,12.67,300000,0.0,0
2008-02-20,12.63,12.77,12.17,12.71,315400,0.0,0
2008-02-21,12.96,12.98,12.63,12.74,249500,0.0,0
2008-02-22,12.72,12.74,12.26,12.57,157000,0.0,0
2008-02-25,12.66,12.66,12.4,12.56,173000,0.0,0
2008-02-26,12.51,12.93,12.51,12.85,245900,0.0,0
2008-02-27,12.56,12.95,12.56,12.72,269000,0.0,0
2008-02-28,12.69,12.75,12.64,12.73,133000,0.0,0
2008-02-29,12.67,12.7,12.19,12.37,223100,0.0,0
2008-03-03,12.4,12.42,12.19,12.34,136000,0.0,0
2008-03-04,12.17,12.3,12.13,12.23,171400,0.0,0
2008-03-05,12.24,12.38,12.13,12.31,166900,0.0,0
2008-03-06,12.27,12.27,12.12,12.15,198100,0.0,0
2008-03-07,12.12,12.2,12.0,12.03,156500,0.0,0
2008-03-10,12.01,12.04,11.62,11.72,648200,0.0,0
2008-03-11,11.8,12.11,11.69,11.84,235600,0.0,0
2008-03-12,11.74,11.8,11.63,11.69,226900,0.0,0
2008-03-13,11.5,11.99,11.5,11.83,207900,0.0,0
2008-03-14,11.85,11.86,11.62,11.74,220600,0.0,0
2008-03-17,11.62,11.72,11.49,11.51,327900,0.0,0
2008-03-18,11.48,11.95,11.48,11.69,219700,0.0,0
2008-03-19,11.65,11.76,11.49,11.5,132500,0.0,0
2008-03-20,11.49,12.03,11.47,11.98,220700,0.0,0
2008-03-24,11.95,12.51,11.95,12.05,423200,0.0,0
2008-03-25,11.99,12.47,11.85,12.28,256400,0.0,0
2008-03-26,12.15,12.51,12.07,12.14,186000,0.0,0
2008-03-27,12.3,12.37,12.14,12.2,134400,0.0,0
2008-03-28,12.31,12.61,12.17,12.43,462500,0.0,0
2008-03-31,12.4,12.56,12.34,12.34,316400,0.0,0
2008-04-01,12.34,12.58,12.27,12.38,262500,0.0,0
2008-04-02,12.44,12.62,12.37,12.56,174600,0.0,0
2008-04-03,12.55,12.56,12.37,12.53,146100,0.0,0
2008-04-04,12.44,12.56,12.44,12.52,134700,0.0,0
2008-04-07,12.39,12.39,12.01,12.15,467400,0.0,0
2008-04-08,12.44,12.44,12.15,12.25,450900,0.0,0
2008-04-09,12.31,12.32,12.06,12.16,305300,0.0,0
2008-04-10,12.12,12.18,11.81,11.91,584800,0.0,0
2008-04-11,11.81,11.85,11.44,11.46,3925500,0.0,0
2008-04-14,11.47,11.61,11.47,11.56,592900,0.0,0
2008-04-15,11.49,11.73,11.49,11.69,651600,0.0,0
2008-04-16,11.76,11.84,11.67,11.76,749600,0.0,0
2008-04-17,11.74,11.76,11.58,11.75,364300,0.0,0
2008-04-18,11.88,11.88,11.57,11.67,631400,0.0,0
2008-04-21,11.58,11.76,11.51,11.56,398700,0.0,0
2008-04-22,11.66,11.8,11.58,11.62,627800,0.0,0
2008-04-23,11.61,11.69,11.53,11.62,329300,0.0,0
2008-04-24,11.62,11.69,11.57,11.6,298000,0.0,0
2008-04-25,11.56,11.71,11.55,11.66,295600,0.0,0
2008-04-28,11.53,11.64,11.32,11.46,701400,0.0,0
2008-04-29,11.5,11.71,11.41,11.53,609100,0.0,0
2008-04-30,11.73,11.74,11.51,11.72,429400,0.475,0
2008-05-01,11.9,12.01,11.62,11.96,324000,0.0,0
2008-05-02,11.89,12.22,11.89,12.13,543100,0.0,0
2008-05-05,12.04,12.21,11.94,11.94,317700,0.0,0
2008-05-06,11.86,12.34,11.86,12.22,386000,0.0,0
2008-05-07,12.31,12.31,12.15,12.21,283600,0.0,0
2008-05-08,12.3,12.3,12.08,12.15,156100,0.0,0
2008-05-09,12.09,12.19,12.03,12.1,105100,0.0,0
2008-05-12,12.1,12.2,12.03,12.2,192300,0.0,0
2008-05-13,12.29,12.33,12.17,12.29,204200,0.0,0
2008-05-14,12.26,12.26,12.01,12.12,222300,0.0,0
2008-05-15,12.07,12.29,12.02,12.14,281500,0.0,0
2008-05-16,12.15,12.18,12.03,12.17,204900,0.0,0
2008-05-19,12.13,12.43,12.04,12.06,284600,0.0,0
2008-05-20,11.95,12.15,11.86,11.99,323500,0.0,0
2008-05-21,11.98,12.12,11.81,11.95,414700,0.0,0
2008-05-22,11.88,11.9,11.58,11.73,493800,0.0,0
2008-05-23,11.71,11.72,11.51,11.57,268000,0.0,0
2008-05-27,11.54,11.65,11.33,11.64,441700,0.0,0
2008-05-28,11.77,11.82,11.53,11.7,360300,0.0,0
2008-05-29,11.87,11.95,11.81,11.84,281100,0.0,0
2008-05-30,11.91,12.03,11.82,11.9,221500,0.0,0
2008-06-02,11.99,11.99,11.69,11.85,387600,0.0,0
2008-06-03,11.83,11.89,11.65,11.68,446900,0.0,0
2008-06-04,11.64,11.67,11.51,11.51,221100,0.0,0
2008-06-05,11.51,11.56,11.3,11.53,298800,0.0,0
2008-06-06,11.62,11.62,11.02,11.05,738700,0.0,0
2008-06-09,11.05,11.1,10.98,11.02,304600,0.0,0
2008-06-10,10.97,10.99,10.8,10.9,594500,0.0,0
2008-06-11,10.81,10.85,10.45,10.54,614700,0.0,0
2008-06-12,10.52,10.66,10.46,10.53,313100,0.0,0
2008-06-13,10.59,10.83,10.58,10.69,394700,0.0,0
2008-06-16,10.71,10.87,10.66,10.69,209200,0.0,0
2008-06-17,10.76,11.53,10.76,11.29,893700,0.0,0
2008-06-18,11.22,11.33,11.0,11.03,326800,0.0,0
2008-06-19,11.02,11.31,11.01,11.19,273200,0.0,0
2008-06-20,11.24,11.26,11.06,11.21,326200,0.0,0
2008-06-23,11.39,11.4,10.95,10.96,202300,0.0,0
2008-06-24,11.28,11.28,10.58,10.62,442400,0.0,0
2008-06-25,10.54,10.86,10.54,10.72,327200,0.0,0
2008-06-26,10.56,10.84,10.56,10.64,149100,0.0,0
2008-06-27,10.64,10.67,10.47,10.54,281500,0.0,0
2008-06-30,10.58,10.64,10.41,10.59,225900,0.0,0
