Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,22.2,22.9,21.81,21.97,299900,0.0,0
2008-01-03,22.23,22.3,20.91,20.92,239000,0.0,0
2008-01-04,21.12,21.16,20.01,20.19,227900,0.0,0
2008-01-07,20.33,21.65,20.24,21.11,254600,0.0,0
2008-01-08,21.26,21.26,19.56,19.58,288100,0.0,0
2008-01-09,19.61,20.03,19.13,20.03,202300,0.0,0
2008-01-10,20.17,21.31,19.65,20.92,214700,0.0,0
2008-01-11,20.72,20.98,19.95,20.12,136400,0.0,0
2008-01-14,20.38,20.63,19.96,20.46,115700,0.0,0
2008-01-15,20.4,20.4,19.21,19.27,162100,0.0,0
2008-01-16,19.39,20.01,19.27,19.58,258300,0.0,0
2008-01-17,19.69,19.69,18.7,19.04,141600,0.0,0
2008-01-18,19.22,19.33,18.02,18.3,259300,0.0,0
2008-01-22,18.08,19.75,17.5,19.23,218800,0.0,0
2008-01-23,18.82,22.09,18.82,21.75,323200,0.0,0
2008-01-24,21.95,22.22,20.87,21.71,370600,0.0,0
2008-01-25,21.98,22.18,21.39,21.84,297100,0.0,0
2008-01-28,21.95,24.53,21.32,24.44,306900,0.0,0
2008-01-29,24.27,25.18,24.0,24.7,303200,0.0,0
2008-01-30,24.57,26.25,24.51,25.68,453100,0.0,0
2008-01-31,25.42,29.41,25.18,29.1,673100,0.0,0
2008-02-01,29.18,29.72,28.42,29.35,382700,0.0,0
2008-02-04,29.32,29.38,28.5,28.97,246900,0.0,0
2008-02-05,28.48,29.66,28.47,29.15,262000,0.0,0
2008-02-06,29.34,30.05,28.87,29.85,272000,0.0,0
2008-02-07,29.78,30.97,29.6,30.33,306300,0.0,0
2008-02-08,30.19,30.82,29.09,29.12,256300,0.0,0
2008-02-11,29.19,29.35,28.35,29.04,202100,0.0,0
2008-02-12,28.92,29.6,28.2,28.72,317700,0.0,0
2008-02-13,29.08,29.8,28.91,29.39,158400,0.0,0
2008-02-14,29.52,29.59,27.69,28.11,189600,0.0,0
2008-02-15,27.77,28.06,27.28,27.62,183700,0.0,0
2008-02-19,27.48,27.94,27.12,27.39,277100,0.0,0
2008-02-20,25.17,26.05,24.79,25.54,427700,0.0,0
2008-02-21,27.21,27.21,25.08,25.33,421400,0.0,0
2008-02-22,25.42,25.81,24.17,25.64,366000,0.0,0
2008-02-25,25.6,26.4,25.18,26.09,271500,0.0,0
2008-02-26,25.62,26.35,25.18,26.09,220300,0.0,0
2008-02-27,25.84,26.23,25.06,25.8,247500,0.0,0
2008-02-28,25.73,25.75,24.55,25.03,184400,0.0,0
2008-02-29,24.68,25.66,24.21,25.31,275700,0.0,0
2008-03-03,25.06,25.34,24.24,24.77,231800,0.0,0
2008-03-04,24.44,25.59,24.17,25.31,246900,0.0,0
2008-03-05,25.12,25.4,24.06,24.26,497200,0.0,0
2008-03-06,24.22,24.37,22.78,23.13,463200,0.0,0
2008-03-07,22.84,23.53,22.53,22.84,315500,0.0,0
2008-03-10,22.99,23.68,22.87,23.13,333800,0.0,0
2008-03-11,23.42,24.08,23.02,24.08,297700,0.0,0
2008-03-12,24.3,24.44,23.26,23.33,328100,0.0,0
2008-03-13,23.1,24.0,22.62,23.89,465800,0.0,0
2008-03-14,24.06,24.06,23.21,23.36,337300,0.0,0
2008-03-17,22.91,23.73,22.58,23.36,184100,0.0,0
2008-03-18,23.81,24.29,23.42,24.21,319300,0.0,0
2008-03-19,24.35,24.93,23.81,24.17,412300,0.0,0
2008-03-20,24.16,26.02,24.16,25.81,415400,0.0,0
2008-03-24,25.86,27.45,25.86,26.54,158300,0.0,0
2008-03-25,26.39,27.25,26.16,26.88,259300,0.0,0
2008-03-26,26.8,26.99,26.02,26.25,186600,0.0,0
2008-03-27,26.17,26.3,24.31,24.32,244400,0.0,0
2008-03-28,24.44,24.44,23.12,23.45,233800,0.0,0
2008-03-31,23.39,24.46,23.2,23.8,180400,0.0,0
2008-04-01,24.78,25.51,24.26,25.48,367200,0.0,0
2008-04-02,25.38,26.77,25.32,26.38,249300,0.0,0
2008-04-03,26.2,26.34,25.57,25.91,150900,0.0,0
2008-04-04,25.77,25.91,25.06,25.4,195500,0.0,0
2008-04-07,25.75,26.34,25.07,25.69,166200,0.0,0
2008-04-08,25.61,25.86,24.94,25.28,135900,0.0,0
2008-04-09,25.35,25.63,24.66,24.69,191000,0.0,0
2008-04-10,24.72,25.46,24.38,24.89,135900,0.0,0
2008-04-11,24.56,24.84,23.83,23.89,157400,0.0,0
