Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,22.49,22.71,22.2,22.57,383100,0.0,0
2008-01-03,22.64,22.9,22.57,22.72,364500,0.0,0
2008-01-04,22.47,23.14,22.43,23.03,641900,0.0,0
2008-01-07,23.04,23.79,22.94,23.41,663000,0.0,0
2008-01-08,23.44,23.73,23.09,23.11,663500,0.0,0
2008-01-09,22.93,23.84,22.75,23.64,596600,0.0,0
2008-01-10,23.51,24.31,23.41,24.08,726600,0.0,0
2008-01-11,23.93,24.35,23.86,23.88,501100,0.0,0
2008-01-14,24.08,24.08,23.24,23.34,410700,0.0,0
2008-01-15,23.19,23.44,23.06,23.11,508600,0.0,0
2008-01-16,22.97,24.02,22.97,23.73,675600,0.0,0
2008-01-17,23.8,23.9,23.04,23.04,814400,0.0,0
2008-01-18,23.08,23.23,22.66,22.95,751800,0.0,0
2008-01-22,22.04,23.41,21.77,22.45,775800,0.0,0
2008-01-23,21.94,22.61,21.69,22.51,670200,0.0,0
2008-01-24,22.67,22.67,21.79,21.8,709100,0.0,0
2008-01-25,21.91,22.08,21.6,21.66,371100,0.0,0
2008-01-28,21.66,21.77,21.18,21.65,589200,0.0,0
2008-01-29,21.73,21.73,21.41,21.52,392900,0.0,0
2008-01-30,20.92,20.92,18.2,18.42,2412100,0.0,0
2008-01-31,18.12,19.82,16.24,19.44,1639800,0.0,0
2008-02-01,19.48,19.55,19.14,19.4,1312400,0.0,0
2008-02-04,19.44,19.55,19.08,19.23,1152800,0.0,0
2008-02-05,18.94,19.27,18.91,18.93,1008100,0.0,0
2008-02-06,19.14,19.15,18.6,18.65,757200,0.0,0
2008-02-07,18.57,18.91,18.44,18.54,805200,0.0,0
2008-02-08,18.51,18.64,18.09,18.24,824900,0.06,0
2008-02-11,18.24,18.55,17.98,18.53,999600,0.0,0
2008-02-12,18.7,19.07,18.53,18.93,714700,0.0,0
2008-02-13,19.12,19.19,18.94,19.06,614700,0.0,0
2008-02-14,19.1,19.1,18.64,18.68,753000,0.0,0
2008-02-15,18.52,18.6,18.3,18.57,821300,0.0,0
2008-02-19,18.72,18.95,18.68,18.69,480900,0.0,0
2008-02-20,18.56,18.97,18.49,18.92,840000,0.0,0
2008-02-21,19.05,19.44,18.68,18.72,477400,0.0,0
2008-02-22,18.82,18.88,18.53,18.71,616600,0.0,0
2008-02-25,18.66,19.25,18.57,19.18,697500,0.0,0
2008-02-26,19.19,19.75,19.19,19.41,689300,0.0,0
2008-02-27,19.3,19.68,19.12,19.51,551200,0.0,0
2008-02-28,19.49,19.73,19.31,19.38,439000,0.0,0
2008-02-29,19.22,19.48,19.02,19.36,722800,0.0,0
2008-03-03,19.28,19.32,18.85,19.15,638000,0.0,0
2008-03-04,18.94,19.48,18.87,19.38,487600,0.0,0
2008-03-05,19.42,19.47,19.23,19.42,547200,0.0,0
2008-03-06,19.28,19.63,19.28,19.42,899900,0.0,0
2008-03-07,19.38,19.91,19.28,19.56,802700,0.0,0
2008-03-10,19.55,19.6,19.33,19.35,597900,0.0,0
2008-03-11,19.83,20.02,19.5,20.02,730500,0.0,0
2008-03-12,20.24,20.38,19.94,20.06,446100,0.0,0
2008-03-13,19.82,20.4,19.71,20.3,478800,0.0,0
2008-03-14,20.89,21.4,20.09,20.77,970900,0.0,0
2008-03-17,20.37,20.92,20.37,20.67,672500,0.0,0
2008-03-18,20.96,21.69,20.88,21.66,770000,0.0,0
2008-03-19,21.81,22.06,21.44,21.44,681700,0.0,0
2008-03-20,21.8,21.8,21.0,21.22,1505100,0.0,0
2008-03-24,21.23,21.6,21.0,21.23,624200,0.0,0
2008-03-25,21.15,21.31,21.03,21.14,553500,0.0,0
2008-03-26,21.03,21.12,20.71,20.88,460300,0.0,0
2008-03-27,20.96,21.18,20.85,20.94,449700,0.0,0
2008-03-28,21.04,21.37,20.8,20.86,383300,0.0,0
2008-03-31,20.89,21.22,20.6,21.1,581300,0.0,0
2008-04-01,21.22,21.58,21.03,21.58,562300,0.0,0
2008-04-02,21.66,21.86,21.53,21.67,433900,0.0,0
2008-04-03,21.51,21.63,21.07,21.14,541000,0.0,0
2008-04-04,21.15,21.44,21.12,21.28,407000,0.0,0
2008-04-07,21.36,21.44,21.17,21.26,279500,0.0,0
2008-04-08,21.15,21.18,20.91,21.1,402300,0.0,0
2008-04-09,21.21,21.59,21.15,21.18,361300,0.0,0
2008-04-10,21.14,21.29,21.05,21.23,355600,0.0,0
2008-04-11,21.05,21.07,20.51,20.56,378700,0.0,0
2008-04-14,20.55,20.62,20.21,20.26,462600,0.0,0
2008-04-15,20.38,20.61,20.3,20.45,899800,0.0,0
2008-04-16,20.63,20.83,20.49,20.82,435900,0.0,0
2008-04-17,20.78,20.83,20.21,20.76,547300,0.0,0
2008-04-18,21.0,21.43,21.0,21.16,382400,0.0,0
2008-04-21,20.95,21.16,20.78,21.11,272400,0.0,0
2008-04-22,20.94,20.96,19.97,20.26,762700,0.0,0
2008-04-23,20.31,20.99,20.28,20.67,338900,0.0,0
2008-04-24,20.66,21.4,20.37,21.04,424300,0.0,0
2008-04-25,21.09,21.47,21.01,21.22,285400,0.0,0
2008-04-28,21.25,21.56,21.11,21.47,248500,0.0,0
2008-04-29,21.48,21.87,21.38,21.73,448200,0.0,0
2008-04-30,21.84,22.4,21.79,21.79,385200,0.0,0
2008-05-01,21.73,22.49,21.66,22.49,259000,0.0,0
2008-05-02,22.62,22.62,21.9,21.95,286000,0.0,0
2008-05-05,21.94,21.97,21.62,21.68,473300,0.0,0
2008-05-06,21.56,21.85,21.39,21.67,670300,0.0,0
2008-05-07,21.29,24.35,21.29,23.51,1989900,0.0,0
2008-05-08,23.51,23.79,23.23,23.39,1009400,0.0,0
2008-05-09,23.37,24.46,23.37,24.38,846500,0.0,0
2008-05-12,24.6,24.9,24.47,24.82,562200,0.06,0
2008-05-13,24.82,25.03,24.6,24.88,455800,0.0,0
2008-05-14,24.91,25.2,24.74,24.87,663100,0.0,0
2008-05-15,24.94,25.13,24.69,25.09,358200,0.0,0
2008-05-16,25.24,25.24,24.59,24.83,451400,0.0,0
