Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.9,19.3,18.62,19.05,1888,0,0
2008-01-03,18.81,21.0,18.3,21.0,52860,0,0
2008-01-04,21.99,22.0,20.14,20.15,18883,0,0
2008-01-07,19.5,19.7,19.0,19.2,6221,0,0
2008-01-08,19.2,19.2,18.7,18.7,4250,0,0
2008-01-09,18.3,18.3,17.0,17.44,14892,0,0
2008-01-10,17.0,17.05,16.5,16.99,156711,0,0
2008-01-11,16.7,17.21,16.3,16.9,12546,0,0
2008-01-14,16.5,17.5,16.06,17.5,28626,0,0
2008-01-15,17.2,17.2,16.2,16.2,4114,0,0
2008-01-16,15.5,15.98,14.7,15.21,107644,0,0
2008-01-17,15.71,15.8,15.23,15.63,8652,0,0
2008-01-18,15.36,16.4,15.2,15.7,36076,0,0
2008-01-22,13.49,14.5,13.3,13.9,23116,0,0
2008-01-23,14.3,14.7,13.77,14.08,19632,0,0
2008-01-24,14.7,15.5,14.65,15.5,17015,0,0
2008-01-25,15.9,16.3,15.6,16.24,23738,0,0
2008-01-28,15.0,15.69,15.0,15.2,12723,0,0
2008-01-29,15.46,16.6,15.41,16.35,12791,0,0
2008-01-30,16.35,17.2,16.0,16.25,73112,0,0
2008-01-31,16.26,17.05,16.26,16.75,24159,0,0
2008-02-01,17.18,17.81,17.18,17.75,17289,0,0
2008-02-04,18.0,18.45,17.5,17.59,14109,0,0
2008-02-05,17.1,17.4,16.52,17.4,22796,0,0
2008-02-06,16.6,17.9,16.27,17.35,13909,0,0
2008-02-07,17.4,17.5,16.56,17.2,7321,0,0
2008-02-08,17.3,17.5,16.91,17.29,5611,0,0
2008-02-11,17.3,17.5,17.3,17.39,1854,0,0
2008-02-12,17.95,17.95,17.39,17.6,3441,0,0
2008-02-13,17.6,18.2,17.23,18.2,7834,0,0
2008-02-14,18.3,18.99,18.3,18.74,16123,0,0
2008-02-15,18.61,18.74,17.99,18.7,35941,0,0
2008-02-19,18.82,19.7,18.8,19.67,57062,0,0
2008-02-20,19.43,19.69,19.12,19.65,7784,0,0
2008-02-21,19.5,20.6,19.5,20.0,5232,0,0
2008-02-22,20.0,20.6,19.83,20.2,14738,0,0
2008-02-25,20.45,20.86,20.45,20.45,11752,0,0
2008-02-26,20.3,20.6,19.48,19.79,7118,0,0
2008-02-27,19.79,19.79,19.35,19.5,22256,0,0
2008-02-28,19.5,19.55,18.71,18.71,4348,0,0
2008-02-29,18.4,18.5,17.66,18.5,15683,0,0
2008-03-03,18.0,18.0,17.0,17.85,12100,0,0
2008-03-04,17.89,18.45,17.89,18.45,31172,0,0
2008-03-05,18.3,19.55,18.15,19.55,3001,0,0
2008-03-06,19.3,19.48,18.5,19.29,7565,0,0
2008-03-07,18.5,19.2,18.15,19.2,3646,0,0
2008-03-10,18.7,19.5,18.7,19.4,17637,0,0
2008-03-11,19.15,19.95,19.14,19.9,3675,0,0
2008-03-12,19.91,20.4,19.5,19.7,3743,0,0
2008-03-13,19.02,19.31,18.62,18.62,2606,0,0
2008-03-14,18.9,19.0,18.7,18.9,2207,0,0
2008-03-17,18.2,18.49,18.0,18.2,3621,0,0
2008-03-18,18.0,18.8,17.7,18.02,8189,0,0
2008-03-19,18.03,18.49,18.03,18.49,6853,0,0
2008-03-20,18.48,18.59,18.21,18.5,6993,0,0
2008-03-25,18.5,19.25,18.5,19.2,11833,0,0
2008-03-26,19.0,19.2,19.0,19.05,5580,0,0
2008-03-27,19.47,19.69,19.31,19.31,9759,0,0
2008-03-28,19.68,19.68,19.2,19.3,1444,0,0
2008-03-31,19.6,19.6,19.25,19.25,877,0,0
2008-04-01,19.03,19.4,19.0,19.35,14648,0,0
2008-04-02,19.5,20.53,19.25,20.0,16725,0,0
2008-04-03,20.4,20.46,19.5,20.0,3698,0,0
2008-04-04,19.62,20.0,19.62,20.0,4530,0,0
2008-04-07,20.19,20.95,20.1,20.6,18295,0,0
2008-04-08,20.55,20.55,20.05,20.11,3325,0,0
2008-04-09,20.1,20.11,20.01,20.01,2560,0,0
2008-04-10,20.0,20.2,20.0,20.2,2606,0,0
2008-04-11,20.3,20.5,19.8,19.88,6545,0,0
2008-04-14,19.4,20.0,19.06,19.23,4202,0,0
2008-04-15,19.11,19.42,18.8,19.23,3957,0,0
2008-04-16,19.6,19.77,19.0,19.63,2387,0,0
2008-04-17,19.68,19.7,19.0,19.0,10580,0,0
2008-04-18,19.0,19.4,18.9,19.0,12120,0,0
2008-04-21,19.0,19.0,18.66,18.8,2708,0,0
2008-04-22,18.6,18.62,18.0,18.44,18685,0,0
2008-04-23,18.44,18.44,17.95,18.35,4846,0,0
2008-04-24,18.39,18.79,18.1,18.79,4724,0,0
2008-04-25,18.79,19.19,18.7,19.1,4053,0,0
2008-04-28,19.24,19.24,19.24,19.24,10,0,0
2008-04-29,19.24,19.24,18.65,19.0,730,0,0
2008-04-30,19.14,19.2,18.6,19.2,2133,0,0
2008-05-05,19.05,19.25,18.7,18.7,3764,0,0
2008-05-06,18.7,18.98,18.5,18.98,4324,0,0
2008-05-07,18.9,18.99,18.5,18.8,46047,0,0
2008-05-08,18.8,18.8,18.43,18.43,1665,0,0
2008-05-09,18.4,18.4,18.02,18.3,3094,0,0
2008-05-12,18.0,18.37,17.81,17.81,1264,0,0
2008-05-13,17.8,18.3,17.6,18.29,1836,0,0
2008-05-14,18.3,18.3,18.05,18.3,757,0,0
2008-05-15,18.05,18.3,17.5,18.3,29722,0,0
2008-05-16,18.29,18.29,17.8,18.0,416,0,0
2008-05-19,17.91,17.95,17.6,17.95,638,0,0
2008-05-20,17.97,17.97,17.13,17.16,2442,0,0
2008-05-21,17.2,17.2,17.01,17.01,260,0,0
2008-05-23,17.0,17.0,16.5,16.79,2558,0,0
2008-05-27,16.78,16.8,16.32,16.8,6093,0,0
