Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-27,28.54,28.54,28.54,28.54,10,0,0
2018-08-28,26.7,28.48,26.6,27.2,1714,0,0
2018-08-29,27.2,27.2,27.2,27.2,0,0,0
2018-08-30,27.87,27.87,26.7,26.7,1027,0,0
2018-08-31,26.6,26.6,26.6,26.6,20,0,0
2018-09-04,26.0,26.0,26.0,26.0,3,0,0
2018-09-05,25.01,27.0,25.01,25.15,75,0,0
2018-09-06,25.9,26.45,25.0,25.01,522,0,0
2018-09-07,25.0,25.0,24.0,24.0,146,0,0
2018-09-10,26.35,26.35,26.35,26.35,1,0,0
2018-09-11,26.35,26.35,26.35,26.35,0,0,0
2018-09-12,26.5,26.5,26.5,26.5,450,0,0
2018-09-13,26.5,26.5,26.5,26.5,0,0,0
2018-09-14,26.5,26.5,26.5,26.5,0,0,0
2018-09-17,26.5,26.5,26.5,26.5,0,0,0
2018-09-18,25.95,26.0,25.95,26.0,431,0,0
2018-09-19,26.0,26.0,26.0,26.0,0,0,0
2018-09-20,26.0,26.0,26.0,26.0,0,0,0
2018-09-21,26.0,26.0,26.0,26.0,0,0,0
2018-09-24,6.3,6.8,6.3,6.44,123900,0,0
2018-09-25,6.5,6.72,6.44,6.55,217800,0,0
2018-09-26,6.55,6.55,6.39,6.4,211600,0,0
2018-09-27,6.41,6.75,6.41,6.52,96000,0,0
2018-09-28,6.52,6.6,6.45,6.57,118400,0,0
2018-10-01,25.0,25.0,25.0,25.0,150,0,0
2018-10-02,25.38,25.38,25.38,25.38,52,0,0
2018-10-03,23.55,24.0,23.01,23.5,731,0,0
2018-10-04,25.0,25.0,25.0,25.0,1,0,0
2018-10-05,25.38,25.45,25.38,25.45,500,0,0
2018-10-08,25.46,25.46,25.46,25.46,3,0,0
2018-10-09,25.46,25.46,25.46,25.46,0,0,0
2018-10-10,24.11,24.11,24.1,24.1,27,0,0
2018-10-11,26.5,26.5,26.0,26.0,205,0,0
2018-10-12,28.0,28.0,28.0,28.0,1,0,0
2018-10-15,28.0,28.0,28.0,28.0,0,0,0
2018-10-16,28.0,28.0,28.0,28.0,0,0,0
2018-10-17,27.5,27.5,27.5,27.5,11,0,0
2018-10-18,25.0,25.0,25.0,25.0,100,0,0
2018-10-19,27.28,27.28,27.28,27.28,1,0,0
2018-10-22,26.95,26.95,26.95,26.95,11,0,0
2018-10-23,24.27,26.95,24.27,26.95,22,0,0
2018-10-24,26.95,26.95,26.95,26.95,0,0,0
2018-10-25,24.28,24.28,24.28,24.28,20,0,0
2018-10-26,26.7,26.7,26.7,26.7,1,0,0
2018-10-29,26.95,26.95,26.95,26.95,4,0,0
2018-10-30,26.95,26.95,26.95,26.95,0,0,0
2018-10-31,24.26,26.94,24.26,26.94,19,0,0
2018-11-01,26.94,26.94,26.94,26.94,0,0,0
2018-11-02,26.94,26.94,26.94,26.94,0,0,0
2018-11-05,26.94,26.94,26.94,26.94,0,0,0
2018-11-06,26.94,26.94,26.94,26.94,0,0,0
2018-11-07,26.94,26.94,26.94,26.94,0,0,0
2018-11-08,24.4,24.62,24.4,24.62,35,0,0
2018-11-09,26.84,27.0,24.51,24.51,1406,0,0
2018-11-12,26.95,26.95,26.95,26.95,1,0,0
2018-11-13,26.85,27.0,26.85,27.0,470,0,0
2018-11-14,27.0,27.0,27.0,27.0,0,0,0
2018-11-15,25.01,25.01,25.01,25.01,50,0,0
2018-11-16,26.95,26.95,25.07,25.07,12,0,0
2018-11-19,26.98,26.98,26.98,26.98,1,0,0
2018-11-20,26.98,26.98,26.98,26.98,0,0,0
2018-11-21,26.98,26.98,26.98,26.98,0,0,0
2018-11-23,26.98,26.98,26.98,26.98,0,0,0
2018-11-26,26.98,26.98,26.98,26.98,0,0,0
2018-11-27,26.98,26.98,26.98,26.98,0,0,0
2018-11-28,26.98,26.98,26.98,26.98,0,0,0
2018-11-29,26.75,26.75,26.75,26.75,1,0,0
2018-11-30,24.5,24.5,24.5,24.5,9,0,0
2018-12-03,26.75,26.75,26.75,26.75,1,0,0
2018-12-04,26.75,26.75,26.75,26.75,0,0,0
2018-12-06,26.65,26.65,26.65,26.65,0,0,0
2018-12-07,26.65,26.65,26.65,26.65,0,0,0
2018-12-10,26.65,26.65,26.65,26.65,0,0,0
2018-12-11,26.63,26.63,24.17,24.2,255,0,0
2018-12-12,26.6,26.6,26.6,26.6,2,0,0
2018-12-13,26.6,26.6,26.6,26.6,0,0,0
2018-12-14,24.3,24.3,24.3,24.3,10,0,0
2018-12-17,26.45,26.45,26.44,26.44,107,0,0
2018-12-18,26.4,26.4,25.0,25.0,34,0,0
2018-12-19,26.5,26.5,26.5,26.5,2,0,0
2018-12-20,26.5,26.5,26.5,26.5,0,0,0
2018-12-21,26.0,26.4,24.5,24.5,32,0,0
2018-12-24,24.5,24.5,24.5,24.5,0,0,0
2018-12-26,26.4,26.4,25.0,25.0,72,0,0
2018-12-27,25.0,26.0,24.9,26.0,76,0,0
2018-12-28,24.6,26.0,24.5,24.5,87,0,0
2018-12-31,26.0,26.0,24.51,24.51,271,0,0
