Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,21.53,21.64,20.35,20.93,1391617,0,0
2018-03-05,15.36,15.65,15.17,15.55,1145419,0,0
2018-03-13,15.69,16.23,15.64,15.81,1490220,0,0
2018-03-14,15.8,15.95,15.53,15.69,1099955,0,0
2018-03-15,16.29,16.29,15.44,15.48,1850999,0,0
2018-03-16,15.45,15.95,15.22,15.61,1955849,0,0
2018-03-19,15.49,15.58,15.2,15.28,1209841,0,0
2018-03-20,15.34,15.35,14.71,14.75,1530970,0,0
2018-03-21,14.75,14.99,14.65,14.93,561286,0,0
2018-03-22,14.87,14.97,14.69,14.76,720411,0,0
2018-03-23,14.89,15.26,14.6,14.89,1036763,0,0
2018-03-26,15.01,15.1,14.25,14.9,1016112,0,0
2018-03-27,14.97,15.26,14.64,15.05,2195589,0,0
2018-03-28,15.12,15.71,15.07,15.45,936376,0,0
2018-03-29,15.41,15.6,15.16,15.23,691600,0,0
2018-04-02,15.05,15.21,14.38,14.47,1156829,0,0
2018-04-03,14.56,15.01,14.38,14.91,713527,0,0
2018-04-04,14.68,15.67,14.66,15.53,1033775,0,0
2018-04-05,15.47,15.59,15.15,15.32,973500,0,0
2018-04-06,15.32,16.87,15.29,16.75,3552615,0,0
2018-04-09,16.75,16.97,15.25,15.36,3329748,0,0
2018-04-10,15.39,15.67,15.17,15.63,1159238,0,0
2018-04-11,15.63,16.2,15.63,15.94,1107981,0,0
2018-04-12,16.0,16.31,15.82,16.07,558808,0,0
2018-04-13,16.18,16.22,15.46,15.69,988433,0,0
2018-04-16,15.8,16.08,15.22,15.67,1393651,0,0
2018-04-17,15.78,15.95,15.6,15.71,1434021,0,0
2018-04-18,15.4,15.91,14.25,14.54,2787976,0,0
2018-04-19,14.48,14.9,14.0,14.81,2514280,0,0
2018-04-20,14.93,14.97,14.08,14.36,1723542,0,0
2018-04-23,14.46,14.76,14.21,14.64,1405137,0,0
2018-04-24,14.57,15.1,14.27,14.61,4019033,0,0
2018-04-25,14.53,16.33,14.31,16.24,4410438,0,0
2018-04-26,16.34,16.7,15.77,16.53,1805853,0,0
2018-04-27,16.53,17.29,16.39,17.03,2436483,0,0
2018-04-30,17.14,17.71,17.12,17.51,1498758,0,0
2018-05-01,17.58,17.85,16.97,17.12,1817915,0,0
2018-05-02,16.86,17.39,16.62,17.28,1259794,0,0
2018-05-03,17.15,17.32,16.7,16.79,1591376,0,0
2018-05-04,16.84,17.11,16.64,16.79,1169685,0,0
2018-05-07,16.8,16.99,16.71,16.81,889955,0,0
2018-05-08,16.81,16.89,15.26,15.59,2244719,0,0
2018-05-09,15.59,16.29,15.44,16.15,1306627,0,0
2018-05-10,16.17,16.52,16.03,16.16,1580256,0,0
2018-05-11,16.08,16.3,15.86,16.21,613163,0,0
2018-05-14,16.21,16.52,16.12,16.44,668828,0,0
2018-05-15,16.44,16.56,16.24,16.3,529242,0,0
2018-05-16,16.41,16.66,16.18,16.44,844408,0,0
2018-05-17,16.45,16.75,16.4,16.57,1198264,0,0
2018-05-18,16.52,16.62,16.08,16.19,890456,0,0
2018-05-21,16.25,16.78,16.15,16.65,641099,0,0
2018-05-22,16.75,17.22,16.64,16.87,562957,0,0
2018-05-23,16.77,17.14,16.71,17.09,717963,0,0
2018-05-24,17.06,17.22,16.77,17.14,767225,0,0
2018-05-25,17.17,17.97,17.04,17.97,825646,0,0
2018-05-29,17.82,18.27,17.7,18.21,1513843,0,0
2018-05-30,18.36,19.05,18.21,18.97,881712,0,0
2018-05-31,18.97,19.27,18.44,18.49,800946,0,0
2018-06-01,18.49,18.84,18.47,18.82,466852,0,0
2018-06-04,18.81,19.47,18.74,19.44,757430,0,0
2018-06-05,19.41,19.99,19.15,19.99,787040,0,0
2018-06-06,20.0,20.05,19.71,19.88,537187,0,0
2018-06-07,19.96,20.47,19.96,20.14,790568,0,0
2018-06-08,20.12,20.58,19.61,20.45,825226,0,0
2018-06-11,20.49,20.74,20.08,20.22,889011,0,0
2018-06-12,20.22,20.38,19.77,20.1,827645,0,0
2018-06-13,20.35,20.72,19.66,19.89,1376550,0,0
2018-06-14,19.91,20.08,19.43,19.51,1009470,0,0
2018-06-15,19.85,19.96,19.34,19.85,1874661,0,0
2018-06-18,19.72,20.72,19.6,20.64,1325155,0,0
2018-06-19,20.48,20.99,20.37,20.95,965068,0,0
2018-06-20,20.94,21.11,20.26,20.44,1045205,0,0
2018-06-21,20.67,21.22,20.67,20.82,1101148,0,0
2018-06-22,20.86,21.42,20.86,21.23,1161502,0,0
2018-06-25,21.2,21.52,21.03,21.39,622523,0,0
2018-06-26,21.23,21.34,20.57,21.28,630486,0,0
2018-06-27,21.24,21.44,20.82,20.87,895903,0,0
2018-06-28,20.86,20.92,20.27,20.56,559928,0,0
2018-06-29,20.67,20.72,20.32,20.52,804731,0,0
2018-07-02,20.5,21.19,20.19,21.12,534097,0,0
2018-07-03,21.14,21.72,21.14,21.32,360611,0,0
2018-07-05,21.35,21.58,21.27,21.54,704703,0,0
2018-07-06,21.54,22.68,21.52,22.43,784451,0,0
2018-07-09,22.55,22.64,21.71,22.05,619795,0,0
2018-07-10,22.11,22.18,21.26,21.42,673111,0,0
2018-07-11,21.28,21.44,20.83,21.06,615088,0,0
2018-07-12,21.16,21.26,20.93,21.17,441092,0,0
2018-07-13,21.15,21.99,21.15,21.93,615429,0,0
2018-07-16,21.95,22.0,21.52,21.77,489799,0,0
2018-07-17,21.65,22.41,21.65,22.31,653794,0,0
2018-07-18,22.3,22.46,21.39,21.5,645382,0,0
2018-07-19,21.4,21.79,21.3,21.43,425933,0,0
2018-07-20,21.4,21.55,20.35,20.61,890878,0,0
2018-07-23,20.49,20.78,19.67,20.05,899586,0,0
2018-07-24,20.3,20.34,19.3,19.62,1393452,0,0
2018-07-25,19.63,19.77,19.21,19.45,872250,0,0
2018-07-26,31.99,32.25,31.81,32.17,25777682,0,0
2018-07-27,32.04,32.16,32.0,32.07,6112763,0,0
2018-07-30,32.08,32.15,32.03,32.14,6400620,0,0
2018-07-31,32.12,32.32,32.07,32.32,4726308,0,0
2018-08-01,32.2,32.25,32.07,32.09,3540903,0,0
2018-08-02,32.12,32.15,32.02,32.14,3797204,0,0
2018-08-03,32.16,32.31,32.07,32.23,4929309,0,0
2018-08-06,32.19,32.19,32.08,32.09,2494273,0,0
2018-08-07,32.1,32.4,32.1,32.25,2748203,0,0
2018-08-08,32.25,32.4,32.15,32.35,1672034,0,0
2018-08-09,32.28,32.4,32.19,32.24,996974,0,0
2018-08-10,32.26,32.34,31.97,32.03,1075231,0,0
2018-08-13,32.08,32.24,32.06,32.19,874359,0,0
2018-08-14,32.24,32.24,32.09,32.15,1114553,0,0
2018-08-15,32.18,32.18,32.02,32.1,1559047,0,0
2018-08-16,32.12,32.18,32.03,32.14,1749927,0,0
2018-08-17,32.14,32.2,32.09,32.15,663713,0,0
2018-08-20,32.17,32.19,32.04,32.04,1313900,0,0
2018-08-21,32.13,32.25,32.09,32.17,1372191,0,0
