Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,21.57,22.24,21.47,22.06,436600,0.0,0
2008-01-03,22.17,22.51,22.03,22.09,347900,0.0,0
2008-01-04,21.83,22.08,21.64,21.84,358600,0.0,0
2008-01-07,21.99,22.24,21.8,22.14,318700,0.0,0
2008-01-08,22.2,22.34,21.93,22.14,479100,0.0,0
2008-01-09,22.03,22.38,21.73,22.32,339900,0.0,0
2008-01-10,22.32,22.85,22.03,22.66,348300,0.0,0
2008-01-11,22.43,23.28,22.03,22.13,353000,0.0,0
2008-01-14,22.31,22.39,22.05,22.13,340800,0.0,0
2008-01-15,21.77,22.02,21.67,21.77,472800,0.0,0
2008-01-16,21.8,22.37,21.65,21.89,341400,0.0,0
2008-01-17,21.89,22.07,21.33,21.41,438400,0.0,0
2008-01-18,21.26,21.26,19.93,20.01,684400,0.0,0
2008-01-22,20.07,20.37,19.22,19.83,482800,0.0,0
2008-01-23,19.31,20.38,19.22,20.37,495700,0.0,0
2008-01-24,20.31,20.38,19.73,20.08,422500,0.0,0
2008-01-25,20.2,20.56,19.97,20.2,335900,0.0,0
2008-01-28,20.16,20.6,19.76,20.6,298700,0.0,0
2008-01-29,20.73,20.87,20.19,20.77,359400,0.0,0
2008-01-30,20.76,20.93,19.9,19.93,390300,0.0,0
2008-01-31,19.56,20.61,19.52,20.4,474600,0.0,0
2008-02-01,20.38,21.06,20.37,20.93,305500,0.0,0
2008-02-04,20.93,21.14,20.71,20.96,206300,0.0,0
2008-02-05,20.71,20.93,20.11,20.2,231500,0.0,0
2008-02-06,20.48,20.68,20.18,20.32,228600,0.18,0
2008-02-07,20.3,20.73,20.0,20.34,370600,0.0,0
2008-02-08,20.21,20.47,19.96,20.28,208800,0.0,0
2008-02-11,21.47,21.78,20.72,21.6,807100,0.0,0
2008-02-12,21.59,21.7,21.23,21.59,449700,0.0,0
2008-02-13,21.68,21.84,21.47,21.64,419500,0.0,0
2008-02-14,21.58,21.78,21.33,21.51,391700,0.0,0
2008-02-15,21.34,21.66,21.15,21.61,387300,0.0,0
2008-02-19,21.95,22.0,21.41,21.57,359000,0.0,0
2008-02-20,21.51,21.92,21.22,21.81,264700,0.0,0
2008-02-21,22.01,22.01,21.3,21.37,351000,0.0,0
2008-02-22,21.45,21.54,21.09,21.47,420000,0.0,0
2008-02-25,21.37,21.82,21.37,21.79,335700,0.0,0
2008-02-26,21.75,22.06,21.63,21.81,666900,0.0,0
2008-02-27,21.58,22.16,21.58,21.88,590000,0.0,0
2008-02-28,21.87,22.0,21.51,21.71,304500,0.0,0
2008-02-29,21.51,21.51,20.74,20.86,234600,0.0,0
2008-03-03,20.78,21.24,20.66,21.23,334100,0.0,0
2008-03-04,21.0,21.35,20.92,21.23,363900,0.0,0
2008-03-05,21.19,21.4,20.97,21.33,264600,0.0,0
2008-03-06,21.29,21.41,20.75,20.78,223500,0.0,0
2008-03-07,20.81,21.15,20.67,20.73,263100,0.0,0
2008-03-10,20.67,20.87,20.44,20.49,225800,0.0,0
2008-03-11,20.88,21.36,20.78,21.36,350500,0.0,0
2008-03-12,21.45,21.95,21.33,21.4,244800,0.0,0
2008-03-13,21.14,21.64,20.96,21.46,443000,0.0,0
2008-03-14,21.6,21.7,20.78,21.09,265900,0.0,0
2008-03-17,20.7,21.37,20.61,21.12,287100,0.0,0
2008-03-18,21.35,22.08,21.26,22.05,390200,0.0,0
2008-03-19,22.07,22.46,21.77,21.77,410800,0.0,0
2008-03-20,22.12,22.4,21.84,22.14,921800,0.0,0
2008-03-24,22.14,22.84,22.02,22.66,293200,0.0,0
2008-03-25,22.77,22.83,22.46,22.75,234900,0.0,0
2008-03-26,22.61,22.76,22.46,22.7,193500,0.0,0
2008-03-27,22.7,22.99,22.43,22.64,289300,0.0,0
2008-03-28,22.64,22.91,22.54,22.64,236300,0.0,0
2008-03-31,22.8,22.93,22.4,22.84,395800,0.0,0
2008-04-01,22.84,23.96,22.78,23.92,530300,0.0,0
2008-04-02,23.85,23.85,23.26,23.32,526700,0.0,0
2008-04-03,23.26,23.72,23.26,23.47,308000,0.0,0
2008-04-04,23.46,23.87,23.36,23.6,369700,0.0,0
2008-04-07,23.77,23.82,23.46,23.51,320000,0.0,0
2008-04-08,23.46,23.66,23.23,23.54,232400,0.0,0
2008-04-09,23.54,23.67,23.18,23.26,241500,0.0,0
2008-04-10,23.36,23.8,23.27,23.71,165700,0.0,0
2008-04-11,23.51,23.65,23.0,23.05,185300,0.0,0
2008-04-14,23.08,23.46,22.91,23.16,191600,0.0,0
2008-04-15,23.5,23.96,23.3,23.79,450300,0.0,0
2008-04-16,23.97,24.8,23.78,24.8,669000,0.0,0
2008-04-17,24.66,24.85,24.4,24.8,277300,0.0,0
2008-04-18,25.08,25.65,25.01,25.42,386800,0.0,0
2008-04-21,25.04,25.54,24.03,25.35,691800,0.0,0
2008-04-22,23.81,24.64,23.33,23.36,849800,0.0,0
2008-04-23,23.54,23.6,23.1,23.43,536700,0.0,0
2008-04-24,23.42,24.02,23.16,23.68,434200,0.0,0
2008-04-25,23.63,23.79,23.28,23.62,301400,0.0,0
2008-04-28,23.79,23.87,23.46,23.53,231200,0.0,0
2008-04-29,23.63,23.69,23.12,23.21,223500,0.0,0
2008-04-30,23.36,23.43,22.95,23.05,248600,0.0,0
2008-05-01,22.97,23.6,22.97,23.29,376700,0.0,0
2008-05-02,23.44,23.44,22.95,23.08,373400,0.0,0
2008-05-05,23.02,23.22,22.78,23.14,314500,0.0,0
2008-05-06,22.95,23.3,22.85,23.24,332100,0.0,0
2008-05-07,23.36,23.38,23.14,23.22,459700,0.18,0
2008-05-08,23.21,23.29,23.03,23.27,412800,0.0,0
2008-05-09,23.06,23.29,22.69,23.21,325300,0.0,0
2008-05-12,23.19,23.43,22.98,23.37,218600,0.0,0
2008-05-13,23.47,23.47,23.16,23.4,199900,0.0,0
2008-05-14,23.36,23.54,23.31,23.33,192100,0.0,0
2008-05-15,23.26,23.33,22.93,23.32,211100,0.0,0
2008-05-16,23.43,23.53,22.9,23.17,260400,0.0,0
2008-05-19,23.04,23.31,22.87,23.07,275900,0.0,0
2008-05-20,22.99,23.4,22.95,23.26,367800,0.0,0
2008-05-21,23.26,23.86,23.2,23.63,548400,0.0,0
2008-05-22,23.63,24.06,23.63,23.96,387100,0.0,0
2008-05-23,24.07,24.07,23.47,23.84,389200,0.0,0
2008-05-27,23.9,24.16,23.77,24.05,258400,0.0,0
2008-05-28,24.07,24.14,23.65,24.02,228200,0.0,0
2008-05-29,24.07,24.84,24.02,24.57,311200,0.0,0
2008-05-30,24.52,24.54,24.11,24.5,306400,0.0,0
2008-06-02,24.49,24.69,24.15,24.67,456900,0.0,0
2008-06-03,24.8,24.94,24.38,24.79,375300,0.0,0
2008-06-04,24.65,25.1,24.56,24.95,292800,0.0,0
2008-06-05,25.11,25.55,24.85,25.54,301200,0.0,0
2008-06-06,25.3,25.3,24.81,24.88,335000,0.0,0
2008-06-09,24.81,24.81,24.26,24.49,315200,0.0,0
2008-06-10,24.35,24.88,24.24,24.84,266300,0.0,0
2008-06-11,24.85,24.85,24.28,24.35,235900,0.0,0
2008-06-12,24.38,24.61,24.24,24.3,184600,0.0,0
2008-06-13,24.38,24.62,24.23,24.62,269900,0.0,0
2008-06-16,24.57,24.57,23.89,24.42,255700,0.0,0
2008-06-17,24.42,24.43,24.06,24.24,168200,0.0,0
2008-06-18,24.03,24.33,23.95,24.08,190700,0.0,0
2008-06-19,24.14,24.43,24.03,24.37,208800,0.0,0
2008-06-20,24.2,24.26,23.6,23.92,545200,0.0,0
2008-06-23,24.07,24.37,23.89,23.91,266700,0.0,0
2008-06-24,23.85,23.92,23.22,23.5,267900,0.0,0
2008-06-25,23.53,23.61,23.22,23.39,303400,0.0,0
2008-06-26,23.21,23.5,22.84,22.85,216500,0.0,0
2008-06-27,22.8,22.8,22.28,22.28,580800,0.0,0
2008-06-30,21.63,22.41,21.63,21.94,361200,0.0,0
2008-07-01,21.77,22.2,21.51,22.07,403700,0.0,0
2008-07-02,22.02,22.13,21.42,21.43,410400,0.0,0
2008-07-03,21.53,21.53,21.28,21.29,151800,0.0,0
2008-07-07,21.44,21.54,21.0,21.21,269900,0.0,0
2008-07-08,21.07,22.26,21.07,22.24,468000,0.0,0
2008-07-09,22.8,23.88,22.8,23.02,686700,0.0,0
2008-07-10,22.99,23.35,22.76,23.15,360900,0.0,0
2008-07-11,22.88,23.43,22.8,23.37,298500,0.0,0
2008-07-14,23.46,23.56,22.77,22.97,204900,0.0,0
2008-07-15,22.78,23.38,22.56,22.9,302900,0.0,0
2008-07-16,23.01,23.43,22.82,23.4,244900,0.0,0
2008-07-17,23.4,23.45,22.99,23.2,298500,0.0,0
2008-07-18,23.89,24.58,23.12,24.42,923100,0.0,0
2008-07-21,24.38,25.13,24.24,25.01,712400,0.0,0
2008-07-22,24.81,25.08,24.76,24.98,500300,0.0,0
2008-07-23,25.02,25.02,24.75,24.82,288500,0.0,0
2008-07-24,24.88,24.96,24.55,24.65,247600,0.0,0
2008-07-25,24.82,25.04,24.54,24.74,192500,0.0,0
2008-07-28,24.58,24.72,23.93,24.05,289300,0.0,0
2008-07-29,24.07,24.42,23.93,24.35,424000,0.0,0
2008-07-30,24.53,24.81,24.34,24.56,351700,0.0,0
2008-07-31,24.52,24.64,24.18,24.24,337900,0.0,0
2008-08-01,24.38,24.46,24.15,24.28,171000,0.0,0
2008-08-04,24.32,24.32,23.71,23.89,211400,0.0,0
2008-08-05,24.06,24.33,23.89,24.31,280900,0.0,0
2008-08-06,24.31,24.31,23.79,24.09,241100,0.19,0
2008-08-07,23.85,23.85,23.44,23.48,244800,0.0,0
2008-08-08,23.49,24.24,23.36,24.22,185000,0.0,0
2008-08-11,24.14,24.54,23.95,24.53,227400,0.0,0
2008-08-12,24.43,24.59,24.24,24.46,178800,0.0,0
2008-08-13,24.46,24.65,24.32,24.5,230300,0.0,0
2008-08-14,24.42,24.59,24.15,24.33,199200,0.0,0
2008-08-15,24.42,24.76,23.66,24.01,282200,0.0,0
2008-08-18,23.95,24.2,23.8,23.95,173200,0.0,0
2008-08-19,23.55,23.73,23.16,23.23,208700,0.0,0
2008-08-20,23.26,23.53,23.12,23.44,194700,0.0,0
2008-08-21,23.35,23.51,23.15,23.36,166200,0.0,0
2008-08-22,23.43,23.66,23.14,23.34,184300,0.0,0
2008-08-25,23.23,23.23,22.28,22.49,276300,0.0,0
2008-08-26,22.49,22.97,22.34,22.9,235900,0.0,0
2008-08-27,22.89,23.01,22.63,22.79,326000,0.0,0
2008-08-28,22.94,22.97,22.69,22.97,279200,0.0,0
2008-08-29,22.91,22.96,22.66,22.9,275100,0.0,0
2008-09-02,22.9,23.6,22.75,22.93,214400,0.0,0
2008-09-03,22.88,23.48,22.87,23.38,410000,0.0,0
2008-09-04,23.3,23.3,22.61,22.83,395000,0.0,0
2008-09-05,22.64,22.92,22.25,22.86,325900,0.0,0
2008-09-08,23.01,23.63,22.86,23.39,273500,0.0,0
2008-09-09,23.4,23.71,22.85,22.85,281800,0.0,0
2008-09-10,22.9,23.38,22.78,23.23,272100,0.0,0
2008-09-11,22.86,23.38,22.69,23.35,332000,0.0,0
2008-09-12,23.27,23.59,23.06,23.5,226500,0.0,0
2008-09-15,22.74,23.63,22.7,22.86,283700,0.0,0
2008-09-16,22.77,23.64,22.59,23.64,341400,0.0,0
2008-09-17,23.36,23.42,22.43,22.43,326400,0.0,0
2008-09-18,22.86,23.25,22.3,23.03,662400,0.0,0
2008-09-19,24.27,25.07,23.05,23.26,1675200,0.0,0
2008-09-22,23.25,23.28,22.57,22.67,327200,0.0,0
2008-09-23,22.54,23.12,22.5,22.61,442900,0.0,0
2008-09-24,22.54,22.54,21.61,21.79,347600,0.0,0
2008-09-25,21.75,22.52,21.73,22.26,303500,0.0,0
2008-09-26,22.07,22.84,21.95,22.79,445400,0.0,0
2008-09-29,22.47,22.51,21.49,21.63,469500,0.0,0
2008-09-30,22.02,22.2,21.73,22.05,459900,0.0,0
2008-10-01,21.95,22.27,21.87,22.24,246900,0.0,0
2008-10-02,22.28,22.38,21.41,21.57,316000,0.0,0
2008-10-03,21.76,22.22,21.11,21.23,467000,0.0,0
2008-10-06,20.8,21.07,19.49,20.15,850600,0.0,0
2008-10-07,20.33,20.7,19.09,19.09,718300,0.0,0
2008-10-08,18.63,19.9,18.33,19.13,597700,0.0,0
2008-10-09,19.3,19.68,17.48,17.51,564600,0.0,0
2008-10-10,16.81,19.01,16.5,18.54,732800,0.0,0
2008-10-13,18.99,20.4,18.24,20.4,549600,0.0,0
2008-10-14,20.76,21.03,19.49,20.03,397400,0.0,0
2008-10-15,19.78,19.82,18.36,18.36,405300,0.0,0
2008-10-16,18.21,20.87,17.65,20.75,958100,0.0,0
2008-10-17,19.71,21.63,19.71,20.04,922300,0.0,0
2008-10-20,20.28,20.69,19.93,20.59,581300,0.0,0
2008-10-21,20.21,20.75,19.96,20.05,454500,0.0,0
2008-10-22,19.56,19.56,18.44,18.68,742900,0.0,0
2008-10-23,18.81,19.9,18.33,19.71,655100,0.0,0
2008-10-24,18.58,19.21,18.03,18.59,482000,0.0,0
2008-10-27,18.69,18.91,17.65,17.65,513800,0.0,0
2008-10-28,17.88,19.1,17.47,19.09,548500,0.0,0
2008-10-29,19.02,19.88,18.67,19.27,445600,0.0,0
2008-10-30,19.31,19.6,18.81,19.37,347700,0.0,0
2008-10-31,19.27,20.18,19.04,19.78,431000,0.0,0
2008-11-03,19.83,20.38,19.6,20.15,314300,0.0,0
2008-11-04,20.51,20.65,19.48,19.78,277200,0.0,0
2008-11-05,19.77,19.94,18.83,18.9,330800,0.19,0
2008-11-06,18.94,19.33,18.6,18.64,302600,0.0,0
2008-11-07,18.84,19.27,18.33,18.96,343900,0.0,0
2008-11-10,19.29,19.32,18.13,18.45,334700,0.0,0
2008-11-11,18.29,19.22,17.93,18.4,332100,0.0,0
2008-11-12,18.1,18.37,17.89,17.92,439200,0.0,0
2008-11-13,17.98,20.05,17.75,20.05,892300,0.0,0
2008-11-14,19.74,20.04,18.76,18.82,391000,0.0,0
2008-11-17,18.66,19.8,18.55,18.91,323400,0.0,0
2008-11-18,18.86,19.43,18.39,19.11,440900,0.0,0
2008-11-19,19.12,19.86,18.33,18.33,586400,0.0,0
2008-11-20,18.14,19.08,17.21,17.27,772200,0.0,0
2008-11-21,17.64,18.91,16.98,18.91,736500,0.0,0
2008-11-24,19.08,19.08,17.64,18.14,1060900,0.0,0
2008-11-25,18.33,18.48,17.6,18.48,665500,0.0,0
2008-11-26,18.05,19.02,17.76,18.95,437800,0.0,0
2008-11-28,18.77,18.99,18.62,18.99,187700,0.0,0
2008-12-01,18.64,18.81,17.08,17.19,561100,0.0,0
2008-12-02,17.57,17.96,17.12,17.93,529100,0.0,0
2008-12-03,17.54,18.88,17.42,18.77,700800,0.0,0
2008-12-04,18.5,19.11,17.15,17.62,588800,0.0,0
