Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.84,11.86,11.17,11.19,256200,0.0,0
2008-01-03,11.19,11.24,10.64,10.7,226600,0.0,0
2008-01-04,10.67,10.68,10.2,10.52,274300,0.0,0
2008-01-07,10.58,11.02,10.1,10.6,292200,0.0,0
2008-01-08,10.72,10.94,10.17,10.17,256300,0.0,0
2008-01-09,10.17,10.24,9.14,9.82,434700,0.0,0
2008-01-10,9.7,10.24,9.6,10.05,357400,0.0,0
2008-01-11,9.95,10.15,9.58,9.69,260800,0.0,0
2008-01-14,9.72,9.72,9.18,9.32,415300,0.0,0
2008-01-15,9.18,9.41,9.01,9.33,397300,0.0,0
2008-01-16,9.26,9.56,8.99,9.08,319600,0.0,0
2008-01-17,9.09,9.35,8.5,8.68,356200,0.0,0
2008-01-18,8.74,9.39,8.3,8.53,590400,0.0,0
2008-01-22,7.91,9.01,7.91,8.82,453700,0.0,0
2008-01-23,8.6,9.14,8.25,9.13,508400,0.0,0
2008-01-24,9.15,9.44,8.84,8.91,496500,0.0,0
2008-01-25,9.05,9.29,8.8,9.11,557900,0.0,0
2008-01-28,8.59,8.6,7.75,7.9,884400,0.0,0
2008-01-29,7.95,8.47,7.86,8.31,465300,0.0,0
2008-01-30,8.24,8.3,7.94,7.94,458100,0.0,0
2008-01-31,7.71,8.29,7.71,8.09,490000,0.0,0
2008-02-01,8.12,8.25,7.72,7.74,454500,0.0,0
2008-02-04,7.74,7.89,7.38,7.64,420200,0.0,0
2008-02-05,7.42,7.42,7.01,7.06,611300,0.0,0
2008-02-06,7.18,7.18,6.79,6.81,385400,0.0,0
2008-02-07,6.8,7.24,6.75,7.17,430100,0.0,0
2008-02-08,7.15,7.24,6.88,6.95,319700,0.0,0
2008-02-11,6.94,7.22,6.81,7.01,306400,0.0,0
2008-02-12,7.03,7.32,7.01,7.1,384600,0.0,0
2008-02-13,7.18,7.38,7.12,7.27,356900,0.0,0
2008-02-14,7.33,7.37,7.03,7.11,307800,0.0,0
2008-02-15,7.06,7.1,6.76,6.97,391300,0.0,0
2008-02-19,7.12,7.15,6.77,6.88,223800,0.0,0
2008-02-20,6.84,7.0,6.72,6.94,257900,0.0,0
2008-02-21,6.98,7.17,6.7,6.81,284400,0.0,0
2008-02-22,6.86,6.88,6.52,6.59,301100,0.0,0
2008-02-25,6.53,6.72,6.43,6.68,316300,0.0,0
2008-02-26,6.64,6.94,6.56,6.74,414100,0.0,0
2008-02-27,6.66,6.98,6.55,6.67,224400,0.0,0
2008-02-28,6.69,6.69,6.39,6.56,279100,0.0,0
2008-02-29,6.51,6.55,6.29,6.33,244600,0.0,0
2008-03-03,6.27,6.41,5.96,6.04,268400,0.0,0
2008-03-04,6.1,6.35,5.97,6.17,339700,0.0,0
2008-03-05,6.14,6.61,6.14,6.43,554900,0.0,0
2008-03-06,6.4,6.4,5.52,5.52,500200,0.0,0
2008-03-07,5.69,6.14,5.46,5.48,444800,0.0,0
2008-03-10,5.58,5.58,5.27,5.27,501800,0.0,0
2008-03-11,7.16,7.59,6.63,6.93,1008000,0.0,0
2008-03-12,7.01,7.1,6.7,6.73,838700,0.0,0
2008-03-13,6.77,7.07,6.5,6.73,850900,0.0,0
2008-03-14,6.7,7.0,6.43,6.49,1044600,0.0,0
2008-03-17,6.38,6.5,5.97,6.34,1232200,0.0,0
2008-03-18,6.5,6.65,6.16,6.57,1648700,1.0,0
2008-03-19,6.59,6.94,6.38,6.5,1057800,0.0,0
2008-03-20,6.56,8.03,6.56,7.6,3008700,0.0,0
2008-03-24,7.44,8.59,7.39,7.93,1784400,0.0,0
2008-03-25,7.95,8.49,7.95,8.28,853400,0.0,0
2008-03-26,8.25,8.25,7.9,8.03,521900,0.0,0
2008-03-27,8.04,8.36,7.87,8.16,561600,0.0,0
2008-03-28,8.15,8.56,8.12,8.25,958000,0.0,0
2008-03-31,8.25,8.4,7.73,7.76,1150400,0.0,0
2008-04-01,7.91,8.39,7.87,8.38,717400,0.0,0
2008-04-02,8.49,8.66,8.32,8.54,492500,0.0,0
2008-04-03,8.43,8.67,8.27,8.67,366900,0.0,0
2008-04-04,8.65,8.83,8.47,8.78,330800,0.0,0
2008-04-07,8.78,8.94,8.63,8.76,216200,0.0,0
2008-04-08,8.69,8.7,8.3,8.47,229500,0.0,0
2008-04-09,8.56,8.56,8.14,8.2,310800,0.0,0
2008-04-10,8.3,8.67,8.23,8.48,263800,0.0,0
2008-04-11,8.33,8.39,8.08,8.12,204600,0.0,0
2008-04-14,8.11,8.42,8.02,8.27,190800,0.0,0
2008-04-15,8.36,8.54,8.2,8.36,138000,0.0,0
2008-04-16,8.5,8.69,8.47,8.65,268800,0.0,0
2008-04-17,8.7,8.7,8.5,8.56,204700,0.0,0
2008-04-18,8.7,9.09,8.65,9.0,356500,0.0,0
2008-04-21,8.89,9.14,8.76,9.06,320200,0.0,0
2008-04-22,9.12,9.23,8.98,9.21,256800,0.0,0
2008-04-23,9.22,9.24,9.02,9.22,190000,0.0,0
2008-04-24,9.21,9.75,9.11,9.73,206000,0.0,0
2008-04-25,9.9,10.12,9.5,10.0,194100,0.0,0
2008-04-28,9.73,10.05,9.71,9.95,195800,0.0,0
2008-04-29,9.92,10.08,9.84,9.84,151100,0.0,0
2008-04-30,9.84,10.42,9.82,10.3,278900,0.0,0
2008-05-01,10.15,10.89,10.15,10.67,255100,0.0,0
2008-05-02,10.78,10.85,10.47,10.62,256200,0.0,0
2008-05-05,10.74,10.93,10.31,10.57,357700,0.0,0
2008-05-06,10.56,10.64,10.34,10.54,185700,0.0,0
2008-05-07,10.47,10.75,10.43,10.54,244900,0.0,0
2008-05-08,10.52,10.74,10.43,10.62,212100,0.0,0
2008-05-09,11.59,12.71,11.59,12.43,870500,0.0,0
2008-05-12,12.4,12.71,12.1,12.49,350300,0.0,0
2008-05-13,12.86,13.39,12.62,13.24,441900,0.0,0
2008-05-14,13.18,13.46,13.02,13.15,370300,0.0,0
2008-05-15,13.08,13.31,12.95,13.28,248000,0.0,0
2008-05-16,13.32,13.49,12.95,13.45,304300,0.0,0
2008-05-19,13.34,13.44,13.12,13.15,337700,0.0,0
2008-05-20,13.1,13.22,12.66,12.94,335200,0.0,0
2008-05-21,12.83,13.0,12.52,12.75,297000,0.0,0
2008-05-22,12.65,12.88,12.41,12.41,289800,0.0,0
2008-05-23,12.5,12.56,12.19,12.33,211500,0.0,0
2008-05-27,12.27,12.68,12.24,12.42,250900,0.0,0
2008-05-28,12.37,12.66,12.06,12.28,385800,0.0,0
2008-05-29,12.26,12.48,12.13,12.28,313500,0.0,0
2008-05-30,12.28,12.65,12.23,12.48,210200,0.0,0
2008-06-02,12.46,12.57,12.07,12.3,218000,0.0,0
2008-06-03,12.39,12.47,11.98,12.19,167000,0.0,0
2008-06-04,12.16,12.29,11.93,12.03,168300,0.0,0
