Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,17.42,17.62,17.28,17.49,26200,0.0,0
2008-01-03,17.44,17.64,17.33,17.62,39500,0.0,0
2008-01-04,17.55,17.62,17.37,17.44,50200,0.0,0
2008-01-07,17.39,17.49,17.19,17.26,38800,0.0,0
2008-01-08,17.12,17.52,17.12,17.2,23800,0.0,0
2008-01-09,17.15,17.21,16.75,17.03,23300,0.0,0
2008-01-10,16.81,17.32,16.81,17.2,36800,0.0,0
2008-01-11,16.98,17.0,16.67,16.73,37400,0.0,0
2008-01-14,16.9,17.29,16.9,17.19,173900,0.0,0
2008-01-15,17.18,17.19,16.59,16.68,34400,0.0,0
2008-01-16,16.56,16.71,16.46,16.59,63800,0.0,0
2008-01-17,16.47,16.57,16.02,16.06,83100,0.0,0
2008-01-18,16.21,16.34,15.66,15.8,52500,0.0,0
2008-01-22,15.38,15.79,15.28,15.54,203800,0.0,0
2008-01-23,15.48,15.64,15.09,15.56,57200,0.0,0
2008-01-24,15.74,15.98,15.71,15.88,43900,0.0,0
2008-01-25,16.0,16.02,15.77,15.89,37500,0.0,0
2008-01-28,15.94,15.98,15.72,15.92,1223700,0.0,0
2008-01-29,16.03,16.29,16.01,16.17,32900,0.0,0
2008-01-30,16.18,16.57,16.18,16.46,27000,0.0,0
2008-01-31,16.25,16.77,16.14,16.5,38100,0.0,0
2008-02-01,16.8,17.13,16.66,17.02,34600,0.0,0
2008-02-04,17.08,17.17,16.83,16.93,52400,0.0,0
2008-02-05,16.78,16.85,16.5,16.68,92100,0.0,0
2008-02-06,16.75,16.82,16.55,16.69,69300,0.0,0
2008-02-07,16.57,16.82,16.51,16.57,39000,0.0,0
2008-02-08,16.73,17.0,16.73,16.88,55000,0.0,0
2008-02-11,16.8,17.3,16.76,17.16,50900,0.0,0
2008-02-12,17.36,17.57,17.33,17.35,50700,0.0,0
2008-02-13,16.67,17.77,16.67,17.67,48900,0.0,0
2008-02-14,17.67,17.84,17.63,17.69,34800,0.0,0
2008-02-15,17.76,17.83,17.46,17.77,75000,0.0,0
2008-02-19,17.74,17.94,17.65,17.7,110400,0.0,0
2008-02-20,17.74,18.23,17.74,18.17,49900,0.0,0
2008-02-21,18.22,18.22,17.62,17.7,43700,0.0,0
2008-02-22,17.77,17.98,17.38,17.98,79800,0.0,0
2008-02-25,18.14,18.48,18.04,18.43,133600,0.0,0
2008-02-26,18.59,18.85,18.59,18.7,99400,0.0,0
2008-02-27,18.9,18.93,18.59,18.7,40000,0.2667,0
2008-02-28,18.65,18.78,18.47,18.73,49400,0.0,0
2008-02-29,18.6,18.69,18.49,18.59,57800,0.0,0
2008-03-03,18.57,18.77,18.35,18.44,59700,0.0,0
2008-03-04,18.44,18.56,18.16,18.53,78600,0.0,0
2008-03-05,18.61,18.85,18.52,18.59,62100,0.0,0
2008-03-06,18.61,18.83,18.33,18.42,54900,0.0,0
2008-03-07,18.47,18.47,18.02,18.23,63800,0.0,0
