Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-20,7.45,7.93,7.2,7.83,202800,0,0
2018-11-21,7.85,7.89,7.76,7.81,81700,0,0
2018-11-23,7.75,7.83,7.56,7.66,59100,0,0
2018-11-26,7.66,7.66,6.94,7.0,77700,0,0
2018-11-27,6.94,6.94,6.55,6.7,77100,0,0
2018-11-28,6.74,7.19,6.44,7.15,91300,0,0
2018-11-29,7.0,7.25,6.9,7.17,41400,0,0
2018-11-30,7.06,7.47,6.85,7.4,44100,0,0
2018-12-03,7.4,7.5,7.22,7.49,34900,0,0
2018-12-04,7.2,7.39,6.8,7.29,28800,0,0
2018-12-06,6.76,7.1,6.76,7.05,59300,0,0
2018-12-07,7.0,7.0,6.83,6.89,115500,0,0
2018-12-10,6.88,7.0,6.88,6.9,147000,0,0
2018-12-11,6.9,6.97,6.85,6.9,44100,0,0
2018-12-12,6.88,7.05,6.88,6.9,63700,0,0
2018-12-13,6.89,7.0,6.81,6.9,66500,0,0
2018-12-14,7.04,7.09,6.85,6.9,34300,0,0
2018-12-17,6.9,7.06,6.81,6.9,58200,0,0
2018-12-18,6.9,7.25,6.8,6.9,113500,0,0
2018-12-19,6.88,6.91,6.83,6.86,66600,0,0
2018-12-20,6.88,7.0,6.85,6.89,63800,0,0
2018-12-21,7.01,7.01,6.8,6.85,48900,0,0
2018-12-24,6.8,6.86,6.79,6.84,34800,0,0
2018-12-26,6.88,6.92,6.8,6.83,46800,0,0
2018-12-27,6.86,7.0,6.41,6.78,66400,0,0
2018-12-28,6.72,6.8,6.7,6.73,42500,0,0
2018-12-31,6.83,6.83,6.54,6.75,58900,0,0
