Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,0.1,0.11,0.1,0.11,13553,0,0
2008-01-03,0.11,0.11,0.09,0.09,447996,0,0
2008-01-04,0.09,0.09,0.09,0.09,26962,0,0
2008-01-07,0.1,0.1,0.1,0.1,59294,0,0
2008-01-08,0.12,0.12,0.1,0.1,0,0,0
2008-01-09,0.12,0.12,0.1,0.1,0,0,0
2008-01-10,0.12,0.12,0.1,0.1,0,0,0
2008-01-11,0.1,0.1,0.09,0.09,154165,0,0
2008-01-14,0.09,0.09,0.09,0.09,0,0,0
2008-01-15,0.09,0.09,0.09,0.09,78450,0,0
2008-01-16,0.08,0.09,0.08,0.08,132988,0,0
2008-01-17,0.08,0.08,0.08,0.08,33666,0,0
2008-01-18,0.08,0.09,0.07,0.07,180216,0,0
2008-01-22,0.07,0.07,0.07,0.07,40447,0,0
2008-01-23,0.07,0.07,0.06,0.06,182117,0,0
2008-01-24,0.06,0.06,0.06,0.06,35780,0,0
2008-01-25,0.06,0.06,0.06,0.06,135106,0,0
2008-01-28,0.06,0.06,0.06,0.06,0,0,0
2008-01-29,0.06,0.06,0.06,0.06,189178,0,0
2008-01-30,0.06,0.06,0.06,0.06,364235,0,0
2008-01-31,0.06,0.06,0.06,0.06,0,0,0
2008-02-01,0.06,0.06,0.06,0.06,64038,0,0
2008-02-04,0.06,0.06,0.05,0.05,689552,0,0
2008-02-05,0.05,0.05,0.05,0.05,49968,0,0
2008-02-06,0.05,0.05,0.05,0.05,8471,0,0
2008-02-07,0.05,0.05,0.05,0.05,55059,0,0
2008-02-08,0.05,0.05,0.05,0.05,9953,0,0
2008-02-11,0.05,0.05,0.05,0.05,678,0,0
2008-02-12,0.05,0.05,0.05,0.05,484517,0,0
2008-02-13,0.05,0.06,0.05,0.06,154588,0,0
2008-02-14,0.06,0.06,0.06,0.06,378804,0,0
2008-02-15,0.06,0.06,0.06,0.06,199059,0,0
2008-02-19,0.06,0.06,0.06,0.06,360000,0,0
2008-02-20,0.06,0.06,0.06,0.06,89365,0,0
2008-02-21,0.06,0.06,0.06,0.06,3126716,0,0
2008-02-22,0.06,0.06,0.06,0.06,40235,0,0
2008-02-25,0.06,0.06,0.06,0.06,98987,0,0
2008-02-26,0.06,0.06,0.06,0.06,1446563,0,0
2008-02-27,0.06,0.06,0.06,0.06,0,0,0
2008-02-28,0.06,0.06,0.06,0.06,70522,0,0
2008-02-29,0.06,0.07,0.06,0.06,1992704,0,0
2008-03-03,0.06,0.06,0.06,0.06,125788,0,0
2008-03-04,0.09,0.09,0.06,0.06,0,0,0
2008-03-05,0.07,0.07,0.07,0.07,50823,0,0
2008-03-06,0.07,0.07,0.07,0.07,30685,0,0
2008-03-07,0.06,0.06,0.06,0.06,6776,0,0
2008-03-10,0.06,0.06,0.06,0.06,138515,0,0
2008-03-11,0.06,0.06,0.06,0.06,219850,0,0
2008-03-12,0.06,0.06,0.06,0.06,8471,0,0
2008-03-13,0.08,0.08,0.06,0.06,0,0,0
2008-03-14,0.06,0.06,0.06,0.06,116894,0,0
2008-03-17,0.06,0.06,0.06,0.06,42353,0,0
2008-03-18,0.07,0.07,0.06,0.06,0,0,0
2008-03-19,0.08,0.08,0.06,0.06,0,0,0
2008-03-20,0.07,0.07,0.07,0.07,138918,0,0
2008-03-24,0.07,0.07,0.07,0.07,0,0,0
2008-03-25,0.07,0.07,0.07,0.07,27318,0,0
2008-03-26,0.08,0.08,0.07,0.07,116369,0,0
2008-03-27,0.08,0.08,0.07,0.07,0,0,0
2008-03-28,0.08,0.08,0.07,0.07,0,0,0
2008-03-31,0.07,0.07,0.07,0.07,116572,0,0
2008-04-01,0.08,0.08,0.07,0.07,0,0,0
2008-04-02,0.07,0.07,0.07,0.07,33035,0,0
2008-04-03,0.08,0.08,0.07,0.07,0,0,0
2008-04-04,0.07,0.07,0.07,0.07,571764,0,0
2008-04-07,0.07,0.07,0.07,0.07,29012,0,0
2008-04-08,0.07,0.07,0.07,0.07,16941,0,0
2008-04-09,0.07,0.07,0.07,0.07,116081,0,0
2008-04-10,0.07,0.07,0.07,0.07,35153,0,0
2008-04-11,0.07,0.07,0.07,0.07,76138,0,0
2008-04-14,0.08,0.08,0.07,0.07,0,0,0
2008-04-15,0.07,0.07,0.07,0.07,2118,0,0
2008-04-16,0.08,0.08,0.07,0.07,0,0,0
2008-04-17,0.07,0.07,0.07,0.07,64588,0,0
2008-04-18,0.07,0.07,0.07,0.07,0,0,0
2008-04-21,0.07,0.07,0.07,0.07,948705,0,0
2008-04-22,0.06,0.06,0.06,0.06,33882,0,0
2008-04-23,0.06,0.06,0.06,0.06,7624,0,0
2008-04-24,0.07,0.07,0.07,0.07,211764,0,0
2008-04-25,0.07,0.07,0.07,0.07,0,0,0
2008-04-28,0.07,0.09,0.07,0.08,2638323,0,0
2008-04-29,0.08,0.08,0.07,0.08,79679,0,0
2008-04-30,0.07,0.08,0.07,0.08,125479,0,0
2008-05-01,0.08,0.09,0.08,0.09,473738,0,0
2008-05-02,0.09,0.09,0.08,0.09,1581457,0,0
