Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,10.726,11.2559,10.726,11.0508,29100,0.0,0
2008-01-03,11.1533,11.1533,10.8713,10.9397,9700,0.0,0
2008-01-04,10.8969,10.9397,10.5251,10.7132,35500,0.0,0
2008-01-07,10.8969,11.0337,10.4952,10.8328,101500,0.0,0
2008-01-08,10.6192,10.8756,10.3072,10.4055,92300,0.0,0
2008-01-09,10.3414,10.6918,10.1705,10.4269,168000,0.0,0
2008-01-10,10.5251,11.3884,10.5166,10.9397,173500,0.0,0
2008-01-11,10.7559,11.1533,10.6961,10.7602,66500,0.0,0
2008-01-14,10.6833,10.7687,10.6149,10.6833,35300,0.0,0
2008-01-15,10.5636,10.6704,10.1448,10.2773,28900,0.0,0
2008-01-16,10.3072,10.4183,10.1918,10.32,32400,0.0,0
2008-01-17,10.4183,10.679,10.1534,10.2645,40400,0.0,0
2008-01-18,10.2132,10.4183,9.7089,10.3628,73900,0.0,0
2008-01-22,9.444,10.3286,9.3799,10.3286,59500,0.0,0
2008-01-23,10.3243,10.4354,10.0423,10.32,45300,0.0,0
2008-01-24,10.3499,10.4995,10.1876,10.3884,23500,0.0,0
2008-01-25,10.5337,10.6662,10.32,10.3371,19700,0.0,0
2008-01-28,10.3371,10.3884,9.7517,9.8371,47400,0.0,0
2008-01-29,9.8286,10.4012,9.6619,9.9354,56800,0.0,0
2008-01-30,9.8329,9.9653,9.5722,9.7218,43400,0.0,0
2008-01-31,9.5722,10.2816,9.5081,9.8329,77500,0.0,0
2008-02-01,9.9995,10.6234,9.9183,10.4055,80600,0.0,0
2008-02-04,10.397,10.4739,9.9995,10.038,55800,0.0,0
2008-02-05,10.0423,10.085,9.6149,10.0423,59500,0.0,0
2008-02-06,9.8901,9.9292,9.4336,9.5945,86800,0.4,0
2008-02-07,9.5641,10.0727,9.5119,9.8901,61400,0.0,0
2008-02-08,9.9379,9.9553,9.5858,9.7423,20300,0.0,0
2008-02-11,9.6727,9.9597,9.4945,9.6423,76500,0.0,0
2008-02-12,9.7901,10.4031,9.6858,10.2162,63200,0.0,0
2008-02-13,10.39,10.5552,10.1857,10.2379,19300,0.0,0
2008-02-14,10.2901,10.4335,9.8684,10.3466,60100,0.0,0
2008-02-15,10.4335,10.8378,10.2466,10.5074,29800,0.0,0
2008-02-19,10.4987,11.4073,10.4726,11.3508,31300,0.0,0
2008-02-20,11.303,11.503,10.8509,11.503,43900,0.0,0
2008-02-21,11.5551,11.6377,11.0943,11.1291,74100,0.0,0
2008-02-22,11.3508,11.4291,10.8943,11.0465,77000,0.0,0
2008-02-25,10.7596,11.303,10.7596,11.2943,29600,0.0,0
2008-02-26,11.1378,11.3638,11.1117,11.2117,45100,0.0,0
2008-02-27,11.1943,11.303,11.103,11.19,48600,0.0,0
2008-02-28,11.1943,11.303,11.0074,11.1204,63400,0.0,0
2008-02-29,11.0856,11.1117,10.8596,11.0378,84000,0.0,0
2008-03-03,11.0074,11.1421,10.7639,11.0074,33800,0.0,0
2008-03-04,10.99,11.0335,10.6987,10.8683,45400,0.0,0
2008-03-05,10.8683,10.9074,10.803,10.8943,50000,0.0,0
2008-03-06,10.7161,11.0465,10.464,10.477,29700,0.0,0
2008-03-07,10.2683,10.49,10.2162,10.2901,66700,0.0,0
2008-03-10,10.2857,10.4161,10.2162,10.2596,24800,0.0,0
2008-03-11,10.264,10.3857,10.2162,10.2205,68700,0.0,0
2008-03-12,10.2205,10.2901,9.9814,9.9944,69500,0.0,0
2008-03-13,9.8249,9.8336,9.0641,9.6249,106600,0.0,0
2008-03-14,9.6684,9.7858,9.2293,9.4249,46900,0.0,0
2008-03-17,9.3815,9.3989,8.8989,9.0337,27300,0.0,0
2008-03-18,9.3032,9.4336,8.8294,9.0033,66100,0.0,0
2008-03-19,8.9641,9.3337,8.9641,9.3293,46200,0.0,0
2008-03-20,9.1293,9.338,9.1119,9.1467,51000,0.0,0
