Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,44.48,44.49,43.79,44.05,1970200,0.0,0.0
2008-01-03,44.96,45.14,44.6,45.02,2842100,0.0,0.0
2008-01-04,45.34,45.34,44.32,44.47,2241500,0.0,0.0
2008-01-07,45.3,45.55,45.04,45.55,4378200,0.0,0.0
2008-01-08,45.78,45.97,44.96,45.23,4223000,0.0,0.0
2008-01-09,45.64,45.89,44.98,45.52,5185800,0.0,0.0
2008-01-10,44.89,45.5,44.71,45.31,2830800,0.0,0.0
2008-01-11,44.41,44.8,44.37,44.5,2605700,0.0,0.0
2008-01-14,45.37,45.4,44.88,45.08,1715900,0.0,0.0
2008-01-15,44.48,44.57,43.58,43.68,2753100,0.0,0.0
2008-01-16,43.25,43.49,41.94,42.06,2824400,0.0,0.0
2008-01-17,42.13,42.58,40.73,40.84,3405700,0.0,0.0
2008-01-18,41.75,42.11,40.82,41.37,3318400,0.0,0.0
2008-01-22,37.26,39.14,37.01,38.85,7003800,0.0,0.0
2008-01-23,35.83,37.55,35.5,37.37,7071900,0.0,0.0
2008-01-24,38.6,39.35,37.99,39.19,4534100,0.0,0.0
2008-01-25,39.84,39.93,38.23,38.47,2570600,0.0,0.0
2008-01-28,38.22,38.85,37.7,38.74,2507700,0.0,0.0
2008-01-29,38.93,39.01,38.59,38.85,1849400,0.0,0.0
2008-01-30,37.94,39.01,37.85,38.25,2933400,0.0,0.0
2008-01-31,37.34,38.66,37.2,38.5,2660500,0.0,0.0
2008-02-01,38.62,39.24,38.39,39.16,2792800,0.0,0.0
2008-02-04,39.09,39.4,38.99,39.09,1850700,0.0,0.0
2008-02-05,38.22,38.23,37.19,37.3,2757500,0.0,0.0
2008-02-06,37.89,37.94,37.3,37.34,2881500,0.0,0.0
2008-02-07,36.53,37.2,36.47,36.9,2035100,0.0,0.0
2008-02-08,36.86,37.23,36.68,37.18,2291800,0.0,0.0
2008-02-11,37.2,37.32,36.46,37.32,2153100,0.0,0.0
2008-02-12,38.01,38.38,37.53,37.71,2209800,0.0,0.0
2008-02-13,38.42,38.45,37.93,38.33,4807200,0.0,0.0
2008-02-14,38.89,39.12,38.54,38.61,4451700,0.0,0.0
2008-02-15,38.32,38.56,37.91,38.35,2518800,0.0,0.0
2008-02-19,39.83,40.07,39.44,39.58,2686600,0.0,0.0
2008-02-20,38.55,39.4,38.55,39.28,2971900,0.0,0.0
2008-02-21,39.31,39.35,38.64,38.74,1876400,0.0,0.0
2008-02-22,39.56,39.6,38.83,39.54,3023600,0.0,0.0
2008-02-25,39.92,40.4,39.65,40.19,2585000,0.0,0.0
2008-02-26,39.54,40.47,39.4,40.33,2116700,0.0,0.0
2008-02-27,40.03,40.88,40.03,40.62,2154700,0.0,0.0
