Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,42.46,42.46,39.66,40.5,13600,0.0,0
2008-01-03,41.76,41.76,40.01,40.41,11100,0.0,0
2008-01-04,41.18,41.37,38.97,39.22,9600,0.0,0
2008-01-07,38.94,39.61,37.63,38.13,6500,0.0,0
2008-01-08,38.77,40.11,38.77,39.24,14200,0.0,0
2008-01-09,38.73,40.47,38.73,39.19,11400,0.0,0
2008-01-10,39.19,40.13,38.55,39.37,51600,0.0,0
2008-01-11,38.94,39.39,36.28,37.39,12600,0.0,0
2008-01-14,38.26,38.73,36.49,36.49,33600,0.0,0
2008-01-15,37.0,37.18,34.53,34.95,39900,0.0,0
2008-01-16,33.88,35.7,32.69,34.44,34000,0.0,0
2008-01-17,35.45,35.45,32.76,33.08,18600,0.0,0
2008-01-18,33.36,35.45,33.36,34.42,68500,0.0,0
2008-01-22,34.06,35.46,32.9,32.9,19100,0.0,0
2008-01-23,33.74,34.53,32.77,33.88,18400,0.0,0
2008-01-24,33.88,35.22,33.18,34.08,16500,0.0,0
2008-01-25,35.46,35.91,32.66,34.95,31100,0.0,0
2008-01-28,36.96,38.74,33.82,34.09,62100,0.0,0
2008-01-29,34.59,35.7,33.32,34.52,13300,0.0,0
2008-01-30,34.86,35.69,33.59,34.76,23500,0.0,0
2008-01-31,35.28,35.45,33.87,33.97,20300,0.0,0
2008-02-01,34.53,36.65,34.53,35.44,26500,0.0,0
2008-02-04,35.0,36.4,33.84,34.3,21400,0.0,0
2008-02-05,33.6,35.46,32.76,32.9,17300,0.0,0
2008-02-06,33.32,34.2,32.85,32.88,23900,0.0,0
2008-02-07,32.66,34.3,32.31,32.66,55800,0.0,0
2008-02-08,32.66,33.6,31.88,31.88,20600,0.0,0
2008-02-11,32.47,32.89,32.01,32.57,12700,0.0,0
2008-02-12,32.48,33.46,31.59,32.65,16700,0.0,0
2008-02-13,33.08,33.6,32.31,32.9,30400,0.0,0
2008-02-14,33.13,34.85,32.66,33.15,70400,0.0,0
2008-02-15,33.44,34.52,32.24,32.42,8800,0.0,0
2008-02-19,32.66,32.9,32.24,32.6,8400,0.0,0
2008-02-20,32.23,33.66,32.23,32.48,10100,0.0,0
2008-02-21,33.13,33.34,31.45,32.03,7500,0.0,0
2008-02-22,31.58,33.38,31.56,32.07,9900,0.0,0
2008-02-25,31.73,31.81,31.5,31.67,14400,0.0,0
2008-02-26,31.73,32.43,31.43,31.73,25200,0.0,0
2008-02-27,31.54,33.36,31.5,31.86,20500,0.0,0
2008-02-28,31.54,36.35,31.5,34.9,23600,0.0,0
2008-02-29,34.87,34.87,32.94,34.25,22100,0.0,0
2008-03-03,35.65,35.65,33.32,33.55,208800,0.0,0
2008-03-04,35.0,35.0,31.85,33.13,106200,0.0,0
2008-03-05,33.77,34.24,32.03,32.79,91700,0.18,0
2008-03-06,33.77,34.24,31.72,32.17,21000,0.0,0
2008-03-07,31.98,33.49,31.89,33.49,125000,0.0,0
2008-03-10,32.95,32.95,30.97,32.5,22300,0.0,0
2008-03-11,32.83,33.53,32.57,32.83,29200,0.0,0
2008-03-12,33.02,33.72,31.89,31.89,25800,0.0,0
2008-03-13,31.89,32.13,31.19,31.42,22200,0.0,0
2008-03-14,31.74,32.8,31.11,31.42,17600,0.0,0
2008-03-17,31.85,31.85,28.51,29.31,36200,0.0,0
2008-03-18,30.39,33.58,28.7,33.06,13300,0.0,0
2008-03-19,32.83,32.98,31.79,32.4,17000,0.0,0
2008-03-20,33.3,33.3,31.56,32.17,10600,0.0,0
2008-03-24,31.75,32.57,31.58,32.13,21800,0.0,0
2008-03-25,32.13,35.87,32.13,35.64,21600,0.0,0
2008-03-26,35.64,37.75,35.64,37.27,23000,0.0,0
2008-03-27,38.03,38.89,37.52,37.85,9600,0.0,0
2008-03-28,37.85,38.66,37.42,38.54,16900,0.0,0
2008-03-31,38.32,39.08,37.3,38.69,16500,0.0,0
2008-04-01,38.93,39.39,36.99,39.39,24700,0.0,0
2008-04-02,39.69,40.33,38.51,39.75,6800,0.0,0
2008-04-03,38.44,39.81,38.44,39.49,5500,0.0,0
2008-04-04,40.1,42.21,39.58,41.34,11600,0.0,0
2008-04-07,42.21,43.13,38.39,42.35,29900,0.0,0
2008-04-08,41.77,43.39,41.5,41.5,12000,0.0,0
2008-04-09,41.83,42.24,40.0,40.17,8300,0.0,0
2008-04-10,41.27,41.51,40.19,40.33,9400,0.0,0
2008-04-11,40.8,43.54,39.39,40.1,11200,0.0,0
2008-04-14,40.33,40.33,39.59,39.95,7600,0.0,0
2008-04-15,39.86,40.33,39.37,40.05,7200,0.0,0
2008-04-16,40.57,42.63,40.1,40.27,13100,0.0,0
2008-04-17,41.27,42.16,39.44,41.91,15800,0.0,0
2008-04-18,40.33,44.78,38.45,44.78,16700,0.0,0
2008-04-21,45.96,45.96,41.53,41.53,31700,0.0,0
2008-04-22,41.27,45.02,40.33,44.23,21400,0.0,0
2008-04-23,44.1,44.79,42.21,44.24,8300,0.0,0
2008-04-24,45.02,45.02,43.57,44.08,7300,0.0,0
2008-04-25,44.08,44.46,43.62,44.08,8800,0.0,0
2008-04-28,44.83,45.02,43.19,44.15,9500,0.0,0
2008-04-29,44.04,44.97,43.91,43.91,10500,0.0,0
2008-04-30,44.13,44.13,41.27,41.28,17700,0.0,0
2008-05-01,41.27,42.21,41.04,41.09,15900,0.0,0
2008-05-02,41.41,42.55,41.41,41.86,5300,0.0,0
2008-05-05,41.44,44.49,41.44,44.01,6400,0.0,0
2008-05-06,44.5,45.02,41.04,44.32,15000,0.0,0
2008-05-07,44.32,44.45,43.38,43.62,3800,0.0,0
2008-05-08,44.51,45.44,43.99,43.99,4100,0.0,0
2008-05-09,45.1,46.24,42.45,43.63,21300,0.0,0
2008-05-12,43.63,43.89,41.04,43.74,14200,0.0,0
2008-05-13,44.08,46.28,44.08,46.28,18800,0.0,0
2008-05-14,46.28,46.48,45.59,46.43,20900,0.0,0
2008-05-15,46.8,46.8,45.61,46.15,8200,0.0,0
2008-05-16,45.96,46.7,44.73,45.3,14900,0.0,0
2008-05-19,45.59,45.96,41.36,42.56,30100,0.0,0
2008-05-20,41.85,43.8,41.85,43.32,8600,0.0,0
2008-05-21,43.38,43.7,41.28,42.21,14500,0.0,0
2008-05-22,42.4,42.53,42.02,42.41,3200,0.0,0
2008-05-23,42.44,42.76,41.27,42.76,5700,0.0,0
2008-05-27,41.36,42.37,41.36,42.37,8400,0.0,0
2008-05-28,42.49,42.49,41.04,41.9,15100,0.0,0
2008-05-29,41.5,42.44,41.14,42.21,11600,0.0,0
2008-05-30,42.79,43.38,41.89,42.7,11400,0.0,0
2008-06-02,43.03,43.85,41.72,42.44,15500,0.0,0
2008-06-03,41.83,43.66,41.83,43.01,15600,0.0,0
2008-06-04,43.56,43.79,42.3,42.88,12100,0.0,0
2008-06-05,42.98,43.9,41.74,42.44,32200,0.0,0
2008-06-06,42.91,43.63,42.56,43.38,14100,0.0,0
2008-06-09,43.76,43.76,42.69,42.78,7500,0.0,0
2008-06-10,42.09,43.32,42.09,42.95,12200,0.0,0
2008-06-11,43.92,43.92,42.21,42.29,14200,0.0,0
2008-06-12,42.87,44.87,42.68,44.32,24700,0.0,0
2008-06-13,44.64,44.74,43.62,43.95,14400,0.0,0
2008-06-16,44.3,44.44,43.49,44.44,9600,0.0,0
2008-06-17,44.22,44.93,44.22,44.29,7000,0.0,0
2008-06-18,44.61,45.62,44.61,45.62,10700,0.0,0
2008-06-19,45.96,48.4,45.54,47.0,20700,0.0,0
2008-06-20,47.32,49.51,46.36,49.51,16100,0.0,0
2008-06-23,49.02,51.59,47.48,51.35,18000,0.0,0
2008-06-24,51.35,51.35,48.28,50.26,8500,0.0,0
2008-06-25,49.76,51.35,49.72,50.72,11100,0.0,0
2008-06-26,49.48,51.73,49.48,50.61,17700,0.0,0
2008-06-27,49.87,51.13,49.21,49.95,14700,0.0,0
2008-06-30,50.39,51.62,48.99,49.95,12900,0.0,0
2008-07-01,49.95,49.95,48.89,49.07,9900,0.0,0
2008-07-02,48.79,49.42,45.97,46.18,18000,0.0,0
2008-07-03,45.68,45.96,43.85,45.49,11000,0.0,0
2008-07-07,46.09,46.09,39.49,42.68,28200,0.0,0
2008-07-08,43.17,43.17,39.88,42.12,9700,0.0,0
2008-07-09,41.67,42.2,39.64,39.86,17600,0.0,0
2008-07-10,40.61,42.07,39.49,39.53,23500,0.0,0
2008-07-11,40.42,41.27,38.78,39.82,26400,0.0,0
2008-07-14,40.31,51.18,39.93,40.16,33000,0.0,0
2008-07-15,40.43,41.27,40.29,40.9,11300,0.0,0
2008-07-16,40.46,40.67,37.52,39.07,23000,0.0,0
2008-07-17,39.39,39.73,37.61,37.66,13700,0.0,0
2008-07-18,38.06,38.31,37.52,37.52,8900,0.0,0
2008-07-21,37.14,39.04,37.14,38.25,7000,0.0,0
2008-07-22,39.82,39.86,38.53,39.01,16100,0.0,0
2008-07-23,38.65,39.77,37.52,37.61,16200,0.0,0
2008-07-24,38.36,39.13,37.06,37.06,10500,0.0,0
2008-07-25,37.52,38.69,36.36,38.46,7600,0.0,0
2008-07-28,38.02,38.95,37.85,37.85,3400,0.0,0
2008-07-29,37.85,38.62,37.07,37.57,4300,0.0,0
2008-07-30,38.05,42.06,37.24,38.13,21500,0.0,0
2008-07-31,39.25,39.86,37.56,37.75,8000,0.0,0
2008-08-01,38.18,40.84,37.93,39.87,6900,0.0,0
2008-08-04,40.37,40.52,38.48,40.24,10000,0.0,0
2008-08-05,39.49,39.82,37.58,37.81,18900,0.0,0
2008-08-06,37.8,37.9,37.17,37.6,21800,0.0,0
2008-08-07,37.42,38.1,37.09,37.5,15100,0.0,0
2008-08-08,37.3,37.72,37.29,37.36,4800,0.0,0
2008-08-11,38.02,38.19,37.1,37.5,10500,0.0,0
2008-08-12,37.28,38.03,37.12,37.52,6500,0.0,0
2008-08-13,37.52,37.61,36.63,37.28,17900,0.0,0
2008-08-14,37.35,37.35,35.88,35.88,27000,0.0,0
2008-08-15,36.08,36.08,35.69,35.88,16000,0.0,0
2008-08-18,35.67,36.71,35.66,35.86,13300,0.0,0
2008-08-19,35.95,36.47,35.81,36.14,11700,0.0,0
2008-08-20,35.97,37.42,35.97,37.27,4500,0.0,0
2008-08-21,37.44,37.52,36.87,37.28,9000,0.0,0
2008-08-22,38.21,38.21,37.39,37.56,13000,0.0,0
2008-08-25,37.94,39.1,37.42,38.37,12700,0.0,0
2008-08-26,38.2,38.55,37.31,38.55,12700,0.0,0
2008-08-27,38.88,40.55,38.88,40.11,16000,0.0,0
2008-08-28,40.24,41.2,39.47,40.87,9200,0.0,0
2008-08-29,41.27,42.21,39.36,40.77,9700,0.0,0
2008-09-02,41.22,42.09,40.07,41.0,13800,0.0,0
2008-09-03,41.06,41.2,40.61,40.75,5900,0.0,0
2008-09-04,40.76,40.76,39.07,40.46,8200,0.0,0
2008-09-05,40.27,40.73,39.2,40.26,11100,0.0,0
2008-09-08,40.33,41.1,39.5,40.43,6500,0.0,0
2008-09-09,39.16,39.4,37.53,39.21,20000,0.0,0
2008-09-10,39.86,40.09,38.93,38.93,23900,0.0,0
2008-09-11,38.47,39.85,37.72,38.96,30700,0.0,0
2008-09-12,38.82,38.86,38.42,38.51,30400,0.0,0
2008-09-15,37.84,37.84,35.77,36.58,29200,0.0,0
2008-09-16,36.58,37.08,35.83,36.21,19800,0.0,0
2008-09-17,37.66,38.3,35.64,37.05,17700,0.0,0
2008-09-18,36.2,36.67,35.64,35.84,31700,0.0,0
