Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,25.46,25.82,24.93,25.43,2425400,0.0,0
2008-01-03,25.53,25.73,23.67,23.67,3894100,0.0,0
2008-01-04,23.52,23.57,21.14,22.27,5267000,0.0,0
2008-01-07,22.4,22.88,21.89,22.77,2545200,0.0,0
2008-01-08,22.84,23.6,22.28,22.45,2963500,0.0,0
2008-01-09,22.26,22.38,21.04,21.71,3844900,0.0,0
2008-01-10,21.5,22.67,21.15,22.07,2623400,0.0,0
2008-01-11,21.94,22.11,21.47,21.64,1454200,0.0,0
2008-01-14,21.83,22.62,21.71,22.31,1290200,0.0,0
2008-01-15,21.91,22.16,21.45,21.68,2113500,0.0,0
2008-01-16,21.56,22.43,20.81,21.8,1976200,0.0,0
2008-01-17,21.91,22.14,21.27,21.62,1483700,0.0,0
2008-01-18,22.12,22.12,21.31,21.69,1912400,0.0,0
2008-01-22,20.79,23.66,20.09,23.09,2509700,0.0,0
2008-01-23,22.5,25.42,22.13,24.14,4493200,0.0,0
2008-01-24,24.28,25.82,24.28,24.41,2489300,0.0,0
2008-01-25,21.99,21.99,18.29,18.59,17803000,0.0,0
2008-01-28,18.8,19.6,18.33,19.58,3687300,0.0,0
2008-01-29,19.74,19.79,18.98,19.62,3037700,0.0,0
2008-01-30,19.62,20.13,19.32,19.6,2202700,0.0,0
2008-01-31,19.32,19.9,18.56,19.39,4744200,0.0,0
2008-02-01,19.53,19.98,19.21,19.81,2818000,0.0,0
2008-02-04,19.79,20.07,18.76,19.02,2688400,0.0,0
2008-02-05,18.62,19.43,18.47,18.54,2908700,0.0,0
2008-02-06,18.63,18.76,17.27,17.35,3481100,0.0,0
2008-02-07,17.15,17.42,16.69,17.03,4222900,0.0,0
2008-02-08,17.01,17.63,16.76,17.44,2686400,0.0,0
2008-02-11,17.47,17.47,16.84,17.3,2299200,0.0,0
2008-02-12,17.43,17.91,17.32,17.48,2044800,0.0,0
2008-02-13,17.63,17.66,17.16,17.38,1223000,0.0,0
2008-02-14,17.46,17.65,17.15,17.37,1964500,0.0,0
2008-02-15,17.2,17.55,17.09,17.17,1809900,0.0,0
2008-02-19,17.38,17.38,15.93,16.47,3445600,0.0,0
2008-02-20,16.02,16.87,15.94,16.82,2256200,0.0,0
2008-02-21,16.97,17.03,16.23,16.3,2398300,0.0,0
2008-02-22,16.35,16.59,16.21,16.42,2018000,0.0,0
2008-02-25,16.5,16.93,16.39,16.76,1714800,0.08,0
2008-02-26,16.68,18.66,16.65,18.28,3331200,0.0,0
2008-02-27,18.06,18.86,17.52,18.26,1786800,0.0,0
2008-02-28,18.38,18.75,17.87,18.53,3090200,0.0,0
2008-02-29,18.34,18.44,17.04,17.15,3819300,0.0,0
2008-03-03,17.13,17.15,16.57,16.85,2463900,0.0,0
2008-03-04,16.69,17.09,15.51,16.82,3879200,0.0,0
2008-03-05,16.68,17.22,16.12,16.43,2173900,0.0,0
2008-03-06,16.44,16.44,15.51,15.54,2340500,0.0,0
2008-03-07,15.24,16.2,14.87,15.73,1999300,0.0,0
2008-03-10,15.7,15.96,15.28,15.32,1532200,0.0,0
2008-03-11,15.81,16.25,15.56,16.12,2769100,0.0,0
2008-03-12,16.08,16.77,15.88,16.45,1824500,0.0,0
2008-03-13,16.22,16.79,15.61,16.54,1792200,0.0,0
2008-03-14,16.72,17.02,16.26,16.6,2601100,0.0,0
2008-03-17,9.85,11.62,9.37,10.34,9871100,0.0,0
2008-03-18,10.37,11.32,10.29,10.83,4600300,0.0,0
2008-03-19,10.83,11.52,10.83,11.47,5425700,0.0,0
2008-03-20,11.38,12.75,11.38,12.73,12184100,0.0,0
2008-03-24,12.82,12.88,12.22,12.55,3003500,0.0,0
2008-03-25,12.58,12.58,11.72,12.06,3556500,0.0,0
2008-03-26,11.98,12.45,11.9,11.98,2554500,0.0,0
2008-03-27,11.98,12.78,11.46,11.47,3439000,0.0,0
2008-03-28,11.47,11.47,10.79,10.83,2330000,0.0,0
2008-03-31,10.83,11.19,10.32,10.83,3395000,0.0,0
2008-04-01,12.3,12.7,10.87,12.3,2799300,0.0,0
2008-04-02,12.04,13.16,11.48,11.62,2234300,0.0,0
2008-04-03,11.82,12.28,11.17,12.04,2400800,0.0,0
2008-04-04,12.03,12.34,11.64,11.77,1662700,0.0,0
2008-04-07,11.82,12.1,11.68,11.76,1415100,0.0,0
2008-04-08,11.64,11.72,11.27,11.33,1203000,0.0,0
2008-04-09,11.35,12.0,10.98,11.02,1653800,0.0,0
2008-04-10,11.18,11.46,10.88,10.99,1090200,0.0,0
2008-04-11,10.83,11.08,10.6,10.82,1283800,0.0,0
