Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,18.49,18.53,17.74,17.84,261500,0.0,0.0
2008-01-03,17.84,17.95,17.58,17.58,219400,0.0,0.0
2008-01-04,17.38,17.54,17.17,17.22,188000,0.0,0.0
2008-01-07,17.26,17.77,17.26,17.6,186000,0.0,0.0
2008-01-08,17.72,17.8,17.18,17.21,257100,0.0,0.0
2008-01-09,17.16,17.52,17.01,17.49,203500,0.0,0.0
2008-01-10,17.32,17.94,17.32,17.81,206800,0.0,0.0
2008-01-11,17.73,17.77,17.24,17.24,156300,0.0,0.0
2008-01-14,17.39,17.46,17.07,17.25,166600,0.0,0.0
2008-01-15,17.08,17.22,16.99,16.99,236400,0.0,0.0
2008-01-16,16.87,17.62,16.87,17.28,265500,0.0,0.0
2008-01-17,17.39,17.43,16.97,16.98,203000,0.0,0.0
2008-01-18,16.87,17.09,16.42,16.57,351300,0.0,0.0
2008-01-22,16.44,17.09,16.21,16.87,238500,0.0,0.0
2008-01-23,16.46,17.75,16.42,17.57,386100,0.0,0.0
2008-01-24,17.53,17.57,16.92,16.98,309600,0.0,0.0
2008-01-25,17.21,17.28,16.74,16.88,198500,0.0,0.0
2008-01-28,16.86,17.38,16.76,17.32,206000,0.0,0.0
2008-01-29,17.45,17.45,16.96,17.28,123300,0.0,0.0
2008-01-30,17.18,17.26,16.76,16.76,228900,0.0,0.0
2008-01-31,16.48,17.05,16.48,16.92,249000,0.0,0.0
2008-02-01,17.05,17.47,16.84,17.44,216300,0.0,0.0
2008-02-04,17.24,17.3,16.9,16.94,195200,0.0,0.0
2008-02-05,16.61,16.95,16.61,16.62,174100,0.0,0.0
2008-02-06,16.78,16.91,16.54,16.57,113500,0.0,0.0
2008-02-07,16.57,16.92,16.46,16.71,164100,0.0,0.0
2008-02-08,16.61,16.91,16.4,16.51,157100,0.0,0.0
2008-02-11,16.59,16.64,16.26,16.47,147800,0.0,0.0
2008-02-12,16.44,16.82,16.44,16.73,170100,0.0,0.0
2008-02-13,16.9,17.31,16.87,17.28,236300,0.0,0.0
2008-02-14,17.29,17.32,16.17,16.46,284300,0.0,0.0
2008-02-15,16.39,16.68,16.36,16.56,155000,0.0,0.0
2008-02-19,16.67,16.73,16.36,16.51,176800,0.0,0.0
2008-02-20,16.45,16.88,16.2,16.86,188300,0.0,0.0
2008-02-21,16.95,16.99,16.43,16.44,226100,0.0,0.0
2008-02-22,16.44,16.55,16.06,16.41,240700,0.0,0.0
2008-02-25,16.46,16.87,16.33,16.76,239700,0.0,0.0
2008-02-26,16.73,17.01,16.64,16.86,181700,0.0,0.0
2008-02-27,16.69,16.99,16.54,16.56,260700,0.0,0.0
2008-02-28,16.53,16.66,16.4,16.53,433000,0.0,0.0
2008-02-29,16.46,16.63,16.29,16.42,306500,0.0,0.0
2008-03-03,16.38,16.46,16.08,16.36,430400,0.0,0.0
2008-03-04,16.23,16.46,16.09,16.23,312800,0.0,0.0
2008-03-05,16.3,16.32,15.96,16.02,314000,0.0,0.0
2008-03-06,16.36,16.6,15.69,15.71,359400,0.06505,1.03
2008-03-07,15.64,15.72,15.28,15.34,607500,0.0,0.0
2008-03-10,15.39,15.5,15.27,15.27,534900,0.0,0.0
2008-03-11,15.67,15.9,15.39,15.82,657000,0.0,0.0
2008-03-12,16.1,16.47,15.93,16.14,264900,0.0,0.0
2008-03-13,15.89,16.31,15.89,16.19,218800,0.0,0.0
2008-03-14,16.27,16.27,15.69,15.76,264100,0.0,0.0
2008-03-17,15.41,16.01,15.31,15.64,346600,0.0,0.0
2008-03-18,15.76,16.3,15.73,16.23,383800,0.0,0.0
2008-03-19,16.43,17.15,16.37,16.56,294600,0.0,0.0
2008-03-20,16.56,17.96,16.56,17.27,908800,0.0,0.0
2008-03-24,17.27,17.3,17.11,17.18,238600,0.0,0.0
2008-03-25,17.19,17.45,17.17,17.26,156800,0.0,0.0
2008-03-26,17.14,17.28,17.04,17.15,140500,0.0,0.0
2008-03-27,17.26,17.31,17.03,17.06,101900,0.0,0.0
2008-03-28,17.08,17.28,16.98,17.07,134500,0.0,0.0
2008-03-31,17.1,17.83,17.07,17.65,304600,0.0,0.0
2008-04-01,17.72,17.98,17.65,17.87,194600,0.0,0.0
2008-04-02,17.9,18.17,17.9,18.07,137100,0.0,0.0
2008-04-03,18.0,18.28,17.96,18.09,197100,0.0,0.0
2008-04-04,18.07,18.45,18.05,18.38,321500,0.0,0.0
2008-04-07,18.49,18.9,18.45,18.45,291100,0.0,0.0
2008-04-08,18.47,18.73,18.26,18.33,220600,0.0,0.0
2008-04-09,18.44,18.65,17.98,18.02,317300,0.0,0.0
2008-04-10,18.05,18.17,17.48,17.94,470100,0.0,0.0
2008-04-11,17.68,17.74,17.38,17.44,291100,0.0,0.0
2008-04-14,17.41,17.51,17.21,17.35,246800,0.0,0.0
2008-04-15,17.48,17.59,17.41,17.49,201600,0.0,0.0
2008-04-16,17.59,17.59,17.4,17.51,252500,0.0,0.0
2008-04-17,17.51,17.6,17.46,17.47,173000,0.0,0.0
2008-04-18,17.7,17.9,17.62,17.72,257200,0.0,0.0
2008-04-21,17.61,17.77,17.47,17.51,289600,0.0,0.0
2008-04-22,17.43,17.51,17.11,17.18,296100,0.0,0.0
2008-04-23,17.23,17.37,16.81,17.09,351600,0.0,0.0
2008-04-24,17.1,17.1,16.46,16.86,213700,0.0,0.0
2008-04-25,16.82,16.86,16.25,16.3,259600,0.0,0.0
2008-04-28,16.49,17.47,16.49,17.34,300400,0.0,0.0
2008-04-29,17.38,17.38,17.06,17.15,183500,0.0,0.0
2008-04-30,17.23,17.38,17.0,17.04,179200,0.0,0.0
2008-05-01,17.0,17.31,16.92,17.09,257500,0.0,0.0
2008-05-02,17.26,17.26,16.84,16.9,198400,0.0,0.0
2008-05-05,16.97,16.97,16.53,16.67,256600,0.0,0.0
2008-05-06,16.75,16.81,16.41,16.81,317500,0.0,0.0
2008-05-07,16.92,16.96,16.48,16.52,240500,0.0,0.0
2008-05-08,16.53,16.67,16.41,16.55,198100,0.0,0.0
2008-05-09,16.46,16.76,16.41,16.72,157500,0.0,0.0
2008-05-12,16.81,16.91,16.69,16.83,315200,0.0,0.0
2008-05-13,16.87,16.9,16.62,16.67,249700,0.0,0.0
2008-05-14,16.74,16.84,16.72,16.76,237300,0.0,0.0
2008-05-15,16.86,16.86,16.62,16.81,294300,0.0,0.0
2008-05-16,16.8,17.23,16.59,16.76,252300,0.0,0.0
2008-05-19,16.79,16.89,16.74,16.84,309000,0.0,0.0
2008-05-20,16.81,16.83,16.7,16.83,271100,0.0,0.0
2008-05-21,16.93,17.19,16.87,17.09,290500,0.0,0.0
2008-05-22,17.09,17.49,17.09,17.27,281300,0.0,0.0
2008-05-23,17.19,17.21,16.84,17.03,133000,0.0,0.0
2008-05-27,17.18,17.75,17.18,17.65,244900,0.0,0.0
2008-05-28,17.75,17.76,17.54,17.74,236200,0.0,0.0
2008-05-29,17.74,18.13,17.71,17.93,221700,0.0,0.0
2008-05-30,18.03,18.12,17.75,17.95,246700,0.0,0.0
2008-06-02,17.88,17.97,17.51,17.72,183400,0.0,0.0
2008-06-03,17.7,18.03,17.65,17.9,196100,0.0,0.0
2008-06-04,17.83,18.36,17.79,18.14,202000,0.0,0.0
2008-06-05,18.14,18.69,18.06,18.46,147900,0.0,0.0
2008-06-06,18.23,18.55,18.23,18.35,172700,0.0,0.0
2008-06-09,18.37,18.62,18.24,18.49,148100,0.0,0.0
2008-06-10,18.41,18.71,18.37,18.46,162800,0.0,0.0
2008-06-11,18.35,18.63,17.98,17.98,172600,0.0,0.0
