Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,26.9,26.9,26.44,26.46,172800,0.0,0.0
2008-01-03,26.32,26.99,26.14,26.89,253600,0.0,0.0
2008-01-04,26.61,26.61,26.04,26.09,208100,0.0,0.0
2008-01-07,25.97,26.15,25.45,25.98,230200,0.0,0.0
2008-01-08,26.14,26.22,25.37,25.38,139800,0.0,0.0
2008-01-09,25.06,25.06,24.36,24.5,236000,0.0,0.0
2008-01-10,24.4,24.63,24.08,24.48,302500,0.0,0.0
2008-01-11,24.13,24.34,23.87,23.94,252000,0.0,0.0
2008-01-14,23.66,23.66,23.14,23.47,250100,0.0,0.0
2008-01-15,22.32,23.43,22.24,22.88,258700,0.0,0.0
2008-01-16,21.77,22.61,21.76,22.33,283400,0.0,0.0
2008-01-17,22.47,22.86,21.81,21.98,383800,0.0,0.0
2008-01-18,22.31,22.64,21.94,22.19,237000,0.0,0.0
2008-01-22,21.33,22.34,21.23,22.05,281000,0.0,0.0
2008-01-23,21.65,22.45,21.5,22.35,212300,0.0,0.0
2008-01-24,22.87,23.79,22.79,23.77,203800,0.0,0.0
2008-01-25,24.3,24.3,23.47,23.69,235200,0.0,0.0
2008-01-28,23.62,23.73,23.33,23.6,126800,0.0,0.0
2008-01-29,23.96,24.13,23.49,23.94,157400,0.0,0.0
2008-01-30,23.94,24.02,23.06,23.45,178100,0.0,0.0
2008-01-31,22.97,23.82,22.72,23.31,342500,0.0,0.0
2008-02-01,23.35,24.15,23.26,24.12,115200,0.0,0.0
2008-02-04,24.13,24.13,23.78,23.99,119200,0.0,0.0
2008-02-05,23.25,23.3,22.33,22.5,270900,0.0,0.0
2008-02-06,22.63,22.88,22.48,22.79,156900,0.0,0.0
2008-02-07,22.71,22.87,22.3,22.87,217000,0.0,0.0
2008-02-08,22.82,22.93,22.11,22.31,234100,0.0,0.0
2008-02-11,22.36,22.65,22.23,22.48,193400,0.0,0.0
2008-02-12,22.92,23.28,22.86,22.99,130900,0.0,0.0
2008-02-13,22.99,23.39,22.82,23.28,123500,0.0,0.0
2008-02-14,23.25,23.25,22.87,22.9,91000,0.0,0.0
2008-02-15,22.92,22.92,22.48,22.74,125500,0.0,0.0
2008-02-19,22.92,22.96,22.08,22.39,303200,0.27,0.0
2008-02-20,22.41,22.77,22.1,22.73,129100,0.0,0.0
2008-02-21,22.72,22.98,22.7,22.9,122700,0.0,0.0
2008-02-22,23.03,23.03,22.41,22.99,164200,0.0,0.0
2008-02-25,23.15,23.53,22.91,23.44,125900,0.0,0.0
2008-02-26,23.5,23.67,23.28,23.53,151400,0.0,0.0
2008-02-27,23.43,23.52,23.11,23.2,198200,0.0,0.0
