Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-25,24.46,25.58,24.35,25.24,25922300,0.0,0
2015-06-26,25.32,25.72,24.59,24.69,3807900,0.0,0
2015-06-29,23.85,24.78,23.27,24.21,1871200,0.0,0
2015-06-30,24.69,25.57,24.34,24.94,840800,0.0,0
2015-07-01,24.85,25.14,24.36,24.79,780000,0.0,0
2015-07-02,24.87,24.94,24.44,24.84,450500,0.0,0
2015-07-06,24.15,24.94,24.15,24.61,131700,0.0,0
2015-07-07,24.82,24.82,24.34,24.43,519000,0.0,0
2015-07-08,24.59,24.7,24.05,24.26,658000,0.0,0
2015-07-09,24.39,24.56,24.02,24.17,538700,0.0,0
2015-07-10,24.29,24.41,24.03,24.29,774600,0.0,0
2015-07-13,24.4,25.14,24.4,25.1,377700,0.0,0
2015-07-14,25.17,25.23,24.74,24.89,302900,0.0,0
2015-07-15,24.78,25.01,24.34,24.59,196100,0.0,0
2015-07-16,24.84,25.04,24.58,24.62,446200,0.0,0
2015-07-17,24.63,24.9,24.37,24.76,542800,0.0,0
2015-07-20,24.69,24.74,24.55,24.56,125000,0.0,0
2015-07-21,24.54,24.84,24.45,24.71,187100,0.0,0
2015-07-22,24.74,24.86,24.61,24.73,616400,0.0,0
2015-07-23,24.71,25.09,24.71,25.09,320200,0.0,0
2015-07-24,24.83,25.19,24.6,24.69,175500,0.0,0
2015-07-27,24.35,24.79,23.86,24.23,389500,0.0,0
2015-07-28,24.35,24.64,24.18,24.44,310900,0.0,0
2015-07-29,24.19,25.19,24.19,25.02,815000,0.0,0
2015-07-30,24.78,25.1,24.53,24.95,277100,0.0,0
2015-07-31,24.88,25.11,24.74,24.94,221700,0.0,0
2015-08-03,24.86,25.17,24.74,25.11,313300,0.0,0
2015-08-04,24.64,25.68,24.5,25.57,409400,0.0,0
2015-08-05,25.53,26.83,25.42,26.48,1156400,0.0,0
2015-08-06,26.58,26.82,25.99,26.4,520800,0.0,0
2015-08-07,26.22,26.35,25.79,26.07,161600,0.0,0
2015-08-10,26.22,26.46,26.1,26.18,260500,0.0,0
2015-08-11,26.21,26.41,25.91,25.98,183900,0.0,0
2015-08-12,25.7,26.05,25.33,25.97,1426800,0.0,0
2015-08-13,25.76,26.02,25.25,25.83,301100,0.0,0
2015-08-14,25.83,26.84,25.35,26.68,318000,0.0,0
2015-08-17,26.82,26.82,26.2,26.58,777600,0.0,0
2015-08-18,26.08,26.33,25.47,25.56,749900,0.0,0
2015-08-19,25.69,26.24,25.49,26.06,539000,0.0,0
2015-08-20,25.91,26.27,25.72,25.77,192900,0.0,0
2015-08-21,25.72,25.84,25.01,25.25,375500,0.0,0
2015-08-24,23.86,24.81,23.15,23.97,778200,0.0,0
2015-08-25,24.83,25.09,23.68,24.13,657800,0.0,0
2015-08-26,24.65,25.03,23.96,24.83,349800,0.0,0
2015-08-27,25.28,26.01,24.98,25.35,265500,0.0,0
2015-08-28,25.23,25.83,25.09,25.59,200400,0.0,0
2015-08-31,25.52,25.9,25.22,25.69,434200,0.0,0
2015-09-01,25.01,25.72,24.65,24.77,236600,0.0,0
2015-09-02,24.89,25.51,24.77,25.33,410600,0.0,0
2015-09-03,25.27,25.81,25.21,25.73,377300,0.0,0
2015-09-04,25.19,25.77,25.08,25.21,893300,0.0,0
2015-09-08,25.46,26.18,25.36,25.61,709400,0.0,0
2015-09-09,25.73,26.18,25.51,25.55,702500,0.0,0
2015-09-10,25.36,25.48,25.04,25.44,318500,0.0,0
2015-09-11,25.19,25.56,25.19,25.47,195300,0.0,0
2015-09-14,25.4,25.58,25.08,25.19,270700,0.0,0
2015-09-15,25.08,25.64,25.01,25.61,274100,0.0,0
2015-09-16,25.69,25.94,25.35,25.74,422200,0.0,0
2015-09-17,25.76,26.17,25.59,25.77,452800,0.0,0
2015-09-18,25.29,25.9,24.52,24.54,2086900,0.0,0
2015-09-21,24.75,25.52,24.73,25.27,249200,0.0,0
2015-09-22,25.1,25.21,24.58,24.78,331100,0.0,0
2015-09-23,24.85,25.27,24.76,25.02,414100,0.0,0
2015-09-24,24.63,25.07,24.1,24.99,895700,0.0,0
2015-09-25,25.07,25.55,24.84,25.39,279900,0.0,0
2015-09-28,25.44,25.44,24.37,24.49,499400,0.0,0
2015-09-29,24.53,24.81,23.8,23.92,621300,0.0,0
2015-09-30,24.04,25.49,23.95,24.96,3047500,0.0,0
2015-10-01,24.97,25.65,24.03,24.38,850300,0.0,0
2015-10-02,24.08,24.51,23.51,24.5,452800,0.0,0
2015-10-05,24.61,24.93,24.41,24.46,225500,0.0,0
2015-10-06,24.31,24.82,24.01,24.37,347600,0.0,0
2015-10-07,24.44,24.85,24.2,24.85,263800,0.0,0
