Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,13.1,13.31,12.92,13.0,2262900,0.0,0
2008-01-03,13.14,13.14,12.24,12.26,3992100,0.0,0
2008-01-04,12.24,12.24,11.89,11.96,3282900,0.0,0
2008-01-07,12.01,12.5,11.98,12.45,2814200,0.0,0
2008-01-08,12.58,12.58,12.01,12.01,3058600,0.0,0
2008-01-09,11.98,12.19,11.87,12.18,2883800,0.0,0
2008-01-10,12.11,12.57,12.01,12.46,2816200,0.0,0
2008-01-11,12.36,12.36,12.03,12.14,2346400,0.0,0
2008-01-14,12.22,12.25,12.0,12.07,2375000,0.0,0
2008-01-15,11.94,12.12,11.89,11.94,2115900,0.0,0
2008-01-16,11.87,12.2,11.8,12.05,3675100,0.0,0
2008-01-17,12.06,12.23,11.64,11.72,3854000,0.0,0
2008-01-18,11.83,11.88,11.29,11.46,4116400,0.0,0
2008-01-22,11.19,11.82,11.18,11.57,4065700,0.0,0
2008-01-23,11.25,11.7,11.02,11.66,5136000,0.0,0
2008-01-24,11.72,11.87,11.56,11.6,3469900,0.0,0
2008-01-25,11.76,11.76,11.21,11.4,4234200,0.0,0
2008-01-28,11.19,12.37,11.19,12.03,5785600,0.0,0
2008-01-29,12.01,12.03,11.69,11.74,3564600,0.0,0
2008-01-30,12.03,12.21,11.72,12.05,4527500,0.0,0
2008-01-31,11.84,12.39,11.73,12.23,2654200,0.0,0
2008-02-01,12.27,12.63,12.22,12.39,2202200,0.0,0
2008-02-04,12.39,12.5,12.07,12.08,3257500,0.0,0
2008-02-05,12.04,12.17,11.69,11.86,4689500,0.0,0
2008-02-06,11.95,12.01,11.71,11.83,2303300,0.0,0
2008-02-07,11.77,11.85,11.6,11.76,2851800,0.0,0
2008-02-08,11.72,11.83,11.61,11.77,2443100,0.0,0
2008-02-11,11.77,11.79,11.55,11.66,2286200,0.0,0
2008-02-12,11.78,11.89,11.61,11.71,1396800,0.0,0
2008-02-13,11.83,11.92,11.78,11.9,2208300,0.0,0
2008-02-14,11.89,11.99,11.74,11.77,2672200,0.0,0
2008-02-15,11.79,11.83,11.58,11.72,2343600,0.0,0
2008-02-19,11.83,12.37,11.83,12.22,3736900,0.0,0
2008-02-20,12.21,12.92,12.16,12.8,5312900,0.0,0
2008-02-21,12.88,13.0,12.24,12.34,4022900,0.0,0
2008-02-22,12.35,12.59,12.11,12.53,2486200,0.0,0
2008-02-25,12.51,12.6,12.22,12.52,2254000,0.0,0
2008-02-26,12.49,12.61,12.26,12.32,2769600,0.0,0
2008-02-27,12.32,12.92,12.16,12.78,3511000,0.04,0
2008-02-28,12.72,13.0,12.63,12.82,2458600,0.0,0
2008-02-29,12.76,12.76,12.38,12.43,3016900,0.0,0
2008-03-03,12.38,12.94,12.32,12.9,3430500,0.0,0
2008-03-04,12.81,12.94,12.7,12.87,4409900,0.0,0
2008-03-05,13.14,14.17,13.05,13.96,7405300,0.0,0
2008-03-06,13.92,14.33,13.92,14.01,5644600,0.0,0
2008-03-07,13.93,13.99,13.48,13.64,3541500,0.0,0
2008-03-10,13.78,13.78,13.33,13.51,2993200,0.0,0
2008-03-11,13.85,14.22,13.56,13.85,4401700,0.0,0
2008-03-12,13.85,14.45,13.85,14.19,4773500,0.0,0
2008-03-13,13.89,14.46,13.89,14.32,4362400,0.0,0
2008-03-14,14.4,14.4,13.64,13.76,4689400,0.0,0
2008-03-17,13.54,13.82,13.31,13.46,3882600,0.0,0
2008-03-18,13.83,14.33,13.81,14.28,3525200,0.0,0
2008-03-19,14.53,15.04,14.34,14.45,5543200,0.0,0
2008-03-20,14.52,14.79,14.34,14.57,6003300,0.0,0
2008-03-24,14.6,14.76,14.46,14.62,3108700,0.0,0
2008-03-25,14.46,14.62,14.22,14.33,3325000,0.0,0
2008-03-26,14.22,14.4,14.08,14.21,1885500,0.0,0
2008-03-27,14.23,14.32,13.84,13.89,3052700,0.0,0
2008-03-28,14.12,14.16,13.89,13.91,2081000,0.0,0
2008-03-31,13.8,13.95,13.57,13.76,3104700,0.0,0
2008-04-01,13.83,14.51,13.83,14.51,3402500,0.0,0
2008-04-02,14.56,14.56,14.0,14.05,2288900,0.0,0
2008-04-03,13.96,14.22,13.94,14.18,2175900,0.0,0
2008-04-04,14.24,14.56,14.21,14.51,2889900,0.0,0
2008-04-07,14.64,14.93,14.56,14.66,2394900,0.0,0
2008-04-08,14.53,14.59,14.36,14.46,1902100,0.0,0
2008-04-09,14.41,14.45,14.08,14.19,3430100,0.0,0
2008-04-10,14.21,14.73,14.19,14.63,5006700,0.0,0
2008-04-11,14.43,14.69,14.43,14.53,4557000,0.0,0
2008-04-14,14.56,14.86,14.56,14.76,5412400,0.0,0
2008-04-15,14.89,15.18,14.66,15.14,4012700,0.0,0
2008-04-16,15.24,15.44,15.24,15.41,4077200,0.0,0
2008-04-17,15.41,15.94,15.37,15.89,8252900,0.0,0
2008-04-18,16.23,16.82,16.23,16.4,10366600,0.0,0
2008-04-21,16.42,16.77,16.21,16.77,5508800,0.0,0
2008-04-22,16.67,16.77,16.08,16.19,4359000,0.0,0
2008-04-23,16.22,16.46,15.52,15.67,7727300,0.0,0
2008-04-24,15.67,15.84,15.28,15.59,5617500,0.0,0
2008-04-25,15.74,15.78,15.36,15.65,6723000,0.0,0
2008-04-28,15.55,16.16,15.4,15.73,4931200,0.0,0
2008-04-29,15.87,15.88,15.32,15.39,5862900,0.0,0
2008-04-30,15.39,15.47,15.2,15.35,6418700,0.0,0
2008-05-01,15.23,15.5,15.22,15.37,4918500,0.0,0
2008-05-02,15.64,15.65,15.24,15.35,4795500,0.0,0
2008-05-05,15.39,15.58,15.26,15.48,4731600,0.0,0
2008-05-06,15.35,15.42,15.0,15.27,5976500,0.0,0
2008-05-07,15.31,15.37,15.14,15.24,6044800,0.0,0
2008-05-08,15.29,15.46,15.24,15.37,3599800,0.0,0
2008-05-09,15.12,15.29,14.9,14.96,3478200,0.0,0
2008-05-12,15.09,15.35,14.95,15.33,4181400,0.0,0
2008-05-13,15.38,15.61,15.27,15.5,7413500,0.0,0
2008-05-14,15.51,15.9,15.45,15.66,3905300,0.0,0
2008-05-15,15.8,16.15,15.69,16.05,3241800,0.0,0
2008-05-16,16.08,16.26,15.62,15.75,2869300,0.0,0
2008-05-19,15.78,16.11,15.64,15.8,4009500,0.0,0
2008-05-20,15.7,15.85,15.49,15.61,2672000,0.0,0
2008-05-21,15.61,15.97,15.46,15.5,2538300,0.0,0
2008-05-22,15.61,15.96,15.47,15.83,2798800,0.0,0
2008-05-23,15.79,15.82,15.29,15.37,2838400,0.0,0
