Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.54,11.54,11.13,11.25,839200,0.0,0.0
2008-01-03,11.26,11.4,10.92,10.94,1238400,0.0,0.0
2008-01-04,10.84,10.88,10.58,10.63,1236000,0.0,0.0
2008-01-07,10.66,10.76,10.36,10.43,1552400,0.0,0.0
2008-01-08,10.45,10.51,9.96,9.96,2173200,0.0,0.0
2008-01-09,10.01,10.06,9.71,9.95,1950000,0.0,0.0
2008-01-10,9.99,10.01,9.77,9.94,1884000,0.0,0.0
2008-01-11,9.93,10.42,9.87,10.19,2254000,0.0,0.0
2008-01-14,10.2,10.27,9.81,9.95,1273200,0.0,0.0
2008-01-15,9.9,9.9,9.63,9.75,1483600,0.0,0.0
2008-01-16,9.73,9.83,9.53,9.66,2247600,0.0,0.0
2008-01-17,9.62,9.8,9.14,9.22,1969200,0.0,0.0
2008-01-18,9.29,9.4,9.06,9.13,2780000,0.0,0.0
2008-01-22,8.75,9.44,8.6,9.31,2884000,0.0,0.0
2008-01-23,9.05,10.39,9.05,10.27,3564000,0.0,0.0
2008-01-24,10.21,10.47,10.13,10.35,2577200,0.0,0.0
2008-01-25,10.5,10.5,10.04,10.08,1511200,0.0,0.0
2008-01-28,10.08,10.36,9.89,10.36,1347600,0.0,0.0
2008-01-29,10.35,10.48,10.16,10.38,1478000,0.0,0.0
2008-01-30,10.36,10.41,10.15,10.17,1311600,0.0,0.0
2008-01-31,10.1,10.51,10.0,10.48,1708800,0.0,0.0
2008-02-01,10.53,10.86,10.49,10.82,2060000,0.0,0.0
2008-02-04,10.75,10.78,10.35,10.4,1412000,0.0,0.0
2008-02-05,10.23,10.53,10.16,10.31,1215200,0.0,0.0
2008-02-06,10.35,10.53,10.23,10.32,1108400,0.0,0.0
2008-02-07,10.2,10.38,10.04,10.13,1624400,0.0,0.0
2008-02-08,10.11,10.19,9.95,10.09,692400,0.0,0.0
2008-02-11,10.03,10.19,9.87,10.1,1084000,0.0,0.0
2008-02-12,10.11,10.18,9.77,9.81,1728800,0.0,0.0
2008-02-13,9.84,10.11,9.82,10.06,1023600,0.0,0.0
2008-02-14,10.05,10.26,9.96,10.09,1574800,0.0,0.0
2008-02-15,10.09,10.11,9.91,10.02,1063200,0.0,0.0
2008-02-19,10.07,10.07,9.59,9.66,1448400,0.0,0.0
2008-02-20,9.56,9.97,9.56,9.91,1722000,0.0,0.0
2008-02-21,9.87,10.57,9.84,10.33,4087200,0.0,0.0
2008-02-22,10.33,10.63,10.31,10.63,1896800,0.0,0.0
2008-02-25,10.57,10.86,10.42,10.79,3042400,0.0,0.0
2008-02-26,10.8,10.97,10.78,10.91,1612000,0.0,0.0
2008-02-27,10.77,11.04,10.75,10.83,1817600,0.0,0.0
2008-02-28,10.82,10.97,10.62,10.65,1395600,0.0,0.0
2008-02-29,10.61,10.63,10.19,10.23,1389600,0.0,0.0
2008-03-03,10.16,10.42,10.12,10.4,1236400,0.0,0.0
2008-03-04,10.28,10.33,10.07,10.1,1624800,0.0,0.0
