Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,17.6,17.72,17.27,17.44,1994900,0.0,0
2008-01-03,17.67,17.83,17.46,17.62,1851600,0.0,0
2008-01-04,17.61,17.73,17.29,17.32,1727700,0.0,0
2008-01-07,17.54,17.91,17.45,17.89,1232800,0.0,0
2008-01-08,17.69,17.83,16.77,16.9,1691800,0.0,0
2008-01-09,17.19,17.85,17.19,17.79,1198300,0.0,0
2008-01-10,17.25,17.9,17.25,17.82,1746800,0.0,0
2008-01-11,17.98,17.98,17.47,17.47,1040400,0.0,0
2008-01-14,17.73,17.92,17.59,17.81,842800,0.0,0
2008-01-15,17.73,17.73,16.57,16.57,1669100,0.0,0
2008-01-16,16.86,17.05,16.14,16.22,2127700,0.0,0
2008-01-17,16.43,16.77,16.01,16.1,1023200,0.0,0
2008-01-18,16.13,16.25,15.6,15.99,1199700,0.0,0
2008-01-22,14.76,15.96,14.76,15.94,1404600,0.0,0
2008-01-23,15.36,15.94,14.98,15.81,2616500,0.0,0
2008-01-24,15.41,16.05,15.31,15.91,1323100,0.0,0
2008-01-25,16.32,16.75,16.1,16.34,796700,0.0,0
2008-01-28,16.49,16.6,16.09,16.6,539300,0.0,0
2008-01-29,16.6,16.82,16.43,16.68,303200,0.0,0
2008-01-30,16.53,16.89,16.17,16.56,1074700,0.0,0
2008-01-31,16.43,16.72,16.11,16.59,951500,0.0,0
2008-02-01,17.04,17.75,17.04,17.71,1407500,0.0,0
2008-02-04,17.88,17.98,17.61,17.78,1376700,0.0,0
2008-02-05,17.43,17.43,16.36,16.6,1617400,0.0,0
2008-02-06,16.83,16.99,16.45,16.5,622100,0.0,0
2008-02-07,16.36,16.77,16.21,16.62,896600,0.0,0
2008-02-08,16.39,16.6,16.19,16.39,1030100,0.0,0
2008-02-11,16.31,16.35,15.81,15.89,990500,0.0,0
2008-02-12,15.96,16.51,15.96,16.39,866500,0.0,0
2008-02-13,16.63,16.71,16.48,16.66,626700,0.0,0
2008-02-14,16.85,16.87,16.23,16.52,609200,0.0,0
2008-02-15,16.57,16.79,16.52,16.6,461900,0.0,0
2008-02-19,16.81,16.93,16.5,16.52,483600,0.0,0
2008-02-20,16.15,16.3,15.95,16.13,1208800,0.0,0
2008-02-21,16.26,16.35,15.93,16.01,572500,0.0,0
2008-02-22,16.01,16.05,15.71,15.88,658500,0.0,0
2008-02-25,16.08,16.32,15.88,16.25,671000,0.0,0
2008-02-26,16.18,16.31,15.92,16.26,921100,0.0,0
2008-02-27,16.28,16.32,16.04,16.16,697300,0.0,0
2008-02-28,16.17,16.17,15.71,15.89,679100,0.0,0
2008-02-29,15.81,15.91,15.69,15.71,1099900,0.0,0
2008-03-03,15.69,15.91,15.66,15.78,1050100,0.0,0
2008-03-04,15.82,15.99,15.35,15.41,950500,0.0,0
2008-03-05,15.59,15.79,15.35,15.49,1237800,0.0,0
2008-03-06,15.54,15.57,15.14,15.16,771200,0.0,0
2008-03-07,14.94,14.95,14.43,14.48,1278100,0.0,0
2008-03-10,14.72,14.76,14.33,14.33,1266000,0.0,0
2008-03-11,14.45,14.92,14.3,14.9,1756600,0.0,0
2008-03-12,14.48,14.52,14.22,14.34,894100,0.0,0
2008-03-13,14.08,14.26,13.89,14.15,1292100,0.0,0
2008-03-14,14.33,14.44,13.81,13.83,989500,0.0,0
2008-03-17,13.61,13.73,13.19,13.43,1655100,0.0,0
2008-03-18,14.17,14.87,13.94,14.4,1608800,0.0,0
2008-03-19,14.63,14.63,14.04,14.26,1655500,0.0,0
2008-03-20,14.35,14.35,13.83,14.21,1651000,0.0,0
2008-03-24,14.64,15.15,14.52,15.12,1077600,0.0,0
2008-03-25,15.44,15.69,15.1,15.56,1325400,0.0,0
2008-03-26,15.46,15.54,14.35,14.51,2504200,0.0,0
2008-03-27,14.92,14.96,13.94,14.01,1541900,0.0,0
2008-03-28,14.05,14.46,13.97,14.16,975500,0.0,0
2008-03-31,14.22,14.33,13.81,14.0,1243800,0.0,0
2008-04-01,14.18,14.67,14.09,14.46,3596400,0.0,0
2008-04-02,14.46,14.6,14.17,14.56,1659400,0.0,0
2008-04-03,14.45,14.57,14.08,14.47,1230000,0.0,0
2008-04-04,14.09,14.43,13.91,14.28,1789500,0.0,0
2008-04-07,14.56,14.56,14.12,14.34,899600,0.0,0
2008-04-08,14.27,14.33,13.96,14.06,747600,0.0,0
2008-04-09,14.08,14.27,13.82,13.84,678200,0.0,0
2008-04-10,13.97,14.01,13.68,14.0,743900,0.0,0
2008-04-11,13.99,13.99,13.46,13.6,874800,0.0,0
2008-04-14,13.47,13.65,13.46,13.58,634100,0.0,0
2008-04-15,13.78,14.02,13.7,13.98,781900,0.0,0
2008-04-16,13.98,14.03,13.67,13.96,908000,0.0,0
2008-04-17,13.94,14.0,13.72,13.95,406200,0.0,0
2008-04-18,14.04,14.25,13.91,14.2,699200,0.0,0
2008-04-21,14.29,14.29,13.98,14.12,872000,0.0,0
2008-04-22,14.35,14.35,13.99,14.0,572600,0.0,0
2008-04-23,13.94,14.37,13.94,14.37,711100,0.0,0
2008-04-24,14.35,14.5,14.17,14.46,525400,0.0,0
2008-04-25,14.52,14.54,14.26,14.42,643600,0.0,0
2008-04-28,14.32,14.43,14.17,14.24,739300,0.0,0
2008-04-29,14.26,14.54,14.25,14.52,709500,0.0,0
2008-04-30,14.61,15.08,14.57,14.83,1087400,0.0,0
2008-05-01,14.88,15.32,14.88,15.23,823700,0.0,0
2008-05-02,15.41,15.58,15.15,15.38,1368700,0.0,0
2008-05-05,15.33,15.33,14.99,15.1,747300,0.0,0
2008-05-06,15.13,15.22,14.89,15.13,679200,0.0,0
2008-05-07,15.1,15.15,14.58,14.68,679900,0.0,0
2008-05-08,14.66,14.68,14.22,14.49,780200,0.0,0
2008-05-09,14.39,14.39,14.16,14.31,857100,0.0,0
2008-05-12,14.37,14.67,14.34,14.41,711700,0.0,0
2008-05-13,14.41,14.41,14.22,14.34,631300,0.0,0
2008-05-14,14.28,14.43,14.26,14.38,642000,0.0,0
2008-05-15,14.17,14.35,13.94,14.35,874900,0.0,0
2008-05-16,14.24,14.36,14.14,14.36,745500,0.0,0
2008-05-19,14.38,14.48,14.24,14.31,614600,0.0,0
2008-05-20,14.35,14.36,14.0,14.18,803200,0.0,0
2008-05-21,14.26,14.33,13.87,13.92,1594800,0.0,0
2008-05-22,13.92,13.92,13.65,13.81,677300,0.0,0
2008-05-23,13.61,13.71,13.41,13.61,815900,0.0,0
2008-05-27,13.33,13.39,13.02,13.3,1543900,0.0,0
2008-05-28,13.32,13.5,13.01,13.03,1689400,0.0,0
2008-05-29,12.54,12.55,12.21,12.42,5279700,0.0,0
2008-05-30,12.4,12.59,12.1,12.43,2807900,0.0,0
2008-06-02,12.1,12.31,11.89,11.94,1685400,0.0,0
2008-06-03,12.11,12.15,11.88,11.92,1486900,0.0,0
2008-06-04,11.48,11.74,11.44,11.74,1833300,0.0,0
2008-06-05,11.43,11.61,11.23,11.6,2915100,0.0,0
2008-06-06,11.44,11.51,11.2,11.21,1569800,0.0,0
2008-06-09,11.18,11.18,10.85,10.91,1923600,0.0,0
2008-06-10,10.82,10.98,10.77,10.78,1800400,0.0,0
2008-06-11,10.81,10.81,10.49,10.53,1650100,0.0,0
2008-06-12,10.74,11.21,10.59,11.19,3692200,0.0,0
2008-06-13,11.04,11.14,10.86,11.14,1871900,0.0,0
2008-06-16,11.26,11.29,11.04,11.1,1206000,0.352,0
2008-06-17,11.17,11.63,11.17,11.3,1445300,0.0,0
2008-06-18,11.41,11.41,11.02,11.06,1476800,0.0,0
2008-06-19,11.04,11.06,10.8,10.95,1119900,0.0,0
2008-06-20,10.63,10.71,10.49,10.57,888300,0.0,0
2008-06-23,10.58,10.71,10.37,10.48,888600,0.0,0
2008-06-24,10.39,10.44,10.14,10.14,1000800,0.0,0
2008-06-25,10.28,10.4,10.09,10.4,1623600,0.0,0
2008-06-26,10.41,10.41,9.73,9.84,1422400,0.0,0
2008-06-27,9.75,9.77,8.89,9.2,2803900,0.0,0
2008-06-30,9.22,9.39,9.01,9.27,1553100,0.0,0
2008-07-01,8.98,9.08,8.74,8.87,1279300,0.0,0
2008-07-02,8.99,8.99,8.61,8.67,1348500,0.0,0
2008-07-03,8.63,8.63,8.21,8.21,1294200,0.0,0
2008-07-07,8.44,8.57,8.3,8.43,1312500,0.0,0
2008-07-08,8.23,8.36,7.99,8.33,1903600,0.0,0
2008-07-09,8.55,8.71,8.46,8.65,1181100,0.0,0
2008-07-10,8.75,8.75,8.54,8.65,1863500,0.0,0
2008-07-11,8.65,8.71,8.51,8.65,2770300,0.0,0
2008-07-14,8.77,8.77,8.52,8.58,1860800,0.0,0
2008-07-15,8.4,8.72,8.27,8.59,2060200,0.0,0
2008-07-16,8.58,9.1,8.35,9.01,2426200,0.0,0
2008-07-17,9.18,9.39,8.89,9.33,1245700,0.0,0
2008-07-18,9.4,9.77,9.23,9.25,1646600,0.0,0
2008-07-21,9.27,9.37,9.2,9.27,1900100,0.0,0
2008-07-22,9.13,9.7,8.92,9.7,2166000,0.0,0
2008-07-23,9.83,9.97,9.75,9.92,1708000,0.0,0
2008-07-24,9.83,9.91,9.15,9.25,1344400,0.0,0
2008-07-25,9.38,9.4,8.99,9.32,1407500,0.0,0
2008-07-28,9.42,9.42,8.62,8.7,1437700,0.0,0
2008-07-29,8.67,9.18,8.53,9.17,1123300,0.0,0
2008-07-30,9.08,9.23,8.55,8.74,1780300,0.0,0
2008-07-31,8.58,8.81,8.45,8.63,1605200,0.0,0
2008-08-01,8.71,8.84,8.55,8.78,1154100,0.0,0
