Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,14.48,14.48,14.25,14.47,8600,0.0,0
2008-01-03,14.39,14.54,14.39,14.48,8700,0.0,0
2008-01-04,14.46,14.62,14.46,14.62,10300,0.0,0
2008-01-07,14.62,14.68,14.53,14.61,17100,0.0,0
2008-01-08,14.67,14.73,14.57,14.7,11500,0.0,0
2008-01-09,14.65,14.88,14.63,14.82,10700,0.0,0
2008-01-10,14.73,15.11,14.73,15.03,14800,0.0,0
2008-01-11,14.9,15.13,14.89,14.98,30500,0.0,0
2008-01-14,15.13,15.38,14.89,14.93,77500,0.0,0
2008-01-15,14.88,15.1,14.88,14.97,17100,0.0,0
2008-01-16,15.01,15.01,14.91,15.0,13200,0.0,0
2008-01-17,14.92,15.09,14.89,15.0,27700,0.0,0
2008-01-18,15.03,15.1,14.9,15.03,15000,0.0,0
2008-01-22,15.03,15.18,14.79,15.11,29700,0.0,0
2008-01-23,15.17,15.19,15.06,15.13,50000,0.0,0
2008-01-24,15.12,15.16,14.97,15.0,39800,0.0,0
2008-01-25,15.15,15.19,14.98,15.15,44200,0.0,0
2008-01-28,15.04,15.28,15.04,15.17,338200,0.0,0
2008-01-29,15.3,15.3,15.04,15.09,56600,0.0,0
2008-01-30,15.17,15.31,15.11,15.12,15800,0.0,0
2008-01-31,15.11,15.25,15.06,15.25,23800,0.0,0
2008-02-01,15.22,15.31,15.06,15.19,11300,0.0,0
2008-02-04,15.15,15.41,15.11,15.22,30300,0.0,0
2008-02-05,15.25,15.34,15.05,15.25,20300,0.0,0
2008-02-06,15.33,15.37,15.26,15.31,16200,0.0,0
2008-02-07,15.26,15.33,15.25,15.28,30100,0.0,0
2008-02-08,15.3,15.31,15.22,15.28,24100,0.0,0
2008-02-11,15.31,15.34,14.92,15.19,30800,0.0,0
2008-02-12,15.16,15.27,15.13,15.16,25800,0.0,0
2008-02-13,15.24,15.31,15.13,15.16,29900,0.0,0
2008-02-14,15.25,15.25,14.95,15.14,13100,0.0,0
2008-02-15,15.14,15.28,14.51,15.16,780400,0.0,0
2008-02-19,15.22,15.33,15.16,15.27,28300,0.0,0
2008-02-20,15.22,15.22,15.01,15.16,16500,0.0,0
2008-02-21,15.08,15.22,15.08,15.22,12000,0.0,0
2008-02-22,15.16,15.22,15.08,15.14,22400,0.0,0
2008-02-25,15.08,15.22,15.02,15.09,13800,0.0,0
2008-02-26,15.16,15.22,15.1,15.2,15400,0.0,0
2008-02-27,15.41,15.41,15.16,15.31,24500,0.343,0
2008-02-28,15.28,15.41,14.94,15.33,33500,0.0,0
2008-02-29,15.37,15.46,15.12,15.42,28300,0.0,0
2008-03-03,15.42,15.42,15.18,15.32,14700,0.0,0
2008-03-04,15.37,15.42,15.34,15.36,22700,0.0,0
2008-03-05,15.4,15.49,15.26,15.4,10200,0.0,0
2008-03-06,15.31,15.4,15.25,15.39,14900,0.0,0
2008-03-07,15.4,15.46,15.28,15.37,5800,0.0,0
2008-03-10,15.46,15.46,15.31,15.42,12600,0.0,0
2008-03-11,15.35,15.46,15.24,15.33,3159300,0.0,0
2008-03-12,15.33,15.42,15.26,15.31,19300,0.0,0
2008-03-13,15.31,15.37,15.11,15.14,32600,0.0,0
2008-03-14,15.18,15.29,15.07,15.24,10400,0.0,0
2008-03-17,15.19,15.37,15.09,15.35,17400,0.0,0
2008-03-18,15.37,15.37,15.25,15.34,13600,0.0,0
2008-03-19,15.37,15.43,15.35,15.43,21900,0.0,0
2008-03-20,15.34,15.43,15.34,15.42,8800,0.0,0
2008-03-24,15.43,15.47,15.39,15.41,17500,0.0,0
2008-03-25,15.41,15.49,15.4,15.4,12800,0.0,0
2008-03-26,15.4,15.47,15.36,15.47,31500,0.0,0
2008-03-27,15.43,15.49,15.41,15.47,23600,0.0,0
2008-03-28,15.49,15.53,15.4,15.53,19500,0.0,0
2008-03-31,15.53,15.53,15.44,15.49,10000,0.0,0
2008-04-01,15.44,15.49,15.4,15.49,10500,0.0,0
2008-04-02,15.41,15.47,15.4,15.42,15200,0.0,0
2008-04-03,15.4,15.49,15.37,15.39,27200,0.0,0
2008-04-04,15.4,15.49,15.39,15.42,12700,0.0,0
2008-04-07,15.42,15.48,15.37,15.45,12700,0.0,0
2008-04-08,15.43,15.44,15.37,15.39,16700,0.0,0
2008-04-09,15.31,15.41,15.31,15.37,14600,0.0,0
2008-04-10,15.31,15.49,15.31,15.45,20200,0.0,0
2008-04-11,15.42,15.49,15.41,15.48,12300,0.0,0
2008-04-14,15.44,15.47,15.44,15.44,4800,0.0,0
2008-04-15,15.48,15.49,15.44,15.48,10200,0.0,0
2008-04-16,15.46,15.52,15.41,15.43,25700,0.0,0
2008-04-17,15.48,15.48,15.37,15.43,16500,0.0,0
2008-04-18,15.43,15.44,15.24,15.42,29100,0.0,0
2008-04-21,15.43,15.47,15.37,15.43,18200,0.0,0
2008-04-22,15.44,15.55,15.44,15.49,75000,0.0,0
2008-04-23,15.48,15.54,15.46,15.49,44900,0.0,0
2008-04-24,15.5,15.57,15.44,15.56,42300,0.0,0
2008-04-25,15.56,15.62,15.49,15.59,124600,0.0,0
2008-04-28,15.57,15.67,15.57,15.6,39400,0.0,0
2008-04-29,15.59,15.64,15.59,15.61,30600,0.0,0
2008-04-30,15.65,15.65,15.6,15.62,18700,0.0,0
2008-05-01,15.62,15.66,15.62,15.65,18800,0.0,0
2008-05-02,15.64,15.68,15.64,15.66,20300,0.0,0
2008-05-05,15.67,15.68,15.65,15.66,30800,0.0,0
2008-05-06,15.66,15.69,15.65,15.66,21600,0.0,0
2008-05-07,15.67,15.67,15.63,15.65,251200,0.0,0
2008-05-08,15.66,15.68,15.66,15.67,22400,0.0,0
2008-05-09,15.67,15.72,15.67,15.7,29800,0.0,0
2008-05-12,15.68,15.7,15.67,15.67,113500,0.0,0
2008-05-13,15.67,15.71,15.67,15.67,82000,0.0,0
2008-05-14,15.67,15.71,15.67,15.7,53300,0.0,0
2008-05-15,15.62,15.74,15.62,15.69,36200,0.0,0
2008-05-16,15.74,15.74,15.67,15.67,49600,0.0,0
2008-05-19,15.69,15.72,15.68,15.7,38600,0.0,0
2008-05-20,15.74,15.74,15.62,15.65,22100,0.0,0
2008-05-21,15.63,15.7,15.62,15.62,17000,0.0,0
2008-05-22,15.63,15.69,15.58,15.59,21300,0.0,0
2008-05-23,15.61,15.64,15.58,15.62,9600,0.0,0
2008-05-27,15.8,15.82,15.56,15.8,39700,0.0,0
2008-05-28,15.77,15.89,15.77,15.84,20300,0.343,0
2008-05-29,15.89,15.89,15.8,15.88,24400,0.0,0
2008-05-30,15.86,15.91,15.83,15.89,11600,0.0,0
2008-06-02,15.83,15.97,15.77,15.78,31600,0.0,0
2008-06-03,16.26,16.26,15.81,16.06,49400,0.0,0
2008-06-04,16.05,16.11,16.04,16.08,12200,0.0,0
2008-06-05,16.29,16.29,15.81,15.91,15600,0.0,0
2008-06-06,15.81,16.08,15.81,16.06,18900,0.0,0
2008-06-09,16.06,16.08,15.91,16.05,12500,0.0,0
2008-06-10,16.08,16.08,15.8,15.8,16500,0.0,0
2008-06-11,15.96,16.08,15.95,15.98,18000,0.0,0
2008-06-12,15.96,16.03,15.91,16.01,4000,0.0,0
2008-06-13,15.93,15.96,15.82,15.85,5200,0.0,0
2008-06-16,15.94,16.03,15.81,15.82,14200,0.0,0
2008-06-17,15.89,15.89,15.81,15.81,13100,0.0,0
2008-06-18,15.77,15.8,15.72,15.74,19800,0.0,0
2008-06-19,15.74,15.74,15.61,15.63,12300,0.0,0
2008-06-20,15.74,15.89,15.61,15.74,16400,0.0,0
2008-06-23,15.76,15.85,15.71,15.82,8700,0.0,0
2008-06-24,15.91,15.95,15.77,15.86,9000,0.0,0
2008-06-25,15.98,15.98,15.86,15.86,4700,0.0,0
2008-06-26,15.89,15.89,15.8,15.85,5600,0.0,0
2008-06-27,15.87,16.0,15.87,15.96,4500,0.0,0
2008-06-30,15.89,15.96,15.85,15.85,14800,0.0,0
2008-07-01,15.85,15.86,15.8,15.84,5000,0.0,0
2008-07-02,15.8,16.05,15.8,16.05,9100,0.0,0
2008-07-03,16.05,16.05,15.9,15.98,3500,0.0,0
2008-07-07,15.9,16.01,15.82,15.93,3700,0.0,0
2008-07-08,16.07,16.07,15.9,15.91,4700,0.0,0
2008-07-09,15.89,16.03,15.89,15.96,8800,0.0,0
2008-07-10,15.89,16.08,15.89,15.94,6600,0.0,0
2008-07-11,16.08,16.08,15.93,15.93,6700,0.0,0
2008-07-14,16.0,16.08,15.91,15.91,9100,0.0,0
2008-07-15,16.02,16.08,15.87,16.08,22300,0.0,0
2008-07-16,15.95,15.99,15.79,15.95,11900,0.0,0
2008-07-17,15.91,16.1,15.82,16.01,10700,0.0,0
2008-07-18,15.96,16.32,15.87,16.23,12600,0.0,0
2008-07-21,16.15,16.15,16.04,16.04,2600,0.0,0
2008-07-22,15.98,16.12,15.88,16.02,16400,0.0,0
2008-07-23,15.94,16.05,15.86,15.86,14000,0.0,0
2008-07-24,16.01,16.01,15.88,15.88,5100,0.0,0
2008-07-25,15.88,15.93,15.86,15.92,3800,0.0,0
2008-07-28,15.88,16.08,15.88,15.93,13800,0.0,0
2008-07-29,16.08,16.08,15.93,15.94,7600,0.0,0
2008-07-30,15.94,16.09,15.94,16.08,9100,0.0,0
2008-07-31,16.11,16.12,16.0,16.12,6000,0.0,0
2008-08-01,16.08,16.18,16.03,16.18,11600,0.0,0
2008-08-04,15.88,16.08,15.84,15.85,26000,0.0,0
2008-08-05,16.01,16.03,15.89,15.9,6100,0.0,0
2008-08-06,15.91,16.08,15.91,16.08,6300,0.0,0
2008-08-07,16.02,16.02,15.84,15.94,21600,0.0,0
2008-08-08,16.06,16.08,15.91,15.91,11100,0.0,0
2008-08-11,16.05,16.05,15.9,15.91,13900,0.0,0
2008-08-12,15.91,16.06,15.91,16.01,10700,0.0,0
2008-08-13,15.94,16.05,15.91,16.05,9600,0.0,0
2008-08-14,16.08,16.12,16.0,16.0,6500,0.0,0
2008-08-15,16.12,16.15,15.96,16.0,5800,0.0,0
2008-08-18,16.1,16.15,16.0,16.08,6700,0.0,0
2008-08-19,16.18,16.18,16.02,16.09,16300,0.0,0
2008-08-20,16.18,16.18,16.04,16.12,7000,0.0,0
2008-08-21,16.04,16.23,16.04,16.13,6800,0.0,0
2008-08-22,16.04,16.12,15.99,16.0,22900,0.0,0
2008-08-25,16.0,16.05,15.93,15.93,8500,0.0,0
2008-08-26,16.05,16.27,16.0,16.15,17700,0.0,0
2008-08-27,16.28,16.43,16.12,16.22,12600,0.343,0
2008-08-28,16.15,16.35,15.98,15.99,11900,0.0,0
2008-08-29,15.99,16.25,15.99,16.16,3900,0.0,0
2008-09-02,16.26,16.26,16.1,16.1,7600,0.0,0
2008-09-03,16.04,16.23,16.02,16.09,9600,0.0,0
2008-09-04,16.19,16.19,15.99,16.09,5400,0.0,0
2008-09-05,16.1,16.23,15.98,15.98,23700,0.0,0
2008-09-08,16.11,16.17,15.84,15.98,21200,0.0,0
2008-09-09,16.23,16.26,15.99,16.26,22700,0.0,0
2008-09-10,16.21,16.31,15.98,15.99,18600,0.0,0
2008-09-11,16.25,16.37,15.99,16.24,12200,0.0,0
2008-09-12,16.29,16.3,16.03,16.3,15800,0.0,0
2008-09-15,16.28,16.3,16.05,16.3,12600,0.0,0
2008-09-16,16.39,16.39,16.02,16.21,14100,0.0,0
2008-09-17,16.3,16.3,16.05,16.15,22200,0.0,0
2008-09-18,16.24,16.27,16.08,16.27,17600,0.0,0
2008-09-19,16.25,16.3,16.05,16.22,11700,0.0,0
2008-09-22,16.28,16.28,16.14,16.15,12500,0.0,0
2008-09-23,16.29,16.3,16.15,16.26,24200,0.0,0
2008-09-24,16.17,16.3,16.08,16.11,31300,0.0,0
2008-09-25,16.06,16.2,16.02,16.02,12100,0.0,0
2008-09-26,16.14,16.23,15.98,16.17,27900,0.0,0
2008-09-29,16.22,16.22,15.98,15.99,14100,0.0,0
2008-09-30,16.01,16.21,16.0,16.12,16300,0.0,0
2008-10-01,16.17,16.21,16.04,16.07,11600,0.0,0
2008-10-02,16.06,16.16,16.03,16.03,28400,0.0,0
2008-10-03,16.18,16.21,16.14,16.14,5200,0.0,0
2008-10-06,16.05,16.14,16.05,16.05,21700,0.0,0
2008-10-07,16.07,16.2,16.07,16.1,12500,0.0,0
2008-10-08,16.1,16.19,16.05,16.18,26700,0.0,0
2008-10-09,16.21,16.28,16.07,16.15,16400,0.0,0
2008-10-10,16.27,16.27,15.84,16.04,45000,0.0,0
2008-10-13,16.11,16.24,15.99,16.03,21500,0.0,0
2008-10-14,16.06,16.21,16.0,16.09,9000,0.0,0
2008-10-15,16.05,16.24,16.05,16.12,16200,0.0,0
2008-10-16,16.08,16.27,16.08,16.11,9000,0.0,0
2008-10-17,16.26,16.26,16.12,16.17,12000,0.0,0
2008-10-20,16.17,16.23,16.11,16.17,7000,0.0,0
2008-10-21,16.21,16.21,16.11,16.19,14300,0.0,0
2008-10-22,16.21,16.24,16.21,16.21,10700,0.0,0
2008-10-23,16.24,16.3,16.15,16.3,20400,0.0,0
2008-10-24,16.33,16.4,16.21,16.29,12800,0.0,0
2008-10-27,16.28,16.76,16.28,16.33,14600,0.0,0
2008-10-28,16.4,16.5,16.26,16.29,20400,0.0,0
2008-10-29,16.24,16.28,16.19,16.26,6500,0.0,0
2008-10-30,16.4,16.4,16.17,16.19,9000,0.0,0
2008-10-31,16.17,16.41,16.17,16.31,6500,0.0,0
2008-11-03,16.41,16.46,16.21,16.21,7400,0.0,0
2008-11-04,16.46,16.46,16.27,16.27,5500,0.0,0
2008-11-05,16.28,16.42,16.28,16.29,3800,0.0,0
2008-11-06,16.3,16.44,16.28,16.42,13100,0.0,0
2008-11-07,16.37,16.42,16.3,16.38,9400,0.0,0
2008-11-10,16.32,16.46,16.3,16.46,19200,0.0,0
2008-11-11,16.46,16.53,16.33,16.33,13300,0.0,0
2008-11-12,16.34,16.6,16.34,16.59,21800,0.0,0
2008-11-13,16.6,16.6,16.41,16.6,12700,0.0,0
2008-11-14,16.45,16.6,16.45,16.6,9000,0.0,0
2008-11-17,16.6,16.6,15.24,16.49,15000,0.0,0
2008-11-18,16.43,16.49,16.14,16.22,20000,0.0,0
2008-11-19,16.3,16.38,16.11,16.38,14700,0.0,0
2008-11-20,16.3,16.3,16.05,16.05,22000,0.0,0
2008-11-21,16.05,16.3,16.05,16.3,20500,0.0,0
2008-11-24,16.18,16.31,16.12,16.24,12800,0.0,0
2008-11-25,16.35,16.41,16.07,16.18,15500,0.341,0
2008-11-26,16.3,16.36,16.2,16.2,8200,0.0,0
2008-11-28,16.36,16.36,16.23,16.36,6000,0.0,0
2008-12-01,16.39,16.39,16.23,16.25,14200,0.0,0
2008-12-02,16.38,16.38,16.08,16.13,24700,0.0,0
2008-12-03,16.19,16.28,16.09,16.09,30800,0.0,0
2008-12-04,16.2,16.33,16.1,16.32,16900,0.0,0
