Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,32.67,32.83,32.12,32.24,10363649,0,0.0
2008-01-03,32.28,32.56,32.14,32.32,11138689,0,0.0
2008-01-04,31.98,32.28,31.43,31.49,10881623,0,0.0
2008-01-07,31.63,31.9,31.17,31.27,9718300,0,0.0
2008-01-08,31.43,31.94,31.01,31.11,12921448,0,0.0
2008-01-09,31.17,31.63,30.79,31.53,12818542,0,0.0
2008-01-10,31.25,32.0,31.23,31.78,10950203,0,0.0
2008-01-11,31.66,32.1,31.53,31.68,9812423,0,0.0
2008-01-14,31.88,32.2,31.72,32.1,10241426,0,0.0
2008-01-15,31.66,32.02,31.13,31.13,11164898,0,0.0
2008-01-16,30.93,32.02,30.89,31.59,14752588,0,0.0
2008-01-17,31.63,31.66,30.62,30.66,11302612,0,0.0
2008-01-18,30.81,31.39,30.38,30.75,15720962,0,0.0
2008-01-22,29.45,30.58,29.43,30.04,21337414,0,0.0
2008-01-23,29.63,30.34,28.97,30.12,22732503,0,0.0
2008-01-24,30.22,30.58,29.31,30.54,15361258,0,0.0
2008-01-25,30.56,30.6,29.49,29.61,11065350,0,0.0
2008-01-28,29.59,30.32,29.17,30.18,12191337,0,0.0
2008-01-29,30.06,30.4,29.8,30.14,11495647,0,0.0
2008-01-30,29.96,30.93,29.92,30.46,12894052,0,0.0
2008-01-31,30.04,31.37,29.92,31.05,16588711,0,0.0
2008-02-01,31.94,32.04,31.03,31.8,16775693,0,0.0
2008-02-04,31.68,31.94,31.03,31.35,10053550,0,0.0
2008-02-05,31.07,31.65,30.48,30.48,10896267,0,0.0
2008-02-06,30.89,32.0,30.64,31.09,15761849,0,0.0
2008-02-07,30.99,31.35,30.48,30.75,12817520,0,0.0
2008-02-08,30.68,31.05,30.08,30.85,13450048,0,0.0
2008-02-11,30.91,31.23,30.46,30.93,11783824,0,0.0
2008-02-12,31.51,32.42,31.15,32.1,15640396,0,0.0
2008-02-13,32.38,32.99,32.32,32.81,16041477,0,0.0
2008-02-14,32.89,33.13,32.46,32.54,10527039,0,0.0
2008-02-15,32.44,33.09,32.24,33.05,10995923,0,0.0
2008-02-19,33.37,33.39,32.63,32.93,11794793,0,0.0
2008-02-20,32.58,32.67,32.26,32.63,9697065,0,0.0
2008-02-21,32.87,32.91,32.02,32.3,8393426,0,0.0
2008-02-22,32.36,32.75,31.78,32.63,9370977,0,0.0
2008-02-25,32.08,32.99,32.08,32.79,13341910,0,0.0
2008-02-26,32.67,32.93,32.52,32.77,10183242,0,0.0
2008-02-27,32.52,32.77,32.4,32.71,9496414,0,0.0
2008-02-28,32.44,32.71,31.39,31.7,12661661,0,0.0
2008-02-29,31.35,31.49,30.79,30.89,12786986,0,0.0
2008-03-03,30.77,30.89,30.44,30.68,7760323,0,0.0
2008-03-04,30.46,30.6,29.98,30.26,12465669,0,0.0
2008-03-05,30.28,30.6,30.08,30.28,11997787,0,0.0
2008-03-06,30.12,30.38,29.53,29.55,10936878,0,0.0
2008-03-07,29.47,29.8,29.23,29.41,9945635,0,0.0
2008-03-10,29.37,29.53,28.58,28.64,10394537,0,0.0
2008-03-11,29.03,29.43,28.8,29.37,11826032,0,0.0
2008-03-12,29.45,29.69,29.17,29.21,10252787,0,0.0
2008-03-13,28.89,29.69,28.14,28.72,18088141,0,0.0
2008-03-14,28.87,28.87,27.51,27.77,16246909,0,0.0
2008-03-17,27.15,27.79,27.01,27.53,13441261,0,0.0
2008-03-18,27.75,28.4,27.71,28.38,12656287,0,0.0
2008-03-19,28.46,29.15,28.4,28.52,14416124,0,0.0
2008-03-20,27.67,28.52,27.59,28.06,34004904,0,0.0
2008-03-24,28.24,29.01,28.2,28.93,17476468,0,0.0
2008-03-25,28.89,29.63,28.7,29.47,15922596,0,0.0
2008-03-26,29.27,29.51,28.28,28.48,13011703,0,0.0
2008-03-27,28.5,28.85,28.22,28.24,9650785,0,0.0
2008-03-28,28.36,28.5,27.35,27.45,16557749,0,0.0
2008-03-31,27.49,27.88,27.35,27.75,13774847,0,0.0
2008-04-01,27.75,28.91,27.75,28.87,12686299,0,0.0
2008-04-02,28.83,29.09,28.5,28.97,14904179,0,0.0
2008-04-03,28.74,28.95,28.5,28.74,13988889,0,0.0
2008-04-04,28.72,29.09,28.6,28.89,14447387,0,0.0
2008-04-07,29.05,29.11,28.78,29.07,10993528,0,0.0
2008-04-08,28.89,29.21,28.6,29.15,12880219,0,0.0
2008-04-09,29.19,29.23,28.52,28.56,11144175,0,0.0
2008-04-10,28.56,28.99,28.4,28.91,12826551,0,0.0
2008-04-11,28.6,28.85,28.1,28.24,11752723,0,0.0
2008-04-14,28.18,28.36,27.9,28.04,11491585,0,0.0
2008-04-15,27.86,28.26,27.86,28.12,7174418,0,0.0
2008-04-16,28.3,28.42,27.86,28.4,10325492,0,0.0
2008-04-17,28.26,28.97,28.14,28.91,8791006,0,0.0
2008-04-18,29.35,29.59,29.11,29.37,9902318,0,0.0
2008-04-21,29.19,29.65,29.17,29.59,10225121,0,0.0
2008-04-22,29.53,29.53,28.83,28.97,7165482,0,0.0
2008-04-23,29.03,29.21,28.82,29.03,8570808,0,0.0
2008-04-24,29.25,29.96,29.09,29.78,11932586,0,0.0
2008-04-25,30.08,30.22,29.61,30.2,12036350,0,0.0
2008-04-28,30.1,30.22,29.88,29.9,8000022,0,0.0
2008-04-29,30.24,30.32,29.86,30.22,9125397,0,0.0
2008-04-30,30.56,30.58,29.37,29.39,13440433,0,0.0
