Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-01,84.26,84.74,83.71,84.26,1607600,0,0.0
2015-07-02,84.49,84.78,83.9,84.59,1051600,0,0.0
2015-07-06,83.99,85.0,83.71,84.58,888600,0,0.0
2015-07-07,84.8,84.95,83.31,84.94,1398700,0,0.0
2015-07-08,84.37,85.13,83.87,84.39,1733100,0,0.0
2015-07-09,85.39,85.8,84.48,84.49,1920000,0,0.0
2015-07-10,85.45,86.4,84.77,86.24,1684200,0,0.0
2015-07-13,87.16,89.46,87.09,89.35,2721800,0,0.0
2015-07-14,89.28,89.3,88.27,88.8,1857400,0,0.0
2015-07-15,88.8,89.0,88.1,88.28,1373400,0,0.0
2015-07-16,86.95,87.23,84.37,85.35,6208300,0,0.0
2015-07-17,85.52,87.65,85.42,87.22,2706600,0,0.0
2015-07-20,87.9,89.47,87.66,88.95,2695900,0,0.0
2015-07-21,88.67,89.1,87.6,88.34,1973000,0,0.0
2015-07-22,88.0,89.96,88.0,89.37,3043300,0,0.0
2015-07-23,93.5,97.69,93.35,95.93,10030500,0,0.0
2015-07-24,96.71,97.19,94.75,96.05,3985200,0,0.0
2015-07-27,95.23,96.49,94.19,96.43,2993000,0,0.0
2015-07-28,97.0,97.93,96.01,97.85,2731800,0,0.0
2015-07-29,97.85,98.91,97.6,98.82,2164700,0,0.0
2015-07-30,98.66,99.43,98.15,99.28,1759900,0,0.0
2015-07-31,99.89,100.02,98.7,99.33,2358700,0,0.0
2015-08-03,99.66,99.66,97.09,98.26,2536200,0,0.0
2015-08-04,98.54,99.59,97.76,99.35,1471900,0,0.0
2015-08-05,99.84,101.82,99.51,101.04,2062800,0,0.0
2015-08-06,101.14,101.78,97.58,98.19,2422700,0,0.0
2015-08-07,98.15,98.2,96.32,97.93,2471800,0,0.0
2015-08-10,98.93,100.19,98.56,98.75,2074700,0,0.0
2015-08-11,98.39,99.36,97.69,99.09,1545300,0,0.0
2015-08-12,98.44,98.46,95.85,97.77,2535500,0,0.0
2015-08-13,98.13,100.51,97.65,99.4,1871300,0,0.0
2015-08-14,99.61,100.64,98.93,100.25,1378000,0,0.0
2015-08-17,100.23,100.75,98.7,100.74,1676100,0,0.0
2015-08-18,100.61,101.68,100.0,100.36,1277800,0,0.0
2015-08-19,99.87,100.6,99.1,100.06,1195800,0,0.0
2015-08-20,99.01,99.25,96.55,96.65,2127100,0,0.0
2015-08-21,95.07,95.4,89.26,90.03,6884000,0,0.0
2015-08-24,81.12,88.69,80.12,85.44,9271200,0,0.0
2015-08-25,89.05,91.37,87.0,87.02,5278800,0,0.0
2015-08-26,89.69,90.92,87.03,90.76,3713700,0,0.0
2015-08-27,93.55,95.78,92.6,95.69,4650500,0,0.0
2015-08-28,95.12,97.41,94.61,96.41,2982500,0,0.0
2015-08-31,96.03,97.49,95.19,95.53,2110100,0,0.0
2015-09-01,93.36,95.03,92.52,93.16,2812500,0,0.0
2015-09-02,94.53,95.64,93.2,95.64,2898900,0,0.0
2015-09-03,96.09,97.02,95.07,95.63,2619300,0,0.0
2015-09-04,94.52,95.67,93.91,95.0,1687900,0,0.0
2015-09-08,97.0,97.66,95.53,97.07,1969700,0,0.0
2015-09-09,97.9,97.98,94.86,95.11,2072600,0,0.0
2015-09-10,95.0,96.86,94.18,96.17,2184000,0,0.0
2015-09-11,95.66,96.91,95.3,96.59,1381300,0,0.0
2015-09-14,96.52,96.94,95.09,96.15,1460200,0,0.0
2015-09-15,96.59,98.88,95.72,98.68,2196000,0,0.0
2015-09-16,98.63,103.56,97.33,103.36,6663100,0,0.0
2015-09-17,103.36,105.89,103.06,104.1,5215200,0,0.0
2015-09-18,102.62,104.59,101.77,101.8,4911500,0,0.0
2015-09-21,102.24,104.37,101.6,103.07,2003700,0,0.0
2015-09-22,101.52,102.6,100.63,101.89,1762200,0,0.0
2015-09-23,102.01,102.54,100.85,101.43,1564300,0,0.0
2015-09-24,100.87,102.45,99.22,102.19,1830900,0,0.0
2015-09-25,104.59,105.85,103.04,103.71,3079500,0,0.0
2015-09-28,103.57,104.02,100.21,100.79,3852200,0,0.0
2015-09-29,100.83,100.96,93.32,93.96,5237600,0,0.0
2015-09-30,96.21,98.54,94.68,96.78,4319800,0,0.0
2015-10-01,97.06,98.95,95.65,98.84,2663100,0,0.0
2015-10-02,97.6,100.25,95.83,100.25,2546800,0,0.0
2015-10-05,101.35,102.0,99.63,101.86,2148300,0,0.0
2015-10-06,101.49,102.17,99.3,99.86,2122900,0,0.0
2015-10-07,100.25,100.55,96.88,99.06,3172000,0,0.0
2015-10-08,99.0,101.45,98.14,101.14,1815200,0,0.0
2015-10-09,101.0,102.47,100.06,102.32,1663300,0,0.0
2015-10-12,102.28,104.74,101.64,103.35,1677500,0,0.0
2015-10-13,101.09,102.72,100.48,101.3,2819600,0,0.0
2015-10-14,100.49,101.6,96.93,97.28,3648800,0,0.0
2015-10-15,98.37,99.72,97.63,99.49,2254100,0,0.0
2015-10-16,100.96,101.43,98.98,100.08,2813200,0,0.0
2015-10-19,99.8,100.69,98.88,100.45,2434900,0,0.0
2015-10-20,100.31,101.24,98.95,99.97,2380500,0,0.0
2015-10-21,100.6,100.74,98.66,99.15,3973800,0,0.0
2015-10-22,98.07,100.67,90.63,93.81,13768100,0,0.0
2015-10-23,93.38,93.68,88.01,92.02,9419200,0,0.0
2015-10-26,92.0,94.72,91.5,94.06,3710600,0,0.0
2015-10-27,93.77,95.21,93.27,94.73,2528200,0,0.0
2015-10-28,94.96,96.56,94.23,96.54,2402400,0,0.0
2015-10-29,96.29,96.92,94.75,96.36,2332200,0,0.0
2015-10-30,96.45,96.5,94.96,95.08,2315700,0,0.0
2015-11-02,95.24,95.97,93.65,95.7,1842400,0,0.0
2015-11-03,95.59,96.49,95.18,96.4,2036100,0,0.0
2015-11-04,96.36,96.59,94.81,95.3,2265000,0,0.0
2015-11-05,96.07,96.66,94.38,96.03,2096800,0,0.0
2015-11-06,95.5,97.54,95.5,96.01,1706700,0,0.0
2015-11-10,93.32,95.58,92.73,95.48,2093700,0,0.0
2015-11-11,95.44,95.84,92.53,93.57,2931000,0,0.0
2015-11-12,93.18,94.16,92.28,92.36,3065800,0,0.0
2015-11-13,90.89,91.0,86.08,87.43,7257300,0,0.0
2015-11-16,87.41,90.07,86.42,90.0,3573300,0,0.0
2015-11-17,87.49,88.0,84.19,84.99,10443700,0,0.0
2015-11-18,85.24,87.34,84.65,87.3,4230600,0,0.0
2015-11-19,87.75,89.65,87.5,89.25,3894700,0,0.0
2015-11-20,90.49,92.99,90.49,92.01,5281000,0,0.0
2015-11-23,92.01,93.02,91.94,92.16,3436600,0,0.0
2015-11-24,91.3,92.92,91.15,92.08,2049900,0,0.0
2015-11-25,92.0,92.59,91.75,92.1,1547400,0,0.0
2015-11-27,92.52,92.71,89.32,89.68,1820900,0,0.0
2015-11-30,87.58,87.65,85.78,86.22,4866400,0,0.0
2015-12-01,86.79,87.69,86.11,87.18,2761100,0,0.0
2015-12-02,87.0,88.56,86.41,86.92,2491400,0,0.0
2015-12-03,87.01,87.5,83.11,84.15,3478100,0,0.0
2015-12-04,84.5,87.47,84.0,87.31,3859200,0,0.0
2015-12-07,87.0,87.44,85.78,86.58,2206700,0,0.0
2015-12-08,86.03,87.99,85.71,87.23,2950900,0,0.0
2015-12-09,86.48,88.27,85.32,86.31,2446700,0,0.0
2015-12-10,86.26,86.76,85.48,85.67,1731600,0,0.0
2015-12-11,84.86,84.92,82.12,82.56,4119500,0,0.0
2015-12-15,83.83,83.84,81.37,81.52,3157000,0,0.0
2015-12-16,81.9,83.2,81.03,83.11,3283200,0,0.0
2015-12-17,83.62,83.8,81.23,81.27,2515700,0,0.0
2015-12-18,81.7,82.72,80.84,80.87,3532400,0,0.0
2015-12-21,81.31,82.0,80.41,80.97,1769400,0,0.0
2015-12-22,81.05,81.35,77.78,80.37,5797200,0,0.0
2015-12-23,82.91,83.0,80.89,81.99,4117800,0,0.0
