Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,11.06,11.46,11.01,11.16,1531300,0.0,0
2008-01-03,11.31,11.56,10.87,10.91,2236000,0.0,0
2008-01-04,10.79,10.94,10.64,10.8,2269900,0.0,0
2008-01-07,10.83,11.06,10.64,11.03,2231300,0.0,0
2008-01-08,11.15,11.43,10.83,10.83,2217800,0.0,0
2008-01-09,10.98,10.99,10.39,10.93,2269700,0.33,0
2008-01-10,10.79,11.47,10.6,11.16,3060800,0.0,0
2008-01-11,11.07,11.65,10.89,11.32,2577100,0.0,0
2008-01-14,11.35,11.47,10.95,11.26,2174600,0.0,0
2008-01-15,11.02,11.31,10.91,11.2,2128100,0.0,0
2008-01-16,11.2,11.75,11.05,11.59,2151900,0.0,0
2008-01-17,11.57,11.79,11.36,11.57,2837600,0.0,0
2008-01-18,11.68,11.78,11.31,11.52,2234800,0.0,0
2008-01-22,11.04,12.16,11.01,12.01,2398500,0.0,0
2008-01-23,11.79,12.86,11.79,12.76,5297800,0.0,0
2008-01-24,12.96,12.96,12.37,12.66,1823000,0.0,0
2008-01-25,12.85,12.88,12.38,12.53,2734700,0.0,0
2008-01-28,12.5,12.91,12.25,12.87,2973200,0.0,0
2008-01-29,12.87,12.96,12.59,12.76,1647200,0.0,0
2008-01-30,12.79,13.56,12.66,12.75,5544500,0.0,0
2008-01-31,12.76,13.08,12.54,12.98,2848500,0.0,0
2008-02-01,12.66,13.24,12.65,13.22,2368500,0.0,0
2008-02-04,13.46,13.46,12.96,13.34,2294200,0.0,0
2008-02-05,13.13,13.31,12.82,12.82,2592100,0.0,0
2008-02-06,12.91,13.07,12.69,12.78,2668500,0.0,0
2008-02-07,12.62,13.24,12.53,13.2,2519000,0.0,0
2008-02-08,13.15,13.24,12.74,12.87,2382000,0.0,0
2008-02-11,12.93,12.93,12.6,12.67,1382900,0.0,0
2008-02-12,12.76,13.09,12.67,13.09,2051900,0.0,0
2008-02-13,13.18,13.42,12.9,13.12,1361500,0.0,0
2008-02-14,13.09,13.16,12.69,12.69,1433200,0.0,0
2008-02-15,12.6,12.86,12.57,12.79,1247500,0.0,0
2008-02-19,12.96,12.96,12.54,12.63,1605300,0.0,0
2008-02-20,12.54,12.91,12.52,12.84,2221400,0.0,0
2008-02-21,12.91,13.04,12.58,12.65,2178500,0.0,0
2008-02-22,12.66,12.96,12.51,12.96,1371600,0.0,0
2008-02-25,12.98,13.23,12.75,13.23,1879500,0.0,0
2008-02-26,13.22,13.22,12.91,13.04,2893300,0.0,0
2008-02-27,12.84,13.03,12.74,12.84,1847800,0.0,0
2008-02-28,12.89,12.89,12.61,12.7,2136400,0.0,0
2008-02-29,12.59,12.74,12.53,12.7,2220400,0.0,0
2008-03-03,12.74,13.09,12.54,13.04,2633400,0.0,0
2008-03-04,12.88,13.14,12.63,13.01,2728400,0.0,0
2008-03-05,13.07,13.39,13.01,13.13,2612300,0.0,0
