Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,46.49,48.01,46.46,48.01,611400,0,0
2008-01-03,48.0,48.75,48.0,48.2,430200,0,0
2008-01-04,47.77,47.9,47.01,47.68,412800,0,0
2008-01-07,47.78,47.78,46.0,46.49,538200,0,0
2008-01-08,46.52,47.27,46.41,46.68,765500,0,0
2008-01-09,46.25,47.51,46.05,47.4,636500,0,0
2008-01-10,46.9,47.34,46.08,46.9,502800,0,0
2008-01-11,46.55,46.94,46.21,46.3,507300,0,0
2008-01-14,46.69,49.24,46.69,48.86,636900,0,0
2008-01-15,48.47,48.76,47.93,48.01,697700,0,0
2008-01-16,47.42,47.74,46.77,46.9,868600,0,0
2008-01-17,47.14,47.74,45.37,45.57,779300,0,0
2008-01-18,45.2,46.14,45.03,45.74,959800,0,0
2008-01-22,44.72,46.09,44.72,45.52,1100300,0,0
2008-01-23,45.0,45.7,43.99,45.49,1098600,0,0
2008-01-24,45.4,46.88,45.31,46.29,589800,0,0
2008-01-25,47.0,47.29,45.93,46.56,751600,0,0
2008-01-28,46.17,48.1,45.89,48.08,631100,0,0
2008-01-29,48.05,49.5,48.05,49.27,786900,0,0
2008-01-30,49.46,49.6,48.34,48.94,680000,0,0
2008-01-31,48.33,50.36,47.84,50.12,833800,0,0
2008-02-01,50.0,51.0,49.71,50.6,758800,0,0
2008-02-04,50.9,53.4,50.85,52.57,817000,0,0
2008-02-05,51.82,52.24,51.0,51.32,692200,0,0
2008-02-06,51.25,51.89,50.88,50.92,830000,0,0
2008-02-07,50.56,51.56,50.11,50.97,607000,0,0
2008-02-08,50.8,51.6,50.05,51.45,1101000,0,0
2008-02-11,51.19,53.28,51.19,53.28,861500,0,0
2008-02-12,53.4,53.87,52.29,52.93,750300,0,0
2008-02-13,53.27,54.19,52.88,53.72,713800,0,0
2008-02-14,53.64,54.22,52.86,53.15,558800,0,0
2008-02-15,53.24,53.27,51.49,52.36,587200,0,0
2008-02-19,52.59,54.62,52.59,54.26,583800,0,0
2008-02-20,53.99,54.82,53.68,54.66,521800,0,0
2008-02-21,54.8,54.82,53.47,53.59,497300,0,0
2008-02-22,53.57,54.36,52.92,54.21,499600,0,0
2008-02-25,53.97,55.5,53.74,54.92,752700,0,0
2008-02-26,54.92,55.36,54.17,55.33,635000,0,0
2008-02-27,55.27,56.45,55.06,56.26,733400,0,0
2008-02-28,56.25,56.96,55.83,56.09,479400,0,0
2008-02-29,55.75,55.9,54.8,55.15,566200,0,0
2008-03-03,54.95,55.83,54.72,55.67,637800,0,0
2008-03-04,55.88,55.89,54.43,55.25,783000,0,0
2008-03-05,55.49,56.32,55.49,56.25,621600,0,0
2008-03-06,56.25,56.49,54.85,55.62,846200,0,0
2008-03-07,54.68,55.79,54.51,54.88,572300,0,0
2008-03-10,54.56,55.29,54.07,54.58,535500,0,0
2008-03-11,55.19,55.85,54.22,55.48,594000,0,0
2008-03-12,55.08,55.71,54.62,55.06,392300,0,0
2008-03-13,54.28,56.4,54.09,56.11,546900,0,0
2008-03-14,56.16,56.47,54.65,55.45,587800,0,0
2008-03-17,54.15,55.02,53.32,53.83,811600,0,0
2008-03-18,54.67,55.0,53.97,54.9,485100,0,0
2008-03-19,54.66,54.95,53.02,53.07,754000,0,0
2008-03-20,52.87,53.07,51.64,52.95,815800,0,0
2008-03-24,53.2,54.04,52.97,53.13,578300,0,0
2008-03-25,53.15,55.0,52.74,54.14,950400,0,0
2008-03-26,54.22,55.49,54.02,55.16,789800,0,0
2008-03-27,55.2,56.25,54.96,55.3,521100,0,0
2008-03-28,55.01,56.31,54.68,55.84,550400,0,0
2008-03-31,56.0,56.93,55.45,56.65,818500,0,0
2008-04-01,56.5,56.88,55.27,56.7,498400,0,0
2008-04-02,56.6,58.36,56.6,57.92,581800,0,0
2008-04-03,57.68,59.48,57.58,58.78,815200,0,0
2008-04-04,59.0,59.92,58.68,59.65,582800,0,0
2008-04-07,60.0,60.83,59.06,59.36,584500,0,0
2008-04-08,59.4,60.66,59.33,60.5,450200,0,0
2008-04-09,60.74,60.93,59.83,60.24,531300,0,0
2008-04-10,60.32,60.32,59.4,60.05,384400,0,0
2008-04-11,59.54,60.0,59.28,59.35,361400,0,0
2008-04-14,59.65,60.59,59.3,60.41,442300,0,0
2008-04-15,60.37,60.96,59.9,60.85,691200,0,0
2008-04-16,61.0,61.08,59.39,60.99,887500,0,0
2008-04-17,61.11,61.7,60.42,61.29,534400,0,0
2008-04-18,61.98,63.58,60.91,63.25,837500,0,0
2008-04-21,62.76,64.07,62.76,63.96,738300,0,0
2008-04-22,63.74,64.79,63.64,64.55,521100,0,0
2008-04-23,64.45,64.55,63.2,63.7,511500,0,0
2008-04-24,63.4,63.79,61.81,63.5,745700,0,0
2008-04-25,63.66,64.56,63.42,64.1,368900,0,0
2008-04-28,64.29,64.39,63.4,64.06,503500,0,0
2008-04-29,63.67,63.67,62.76,63.2,406300,0,0
2008-04-30,63.09,63.97,62.52,63.51,416800,0,0
2008-05-01,63.19,63.19,60.9,62.28,517100,0,0
2008-05-02,62.04,63.89,62.04,63.6,597300,0,0
2008-05-05,63.6,65.37,63.6,65.2,690300,0,0
2008-05-06,65.2,69.02,65.13,68.1,1298800,0,0
2008-05-07,69.99,72.62,68.81,69.4,1008900,0,0
2008-05-08,69.06,73.33,68.88,73.26,1069700,0,0
2008-05-09,74.09,74.09,72.2,72.69,658200,0,0
2008-05-12,72.52,72.52,70.48,71.96,530600,0,0
2008-05-13,71.58,73.99,70.87,73.7,858100,0,0
2008-05-14,73.81,75.15,73.38,73.9,657200,0,0
2008-05-15,74.75,75.35,72.96,74.07,820400,0,0
2008-05-16,74.71,76.15,74.25,75.99,622200,0,0
2008-05-19,75.91,77.24,75.06,76.59,615600,0,0
2008-05-20,76.54,78.84,76.54,78.57,518400,0,0
2008-05-21,78.45,79.39,76.5,76.5,728200,0,0
2008-05-22,76.86,77.15,74.48,75.45,873600,0,0
2008-05-23,76.02,76.02,72.45,73.97,609000,0,0
2008-05-27,73.32,75.41,73.2,74.15,500200,0,0
2008-05-28,74.0,75.57,73.06,75.57,544000,0,0
2008-05-29,75.01,75.97,74.19,74.55,717700,0,0
2008-05-30,74.69,77.39,74.69,76.69,924400,0,0
2008-06-02,76.03,77.54,75.6,76.16,512200,0,0
2008-06-03,76.03,77.94,75.29,76.07,624100,0,0
2008-06-04,76.25,77.24,75.74,76.04,533500,0,0
2008-06-05,76.76,80.02,75.95,79.84,644900,0,0
2008-06-06,78.69,81.44,78.69,79.55,644600,0,0
2008-06-09,80.14,80.73,78.9,79.79,658300,0,0
2008-06-10,80.1,80.1,77.24,78.69,677200,0,0
2008-06-11,78.8,81.34,78.49,80.95,617600,0,0
2008-06-12,80.78,80.78,77.6,78.22,581900,0,0
2008-06-13,78.2,80.22,77.81,78.83,713500,0,0
2008-06-16,78.91,81.22,78.87,80.72,554700,0,0
2008-06-17,81.05,82.79,80.59,82.26,672600,0,0
2008-06-18,82.72,83.83,81.99,83.44,805800,0,0
2008-06-19,83.69,84.24,80.28,80.51,641400,0,0
2008-06-20,81.36,82.43,80.3,81.01,455600,0,0
2008-06-23,81.26,84.68,80.64,84.68,505600,0,0
2008-06-24,84.87,84.87,82.45,82.54,801700,0,0
2008-06-25,82.66,83.03,79.53,80.83,918600,0,0
2008-06-26,80.07,82.63,80.07,80.83,609200,0,0
2008-06-27,81.51,82.59,80.34,81.08,658200,0,0
2008-06-30,82.3,83.3,81.18,82.97,619900,0,0
2008-07-01,83.28,85.84,82.1,84.83,884700,0,0
2008-07-02,85.67,88.24,85.14,85.41,1452500,0,0
2008-07-03,85.19,85.19,81.28,82.43,661100,0,0
2008-07-07,82.29,82.32,77.45,78.67,892000,0,0
2008-07-08,78.16,78.16,71.76,75.14,1314700,0,0
2008-07-09,75.25,77.57,75.09,75.25,808000,0,0
2008-07-10,75.59,79.3,74.52,79.18,874400,0,0
2008-07-11,79.49,80.51,78.15,79.8,855800,0,0
2008-07-14,80.32,82.23,79.59,81.64,832100,0,0
2008-07-15,82.01,82.01,76.97,78.66,781000,0,0
2008-07-16,78.61,80.21,76.8,77.97,789100,0,0
2008-07-17,77.92,79.92,72.22,73.92,1062200,0,0
