Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.8,6.86,6.7,6.73,3672800,0.0,0.0
2008-01-03,6.8,6.81,6.59,6.61,3228400,0.0,0.0
2008-01-04,6.56,6.57,6.32,6.33,4165500,0.0,0.0
2008-01-07,6.36,6.62,6.33,6.6,6159100,0.0,0.0
2008-01-08,6.61,6.61,6.39,6.4,4229700,0.0,0.0
2008-01-09,6.55,6.94,6.55,6.94,9902500,0.0,0.0
2008-01-10,6.9,7.09,6.71,7.02,6759400,0.0,0.0
2008-01-11,7.0,7.25,6.88,7.08,7345200,0.0,0.0
2008-01-14,7.12,7.18,6.81,6.9,5355000,0.0,0.0
2008-01-15,6.8,6.82,6.64,6.74,6465000,0.0,0.0
2008-01-16,6.69,6.8,6.66,6.74,8943300,0.0,0.0
2008-01-17,6.74,6.75,6.59,6.61,4151900,0.0,0.0
2008-01-18,6.81,7.1,6.6,6.75,5004900,0.0,0.0
2008-01-22,6.69,7.28,6.65,7.2,7853700,0.0,0.0
2008-01-23,7.0,7.51,6.93,7.5,8319700,0.0,0.0
2008-01-24,7.5,7.58,7.36,7.4,5755600,0.0,0.0
2008-01-25,7.36,7.55,7.31,7.33,5235200,0.0,0.0
2008-01-28,7.31,7.49,7.25,7.43,4627700,0.0,0.0
2008-01-29,7.43,7.55,7.24,7.54,2952300,0.0,0.0
2008-01-30,7.53,7.69,7.48,7.49,3245800,0.0,0.0
2008-01-31,7.48,7.77,7.29,7.67,3694400,0.0,0.0
2008-02-01,7.72,7.92,7.64,7.92,3201200,0.0,0.0
2008-02-04,7.94,7.94,7.56,7.57,3830400,0.0,0.0
2008-02-05,7.56,7.6,7.32,7.32,3816800,0.0,0.0
2008-02-06,7.57,7.76,7.49,7.69,7726600,0.0,0.0
2008-02-07,7.63,8.05,7.63,7.93,7984500,0.0,0.0
2008-02-08,7.88,7.98,7.78,7.91,6236400,0.0,0.0
2008-02-11,7.88,8.08,7.82,8.08,5066100,0.0,0.0
2008-02-12,8.04,8.18,8.03,8.12,3687600,0.0,0.0
2008-02-13,8.09,8.27,8.07,8.14,5088200,0.0,0.0
2008-02-14,8.13,8.13,7.97,7.99,3671500,0.0,0.0
2008-02-15,7.97,7.97,7.81,7.86,4359200,0.0,0.0
2008-02-19,7.97,8.09,7.75,7.8,3669400,0.0,0.0
2008-02-20,7.69,7.95,7.67,7.92,4431500,0.0,0.0
2008-02-21,7.94,7.99,7.77,7.79,2421700,0.0,0.0
2008-02-22,7.81,7.83,7.65,7.78,3370700,0.0,0.0
2008-02-25,7.78,7.84,7.71,7.79,5208800,0.0,0.0
2008-02-26,7.77,7.97,7.76,7.94,6295900,0.0,0.0
2008-02-27,7.87,7.95,7.86,7.89,6200300,0.0,0.0
2008-02-28,7.83,7.89,7.73,7.81,2629000,0.0,0.0
2008-02-29,7.77,7.77,7.5,7.55,3154500,0.0,0.0
2008-03-03,7.51,7.57,7.44,7.54,2922600,0.0,0.0
2008-03-04,7.45,7.64,7.44,7.6,3999000,0.0,0.0
2008-03-05,7.62,7.74,7.55,7.66,4595400,0.0,0.0
2008-03-06,7.83,7.88,7.59,7.61,4385200,0.58,0.0
2008-03-07,7.58,7.73,7.55,7.64,3863500,0.0,0.0
2008-03-10,7.59,7.7,7.39,7.4,3108200,0.0,0.0
2008-03-11,7.62,7.65,7.41,7.65,3365200,0.0,0.0
2008-03-12,7.95,8.06,7.79,8.0,5334600,0.0,0.0
2008-03-13,7.87,8.01,7.75,7.95,5450100,0.0,0.0
2008-03-14,7.95,7.97,7.69,7.82,3059800,0.0,0.0
2008-03-17,7.65,7.92,7.61,7.83,4048700,0.0,0.0
2008-03-18,7.87,8.01,7.83,8.01,2688500,0.0,0.0
2008-03-19,8.03,8.11,7.86,7.86,3330000,0.0,0.0
2008-03-20,7.87,8.1,7.82,8.09,5107700,0.0,0.0
2008-03-24,8.08,8.17,8.05,8.11,5585600,0.0,0.0
2008-03-25,8.1,8.15,7.99,8.11,5456900,0.0,0.0
2008-03-26,8.05,8.11,7.99,8.08,2750500,0.0,0.0
2008-03-27,8.1,8.15,8.02,8.05,6253000,0.0,0.0
2008-03-28,8.02,8.03,7.7,7.77,2940400,0.0,0.0
2008-03-31,7.71,7.99,7.69,7.95,3457000,0.0,0.0
2008-04-01,7.98,8.13,7.98,8.11,5487100,0.0,0.0
2008-04-02,8.1,8.16,8.02,8.04,4186800,0.0,0.0
2008-04-03,8.02,8.11,7.97,8.11,5009200,0.0,0.0
2008-04-04,8.09,8.12,8.0,8.02,3468000,0.0,0.0
2008-04-07,8.03,8.05,7.91,7.98,4958200,0.0,0.0
2008-04-08,7.94,8.02,7.91,7.97,4004100,0.0,0.0
2008-04-09,8.02,8.06,7.8,7.83,2715700,0.0,0.0
2008-04-10,7.79,7.91,7.75,7.85,4332900,0.0,0.0
2008-04-11,7.77,7.88,7.77,7.8,2755600,0.0,0.0
2008-04-14,7.77,7.83,7.72,7.8,2375900,0.0,0.0
2008-04-15,7.83,7.83,7.68,7.73,2919200,0.0,0.0
2008-04-16,7.76,7.83,7.75,7.81,2658800,0.0,0.0
2008-04-17,7.81,7.94,7.78,7.93,2258600,0.0,0.0
2008-04-18,8.07,8.13,8.01,8.09,4290000,0.0,0.0
2008-04-21,8.03,8.08,7.99,8.05,2715300,0.0,0.0
2008-04-22,7.97,8.19,7.94,8.0,3214000,0.0,0.0
2008-04-23,7.68,8.16,7.64,7.71,9104300,0.0,0.0
2008-04-24,7.66,7.75,7.47,7.64,6541900,0.0,0.0
2008-04-25,7.67,7.84,7.67,7.84,6629000,0.0,0.0
2008-04-28,7.87,7.89,7.72,7.75,3258600,0.0,0.0
2008-04-29,7.72,7.79,7.71,7.71,3153700,0.0,0.0
2008-04-30,7.71,7.78,7.61,7.63,3989200,0.0,0.0
2008-05-01,7.67,7.94,7.61,7.86,2399600,0.0,0.0
2008-05-02,7.96,7.99,7.89,7.93,3301100,0.0,0.0
2008-05-05,7.88,7.91,7.77,7.78,2022800,0.0,0.0
2008-05-06,7.73,7.76,7.58,7.68,3396200,0.0,0.0
2008-05-07,7.7,7.81,7.64,7.64,2446800,0.0,0.0
2008-05-08,7.62,7.66,7.47,7.56,3578000,0.0,0.0
2008-05-09,7.48,7.61,7.46,7.53,1998200,0.0,0.0
2008-05-12,7.58,7.76,7.58,7.75,2866100,0.0,0.0
2008-05-13,7.77,7.84,7.74,7.81,2559800,0.0,0.0
2008-05-14,7.84,8.0,7.81,7.96,2349100,0.0,0.0
2008-05-15,7.94,8.07,7.84,8.07,2905600,0.0,0.0
2008-05-16,8.05,8.06,7.81,7.92,2311300,0.0,0.0
2008-05-19,7.92,7.95,7.84,7.86,1390700,0.0,0.0
2008-05-20,7.81,7.82,7.67,7.7,3248800,0.0,0.0
2008-05-21,7.69,7.79,7.55,7.59,3129500,0.0,0.0
2008-05-22,7.56,7.67,7.5,7.61,1833000,0.0,0.0
2008-05-23,7.61,7.61,7.51,7.56,1742100,0.0,0.0
2008-05-27,7.57,7.82,7.57,7.74,1838900,0.0,0.0
2008-05-28,7.77,7.96,7.77,7.88,3458200,0.0,0.0
2008-05-29,7.9,7.96,7.77,7.92,2107800,0.0,0.0
2008-05-30,7.94,7.94,7.67,7.76,3025000,0.0,0.0
2008-06-02,7.72,7.75,7.55,7.64,1979900,0.0,0.0
2008-06-03,7.64,7.73,7.53,7.6,2489300,0.0,0.0
2008-06-04,7.52,7.65,7.5,7.57,3106500,0.0,0.0
2008-06-05,7.57,7.7,7.55,7.68,2557200,0.0,0.0
2008-06-06,7.81,7.85,7.71,7.71,3536000,0.58,0.0
2008-06-09,7.77,7.79,7.55,7.58,2415400,0.0,0.0
2008-06-10,7.53,7.69,7.47,7.62,2817600,0.0,0.0
2008-06-11,7.56,7.6,7.37,7.42,2782000,0.0,0.0
2008-06-12,7.43,7.59,7.39,7.43,2303600,0.0,0.0
2008-06-13,7.49,7.73,7.46,7.71,2584400,0.0,0.0
2008-06-16,7.72,7.8,7.66,7.77,2440900,0.0,0.0
2008-06-17,7.77,7.87,7.76,7.78,2547100,0.0,0.0
2008-06-18,7.79,7.79,7.64,7.64,2066600,0.0,0.0
2008-06-19,7.61,7.7,7.52,7.66,4953100,0.0,0.0
2008-06-20,7.58,7.61,7.36,7.39,5110700,0.0,0.0
2008-06-23,7.59,7.63,7.44,7.55,6605600,0.0,0.0
2008-06-24,7.54,7.68,7.43,7.56,3330000,0.0,0.0
2008-06-25,7.58,7.83,7.56,7.73,3215300,0.0,0.0
2008-06-26,7.64,7.83,7.6,7.79,7663800,0.0,0.0
2008-06-27,7.79,7.83,7.6,7.64,6660400,0.0,0.0
2008-06-30,7.6,7.67,7.47,7.55,3075500,0.0,0.0
2008-07-01,7.82,7.99,7.57,7.98,11808500,0.0,0.0
2008-07-02,8.03,8.21,7.94,7.95,6221600,0.0,0.0
2008-07-03,8.08,8.08,7.79,7.9,3803200,0.0,0.0
2008-07-07,7.91,7.92,7.66,7.82,7051200,0.0,0.0
