Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-01-02,6.28,6.36,6.24,6.31,7100,0.0,0.0
2008-01-03,6.31,6.4,6.31,6.36,13100,0.0,0.0
2008-01-04,6.45,6.55,6.29,6.55,39300,0.0,0.0
2008-01-07,6.55,6.9,6.4,6.62,58800,0.0,0.0
2008-01-08,6.45,6.66,6.45,6.45,6800,0.0,0.0
2008-01-09,6.45,6.48,6.4,6.4,10000,0.0,0.0
2008-01-10,6.4,6.73,6.36,6.45,20000,0.0,0.0
2008-01-11,6.45,6.57,6.39,6.43,12800,0.14,0.0
2008-01-14,6.43,6.67,6.39,6.48,10000,0.0,0.0
2008-01-15,6.55,6.55,6.41,6.48,9400,0.0,0.0
2008-01-16,6.55,6.57,6.48,6.57,7900,0.0,0.0
2008-01-17,6.67,6.71,6.57,6.57,11700,0.0,0.0
2008-01-18,6.62,6.62,6.5,6.5,14200,0.0,0.0
2008-01-22,6.45,6.57,6.38,6.45,10000,0.0,0.0
2008-01-23,6.32,6.57,6.32,6.46,5800,0.0,0.0
2008-01-24,6.41,6.64,6.41,6.52,7800,0.0,0.0
2008-01-25,6.52,6.64,6.52,6.62,6900,0.0,0.0
2008-01-28,6.64,6.94,6.59,6.76,8700,0.0,0.0
2008-01-29,6.85,6.94,6.66,6.8,11200,0.0,0.0
2008-01-30,6.89,6.97,6.8,6.9,12100,0.0,0.0
2008-01-31,6.92,7.01,6.9,6.99,10800,0.0,0.0
2008-02-01,7.06,7.1,6.94,6.97,12800,0.0,0.0
2008-02-04,6.94,6.94,6.69,6.69,8000,0.0,0.0
2008-02-05,6.69,6.74,6.64,6.69,5700,0.0,0.0
2008-02-06,6.67,6.76,6.67,6.74,2000,0.0,0.0
2008-02-07,6.66,6.8,6.66,6.69,5900,0.0,0.0
2008-02-08,6.66,6.76,6.66,6.67,7400,0.0,0.0
2008-02-11,6.69,6.74,6.66,6.67,4100,0.0,0.0
2008-02-12,6.74,6.74,6.66,6.66,2600,0.0,0.0
2008-02-13,6.64,6.74,6.48,6.48,6900,0.14,0.0
2008-02-14,6.51,6.51,6.21,6.25,7500,0.0,0.0
2008-02-15,6.12,6.28,6.12,6.19,11100,0.0,0.0
2008-02-19,6.19,6.33,6.19,6.19,9300,0.0,0.0
2008-02-20,6.19,6.25,6.14,6.18,3500,0.0,0.0
2008-02-21,6.18,6.28,6.12,6.16,2500,0.0,0.0
2008-02-22,6.16,6.18,6.1,6.14,8600,0.0,0.0
2008-02-25,6.1,6.28,6.1,6.28,2400,0.0,0.0
2008-02-26,6.21,6.33,6.21,6.33,5300,0.0,0.0
2008-02-27,6.33,6.44,6.32,6.42,3500,0.0,0.0
2008-02-28,6.53,6.58,6.35,6.56,15900,0.0,0.0
2008-02-29,6.55,6.81,6.55,6.76,25400,0.0,0.0
2008-03-03,6.69,6.81,6.65,6.67,11600,0.0,0.0
2008-03-04,6.58,6.64,6.48,6.53,2000,0.0,0.0
2008-03-05,6.46,6.48,6.37,6.37,4400,0.0,0.0
2008-03-06,6.44,6.44,6.28,6.28,4400,0.0,0.0
2008-03-07,6.37,6.37,6.19,6.19,4200,0.0,0.0
2008-03-10,6.26,6.26,6.12,6.19,4700,0.0,0.0
2008-03-11,6.19,6.51,6.18,6.35,5700,0.0,0.0
2008-03-12,6.52,6.58,6.25,6.25,5000,0.125,0.0
2008-03-13,6.31,6.33,6.18,6.24,1500,0.0,0.0
2008-03-14,6.17,6.17,6.06,6.09,4000,0.0,0.0
2008-03-17,6.0,6.0,5.83,5.92,8700,0.0,0.0
2008-03-18,5.92,6.04,5.9,5.97,6000,0.0,0.0
2008-03-19,6.0,6.0,5.88,5.88,16200,0.0,0.0
2008-03-20,5.97,5.97,5.9,5.93,2200,0.0,0.0
2008-03-24,6.04,6.06,5.95,6.02,7700,0.0,0.0
2008-03-25,6.06,6.09,6.04,6.08,8500,0.0,0.0
2008-03-26,6.09,6.13,6.06,6.09,4700,0.0,0.0
2008-03-27,6.06,6.22,6.06,6.2,2600,0.0,0.0
2008-03-28,6.24,6.24,6.02,6.13,3700,0.0,0.0
2008-03-31,6.15,6.34,6.06,6.29,7100,0.0,0.0
2008-04-01,6.33,6.33,6.11,6.2,8200,0.0,0.0
2008-04-02,6.2,6.24,6.09,6.2,8300,0.0,0.0
2008-04-03,6.2,6.22,6.15,6.17,2600,0.0,0.0
2008-04-04,6.13,6.18,6.13,6.13,1400,0.0,0.0
